0.03333,MOT_mc_bg_black_00,seat100-0,,
1.13322,MOT_control_all,z00,,
1.13322,MOT_all,cut1,,
1.13322,6,sort,-2000,
1.13322,7,sort,-2000,
1.13322,8,sort,-2000,
1.13322,9,sort,-2000,
2.43309,1,1-2,,,
2.7997199999999998,2,1-2,,,
2.7997199999999998,7,1-2,,,
3.16635,3,1-2,,,
3.16635,6,1-2,,,
3.36633,1,w2,,,
3.5663099999999996,4,1-2,,,
3.5663099999999996,9,1-2,,,
3.73296,7,w2,,,
3.73296,2,w2,,,
3.93294,5,1-2,,,
3.93294,8,1-2,,,
4.09959,6,w2,,,
4.09959,3,w2,,,
4.29957,1,2-3,,,
4.49955,9,w2,,,
4.49955,4,w2,,,
4.6662,2,2-3,,,
4.6662,7,2-3,,,
4.86618,8,w2,,,
4.86618,5,w2,,,
5.03283,3,2-3,,,
5.03283,6,2-3,,,
5.23281,1,w3,,,
5.43279,4,2-3,,,
5.43279,9,2-3,,,
5.5994399999999995,7,w3,,,
5.5994399999999995,2,w3,,,
5.79942,5,2-3,,,
5.79942,8,2-3,,,
5.966069999999999,6,w3,,,
5.966069999999999,3,w3,,,
6.366029999999999,9,w3,,,
6.366029999999999,4,w3,,,
6.39936,1,3-4,,,
6.49935,2,3-4,,,
6.49935,3,3-4,,,
6.49935,6,3-4,,,
6.49935,7,3-4,,,
6.59934,4,3-4,,,
6.59934,5,3-4,,,
6.59934,8,3-4,,,
6.59934,9,3-4,,,
6.9993,1,lp4,,,
6.9993,2,lp4,,,
6.9993,3,lp4,,,
6.9993,4,lp4,,,
6.9993,5,lp4,,,
6.9993,6,lp4,,,
6.9993,7,lp4,,,
6.9993,8,lp4,,,
6.9993,9,lp4,,,
7.39926,MOT_control_all,z01,,
7.632569999999999,MOT_all,cut2,,
7.8325499999999995,5,,,f1,
7.8325499999999995,1,4-1,,,
7.8325499999999995,2,4-1,,,
7.8325499999999995,3,4-1,,,
7.8325499999999995,4,4-1,,,
7.8325499999999995,5,4-1,,,
7.8325499999999995,6,4-1,,,
7.8325499999999995,7,4-1,,,
7.8325499999999995,8,4-1,,,
7.8325499999999995,9,4-1,,,
8.3325,5,lp1,,,
8.765789999999999,9,w1,,,
8.765789999999999,8,w1,,,
8.765789999999999,7,w1,,,
8.765789999999999,6,w1,,,
8.765789999999999,4,w1,,,
8.765789999999999,3,w1,,,
8.765789999999999,2,w1,,,
8.765789999999999,1,w1,,,
8.83245,5,1-2,l1,,
9.3324,5,lp2,,,
9.86568,5,,l2,,
10.46562,5,lp2,,,
10.6656,5,sp2-3,,,
11.73216,5,sj3,,,
12.132119999999999,5,lp3,,,
12.6654,5,3-4,lb1,,
13.132019999999999,MOT_all,cut3,,
13.16535,MOT_control_all,z02,,
13.331999999999999,8,1-2,,,
13.331999999999999,9,1-2,,,
13.331999999999999,4,1-2,,,
13.331999999999999,5,4-1,,b0,
13.331999999999999,3,1-2,,f1,
13.46532,6,1-2,,,
13.46532,7,1-2,,,
13.46532,1,1-2,,,
13.46532,2,1-2,,,
13.931939999999999,3,lp2,,,
14.265239999999999,9,w2,,,
14.265239999999999,8,w2,,,
14.265239999999999,5,w1,,,
14.265239999999999,4,w2,,,
14.39856,7,w2,,,
14.39856,6,w2,,,
14.39856,2,w2,,,
14.39856,1,w2,,,
14.59854,3,2-3,l1,,
15.265139999999999,3,,l2,,
15.53178,3,w3,,,
15.89841,3,3-4,,,
16.36503,3,lp4,,,
17.03163,3,4-1,lb1,,
17.49825,3,lp1,,,
17.6649,3,,lb0,,
18.46482,MOT_control_all,z03,,
18.49815,MOT_all,cut4,,
18.6648,8,2-3,l1,,
18.6648,9,2-3,r1,,
18.6648,5,1-2,,,
18.6648,3,1-2,,b0,
18.6648,4,2-3,,f1,
18.79812,6,2-3,l1,,
18.79812,7,2-3,r1,,
18.79812,2,2-3,,,
18.79812,1,2-3,,,
19.398059999999997,4,3-4,r1,,
19.598039999999997,9,w3,,,
19.598039999999997,8,w3,,,
19.598039999999997,5,w2,,,
19.598039999999997,3,w2,,,
19.73136,7,w3,,,
19.73136,6,w3,,,
19.73136,2,w3,,,
19.73136,1,w3,,,
20.09799,4,sp4-1,,,
20.76459,4,sj1,,,
21.26454,4,w1,,,
21.431189999999997,4,1-2,,,
21.89781,4,lp2,,,
