0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,MOT_mc_back_00,stay,,
0.03333,MOT_mc_special_02,stay,,
2.63307,1,1-2,,,
2.63307,2,1-2,,,
2.63307,3,1-2,,,
2.63307,4,1-2,,,
2.63307,5,1-2,,,
2.9997,1,lp2,,,
2.9997,2,lp2,,,
2.9997,3,lp2,,,
2.9997,4,lp2,,,
2.9997,5,lp2,,,
3.19968,MOT_mc_back_00,light1,,
3.19968,MOT_mc_special_02,light1,,
5.13282,1,2-3,,,
5.13282,2,2-3,,,
5.13282,3,2-3,,,
5.13282,4,2-3,,,
5.13282,5,2-3,,,
5.13282,MOT_all,cut1,,
5.63277,1,3-4,r1,,
5.63277,2,3-4,r1,,
5.63277,3,3-4,r1,,
5.63277,4,3-4,r1,,
5.63277,5,3-4,r1,,
6.29937,1,4-1,rb0,,
6.29937,2,4-1,rb0,,
6.29937,3,4-1,rb0,,
6.29937,4,4-1,rb0,,
6.29937,5,4-1,rb0,,
6.6659999999999995,1,j1-2,,,
6.932639999999999,2,j1-2,,,
6.932639999999999,3,j1-2,,,
7.16595,4,j1-2,,,
7.16595,5,j1-2,,,
7.6659,1,sp2-3,,,
7.79922,2,sp2-3,,,
7.79922,3,sp2-3,,,
7.9325399999999995,4,sp2-3,,,
7.9325399999999995,5,sp2-3,,,
9.06576,1,sj3,,,
9.3324,2,sj3,,,
9.3324,3,sj3,,,
9.56571,1,w3,,,
9.6657,4,sj3,,,
9.6657,5,sj3,,,
9.83235,3,w3,,,
9.83235,2,w3,,,
10.16565,5,w3,,,
10.16565,4,w3,,,
10.198979999999999,1,j3-4,,,
10.198979999999999,2,j3-4,,,
10.198979999999999,3,j3-4,,,
10.198979999999999,4,j3-4,,,
10.198979999999999,5,j3-4,,,
10.798919999999999,1,lp4,,,
10.798919999999999,2,lp4,,,
10.798919999999999,3,lp4,,,
10.798919999999999,4,lp4,,,
10.798919999999999,5,lp4,,,
11.398859999999999,MOT_control_all,1a_01,,
11.73216,MOT_all,cut1_2,,
11.89881,1,4-1,,f1,
11.89881,2,w4,,,
11.89881,3,w4,,,
11.89881,4,w4,,,
11.89881,5,w4,,,
12.39876,1,lp1,,,
12.76539,1,1-2,r1,,
13.19868,1,lp2,,,
13.79862,1,2-3,r2,,
14.19858,1,lp3,,,
15.165149999999999,1,,rb1,,
15.565109999999999,1,3-4,rb0,,
15.93174,1,4-1,,,
16.29837,1,j1-2,,,
16.665,1,lp2,,,
17.131619999999998,1,2-3,,,
17.9982,1,j3-4,,,
19.03143,MOT_control_all,1a_02,,
19.06476,1,4-1,,,
19.198079999999997,MOT_all,cut2,,
19.398059999999997,1,1-2,,,
19.398059999999997,2,4-1,,f1,
