0.03333,MOT_mc_bg_black_00,seat100-0,,
1.96647,MOT_all,cut1,,
3.63297,1,sj1,,,
3.63297,4,sj1,,,
3.63297,5,sj1,,,
3.63297,6,sj1,,,
3.63297,7,sj1,,,
3.89961,2,sj1,,,
3.89961,3,sj1,,,
3.89961,8,sj1,,,
3.89961,9,sj1,,,
3.89961,6,sort,-100,
3.89961,7,sort,-100,
3.89961,8,sort,-100,
3.89961,9,sort,-100,
4.1329199999999995,7,w1,,,
4.1329199999999995,6,w1,,,
4.1329199999999995,5,w1,,,
4.1329199999999995,4,w1,,,
4.1329199999999995,1,w1,,,
4.16625,1,j1-2,,,
4.16625,4,j1-2,,,
4.16625,5,j1-2,,,
4.16625,6,j1-2,,,
4.16625,7,j1-2,,,
4.39956,9,w1,,,
4.39956,8,w1,,,
4.39956,3,w1,,,
4.39956,2,w1,,,
4.4328899999999996,2,j1-2,,,
4.4328899999999996,3,j1-2,,,
4.4328899999999996,8,j1-2,,,
4.4328899999999996,9,j1-2,,,
4.69953,1,j2-3,,,
4.69953,4,j2-3,,,
4.69953,5,j2-3,,,
4.69953,6,j2-3,,,
4.69953,7,j2-3,,,
4.96617,2,j2-3,,,
4.96617,3,j2-3,,,
4.96617,8,j2-3,,,
4.96617,9,j2-3,,,
5.46612,MOT_mc_special_02,st01,,
5.56611,1,3-4,l1,,
5.56611,2,3-4,l1,,
5.56611,3,3-4,l1,,
5.56611,4,3-4,l1,,
5.56611,5,3-4,l1,,
5.56611,6,3-4,l1,,
5.56611,7,3-4,l1,,
5.56611,8,3-4,l1,,
5.56611,9,3-4,l1,,
6.09939,1,,l2,,
6.09939,2,,l2,,
6.09939,3,,l2,,
6.09939,4,,l2,,
6.09939,5,,l2,,
6.09939,6,,l2,,
6.09939,7,,l2,,
6.09939,8,,l2,,
6.09939,9,,l2,,
6.49935,9,w4,,,
6.49935,8,w4,,,
6.49935,7,w4,,,
6.49935,6,w4,,,
6.49935,5,w4,,,
6.49935,4,w4,,,
6.49935,3,w4,,,
6.49935,2,w4,,,
6.49935,1,w4,,,
6.69933,1,4-1,l3,,
6.69933,2,4-1,l3,,
6.69933,3,4-1,l3,,
6.69933,4,4-1,l3,,
6.69933,5,4-1,l3,,
6.69933,6,4-1,l3,,
6.69933,7,4-1,l3,,
6.69933,8,4-1,l3,,
6.69933,9,4-1,l3,,
6.9659699999999996,1,hj1,,,
6.9993,6,hj1,,,
6.9993,7,hj1,,,
7.032629999999999,2,hj1,,,
7.032629999999999,3,hj1,,,
7.06596,8,hj1,,,
7.06596,9,hj1,,,
7.09929,4,hj1,,,
7.09929,5,hj1,,,
7.96587,1,lp1,,,
7.96587,2,lp1,,,
7.96587,3,lp1,,,
7.96587,4,lp1,,,
7.96587,5,lp1,,,
7.96587,6,lp1,,,
7.96587,7,lp1,,,
7.96587,8,lp1,,,
7.96587,9,lp1,,,
9.03243,MOT_mc_special_01,st01,,
9.16575,1,1-2,lb2,,
9.16575,2,1-2,lb2,,
9.16575,3,1-2,lb2,,
9.16575,4,1-2,lb2,,
9.16575,5,1-2,lb2,,
9.16575,6,1-2,lb2,,
9.16575,7,1-2,lb2,,
9.16575,8,1-2,lb2,,
9.16575,9,1-2,lb2,,
9.699029999999999,1,,lb1,,
9.699029999999999,2,,lb1,,
9.699029999999999,3,,lb1,,
9.699029999999999,4,,lb1,,
9.699029999999999,5,,lb1,,
9.699029999999999,6,,lb1,,
9.699029999999999,7,,lb1,,
9.699029999999999,8,,lb1,,
9.699029999999999,9,,lb1,,
10.098989999999999,9,w2,,,
10.098989999999999,8,w2,,,
10.098989999999999,7,w2,,,
10.098989999999999,6,w2,,,
10.098989999999999,5,w2,,,
10.098989999999999,4,w2,,,
10.098989999999999,3,w2,,,
10.098989999999999,2,w2,,,
10.098989999999999,1,w2,,,
10.298969999999999,1,2-3,lb0,,
10.298969999999999,2,2-3,lb0,,
10.298969999999999,3,2-3,lb0,,
10.298969999999999,4,2-3,lb0,,
10.298969999999999,5,2-3,lb0,,
10.298969999999999,6,2-3,lb0,,
10.298969999999999,7,2-3,lb0,,
10.298969999999999,8,2-3,lb0,,
10.298969999999999,9,2-3,lb0,,
10.698929999999999,1,lp3,,,
10.698929999999999,2,lp3,,,
10.698929999999999,3,lp3,,,
10.698929999999999,4,lp3,,,
10.698929999999999,5,lp3,,,
10.698929999999999,6,lp3,,,
10.698929999999999,7,lp3,,,
10.698929999999999,8,lp3,,,
10.698929999999999,9,lp3,,,
11.03223,1,hj3,,,
11.06556,6,hj3,,,
11.06556,7,hj3,,,
11.098889999999999,2,hj3,,,
11.098889999999999,3,hj3,,,
11.13222,8,hj3,,,
11.13222,9,hj3,,,
11.16555,4,hj3,,,
11.16555,5,hj3,,,
11.79882,1,sp3-4,,,
11.79882,2,sp3-4,,,
11.79882,3,sp3-4,,,
11.79882,4,sp3-4,,,
11.79882,5,sp3-4,,,
11.79882,6,sp3-4,,,
11.79882,7,sp3-4,,,
11.79882,8,sp3-4,,,
11.79882,9,sp3-4,,,
13.032029999999999,MOT_control_all,z01,,
13.431989999999999,1,4-1,,,
13.431989999999999,2,4-1,,,
13.431989999999999,3,4-1,,,
13.431989999999999,4,4-1,,,
13.431989999999999,5,4-1,,,
13.431989999999999,6,4-1,,,
13.431989999999999,7,4-1,,,
13.431989999999999,8,4-1,,,
13.431989999999999,9,4-1,,,
13.431989999999999,2,,,f1,
13.831949999999999,2,1-2,r1,,
14.19858,2,lp2,,,
14.365229999999999,9,w1,,,
14.365229999999999,8,w1,,,
14.365229999999999,7,w1,,,
14.365229999999999,6,w1,,,
14.365229999999999,5,w1,,,
14.365229999999999,4,w1,,,
14.365229999999999,3,w1,,,
14.365229999999999,1,w1,,,
14.565209999999999,2,,r2,,
15.09849,2,j2-3,,,
15.69843,2,,r3,,
15.9984,2,3-4,rb2,,
16.69833,2,,rb1,,
16.931639999999998,2,w4,,,
17.131619999999998,2,lp4,,,
17.89821,4,1-2,,f1,
17.89821,2,4-1,,b0,
18.364829999999998,4,sj2,,,
18.83145,2,w1,,,
18.86478,4,w2,,,
18.93144,4,j2-3,,,
19.43139,4,3-4,r1,,
19.964669999999998,4,sp4-1,,,
20.69793,4,sj1,,,
21.13122,4,lp1,,,
21.76449,4,1-2,rb0,,
22.49775,6,1-2,,f1,
22.49775,6,sort,-100,
22.49775,4,2-3,,b0,
22.9977,6,2-3,,,
23.39766,6,lp3,,,
23.430989999999998,4,w3,,,
23.73096,6,3-4,,,
24.16425,6,lp4,,,
24.53088,6,j4-1,,,
25.064159999999998,6,sp1-2,,,
25.59744,6,sj2,,,
25.96407,6,lp2,,,
26.264039999999998,6,2-3,,b0,
26.264039999999998,6,sort,-100,
26.264039999999998,8,1-2,,f1,
26.264039999999998,8,sort,-100,
26.59734,8,2-3,,,
26.96397,8,j3-4,,,
27.16395,MOT_control_all,z02,,
27.16395,MOT_mc_special_02,st01,,
27.19728,6,w3,,,
27.43059,8,,,b0,
27.43059,8,sort,-100,
27.43059,1,1-2,r1,,
27.43059,2,1-2,r2,,
27.43059,3,1-2,r1,,
27.43059,4,3-4,r1,,
27.43059,5,1-2,r1,,
27.43059,6,3-4,r1,,
27.43059,7,1-2,r1,,
27.43059,8,4-1,r1,,
27.43059,9,1-2,r1,,
27.83055,1,2-3,,,
27.83055,6,4-1,,,
27.83055,7,2-3,,,
27.897209999999998,2,2-3,,,
27.897209999999998,3,2-3,,,
27.897209999999998,8,1-2,,,
27.897209999999998,9,2-3,,,
27.96387,4,4-1,,,
27.96387,5,2-3,,,
28.23051,1,3-4,rb0,,
28.23051,2,3-4,rb1,,
28.23051,3,3-4,rb0,,
28.23051,4,1-2,rb0,,
28.23051,5,3-4,rb0,,
28.23051,6,1-2,rb0,,
28.23051,7,3-4,rb0,,
28.23051,8,2-3,rb0,,
28.23051,9,3-4,rb0,,
28.697129999999998,MOT_control_all,z03,,
28.76379,3,4-1,,f1,
29.16375,9,w4,,,
29.16375,8,w3,,,
29.16375,7,w4,,,
29.16375,6,w2,,,
29.16375,5,w4,,,
29.16375,4,w2,,,
29.16375,2,w4,,,
29.16375,1,w4,,,
29.297069999999998,3,1-2,,,
29.697029999999998,3,lp2,,,
29.963669999999997,3,2-3,,,
30.39696,3,j3-4,,,
30.930239999999998,3,lp4,,,
31.23021,3,4-1,l1,,
31.6635,3,sp1-2,,,
32.296769999999995,3,2-3,lb0,,
32.630069999999996,3,lp3,,,
33.03003,3,3-4,,b0,
33.03003,5,4-1,,f1,
33.463319999999996,5,1-2,,,
33.896609999999995,5,2-3,r1,,
33.96327,3,w4,,,
34.22991,5,lp3,,,
34.62987,5,3-4,rb0,,
34.89651,5,,l1,,
35.29647,5,j4-1,,,
35.96307,5,1-2,lb0,,
36.329699999999995,5,lp2,,,
36.762989999999995,5,2-3,l1,,
37.096289999999996,5,j3-4,,,
37.496249999999996,5,lp4,,,
37.86288,5,4-1,,b0,
37.86288,7,4-1,,f1,
37.86288,7,sort,-100,
38.329499999999996,7,j1-2,,,
38.729459999999996,7,sj2,,,
38.796119999999995,5,w1,,,
39.09609,7,lp2,,,
39.22941,7,j2-3,,,
39.6627,7,lp3,,,
39.86268,7,3-4,,b0,
39.86268,7,sort,-100,
39.86268,9,4-1,,f1,
39.86268,9,sort,-100,
40.19598,9,1-2,,,
40.52928,9,2-3,l1,,
40.795919999999995,7,w4,,,
40.89591,9,lp3,,,
41.162549999999996,9,3-4,lb0,,
41.49585,MOT_control_all,z04,,
41.6625,MOT_mc_special_01,st01,,
41.69583,1,sp4-1,,f1,
41.69583,9,w4,,b0,
41.69583,9,sort,-100,
41.72916,MOT_mc_back_00,castle,,
42.29577,1,sj1,,,
42.52908,1,hj1,,,
43.229009999999995,1,1-2,,,
43.595639999999996,1,j2-3,,,
43.82895,2,j4-1,,,
43.82895,3,j4-1,,,
43.82895,6,j2-3,,,
43.82895,7,j4-1,,,
44.028929999999995,4,j2-3,,,
44.028929999999995,5,j1-2,,,
44.028929999999995,8,j3-4,,,
44.028929999999995,9,j4-1,,,
44.19558,1,3-4,,b0,
44.428889999999996,2,j1-2,,,
44.428889999999996,3,j1-2,,,
44.428889999999996,6,j3-4,,,
44.428889999999996,7,j1-2,,,
44.49555,MOT_control_all,z05,,
44.62887,4,j3-4,,,
44.62887,5,j2-3,,,
44.62887,8,j4-1,,,
44.62887,9,j1-2,,,
45.12882,1,w4,,,
45.295469999999995,1,j4-1,,,
45.295469999999995,8,j1-2,,,
45.295469999999995,9,j2-3,,,
45.49545,7,w2,,,
45.49545,6,w4,,,
45.49545,3,w2,,,
45.49545,2,w2,,,
45.695429999999995,5,w3,,,
45.695429999999995,4,w4,,,
45.82875,2,j2-3,,,
45.82875,3,j2-3,,,
46.3287,4,j4-1,,,
46.3287,5,j3-4,,,
