0.03333,MOT_control_all,zoom1,,
0.03333,MOT_mc_bg_black_00,b65,,
0.03333,MOT_mc_stage_color_00,b-flash,,
0.03333,MOT_mc_light_under_00,l2,,
0.03333,MOT_mc_light_up_00,l3,,
0.03333,MOT_all,cut1,,
0.03333,1,,,,D80
0.03333,2,,,,D80
0.03333,3,,,,D80
2.89971,1,,,,L60
2.89971,2,,,,L60
2.89971,3,,,,L60
3.0330299999999997,1,,,,L40
3.0330299999999997,2,,,,L40
3.0330299999999997,3,,,,L40
3.0330299999999997,1,1-2,,,
3.0330299999999997,2,1-2,,,
3.0330299999999997,3,1-2,,,
3.93294,1,2-3,,,
3.93294,2,2-3,,,
3.93294,3,2-3,,,
4.799519999999999,1,3-4,,,
4.799519999999999,2,3-4,,,
4.799519999999999,3,3-4,,,
5.26614,1,4-1,,,
5.26614,2,4-1,,,
5.26614,3,4-1,,,
5.73276,1,1-2,,,
5.73276,2,1-2,,,
5.73276,3,1-2,,,
6.166049999999999,1,j2-3,,,
6.166049999999999,2,j2-3,,,
6.166049999999999,3,j2-3,,,
7.19928,1,,r1,,
7.19928,2,,r1,,
7.19928,3,,r1,,
7.232609999999999,3,w3,,,
7.232609999999999,2,w3,,,
7.232609999999999,1,w3,,,
7.632569999999999,1,3-4,,,
7.632569999999999,2,3-4,,,
7.632569999999999,3,3-4,,,
8.09919,1,lp4,rb0,,
8.09919,2,lp4,rb0,,
8.09919,3,lp4,rb0,,
8.53248,1,4-1,,,
8.53248,2,4-1,,,
8.53248,3,4-1,,,
8.89911,1,1-2,,,
8.89911,2,1-2,,,
8.89911,3,1-2,,,
9.23241,1,sj2,,,
9.23241,2,sj2,,,
9.23241,3,sj2,,,
9.6657,1,lp2,,,
9.6657,2,lp2,,,
9.6657,3,lp2,,,
10.098989999999999,1,2-3,,,
10.098989999999999,2,2-3,,,
10.098989999999999,3,2-3,,,
10.53228,1,3-4,,,
10.53228,2,3-4,,,
10.53228,3,3-4,,,
10.96557,1,4-1,,,
10.96557,2,4-1,,,
10.96557,3,4-1,,,
11.398859999999999,1,j1-2,,,
11.398859999999999,2,j1-2,,,
11.398859999999999,3,j1-2,,,
11.86548,1,j2-3,,,
11.86548,2,j2-3,,,
11.86548,3,j2-3,,,
12.29877,1,lp3,,,
12.29877,2,lp3,,,
12.29877,3,lp3,,,
13.132019999999999,1,j3-4,,,
13.132019999999999,2,j3-4,,,
13.132019999999999,3,j3-4,,,
13.46532,1,lp4,,,
13.46532,2,lp4,,,
13.46532,3,lp4,,,
13.931939999999999,2,4-1,,,
14.03193,1,4-1,,,
14.13192,3,4-1,,,
14.23191,2,1-2,,,
14.3319,1,1-2,,,
14.43189,3,1-2,,,
14.53188,2,2-3,,,
14.63187,1,2-3,,,
14.73186,3,2-3,,,
14.83185,2,3-4,,,
14.93184,1,3-4,,,
15.03183,3,3-4,,,
15.3318,1,j4-1,,,
15.3318,2,j4-1,,,
15.3318,3,j4-1,,,
16.39836,3,w1,,,
16.39836,2,w1,,,
16.39836,1,w1,,,
16.531679999999998,1,1-2,,,
16.531679999999998,2,1-2,,,
16.531679999999998,3,1-2,,,
16.89831,1,hj2,,,
16.89831,2,hj2,,,
16.89831,3,hj2,,,
17.331599999999998,MOT_mc_bg_black_00,b65-20,,
17.364929999999998,MOT_mc_stage_color_00,b-flash,,
17.39826,MOT_mc_light_up_00,l2,,
17.39826,1,,,,L0
17.39826,2,,,,L0
17.39826,3,,,,L0
17.564909999999998,1,2-3,,,
17.564909999999998,2,2-3,,,
17.564909999999998,3,2-3,,,
17.9982,1,j3-4,,,
17.9982,2,j3-4,,,
17.9982,3,j3-4,,,
