0.03333,MOT_all,cut1,,
0.03333,MOT_control_all,zoom1,,
0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,1,,,,D80
0.03333,2,,,,D80
0.03333,3,,,,D80
0.03333,4,,,,D80
0.03333,5,,,,D80
0.06666,MOT_mc_special_01,open,,
2.9997,1,1-2,,,
2.9997,2,1-2,,,
2.9997,3,1-2,,,
2.9997,4,1-2,,,
2.9997,5,1-2,,,
3.29967,MOT_mc_stage_color_00,r-flash,,
3.3329999999999997,MOT_mc_light_under_00,l1,,
3.39966,1,lp2,,,
3.39966,2,lp2,,,
3.39966,3,lp2,,,
3.39966,4,lp2,,,
3.39966,5,lp2,,,
4.83285,1,2-3,,,
4.93284,2,2-3,,,
4.93284,3,2-3,,,
5.03283,4,2-3,,,
5.03283,5,2-3,,,
5.36613,1,lp3,,,
5.36613,2,lp3,,,
5.36613,3,lp3,,,
5.36613,4,lp3,,,
5.36613,5,lp3,,,
6.59934,1,j3-4,,,
6.6659999999999995,2,j3-4,,,
6.6659999999999995,3,j3-4,,,
6.73266,4,j3-4,,,
6.73266,5,j3-4,,,
7.06596,1,lp4,,,
7.06596,2,lp4,,,
7.06596,3,lp4,,,
7.06596,4,lp4,,,
7.06596,5,lp4,,,
7.09929,MOT_mc_bg_black_00,b80-65,,
8.3325,1,j4-1,,,
8.43249,2,j4-1,,,
8.43249,3,j4-1,,,
8.53248,4,j4-1,,,
8.53248,5,j4-1,,,
8.83245,1,lp1,,,
8.83245,2,lp1,,,
8.83245,3,lp1,,,
8.83245,4,lp1,,,
8.83245,5,lp1,,,
10.26564,4,1-2,,,
10.26564,5,1-2,,,
11.16555,2,1-2,,,
11.16555,3,1-2,,,
11.198879999999999,5,w2,,,
11.198879999999999,4,w2,,,
12.09879,3,w2,,,
12.09879,2,w2,,,
12.09879,1,1-2,,,
12.96537,1,2-3,,,
12.96537,2,2-3,,,
12.96537,3,2-3,,,
12.96537,4,2-3,,,
12.96537,5,2-3,,,
13.29867,1,lp3,,,
13.29867,2,lp3,,,
13.29867,3,lp3,,,
13.29867,4,lp3,,,
13.29867,5,lp3,,,
13.831949999999999,1,j3-4,,,
13.831949999999999,2,j3-4,,,
13.831949999999999,3,j3-4,,,
13.831949999999999,4,j3-4,,,
13.831949999999999,5,j3-4,,,
14.165249999999999,1,lp4,,,
14.165249999999999,2,lp4,,,
14.165249999999999,3,lp4,,,
14.165249999999999,4,lp4,,,
14.165249999999999,5,lp4,,,
15.63177,1,4-1,,,
15.63177,2,4-1,,,
15.63177,3,4-1,,,
15.63177,4,4-1,,,
15.63177,5,4-1,,,
15.965069999999999,1,lp1,,,
15.965069999999999,2,lp1,,,
15.965069999999999,3,lp1,,,
15.965069999999999,4,lp1,,,
15.965069999999999,5,lp1,,,
17.39826,1,j1-2,,,
17.39826,4,j1-2,,,
17.39826,5,j1-2,,,
17.731559999999998,1,lp2,,,
17.731559999999998,4,lp2,,,
17.731559999999998,5,lp2,,,
18.23151,2,j1-2,,,
18.23151,3,j1-2,,,
18.564809999999998,2,lp2,,,
18.564809999999998,3,lp2,,,
19.164749999999998,1,2-3,,,
19.164749999999998,2,2-3,,,
19.164749999999998,3,2-3,,,
19.164749999999998,4,2-3,,,
19.164749999999998,5,2-3,,,
19.46472,1,lp3,,,
19.46472,2,lp3,,,
19.46472,3,lp3,,,
19.46472,4,lp3,,,
19.46472,5,lp3,,,
20.06466,1,3-4,,,
20.06466,2,3-4,,,
20.06466,3,3-4,,,
20.06466,4,3-4,,,
20.06466,5,3-4,,,
20.36463,1,lp4,,,
20.36463,2,lp4,,,
20.36463,3,lp4,,,
20.36463,4,lp4,,,
