0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,MOT_all,cut1,,
0.03333,MOT_mc_light_center_00,l1,,
0.03333,MOT_mc_light_under_00,l2_lp,,
2.86638,MOT_control_all,mo_zoom1,,
2.86638,MOT_mc_stage_color_00,r-flash,,
2.86638,MOT_mc_bg_black_00,b65-80,,
2.86638,2,lp1,,,D40
2.86638,3,lp1,,,D40
2.86638,1,1-2,,f1,Lbl
3.5663099999999996,1,2-3,l1,,
4.09959,1,3-4,lb0,,
5.03283,1,w4,,,
5.16615,MOT_control_all,mo_zoom2,,
5.16615,MOT_mc_stage_color_00,b-flash,,
5.16615,2,1-2,,f1,Lbl
5.16615,1,,,b0,D40
5.63277,1,lp4,,,
5.76609,2,2-3,l1,,
6.266039999999999,2,3-4,l2,,
6.7659899999999995,2,4-1,lb1,,
7.232609999999999,2,j1-2,,,
7.8325499999999995,2,2-3,lb0,,
8.765789999999999,2,w3,,,
9.06576,MOT_control_all,mo_zoom3,,
9.06576,MOT_mc_stage_color_00,y-flash,,
9.06576,2,3-4,,b0,D40
9.06576,3,1-2,,f1,Lbl
9.56571,2,lp4,,,
9.56571,3,2-3,r1,,
10.06566,3,j3-4,,,
10.898909999999999,3,4-1,rb0,,
11.43219,3,1-2,r1,,
12.132119999999999,3,sp2-3,,,
13.965269999999999,3,3-4,,,
14.53188,MOT_control_all,mo_zoom4,,
14.53188,MOT_mc_stage_color_00,b-flash,,
14.53188,2,4-1,,,Lbl
14.53188,3,4-1,,b0,
14.53188,1,4-1,,,Lbl
14.93184,2,1-2,,,
14.93184,3,1-2,,,
14.93184,1,1-2,,,
15.3318,2,sp2-3,,,
15.3318,3,sp2-3,,,
15.3318,1,sp2-3,,,
18.49815,1,3-4,,,
18.69813,2,3-4,,,
18.93144,3,3-4,,,
19.3314,2,j4-1,,,
19.3314,3,j4-1,,,
19.3314,1,j4-1,,,
19.69803,2,1-2,,,
20.06466,3,1-2,,,
20.397959999999998,1,1-2,,,
20.63127,2,w2,,,
20.89791,MOT_mc_stage_color_00,y-flash,,
20.89791,2,2-3,,,
20.89791,3,2-3,,,
20.89791,1,2-3,,,
21.46452,2,sp3-4,,,
21.46452,3,sp3-4,,,
21.46452,1,sp3-4,,,
24.49755,1,4-1,,,
24.76419,3,4-1,,,
25.064159999999998,2,4-1,,,
25.43079,1,1-2,,,
25.697429999999997,3,w1,,,
25.76409,2,1-2,,,
25.76409,3,1-2,,,
26.16405,1,sp2-3,,,
26.53068,2,sp2-3,,,
26.53068,3,sp2-3,,,
27.463919999999998,MOT_control_all,mo_zoom5,,
27.463919999999998,MOT_mc_stage_color_00,y-flash,,
27.463919999999998,MOT_mc_light_center_00,l3,,
27.463919999999998,2,lp3,,,D40
27.463919999999998,3,lp3,,,D40
27.463919999999998,1,3-4,,f1,Lbl
27.96387,1,4-1,l1,,
28.46382,1,1-2,l2,,
28.96377,1,2-3,lb1,,
29.39706,1,3-4,lb0,,
29.83035,1,j4-1,,,
30.69693,MOT_mc_stage_color_00,b-flash,,
30.69693,1,j1-2,,,
31.26354,1,2-3,r1,,
31.89681,1,3-4,rb0,,
32.39676,1,4-1,,,
32.79672,1,1-2,,,
33.59664,MOT_control_all,mo_zoom6,,
33.59664,MOT_mc_stage_color_00,r-flash,,
33.59664,3,3-4,,f1,Lbl
33.59664,1,,,b0,D40
33.72996,1,w2,,,
34.02993,3,4-1,rb0,,
34.09659,1,lp2,,,
34.46322,3,1-2,l1,,
34.82985,3,j2-3,,,
35.496449999999996,3,3-4,lb0,,
35.96307,3,4-1,r1,,
36.729659999999996,3,j1-2,,,
37.39626,3,2-3,,,
38.06286,3,sp3-4,,,
39.02943,3,4-1,,,
39.46272,MOT_control_all,mo_zoom7,,
39.46272,MOT_mc_stage_color_00,b-flash,,
39.46272,2,3-4,,,Lbl
39.46272,3,1-2,,b0,
39.46272,1,2-3,,,Lbl
39.82935,2,sp4-1,,,
39.82935,3,sp2-3,,,
39.82935,1,sp3-4,,,
43.12902,1,4-1,,,
43.36233,2,1-2,,,
43.662299999999995,3,3-4,,,
43.92894,1,1-2,,,
44.19558,2,2-3,,,
44.462219999999995,1,2-3,,,
44.59554,3,w4,,,
44.72886,3,4-1,,,
45.02883,1,3-4,,,
45.12882,2,w3,,,
45.295469999999995,2,3-4,,,
45.295469999999995,3,1-2,,,
45.662099999999995,MOT_mc_stage_color_00,y-flash,,
45.662099999999995,1,4-1,,,
46.028729999999996,2,sp4-1,,,
46.028729999999996,3,sp2-3,,,
46.028729999999996,1,sp1-2,,,
49.56171,1,j2-3,,,
49.761689999999994,2,j1-2,,,
50.061659999999996,3,j3-4,,,
50.26164,1,j3-4,,,
50.494949999999996,2,j2-3,,,
50.86158,2,sp3-4,,,
50.86158,3,sp4-1,,,
50.86158,1,sp4-1,,,
52.26144,MOT_control_all,mo_zoom8,,
52.26144,MOT_mc_stage_color_00,b-flash,,
52.26144,2,4-1,,f1,
52.26144,3,lp1,,,D40
52.26144,1,lp1,,,D40
52.6614,2,1-2,r1,,
53.12802,2,j2-3,,,
53.69463,2,3-4,,,
54.227909999999994,2,4-1,r2,,
54.69453,2,1-2,rb1,,
55.327799999999996,MOT_mc_stage_color_00,r-flash,,
55.327799999999996,2,j2-3,,,
55.96107,2,3-4,,,
56.39436,2,4-1,rb0,,
56.960969999999996,2,1-2,r1,,
57.460919999999994,2,2-3,,,
58.3275,MOT_control_all,mo_zoom9,,
58.3275,MOT_mc_stage_color_00,b-flash,,
58.3275,2,3-4,,,
58.3275,3,1-2,,f1,Lbl
58.3275,1,1-2,,f1,Lbl
58.82745,2,4-1,,,
58.82745,3,2-3,,,
58.82745,1,2-3,,,
59.494049999999994,1,hj3,,,
59.76069,3,w3,,,
59.76069,2,w1,,,
60.12732,2,j1-2,,,
60.12732,3,j3-4,,,
60.727259999999994,1,w3,,,
60.92724,2,2-3,,,
60.92724,3,4-1,,,
60.92724,1,j3-4,,,
61.6605,1,4-1,,,
61.860479999999995,3,w1,,,
61.860479999999995,2,w3,,,
