0.03333,MOT_all,cut1,,
0.03333,MOT_control_all,zoom1,,
0.06666,MOT_mc_special_03,y,,
0.06666,1,,,,D80
0.06666,2,,,,D80
0.06666,3,,,,D80
0.06666,4,,,,D80
0.06666,5,,,,D80
0.06666,6,,,,D80
2.89971,1,j1-2,,,
2.89971,2,j1-2,,,
2.89971,3,j1-2,,,
2.89971,4,j1-2,,,
2.89971,5,j1-2,,,
2.89971,6,j1-2,,,
2.96637,1,,,,L40
2.96637,2,,,,L40
2.96637,3,,,,L40
2.96637,4,,,,L40
2.96637,5,,,,L40
2.96637,6,,,,L40
3.09969,1,,,,L20
3.09969,2,,,,L20
3.09969,3,,,,L20
3.09969,4,,,,L20
3.09969,5,,,,L20
3.09969,6,,,,L20
3.19968,MOT_mc_stage_color_00,r-flash,,
3.26634,1,2-3,,,
3.39966,5,2-3,,,
3.53298,2,2-3,,,
3.6662999999999997,3,2-3,,,
3.79962,4,2-3,,,
3.93294,6,2-3,,,
4.06626,1,3-4,,,
4.19958,5,3-4,,,
4.3328999999999995,2,3-4,,,
4.46622,3,3-4,,,
4.59954,4,3-4,,,
4.73286,6,3-4,,,
4.86618,1,4-1,,,
4.999499999999999,5,4-1,,,
5.13282,2,4-1,,,
5.26614,3,4-1,,,
5.3994599999999995,4,4-1,,,
5.53278,6,4-1,,,
5.6661,1,1-2,,,
5.79942,5,1-2,,,
5.93274,2,1-2,,,
6.066059999999999,3,1-2,,,
6.19938,4,1-2,,,
6.3327,6,1-2,,,
6.466019999999999,1,2-3,,,
6.59934,5,2-3,,,
6.73266,2,2-3,,,
6.8659799999999995,3,2-3,,,
6.9993,4,2-3,,,
7.132619999999999,6,2-3,,,
7.26594,1,3-4,,,
7.39926,5,3-4,,,
7.532579999999999,2,3-4,,,
7.6659,3,3-4,,,
7.79922,4,3-4,,,
7.9325399999999995,6,3-4,,,
8.065859999999999,1,4-1,,,
8.19918,5,4-1,,,
8.3325,2,4-1,,,
8.465819999999999,3,4-1,,,
8.59914,4,4-1,,,
8.73246,6,4-1,,,
8.865779999999999,1,1-2,,,
8.9991,5,1-2,,,
9.13242,2,1-2,,,
9.26574,3,1-2,,,
9.43239,1,hj2,,,
9.43239,2,hj2,,,
9.43239,3,hj2,,,
9.43239,4,hj1,,,
9.43239,5,hj2,,,
9.43239,6,hj1,,,
9.998999999999999,1,2-3,,,
9.998999999999999,2,2-3,,,
9.998999999999999,3,2-3,,,
9.998999999999999,4,1-2,,,
9.998999999999999,5,2-3,,,
9.998999999999999,6,1-2,,,
10.398959999999999,1,sj3,,,
10.398959999999999,2,sj3,,,
10.398959999999999,3,sj3,,,
10.398959999999999,4,sj2,,,
10.398959999999999,5,sj3,,,
10.398959999999999,6,sj2,,,
10.798919999999999,1,sj3,,,
10.798919999999999,2,sj3,,,
10.798919999999999,3,sj3,,,
10.798919999999999,4,sj2,,,
10.798919999999999,5,sj3,,,
10.798919999999999,6,sj2,,,
11.23221,1,j3-4,,,
11.23221,2,j3-4,,,
11.23221,3,j3-4,,,
11.23221,4,j2-3,,,
11.23221,5,j3-4,,,
11.23221,6,j2-3,,,
11.6655,1,,l1,,
11.6655,2,,l1,,
11.6655,3,,l1,,
11.6655,4,,l1,,
11.6655,5,,l1,,
11.6655,6,,l1,,
12.06546,1,4-1,lb0,,
12.06546,2,4-1,lb0,,
12.06546,3,4-1,lb0,,
12.06546,4,3-4,lb0,,
12.06546,5,4-1,lb0,,
12.06546,6,3-4,lb0,,
12.49875,1,lp1,,,
12.49875,2,lp1,,,
12.49875,3,lp1,,,
12.49875,4,lp4,,,
12.49875,5,lp1,,,
12.49875,6,lp4,,,
12.89871,1,j1-2,,,
12.89871,2,j1-2,,,
12.89871,3,j1-2,,,
12.89871,4,j4-1,,,
12.89871,5,j1-2,,,
12.89871,6,j4-1,,,
13.26534,1,2-3,,,
13.39866,5,2-3,,,
13.531979999999999,2,2-3,,,
13.6653,3,2-3,,,
13.79862,4,1-2,,,
13.931939999999999,6,1-2,,,
14.065259999999999,1,3-4,,,
14.19858,5,3-4,,,
14.3319,2,3-4,,,
14.465219999999999,3,3-4,,,
14.59854,4,2-3,,,
14.73186,1,sp4-1,,,
14.73186,2,sp4-1,,,
14.73186,3,sp4-1,,,
14.73186,4,sp3-4,,,
14.73186,5,sp4-1,,,
14.73186,6,sp2-3,,,
15.83175,1,j1-2,,,
15.83175,2,j1-2,,,
15.83175,3,j1-2,,,
15.83175,4,j4-1,,,
15.83175,5,j1-2,,,
15.83175,6,j3-4,,,
16.03173,1,,,,L0
16.03173,2,,,,L0
16.03173,3,,,,L0
16.03173,4,,,,L0
16.03173,5,,,,L0
16.03173,6,,,,L0
16.06506,MOT_mc_special_03,y-stay,,
16.23171,1,j2-3,,,
16.23171,2,j2-3,,,
16.23171,3,j2-3,,,
16.23171,4,j1-2,,,
16.23171,5,j2-3,,,
16.23171,6,j4-1,,,
16.59834,MOT_mc_stage_color_00,r-flash,,
16.63167,1,lp3,,,
16.63167,2,lp3,,,
16.63167,3,lp3,,,
16.63167,4,lp2,,,
16.63167,5,lp3,,,
16.63167,6,lp1,,,
17.39826,1,3-4,,,
17.39826,2,3-4,,,
17.39826,3,3-4,,,
17.39826,4,2-3,,,
17.39826,5,3-4,,,
17.39826,6,1-2,,,
17.83155,1,j4-1,,,
17.83155,2,j4-1,,,
17.83155,3,j4-1,,,
17.83155,4,j3-4,,,
17.83155,5,j4-1,,,
17.83155,6,j2-3,,,
18.23151,1,lp1,,,
18.23151,2,lp1,,,
18.23151,3,lp1,,,
18.23151,4,lp4,,,
18.23151,5,lp1,,,
18.23151,6,lp3,,,
18.69813,1,1-2,,,
18.69813,2,1-2,,,
18.69813,3,1-2,,,
18.69813,4,4-1,,,
18.69813,5,1-2,,,
18.69813,6,3-4,,,
19.164749999999998,1,2-3,,,
19.164749999999998,2,2-3,,,
19.164749999999998,3,2-3,,,
19.164749999999998,4,1-2,,,
19.164749999999998,5,2-3,,,
19.164749999999998,6,4-1,,,
19.564709999999998,1,j3-4,,,
19.564709999999998,3,j3-4,,,
19.798019999999998,2,j3-4,,,
19.798019999999998,5,j3-4,,,
20.03133,4,j2-3,,,
20.03133,6,j1-2,,,
20.3313,1,j4-1,,,
20.3313,2,j4-1,,,
20.3313,3,j4-1,,,
20.3313,4,j3-4,,,
20.3313,5,j4-1,,,
20.3313,6,j2-3,,,
20.797919999999998,1,1-2,,,
20.797919999999998,2,1-2,,,
20.797919999999998,3,1-2,,,
20.797919999999998,4,4-1,,,
20.797919999999998,5,1-2,,,
20.797919999999998,6,3-4,,,
21.197879999999998,1,j2-3,,,
21.197879999999998,3,j2-3,,,
21.431189999999997,2,j2-3,,,
21.431189999999997,5,j2-3,,,
21.6645,4,j1-2,,,
21.6645,6,j4-1,,,
21.96447,1,j3-4,,,
21.96447,2,j3-4,,,
21.96447,3,j3-4,,,
21.96447,4,j2-3,,,
21.96447,5,j3-4,,,
21.96447,6,j1-2,,,
22.431089999999998,1,4-1,,,
22.431089999999998,2,4-1,,,
22.431089999999998,3,4-1,,,
22.431089999999998,4,3-4,,,
22.431089999999998,5,4-1,,,
22.431089999999998,6,2-3,,,
22.831049999999998,1,j1-2,,,
22.831049999999998,2,j1-2,,,
22.831049999999998,3,j1-2,,,
22.831049999999998,4,j4-1,,,
22.831049999999998,5,j1-2,,,
22.831049999999998,6,j3-4,,,
23.26434,1,lp2,,,
23.26434,2,lp2,,,
23.26434,3,lp2,,,
23.26434,4,lp1,,,
23.26434,5,lp2,,,
23.26434,6,lp4,,,
24.064259999999997,1,2-3,,,
24.064259999999997,2,2-3,,,
24.064259999999997,3,2-3,,,
24.064259999999997,4,1-2,,,
24.064259999999997,5,2-3,,,
24.064259999999997,6,4-1,,,
24.49755,1,j3-4,,,
24.49755,2,j3-4,,,
24.49755,3,j3-4,,,
24.49755,4,j2-3,,,
24.49755,5,j3-4,,,
24.49755,6,j1-2,,,
24.89751,1,lp4,,,
24.89751,2,lp4,,,
24.89751,3,lp4,,,
24.89751,4,lp3,,,
24.89751,5,lp4,,,
24.89751,6,lp2,,,
25.3308,4,j3-4,,,
25.3308,6,j2-3,,,
25.53078,2,j4-1,,,
25.53078,5,j4-1,,,
25.73076,1,j4-1,,,
25.73076,3,j4-1,,,
26.16405,1,j1-2,,,
26.16405,2,j1-2,,,
26.16405,3,j1-2,,,
26.16405,4,j4-1,,,
26.16405,5,j1-2,,,
26.16405,6,j3-4,,,
26.59734,1,sp2-3,,,
26.59734,2,sp2-3,,,
26.59734,3,sp2-3,,,
26.59734,4,sp1-2,,,
26.59734,5,sp2-3,,,
26.59734,6,sp4-1,,,
27.9972,1,j3-4,,,
27.9972,2,j3-4,,,
27.9972,3,j3-4,,,
27.9972,4,j2-3,,,
27.9972,5,j3-4,,,
27.9972,6,j1-2,,,
28.39716,1,lp4,,,
28.39716,2,lp4,,,
28.39716,3,lp4,,,
28.39716,4,lp3,,,
28.39716,5,lp4,,,
28.39716,6,lp2,,,
29.59704,1,4-1,,,
29.59704,2,4-1,,,
29.59704,3,4-1,,,
29.59704,4,3-4,,,
29.59704,5,4-1,,,
29.59704,6,2-3,,,
29.6637,1,,,,D20
29.6637,2,,,,D80
29.6637,3,,,,D80
29.6637,4,,,,D80
29.6637,5,,,,D80
29.6637,6,,,,D80
29.897009999999998,MOT_mc_stage_color_00,b-flash,,
30.163649999999997,1,1-2,,f1,
30.530279999999998,6,w3,,,
30.530279999999998,4,w4,,,
30.530279999999998,5,w1,,,
30.530279999999998,2,w1,,,
30.530279999999998,3,w1,,,
30.530279999999998,1,lp2,,,
31.23021,1,2-3,,,
31.563509999999997,1,lp3,,,
32.46342,1,j3-4,,,
32.86338,1,sj4,,,
33.26334,1,sj4,,,
33.6633,1,j4-1,,,
34.06326,1,1-2,,,
34.46322,1,lp2,,,
36.09639,1,,,,D40
36.19638,1,2-3,,b0,
36.26304,1,,,,D60
36.42969,1,,,,D80
36.729659999999996,3,,,,L20
36.729659999999996,3,1-2,,f1,
37.096289999999996,3,lp2,,,
37.129619999999996,1,w3,,,
37.86288,3,2-3,,,
38.19618,3,lp3,,,
39.02943,3,j3-4,,,
39.42939,3,sj4,,,
39.82935,3,lp4,,,
40.26264,3,4-1,,,
41.09589,3,j1-2,,,
41.52918,3,sp2-3,,,
42.19578,3,hj3,,,
42.6624,3,,,,D40
42.829049999999995,3,,,,D60
42.829049999999995,3,3-4,,b0,
42.9957,3,,,,D80
43.229009999999995,6,,,,L20
43.229009999999995,6,3-4,,f1,
43.229009999999995,1,sort,-500,
43.229009999999995,2,sort,-500,
43.229009999999995,3,sort,-500,
43.229009999999995,4,sort,-500,
43.229009999999995,5,sort,-500,
43.595639999999996,6,j4-1,,,
43.76229,3,w4,,,
44.062259999999995,6,1-2,,,
44.428889999999996,6,lp2,,,
45.06216,6,2-3,,,
45.42879,6,lp3,,,
46.22871,6,j3-4,,,
46.662,6,sj4,,,
47.12862,6,,l1,,
47.16195,6,w4,,,
47.49525,6,,l2,,
47.86188,6,j4-1,,,
48.39516,6,,lb1,,
48.6618,6,,,,D40
48.76179,6,,lb0,,
48.82845,6,,,,D60
48.928439999999995,6,w1,,,
48.9951,6,,,,D80
49.02843,1,,,,L20
49.02843,3,,,,L20
49.02843,1,3-4,,,
49.02843,3,4-1,,,
49.39506,1,j4-1,,,
49.39506,3,j1-2,,,
49.59504,4,,,,L20
49.59504,4,,r1,,
49.59504,1,sort,-500,
49.59504,2,sort,-500,
49.59504,3,sort,-500,
49.59504,5,sort,-500,
49.59504,6,sort,-500,
49.59504,6,,,b0,
49.761689999999994,1,,,,D80
49.761689999999994,3,,,,D80
49.89501,4,4-1,,f1,
50.29497,4,sj1,,,
50.461619999999996,3,w2,,,
50.461619999999996,1,w1,,,
50.69493,4,sj1,,,
51.12822,4,j1-2,,,
51.49485,4,lp2,,,
51.96147,4,sj2,,,
52.39476,4,sj2,,,
52.79472,4,j2-3,,,
53.69463,4,3-4,rb0,,
54.09459,4,,r1,,
54.561209999999996,4,4-1,rb0,,
54.994499999999995,4,,,,D40
55.16115,4,,,,D60
55.327799999999996,4,,,,D80
55.327799999999996,4,,,b0,
55.327799999999996,3,2-3,,f1,
55.394459999999995,3,,,,L20
55.49445,4,w1,,,
55.62777,3,3-4,,,
55.92774,3,j4-1,,,
56.42769,3,sp1-2,,,
56.960969999999996,3,2-3,,b0,
57.427589999999995,1,1-2,,,
57.427589999999995,2,1-2,,,
57.427589999999995,3,3-4,,,
57.427589999999995,4,1-2,,,
57.427589999999995,5,1-2,,,
57.427589999999995,6,1-2,,,
57.56091,1,,,,L0
57.56091,2,,,,L0
57.56091,3,,,,L0
57.56091,4,,,,L0
57.56091,5,,,,L0
57.56091,6,,,,L0
57.794219999999996,1,hj2,,,
57.794219999999996,2,hj2,,,
57.794219999999996,3,hj4,,,
57.794219999999996,4,hj2,,,
57.794219999999996,5,hj2,,,
57.794219999999996,6,hj2,,,
58.160849999999996,MOT_mc_stage_color_00,b-flash,,
58.3275,1,sp2-3,,,
58.3275,2,sp2-3,,,
58.3275,3,sp4-1,,,
58.3275,4,sp2-3,,,
58.3275,5,sp2-3,,,
58.3275,6,sp2-3,,,
59.427389999999995,1,j3-4,,,
59.427389999999995,2,j3-4,,,
59.427389999999995,3,j1-2,,,
59.427389999999995,4,j3-4,,,
59.427389999999995,5,j3-4,,,
59.427389999999995,6,j3-4,,,
59.860679999999995,1,sj4,,,
59.860679999999995,2,sj4,,,
59.860679999999995,3,sj2,,,
59.860679999999995,4,sj4,,,
59.860679999999995,5,sj4,,,
59.860679999999995,6,sj4,,,
60.327299999999994,5,j4-1,,,
60.327299999999994,1,4-1,,,
60.327299999999994,2,4-1,,,
60.327299999999994,3,2-3,,,
60.327299999999994,4,4-1,,,
60.327299999999994,6,4-1,,,
60.39396,1,,,,D40
60.39396,2,,,,D40
60.39396,3,,,,D40
60.39396,4,,,,D40
60.39396,6,,,,D40
60.727259999999994,5,sj1,,,
61.127219999999994,5,sj1,,,
61.26054,6,w1,,,
61.26054,4,w1,,,
61.26054,2,w1,,,
61.26054,3,w3,,,
61.26054,1,w1,,,
61.56051,5,lp1,,,
61.9938,5,1-2,,,
62.360429999999994,5,lp2,,,
62.82705,5,j2-3,,,
63.62697,1,1-2,,,
63.62697,2,1-2,,,
63.62697,3,3-4,,,
63.62697,4,1-2,,,
63.62697,5,3-4,,,
63.62697,6,1-2,,,
63.69363,1,,,,L0
63.69363,2,,,,L0
63.69363,3,,,,L0
63.69363,4,,,,L0
63.69363,6,,,,L0
64.02693,1,2-3,,,
64.02693,2,2-3,,,
64.02693,3,4-1,,,
64.02693,4,2-3,,,
64.02693,5,4-1,,,
64.02693,6,2-3,,,
64.46021999999999,1,j3-4,,,
64.46021999999999,2,j3-4,,,
64.46021999999999,3,j1-2,,,
64.46021999999999,4,j3-4,,,
64.46021999999999,5,j1-2,,,
64.46021999999999,6,j3-4,,,
64.89350999999999,1,sp4-1,,,
64.89350999999999,2,sp4-1,,,
64.89350999999999,3,sp2-3,,,
64.89350999999999,4,sp4-1,,,
64.89350999999999,5,sp2-3,,,
64.89350999999999,6,sp4-1,,,
65.6601,4,j1-2,,,
65.6601,2,j1-2,,,
65.82675,5,j3-4,,,
65.82675,6,j1-2,,,
66.06006,1,j1-2,,,
66.06006,3,j3-4,,,
66.72666,4,w2,,,
66.72666,2,w2,,,
