0.03333,MOT_mc_stage_color_00,b,,
0.03333,MOT_mc_bg_black_00,seat100-0,,
2.23311,MOT_mc_back_00,in,,
2.23311,MOT_mc_special_01,1a,,
3.63297,MOT_control_all,z01,,
3.63297,1,j1-2,,,
3.63297,2,j1-2,,,
3.63297,MOT_all,cut1,,
4.19958,1,sj2,,,
4.19958,2,sj2,,,
4.59954,1,2-3,r1,,
4.59954,2,2-3,l1,,
5.099489999999999,1,sj3,,,
5.099489999999999,2,sj3,,,
5.4994499999999995,1,3-4,,,
5.4994499999999995,2,3-4,,,
6.43269,2,w4,,,
6.43269,1,4-1,r2,,
6.43269,2,4-1,l2,,
6.932639999999999,1,sj1,,,
6.932639999999999,2,sj1,,,
7.432589999999999,2,w1,,,
7.432589999999999,1,j1-2,,,
7.432589999999999,2,j1-2,,,
8.265839999999999,1,2-3,r3,,
8.265839999999999,2,2-3,l3,,
8.765789999999999,1,sj3,,,
8.765789999999999,2,sj3,,,
9.16575,1,3-4,,,
9.16575,2,3-4,,,
10.098989999999999,1,w4,,,
10.098989999999999,2,j4-1,,,
10.36563,1,j4-1,,,
10.6656,2,1-2,,,
10.6656,1,1-2,,,
11.06556,1,j2-3,,,
11.06556,2,j2-3,,,
11.76549,1,3-4,rb2,,
11.76549,2,3-4,lb2,,
12.26544,1,sj4,,,
12.26544,2,sj4,,,
12.6654,1,4-1,,,
12.6654,2,4-1,,,
13.132019999999999,1,lp1,,,
13.132019999999999,2,lp1,,,
13.59864,1,1-2,r3,,
13.59864,2,1-2,l3,,
14.09859,1,sj2,,,
14.09859,2,sj2,,,
14.59854,2,w2,,,
14.59854,1,j2-3,,,
14.59854,2,j2-3,,,
15.23181,1,lp3,,,
15.23181,2,lp3,,,
15.59844,1,3-4,rb2,,
15.59844,2,3-4,lb2,,
16.09839,1,sj4,,,
16.09839,2,sj4,,,
16.49835,1,4-1,,,
16.49835,2,4-1,,,
16.9983,1,lp1,,,
16.9983,2,lp1,,,
17.39826,1,1-2,rb1,,
17.39826,2,1-2,lb1,,
17.89821,1,sj2,,,
17.89821,2,sj2,,,
18.39816,2,w2,,,
18.39816,1,j2-3,,,
18.39816,2,j2-3,,,
18.964769999999998,1,lp3,,,
18.964769999999998,2,lp3,,,
19.23141,1,3-4,r2,,
19.23141,2,3-4,l2,,
19.73136,1,sj4,,,
19.73136,2,sj4,,,
20.13132,1,4-1,,,
20.13132,2,4-1,,,
20.6646,1,1-2,r3,,
20.6646,2,1-2,l3,,
21.16455,1,sj2,,,
21.16455,2,sj2,,,
21.6645,2,w2,,,
21.6645,1,j2-3,,,
21.6645,2,j2-3,,,
22.16445,1,lp3,,,
22.16445,2,lp3,,,
22.49775,1,3-4,r4,,
22.49775,2,3-4,l4,,
23.06436,1,sj4,,,
23.06436,2,sj4,,,
23.46432,1,4-1,,,
23.46432,2,4-1,,,
23.93094,1,1-2,,,
23.93094,2,1-2,,,
24.3309,1,j2-3,,,
24.3309,2,j2-3,,,
24.79752,1,sj3,,,
24.79752,2,sj3,,,
25.13082,1,3-4,,,
25.13082,2,3-4,,,
25.230809999999998,MOT_all,cut2,,
25.49745,1,j4-1,,,
25.49745,2,j4-1,,,
25.56411,MOT_mc_stage_color_00,b-r,,
25.56411,MOT_mc_back_00,1a,,
25.56411,MOT_mc_special_01,1a_out,,
25.76409,MOT_control_all,z02,,
25.83075,1,j1-2,,,
25.83075,2,j1-2,,,
26.23071,2,2-3,,,
