0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,MOT_all,cut1,,
0.03333,6,sort,-500,
0.03333,7,sort,-500,
0.03333,8,sort,-500,
0.03333,9,sort,-500,
10.06566,MOT_mc_stage_color_00,b-flash,,
10.06566,1,1-2,,,
10.06566,2,1-2,,,
10.06566,3,1-2,,,
10.06566,4,1-2,,,
10.06566,5,1-2,,,
10.198979999999999,6,1-2,,,
10.198979999999999,7,1-2,,,
10.198979999999999,8,1-2,,,
10.198979999999999,9,1-2,,,
10.898909999999999,MOT_control_all,s_zoom1,,
10.96557,MOT_mc_stage_color_00,y-flash,,
10.96557,1,lp2,,,
10.96557,2,lp2,,,
10.96557,3,lp2,,,
10.96557,4,lp2,,,
10.96557,5,lp2,,,
10.96557,6,lp2,,,
10.96557,7,lp2,,,
10.96557,8,lp2,,,
10.96557,9,lp2,,,
10.96557,5,j2-3,,,
10.96557,9,hj2,,,
11.63217,MOT_mc_stage_color_00,r-flash,,
11.63217,5,j3-4,,,
12.19878,9,w2,,,
12.19878,MOT_mc_stage_color_00,b-flash,,
12.19878,9,hj2,,,
12.69873,5,w4,,,
12.932039999999999,5,4-1,,,
13.26534,9,j2-3,,,
13.76529,5,j1-2,,,
13.76529,9,hj3,,,
13.9986,MOT_control_all,s_zoom2,,
14.03193,MOT_mc_stage_color_00,r-flash,,
14.03193,4,j2-3,,,
14.03193,8,hj2,,,
14.565209999999999,5,lp2,,,
14.565209999999999,9,lp3,,,
14.765189999999999,MOT_mc_stage_color_00,b-flash,,
14.765189999999999,4,j3-4,,,
14.765189999999999,8,hj2,,,
15.39846,MOT_mc_stage_color_00,y-flash,,
15.39846,4,j4-1,,,
15.39846,8,hj2,,,
16.29837,4,1-2,,,
16.49835,8,2-3,,,
16.86498,4,j2-3,,,
16.86498,8,hj3,,,
17.164949999999997,MOT_control_all,s_zoom3,,
17.19828,MOT_mc_stage_color_00,y-flash,,
17.19828,6,hj2,,,
17.19828,7,hj2,,,
17.564909999999998,4,lp3,,,
17.564909999999998,8,lp3,,,
17.93154,MOT_mc_stage_color_00,b-flash,,
17.93154,6,j2-3,,,
18.43149,7,w2,,,
18.43149,MOT_mc_stage_color_00,r-flash,,
18.43149,7,hj2,,,
18.9981,6,w3,,,
19.49805,6,3-4,,,
19.6647,7,w2,,,
19.73136,7,2-3,,,
20.09799,6,j4-1,,,
20.09799,7,hj3,,,
20.49795,MOT_mc_stage_color_00,b-flash,,
20.49795,2,j2-3,,,
20.49795,3,j2-3,,,
20.69793,6,lp1,,,
20.69793,7,lp3,,,
21.06456,MOT_mc_stage_color_00,y-flash,,
21.06456,2,j3-4,,,
21.06456,3,j3-4,,,
21.73116,MOT_mc_stage_color_00,r-flash,,
21.73116,2,hj4,,,
21.73116,3,hj4,,,
22.69773,1,j2-3,,,
22.96437,3,w4,,,
22.96437,2,j4-1,,,
23.19768,3,j4-1,,,
23.56431,MOT_control_all,s_zoom4,,
23.59764,MOT_mc_stage_color_00,y-flash,,
23.59764,1,hj3,,,
24.030929999999998,2,w1,,,
24.030929999999998,1,3-4,l1,,
24.030929999999998,2,1-2,l1,,
24.030929999999998,3,1-2,l1,,
24.030929999999998,4,3-4,l1,,
24.030929999999998,5,2-3,l1,,
24.030929999999998,6,1-2,l1,,
24.030929999999998,7,3-4,l1,,
24.030929999999998,8,3-4,l1,,
24.030929999999998,9,3-4,l1,,
24.430889999999998,1,4-1,l2,,
24.430889999999998,2,2-3,l2,,
24.430889999999998,3,2-3,l2,,
24.430889999999998,4,4-1,l2,,
24.430889999999998,5,3-4,l2,,
24.430889999999998,6,2-3,l2,,
24.430889999999998,7,4-1,l2,,
24.430889999999998,8,4-1,l2,,
24.430889999999998,9,4-1,l2,,
24.864179999999998,1,1-2,lb1,,
24.864179999999998,2,3-4,lb1,,
24.864179999999998,3,3-4,lb1,,
24.864179999999998,4,1-2,lb1,,
24.864179999999998,5,4-1,lb1,,
24.864179999999998,6,3-4,lb1,,
24.864179999999998,7,1-2,lb1,,
24.864179999999998,8,1-2,lb1,,
24.864179999999998,9,1-2,lb1,,
25.264139999999998,1,2-3,lb0,,
25.264139999999998,2,4-1,lb0,,
25.264139999999998,3,4-1,lb0,,
25.264139999999998,4,2-3,lb0,,
25.264139999999998,5,1-2,lb0,,
25.264139999999998,6,4-1,lb0,,
25.264139999999998,7,2-3,lb0,,
25.264139999999998,8,2-3,lb0,,
25.264139999999998,9,2-3,lb0,,
25.664099999999998,1,j3-4,,,
25.664099999999998,2,j1-2,,,
25.664099999999998,3,j1-2,,,
25.664099999999998,4,j3-4,,,
25.664099999999998,5,j2-3,,,
25.664099999999998,6,j1-2,,,
25.664099999999998,7,j3-4,,,
25.664099999999998,8,j3-4,,,
25.664099999999998,9,j3-4,,,
26.264039999999998,1,4-1,,,
26.264039999999998,2,2-3,,,
26.264039999999998,3,2-3,,,
26.264039999999998,4,4-1,,,
26.264039999999998,5,3-4,,,
26.264039999999998,6,2-3,,,
26.264039999999998,7,4-1,,,
26.264039999999998,8,4-1,,,
26.264039999999998,9,4-1,,,
26.73066,1,1-2,l1,,
26.73066,2,3-4,l1,,
26.73066,3,3-4,l1,,
26.73066,4,1-2,l1,,
26.73066,5,4-1,l1,,
26.73066,6,3-4,r1,,
26.73066,7,1-2,r1,,
26.73066,8,1-2,r1,,
26.73066,9,1-2,r1,,
27.16395,1,2-3,l2,,
27.16395,2,4-1,l2,,
27.16395,3,4-1,l2,,
27.16395,4,2-3,l2,,
27.16395,5,1-2,l2,,
27.16395,6,4-1,r2,,
27.16395,7,2-3,r2,,
27.16395,8,2-3,r2,,
27.16395,9,2-3,r2,,
27.59724,1,3-4,lb1,,
27.59724,2,1-2,lb1,,
27.59724,3,1-2,lb1,,
27.59724,4,3-4,lb1,,
27.59724,5,2-3,lb1,,
27.59724,6,1-2,rb1,,
27.59724,7,3-4,rb1,,
27.59724,8,3-4,rb1,,
27.59724,9,3-4,rb1,,
28.03053,1,4-1,lb0,,
28.03053,2,2-3,lb0,,
28.03053,3,2-3,lb0,,
28.03053,4,4-1,lb0,,
28.03053,5,3-4,lb0,,
28.03053,6,2-3,rb0,,
28.03053,7,4-1,rb0,,
28.03053,8,4-1,rb0,,
28.03053,9,4-1,rb0,,
28.497149999999998,1,j1-2,,,
28.497149999999998,2,j3-4,,,
28.497149999999998,3,j3-4,,,
28.497149999999998,4,j1-2,,,
28.497149999999998,5,j4-1,,,
28.497149999999998,6,j3-4,,,
28.497149999999998,7,j1-2,,,
28.497149999999998,8,j1-2,,,
28.497149999999998,9,j1-2,,,
29.03043,1,2-3,r1,,
29.03043,2,4-1,r1,,
29.03043,3,4-1,r1,,
29.03043,4,2-3,r1,,
29.03043,5,1-2,r1,,
29.03043,6,4-1,r1,,
29.03043,7,2-3,r1,,
29.03043,8,2-3,r1,,
29.03043,9,2-3,r1,,
29.46372,1,3-4,r2,,
29.46372,2,1-2,r2,,
29.46372,3,1-2,r2,,
29.46372,4,3-4,r2,,
29.46372,5,2-3,r2,,
29.46372,6,1-2,r2,,
29.46372,7,3-4,r2,,
29.46372,8,3-4,r2,,
29.46372,9,3-4,r2,,
29.930339999999998,1,4-1,rb1,,
29.930339999999998,2,2-3,rb1,,
29.930339999999998,3,2-3,rb1,,
29.930339999999998,4,4-1,rb1,,
29.930339999999998,5,3-4,rb1,,
29.930339999999998,6,2-3,rb1,,
29.930339999999998,7,4-1,rb1,,
29.930339999999998,8,4-1,rb1,,
29.930339999999998,9,4-1,rb1,,
30.363629999999997,1,1-2,rb0,,
30.363629999999997,2,3-4,rb0,,
30.363629999999997,3,3-4,rb0,,
30.363629999999997,4,1-2,rb0,,
30.363629999999997,5,4-1,rb0,,
30.363629999999997,6,3-4,rb0,,
30.363629999999997,7,1-2,rb0,,
30.363629999999997,8,1-2,rb0,,
30.363629999999997,9,1-2,rb0,,
30.83025,1,j2-3,,,
30.83025,2,j4-1,,,
30.83025,3,j4-1,,,
30.83025,4,j2-3,,,
30.83025,5,j1-2,,,
30.83025,6,j4-1,,,
30.83025,7,j2-3,,,
30.83025,8,j2-3,,,
30.83025,9,j2-3,,,
31.330199999999998,1,3-4,r1,,
31.330199999999998,2,1-2,r1,,
31.330199999999998,3,1-2,r1,,
31.330199999999998,4,3-4,r1,,
31.330199999999998,5,2-3,r1,,
31.330199999999998,6,1-2,l1,,
31.330199999999998,7,3-4,l1,,
31.330199999999998,8,3-4,l1,,
31.330199999999998,9,3-4,l1,,
31.763489999999997,1,4-1,r2,,
31.763489999999997,2,2-3,r2,,
31.763489999999997,3,2-3,r2,,
31.763489999999997,4,4-1,r2,,
31.763489999999997,5,3-4,r2,,
31.763489999999997,6,2-3,l2,,
31.763489999999997,7,4-1,l2,,
31.763489999999997,8,4-1,l2,,
31.763489999999997,9,4-1,l2,,
32.19678,1,1-2,rb1,,
32.19678,2,3-4,rb1,,
32.19678,3,3-4,rb1,,
32.19678,4,1-2,rb1,,
32.19678,5,4-1,rb1,,
32.19678,6,3-4,lb1,,
32.19678,7,1-2,lb1,,
32.19678,8,1-2,lb1,,
32.19678,9,1-2,lb1,,
32.630069999999996,1,2-3,rb0,,
32.630069999999996,2,4-1,rb0,,
32.630069999999996,3,4-1,rb0,,
32.630069999999996,4,2-3,rb0,,
32.630069999999996,5,1-2,rb0,,
32.630069999999996,6,4-1,lb0,,
32.630069999999996,7,2-3,lb0,,
32.630069999999996,8,2-3,lb0,,
32.630069999999996,9,2-3,lb0,,
33.063359999999996,1,j3-4,,,
33.063359999999996,2,j1-2,,,
33.063359999999996,3,j1-2,,,
33.063359999999996,4,j3-4,,,
33.063359999999996,5,j2-3,,,
33.063359999999996,6,j1-2,,,
33.063359999999996,7,j3-4,,,
33.063359999999996,8,j3-4,,,
33.063359999999996,9,j3-4,,,
33.56331,1,4-1,,,
33.56331,2,2-3,,,
33.56331,3,2-3,,,
33.56331,4,4-1,,,
33.56331,5,3-4,,,
33.56331,6,j2-3,,,
33.56331,7,j4-1,,,
33.56331,8,j4-1,,,
33.56331,9,j4-1,,,
34.02993,1,1-2,l1,,
34.02993,2,3-4,l1,,
34.02993,3,3-4,l1,,
34.02993,4,1-2,l1,,
34.02993,5,4-1,l1,,
34.02993,6,3-4,l1,,
34.02993,7,1-2,l1,,
34.02993,8,1-2,l1,,
34.02993,9,1-2,l1,,
34.49655,1,2-3,lb0,,
34.49655,2,4-1,lb0,,
34.49655,3,4-1,lb0,,
34.49655,4,2-3,lb0,,
34.49655,5,1-2,lb0,,
34.49655,6,4-1,lb0,,
