0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,MOT_all,cut1,,
0.03333,6,sort,-500,
0.03333,7,sort,-500,
0.03333,8,sort,-500,
0.03333,9,sort,-500,
0.03333,10,sort,-500,
0.03333,1,,,,Lyw
0.03333,2,,,,Lyw
0.03333,3,,,,Lyw
0.03333,4,,,,Lyw
0.03333,5,,,,Lyw
0.03333,6,,,,Lyw
0.03333,7,,,,Lyw
0.03333,8,,,,Lyw
0.03333,9,,,,Lyw
0.03333,10,,,,Lyw
2.9997,MOT_mc_special_02,kirakira,,
3.9662699999999997,MOT_control_all,ko_zoom1,,
4.06626,MOT_mc_stage_color_00,b-flash,,
4.06626,MOT_mc_light_up_00,l1,,
4.06626,1,j1-2,,,
4.06626,2,j1-2,,,
4.06626,3,j1-2,,,
4.06626,4,j1-2,,,
4.06626,5,j1-2,,,
4.19958,6,1-2,,,
4.19958,7,1-2,,,
4.19958,8,1-2,,,
4.19958,9,1-2,,,
4.19958,10,1-2,,,
4.63287,4,sp2-3,,,
4.6662,2,sp2-3,,,
4.69953,1,sp2-3,,,
4.73286,3,sp2-3,,,
4.76619,5,sp2-3,,,
4.799519999999999,9,sp2-3,,,
4.83285,7,sp2-3,,,
4.86618,6,sp2-3,,,
4.899509999999999,8,sp2-3,,,
4.93284,10,sp2-3,,,
5.89941,1,3-4,,,
5.93274,2,3-4,,,
5.966069999999999,3,3-4,,,
5.9994,4,3-4,,,
6.03273,5,3-4,,,
6.066059999999999,6,3-4,,,
6.09939,7,3-4,,,
6.13272,8,3-4,,,
6.166049999999999,9,3-4,,,
6.19938,10,3-4,,,
6.83265,1,w4,,,
6.8659799999999995,2,w4,,,
6.8659799999999995,1,4-1,,,
6.8659799999999995,2,4-1,,,
6.8659799999999995,3,4-1,,,
6.8659799999999995,4,4-1,,,
6.8659799999999995,5,4-1,,,
6.9993,6,j4-1,,,
6.9993,7,j4-1,,,
6.9993,8,j4-1,,,
6.9993,9,j4-1,,,
6.9993,10,j4-1,,,
7.432589999999999,4,sp1-2,,,
7.46592,2,sp1-2,,,
7.49925,1,sp1-2,,,
7.532579999999999,3,sp1-2,,,
7.56591,5,sp1-2,,,
7.59924,9,sp1-2,,,
7.632569999999999,7,sp1-2,,,
7.6659,6,sp1-2,,,
7.69923,8,sp1-2,,,
7.732559999999999,10,sp1-2,,,
9.76569,MOT_mc_stage_color_00,b-flash,,
9.76569,4,2-3,,,
9.799019999999999,2,2-3,,,
9.83235,1,2-3,,,
9.86568,3,2-3,,,
9.899009999999999,5,2-3,,,
9.93234,10,2-3,,,
9.96567,8,2-3,,,
9.998999999999999,6,2-3,,,
10.03233,7,2-3,,,
10.06566,9,2-3,,,
10.43229,4,sp3-4,,,
10.43229,2,sp3-4,,,
10.46562,1,sp3-4,,,
10.498949999999999,3,sp3-4,,,
10.498949999999999,5,sp3-4,,,
10.53228,7,sp3-4,,,
10.53228,9,sp3-4,,,
10.56561,6,sp3-4,,,
10.598939999999999,8,sp3-4,,,
10.598939999999999,10,sp3-4,,,
11.69883,MOT_mc_stage_color_00,y-flash,,
11.69883,1,4-1,,,
11.79882,2,4-1,,,
11.79882,3,4-1,,,
11.89881,4,4-1,,,
11.89881,5,4-1,,,
11.9988,6,4-1,,,
12.26544,7,4-1,,,
12.632069999999999,1,w1,,,
12.6654,MOT_mc_stage_color_00,r-flash,,
12.6654,8,4-1,,,
12.69873,9,4-1,,,
12.732059999999999,3,w1,,,
12.732059999999999,2,w1,,,
12.732059999999999,10,4-1,,,
12.832049999999999,5,w1,,,
12.832049999999999,4,w1,,,
12.932039999999999,6,w1,,,
13.032029999999999,1,1-2,,,
13.032029999999999,2,1-2,,,
13.032029999999999,3,1-2,,,
13.032029999999999,4,1-2,,,
13.032029999999999,5,1-2,,,
13.032029999999999,6,1-2,,,
13.032029999999999,7,1-2,,,
13.032029999999999,8,1-2,,,
13.032029999999999,9,1-2,,,
13.032029999999999,10,1-2,,,
13.331999999999999,MOT_mc_stage_color_00,b-flash,,
13.36533,2,sp2-3,,,
13.36533,4,sp2-3,,,
13.39866,1,sp2-3,,,
13.431989999999999,3,sp2-3,,,
13.431989999999999,5,sp2-3,,,
13.46532,7,sp2-3,,,
13.46532,9,sp2-3,,,
13.49865,6,sp2-3,,,
13.531979999999999,8,sp2-3,,,
13.531979999999999,10,sp2-3,,,
15.03183,4,3-4,,,
15.065159999999999,2,3-4,,,
15.09849,1,3-4,,,
15.13182,3,3-4,,,
15.165149999999999,5,3-4,,,
15.19848,9,3-4,,,
15.23181,7,3-4,,,
15.265139999999999,6,3-4,,,
15.29847,8,3-4,,,
15.3318,10,3-4,,,
15.69843,1,lp4,,,Dyw
15.69843,2,lp4,,,
15.69843,3,lp4,,,Dyw
15.69843,4,lp4,,,
15.69843,5,lp4,,,Dyw
15.69843,6,lp4,,,
15.69843,7,lp4,,,
15.69843,8,lp4,,,Dyw
15.69843,9,lp4,,,
15.69843,10,lp4,,,Dyw
16.16505,MOT_mc_stage_color_00,r-flash,,
16.16505,2,4-1,,,
16.331699999999998,4,4-1,,,
16.49835,6,4-1,,,
16.665,MOT_mc_stage_color_00,y-flash,,
16.665,7,4-1,,,
16.83165,9,4-1,,,
17.09829,2,w1,,,
17.26494,4,w1,,,
17.364929999999998,2,1-2,,,
17.364929999999998,4,1-2,,,
17.364929999999998,6,j1-2,,,
17.364929999999998,7,j1-2,,,
17.364929999999998,9,j1-2,,,
18.09819,MOT_mc_stage_color_00,y-flash,,
18.09819,2,2-3,l1,,
18.09819,4,2-3,l1,,
18.29817,6,2-3,r1,,
18.29817,7,2-3,r1,,
18.29817,9,2-3,r1,,
18.53148,2,3-4,lb0,,
