0.03333,MOT_mc_bg_black_00,seat100-0,,
2.03313,MOT_all,cut1,,
2.46642,MOT_control_all,1a_01,,
2.46642,1,1-2,,,
2.46642,2,1-2,,,
2.46642,3,1-2,,,
2.46642,4,1-2,,,
2.46642,5,1-2,,,
2.76639,1,j2-3,,,
2.76639,2,j2-3,,,
2.76639,3,j2-3,,,
2.76639,4,j2-3,,,
2.76639,5,j2-3,,,
3.16635,1,3-4,,,
3.16635,2,3-4,l1,,
3.16635,3,3-4,r1,,
3.16635,4,3-4,l1,,
3.16635,5,3-4,r1,,
3.5663099999999996,1,lp4,,,
3.5663099999999996,2,lp4,,,
3.5663099999999996,3,lp4,,,
3.5663099999999996,4,lp4,,,
3.5663099999999996,5,lp4,,,
4.63287,1,j4-1,,,
4.63287,2,j4-1,,,
4.63287,3,j4-1,,,
4.63287,4,j4-1,,,
4.63287,5,j4-1,,,
5.03283,1,lp1,,,
5.03283,2,lp1,,,
5.03283,3,lp1,,,
5.03283,4,lp1,,,
5.03283,5,lp1,,,
6.29937,1,1-2,,,
6.29937,2,1-2,lb0,,
6.29937,3,1-2,rb0,,
6.29937,4,1-2,lb0,,
6.29937,5,1-2,rb0,,
6.69933,1,lp2,,,
6.69933,2,lp2,,,
6.69933,3,lp2,,,
6.69933,4,lp2,,,
6.69933,5,lp2,,,
7.732559999999999,1,j2-3,,,
7.732559999999999,2,j2-3,,,
7.732559999999999,3,j2-3,,,
7.732559999999999,4,j2-3,,,
7.732559999999999,5,j2-3,,,
8.13252,1,lp3,,,
8.13252,2,lp3,,,
8.13252,3,lp3,,,
8.13252,4,lp3,,,
8.13252,5,lp3,,,
9.43239,1,3-4,r1,,
9.43239,2,3-4,r1,,
9.43239,3,3-4,r1,,
9.43239,4,3-4,r1,,
9.43239,5,3-4,r1,,
9.83235,1,lp4,,,
9.83235,2,lp4,,,
9.83235,3,lp4,,,
9.83235,4,lp4,,,
9.83235,5,lp4,,,
10.898909999999999,1,4-1,rb0,,
10.898909999999999,2,4-1,rb0,,
10.898909999999999,3,4-1,rb0,,
10.898909999999999,4,4-1,rb0,,
10.898909999999999,5,4-1,rb0,,
11.298869999999999,1,lp1,,,
11.298869999999999,2,lp1,,,
11.298869999999999,3,lp1,,,
11.298869999999999,4,lp1,,,
11.298869999999999,5,lp1,,,
12.56541,1,1-2,l1,,
12.56541,2,1-2,l1,,
12.56541,3,1-2,l1,,
12.56541,4,1-2,l1,,
12.56541,5,1-2,l1,,
12.96537,1,lp2,,,
12.96537,2,lp2,,,
12.96537,3,lp2,,,
12.96537,4,lp2,,,
12.96537,5,lp2,,,
14.065259999999999,MOT_all,cut2,,
14.09859,1,2-3,lb0,,
14.09859,2,2-3,lb0,,
14.09859,3,2-3,lb0,,
14.09859,4,2-3,lb0,,
14.09859,5,2-3,lb0,,
14.49855,1,lp3,,,
14.49855,2,lp3,,,
14.49855,3,lp3,,,
14.49855,4,lp3,,,
14.49855,5,lp3,,,
14.965169999999999,1,j3-4,,,
15.13182,2,j3-4,,,
15.13182,3,j3-4,,,
15.29847,4,j3-4,,,
15.29847,5,j3-4,,,
15.53178,MOT_control_all,1a_02,,
15.59844,1,4-1,,,
16.16505,1,lp1,,,
16.19838,3,w4,,,
16.19838,2,w4,,,
16.36503,5,w4,,,
16.36503,4,w4,,,
16.665,1,1-2,,,
17.19828,1,j2-3,,,
17.79822,1,lp3,,,
18.49815,1,sj3,,,
18.86478,1,sp3-4,,,
19.764689999999998,1,j4-1,,,
20.49795,1,1-2,,,
20.93124,1,sj2,,,
21.29787,1,2-3,,,
21.76449,1,j3-4,,,
22.16445,2,4-1,,,
22.6644,2,lp1,,,
22.831049999999998,1,w4,,,
23.06436,2,1-2,,,
23.53098,2,2-3,,,
23.93094,4,4-1,,,
24.464219999999997,2,w3,,,
24.464219999999997,4,1-2,,,
24.9975,4,2-3,,,
25.43079,4,3-4,,,
25.43079,2,3-4,,,
25.897409999999997,4,4-1,,,
25.897409999999997,2,4-1,,,
26.663999999999998,4,1-2,l1,,
26.663999999999998,2,1-2,r1,,
27.23061,4,,l2,,
27.23061,2,,r2,,
27.59724,4,w2,,,
27.59724,2,w2,,,
27.697229999999998,4,,l3,,
27.697229999999998,2,,r3,,
28.130519999999997,4,sp2-3,,,
28.130519999999997,2,sp2-3,,,
28.530479999999997,4,hj3,,,
28.530479999999997,2,hj3,,,
29.26374,4,lp3,,,
29.26374,2,lp3,,,
30.06366,2,3-4,rb2,,
30.06366,4,3-4,lb2,,
30.59694,2,lp4,,,
30.59694,4,lp4,,,
31.19688,2,w4,rb1,,
31.19688,4,w4,lb1,,
31.6635,2,,rb0,,
31.6635,4,,lb0,,
32.13012,2,lp4,,,
32.13012,4,lp4,,,
33.096689999999995,2,4-1,,b-1,
33.096689999999995,4,4-1,,b-1,
33.62997,2,lp1,,,
33.62997,4,lp1,,,
34.663199999999996,2,1-2,,f0,
34.663199999999996,4,1-2,,f0,
34.663199999999996,1,4-1,,,
35.02983,1,lp1,,,
35.26314,1,1-2,,,
35.59644,4,w2,,,
35.59644,2,w2,,,
35.6631,1,lp2,,,
35.929739999999995,1,j2-3,,,
36.329699999999995,1,lp3,,,
36.56301,1,3-4,l1,,
37.096289999999996,1,lp4,,,
37.6629,1,sp4-1,,,
38.52948,1,hj1,,,
39.22941,1,1-2,lb0,,
39.962669999999996,1,j2-3,,,
40.46262,1,sp3-4,,,
40.92924,1,j4-1,,,
41.29587,3,sp4-1,,,
41.995799999999996,1,w1,,,
41.995799999999996,3,1-2,,,
42.59574,3,j2-3,,,
43.02903,5,j4-1,,,
43.56231,5,1-2,,,
43.662299999999995,3,w3,,,
44.16225,5,j2-3,,,
44.62887,3,j3-4,,,
44.62887,5,j3-4,,,
45.228809999999996,3,4-1,r1,,
45.228809999999996,5,4-1,l1,,
45.82875,3,,r2,,
45.82875,5,,l2,,
46.16205,5,w1,,,
46.16205,3,lp1,,,
46.16205,5,lp1,,,
46.428689999999996,3,j1-2,,,
46.428689999999996,5,j1-2,,,
46.861979999999996,5,2-3,lb1,,
46.861979999999996,3,2-3,rb1,,
47.19528,5,,lb0,,
47.19528,3,,rb0,,
47.661899999999996,MOT_control_all,1B_01,,
47.661899999999996,1,1-2,,f1,
47.661899999999996,3,3-4,,f1,
47.661899999999996,2,2-3,,f1,
47.79522,5,w3,,,
48.095189999999995,1,lp2,,,
48.095189999999995,3,lp4,,,
48.095189999999995,2,lp3,,,
49.02843,1,2-3,,,
49.02843,3,4-1,,,
49.02843,2,3-4,,,
49.42839,1,lp3,,,
49.42839,3,lp1,,,
49.42839,2,lp4,,,
50.69493,1,3-4,,,
50.69493,3,1-2,,,
50.69493,2,4-1,,,
51.09489,1,lp4,,,
51.09489,3,lp2,,,
51.09489,2,lp1,,,
51.62817,1,j4-1,,,
51.694829999999996,MOT_control_all,1B_02,,
51.86148,3,j2-3,,,
51.86148,2,j1-2,,,
51.92814,MOT_all,cut4,,
52.194779999999994,5,3-4,,f1,
52.194779999999994,1,,,b0,
52.194779999999994,3,,,b0,
52.194779999999994,2,,,b0,
52.528079999999996,5,lp4,,,
52.69473,1,w1,,,
52.928039999999996,3,w3,,,
52.928039999999996,2,w2,,,
53.06136,5,j4-1,,,
53.427989999999994,5,lp1,,,
53.6613,5,1-2,,,
53.9946,1,1-2,,f1,
53.9946,3,3-4,,f1,
53.9946,2,2-3,,f1,
53.9946,5,hj2,,,
54.3279,MOT_control_all,1B_03,,
54.3279,1,lp2,,,
54.3279,3,lp4,,,
54.3279,2,lp3,,,
54.627869999999994,1,2-3,,,
54.627869999999994,3,4-1,,,
54.627869999999994,2,3-4,,,
54.627869999999994,5,,,b0,
55.22781,5,w2,,,
55.327799999999996,1,3-4,,,
55.427789999999995,3,1-2,,,
55.427789999999995,2,4-1,,,
56.12772,1,j4-1,,,
56.36103,3,w2,,,
56.36103,2,w1,,,
56.42769,3,j2-3,,,
56.42769,2,j1-2,,,
56.69433,1,j1-2,,,
56.72766,MOT_control_all,1B_04,,
56.72766,MOT_all,cut5,,
56.86098,3,j3-4,,,
56.86098,2,j2-3,,,
57.22761,4,2-3,,f1,
57.22761,1,,,b0,
57.22761,3,,,b0,
57.22761,2,,,b0,
57.760889999999996,1,w2,,,
57.760889999999996,4,3-4,,,
57.92754,3,w4,,,
57.92754,2,w3,,,
58.294169999999994,4,4-1,r1,,
58.79412,4,j1-2,,,
