0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,MOT_mc_light_under_00,l1,,
0.03333,MOT_mc_light_up_00,l1,,
0.03333,MOT_mc_special_01,lp1,,
2.7997199999999998,1,1-2,,,
2.7997199999999998,2,1-2,,,
2.7997199999999998,3,1-2,,,
2.7997199999999998,4,1-2,,,
2.7997199999999998,5,1-2,,,
3.29967,1,lp2,,,
3.29967,2,lp2,,,
3.29967,3,lp2,,,
3.29967,4,lp2,,,
3.29967,5,lp2,,,
5.099489999999999,1,2-3,,,
5.199479999999999,2,2-3,,,
5.199479999999999,3,2-3,,,
5.2994699999999995,4,2-3,,,
5.2994699999999995,5,2-3,,,
5.53278,MOT_control_all,zoom00,,
6.03273,1,w3,,,
6.13272,3,w3,,,
6.13272,2,w3,,,
6.23271,5,w3,,,
6.23271,4,w3,,,
6.29937,MOT_all,cut01,,
6.49935,MOT_mc_stage_color_00,b-flash,,
6.49935,MOT_mc_bg_black_00,b80-45,,
6.49935,1,3-4,,,
6.8659799999999995,1,j4-1,,,
7.332599999999999,1,j1-2,,,
8.03253,1,2-3,,,
8.43249,1,sj3,,,
8.865779999999999,1,j3-4,,,
9.43239,1,hj4,,,
10.23231,1,lp4,,,
10.698929999999999,1,4-1,,,
10.698929999999999,2,3-4,,,
10.698929999999999,3,3-4,,,
10.698929999999999,4,3-4,,,
10.698929999999999,5,3-4,,,
11.36553,1,1-2,,,
11.63217,5,w4,,,
11.63217,4,w4,,,
11.63217,3,w4,,,
11.63217,2,w4,,,
11.832149999999999,1,2-3,,,
12.36543,1,j3-4,,,
12.932039999999999,1,lp4,,,
13.49865,1,4-1,,f1,
13.49865,4,4-1,,f1,
13.49865,5,4-1,,f1,
13.69863,2,4-1,,f1,
13.69863,3,4-1,,f1,
14.265239999999999,1,1-2,,,
14.43189,5,w1,,,
14.43189,4,w1,,,
14.63187,3,w1,,,
14.63187,2,w1,,,
14.73186,1,2-3,,,
15.29847,1,lp3,,,
16.331699999999998,1,j3-4,,,
16.531679999999998,2,j1-2,,,
16.531679999999998,3,j1-2,,,
16.531679999999998,4,j1-2,,,
16.531679999999998,5,j1-2,,,
17.06496,1,lp4,,,
17.06496,2,lp2,,,
17.06496,3,lp2,,,
17.06496,4,lp2,,,
17.06496,5,lp2,,,
17.29827,1,sp4-1,,,
17.964869999999998,1,hj1,,,
18.09819,2,j2-3,,,
18.09819,3,j2-3,,,
18.09819,4,j2-3,,,
18.09819,5,j2-3,,,
19.03143,1,1-2,,,
19.03143,3,3-4,l1,,
19.03143,2,3-4,r1,,
19.03143,4,3-4,r1,,
19.03143,5,3-4,l1,,
19.63137,1,2-3,,,
19.63137,3,,l2,,
19.63137,2,,r2,,
19.63137,4,,r2,,
19.63137,5,,l2,,
19.964669999999998,5,w4,,,
19.964669999999998,4,w4,,,
19.964669999999998,3,w4,,,
19.964669999999998,2,w4,,,
20.164649999999998,4,4-1,,b0,
20.26464,2,4-1,,b0,
20.36463,1,3-4,,b0,
20.46462,3,4-1,,b0,
20.56461,5,4-1,,b0,
