0.03333,MOT_mc_bg_black_00,seat100-0,,
2.7997199999999998,MOT_all,cut01,,
2.89971,MOT_control_all,zoom01,,
2.93304,1,1-2,r1,,
2.93304,2,1-2,l1,,
3.5663099999999996,1,2-3,r2,,
3.5663099999999996,2,2-3,l2,,
3.9996,1,3-4,,,
3.9996,2,3-4,,,
4.46622,1,4-1,r3,,
4.69953,2,4-1,l3,,
5.06616,2,1-2,l4,,
5.2994699999999995,1,1-2,r4,,
5.89941,2,2-3,,b-1,
6.23271,1,w2,,,
6.3327,1,2-3,,b-1,
6.83265,2,w3,,,
6.89931,1,sp3-4,,,
6.89931,2,sp3-4,,,
8.19918,1,j4-1,,,
8.59914,2,j4-1,,,
9.19908,1,lp1,,,
9.19908,2,lp1,,,
11.49885,1,1-2,rb3,,
11.49885,2,1-2,lb3,,
12.26544,1,2-3,rb2,,
12.26544,2,2-3,lb2,,
13.132019999999999,1,3-4,,f0,
13.132019999999999,2,3-4,,f0,
13.6653,1,4-1,rb1,,
13.931939999999999,2,4-1,lb1,,
14.49855,1,1-2,rb0,,
14.865179999999999,2,w1,,,
15.03183,2,1-2,lb0,,
15.43179,1,w2,,,
15.63177,1,2-3,,,
15.965069999999999,2,w2,,,
16.16505,1,lp3,,,
16.69833,1,3-4,,,
17.26494,1,lp4,,,
19.564709999999998,MOT_mc_special_03,cut01,,
19.598039999999997,1,j4-1,,,
19.598039999999997,2,j2-3,,,
19.598039999999997,MOT_all,cut02,,
20.197979999999998,1,lp1,,,
20.197979999999998,2,lp3,,,
21.76449,1,1-2,l1,,
22.397759999999998,2,3-4,r1,,
22.69773,1,w2,,,
22.831049999999998,MOT_all,cut03,,
23.29767,1,2-3,l2,,
23.331,2,w4,,,
23.93094,2,4-1,r2,,
24.16425,MOT_control_all,zoom02,,
24.230909999999998,1,w3,,,
24.830849999999998,2,1-2,,f1,
25.264139999999998,2,j2-3,,,
25.79742,2,3-4,rb1,,
26.16405,2,,rb0,,
26.663999999999998,2,sp4-1,,,
27.56391,2,sj1,,,
28.06386,2,w1,,,
28.097189999999998,2,1-2,r1,,
28.59714,2,lp2,,,
29.097089999999998,2,2-3,r2,,
29.59704,2,lp3,,,
30.163649999999997,2,j3-4,,,
30.79692,2,lp4,,,
31.59684,2,4-1,rb1,,
32.13012,2,lp1,,,
32.59674,2,1-2,rb0,,
33.13002,2,lp2,,,
33.52998,2,2-3,l1,,
34.19658,2,,l2,,
34.46322,2,w3,,,
34.59654,2,3-4,l3,,
35.19648,2,4-1,l4,,
35.79642,2,j1-2,,,
36.22971,2,sp2-3,,,
37.62957,2,sj3,,,
37.896209999999996,2,j3-4,,,
38.29617,MOT_control_all,zoom03,,
38.89611,1,3-4,,f1,
38.89611,2,,,b0,
38.96277,2,w4,,,
39.562709999999996,1,4-1,lb1,,
40.16265,1,j1-2,,,
40.92924,1,2-3,lb0,,
41.42919,1,,r1,,
41.82915,1,lp3,,,
42.46242,1,sp3-4,,,
43.36233,1,sj4,,,
43.86228,1,w4,,,
43.92894,1,4-1,rb0,,
44.36223,1,,l1,,
44.62887,1,lp1,,,
45.595439999999996,1,1-2,,,
45.9954,1,lp2,,,
46.69533,1,j2-3,,,
47.12862,1,3-4,,,
47.59524,1,j4-1,,,
48.29517,1,1-2,lb0,,
48.928439999999995,1,,r1,,
49.22841,1,w2,,,
49.361729999999994,MOT_control_all,zoom04,,
49.42839,1,hj2,,,
49.89501,2,4-1,,f1,
50.561609999999995,2,1-2,,,
50.6616,1,w2,,,
51.19488,2,j2-3,,,
51.86148,2,3-4,lb3,,
52.36143,2,4-1,lb2,,
52.72806,MOT_control_all,zoom05,,
52.928039999999996,1,2-3,r2,,
53.294669999999996,2,w1,,,
53.427989999999994,2,1-2,l3,,
53.86128,1,w3,,,
53.92794,1,3-4,r3,,
54.36123,2,2-3,l4,,
54.79452,MOT_mc_special_01,watage,,
54.86118,1,w4,,,
54.961169999999996,1,4-1,r4,,
55.29447,2,w3,,,
55.62777,2,3-4,l5,,
55.89441,1,w1,,,
56.12772,1,lp1,,,
56.12772,2,lp4,,,
56.3277,MOT_mc_special_01,watage02,,
56.594339999999995,1,1-2,rb3,,
57.26094,2,4-1,lb4,,
57.52758,1,w2,,,
57.69423,1,2-3,rb2,,
58.06086,2,1-2,lb3,,
58.39416,1,3-4,rb1,,
58.76079,2,2-3,lb2,,
59.3274,1,4-1,,,
59.3274,2,3-4,,,
59.827349999999996,1,1-2,,,
59.827349999999996,2,4-1,,,
60.293969999999995,1,hj2,,,
60.293969999999995,2,hj1,,,
61.19388,1,lp2,,,
61.19388,2,lp1,,,
61.860479999999995,1,2-3,r2,,
61.860479999999995,2,1-2,l3,,
61.960469999999994,MOT_control_all,zoom06,,
62.09379,1,,r3,,
62.09379,2,,l4,,
62.360429999999994,1,j3-4,,,
62.360429999999994,2,j2-3,,,
63.060359999999996,MOT_control_all,zoom07,,
63.160349999999994,1,4-1,,f2,
63.160349999999994,2,3-4,,f2,
63.69363,1,1-2,,,
63.69363,2,4-1,,,
64.3269,1,,r4,,
64.3269,2,,l5,,
64.62687,2,w1,,,
64.62687,1,w2,,,
64.62687,1,,r5,,
65.16015,1,2-3,,,
65.16015,2,1-2,,,
65.59344,1,j3-4,,,
65.59344,2,j2-3,,,
66.19337999999999,1,4-1,,,
66.19337999999999,2,3-4,,,
66.62666999999999,1,,rb4,,
66.62666999999999,2,,lb4,,
67.12662,2,w4,,,
67.12662,1,lp1,,,
67.12662,2,lp4,,,
67.95987,1,1-2,rb3,,
67.95987,2,4-1,lb3,,
68.52647999999999,1,,rb2,,
68.52647999999999,2,,lb2,,
68.89311,2,w1,,,
68.89311,1,w2,,,
68.95976999999999,1,2-3,rb1,,
68.95976999999999,2,1-2,lb1,,
69.49305,1,lp3,,,
69.49305,2,lp2,,,
70.25963999999999,1,3-4,,,
70.25963999999999,2,2-3,,,
70.6596,1,j4-1,,,
70.6596,2,j3-4,,,
71.12622,1,lp1,,,
71.12622,2,lp4,,,
71.42618999999999,1,1-2,,,
71.42618999999999,2,4-1,,,
71.9928,1,,r2,,
71.9928,2,,l2,,
72.35943,2,w1,,,
72.35943,1,w2,,,
72.42609,1,2-3,r3,,
72.42609,2,1-2,l3,,
72.95936999999999,1,lp3,,,
72.95936999999999,2,lp2,,,
73.326,1,j3-4,,,
73.326,2,j2-3,,,
73.62597,MOT_control_all,zoom08,,
73.79262,1,4-1,rb2,,
74.25923999999999,1,,r3,,
74.39256,2,w3,,,
74.72586,1,j1-2,,,
74.75918999999999,MOT_control_all,zoom09,,
75.12581999999999,2,3-4,l4,,
75.62577,2,,lb3,,
75.79241999999999,1,w2,,,
75.82575,MOT_control_all,zoom10,,
76.05906,2,w4,,,
76.09239,1,2-3,,,
76.59234,1,3-4,,,
77.09228999999999,1,4-1,,,
77.42559,1,j1-2,,,
77.55891,MOT_control_all,zoom11,,
77.95886999999999,1,hj2,,,
77.95886999999999,2,4-1,,,
78.42549,2,j1-2,,,
79.12541999999999,2,2-3,l4,,
79.19207999999999,1,w2,,,
79.79202,2,,l5,,
80.05866,2,w3,,,
80.09199,2,lp3,,,
80.85858,2,3-4,,,
81.29187,2,lp4,,,
81.65849999999999,2,j4-1,,,
82.25844,2,1-2,,,
82.69172999999999,2,lp2,,,
83.09169,2,2-3,,,
83.55830999999999,2,lp3,,,
84.22491,MOT_control_all,zoom12,,
84.62487,1,2-3,,,
84.62487,2,w3,,,
84.9915,1,lp3,,,
85.29146999999999,1,3-4,r4,,
85.69143,1,4-1,,,
86.09138999999999,1,j1-2,,,
86.55801,1,2-3,r5,,
87.02463,1,3-4,,,
87.39126,MOT_control_all,zoom13,,
87.39126,1,hj4,,,
88.12451999999999,2,3-4,,,
88.29117,1,4-1,,,
88.6578,1,lp1,,,
88.6578,2,lp4,,,
89.09109,2,4-1,,,
89.25774,1,1-2,rb4,,
89.69103,1,lp2,,,
89.69103,2,lp1,,,
90.39095999999999,2,1-2,lb4,,
90.79092,1,2-3,rb3,,
91.19087999999999,2,2-3,lb3,,
91.72416,1,w3,,,
91.92414,1,hj3,,,
91.92414,2,hj3,,,
92.79072,1,,,b1,
92.79072,2,3-4,,b1,
93.15735,1,w3,,,
93.22400999999999,1,,,b0,
93.22400999999999,2,,,b0,
93.324,MOT_mc_special_01,cloud,,
93.69063,2,,l4,,
93.72395999999999,2,w4,,,
94.12392,2,4-1,l5,,
94.72386,2,sp1-2,,,
95.29047,2,sj2,,,
95.62377,2,j2-3,,,
96.12371999999999,2,3-4,lb4,,
96.52368,2,,lb3,,
97.05695999999999,2,w4,,,
97.05695999999999,2,,lb2,,
97.89021,2,4-1,,,
98.49015,2,hj1,,,
