0.03333,MOT_mc_bg_black_00,seat100-0,,
2.43309,MOT_control_all,zoom01,,
2.6664,1,1-2,r1,,
3.0330299999999997,1,,r2,,
3.4663199999999996,1,2-3,,,
3.83295,1,j3-4,,,
4.4328899999999996,1,4-1,,,
4.799519999999999,1,j1-2,,,
5.199479999999999,1,hj2,,,
5.5994399999999995,MOT_control_all,zoom02,,
5.6661,2,1-2,l1,,
6.03273,2,,l2,,
6.366029999999999,2,2-3,,,
6.43269,1,w2,,,
6.73266,2,j3-4,,,
7.19928,2,4-1,,,
7.56591,2,j1-2,,,
7.96587,2,hj2,,,
8.23251,MOT_control_all,zoom02_2,,
8.43249,1,2-3,r3,,
8.79912,1,,rb2,,
9.19908,2,w2,,,
9.23241,1,3-4,,,
9.599039999999999,1,j4-1,,,
10.198979999999999,1,1-2,,,
10.56561,1,j2-3,,,
10.96557,1,hj3,,,
11.03223,MOT_control_all,zoom03,,
11.3322,2,,,f1,
11.73216,2,hj2,,,
12.132119999999999,1,,,f1,
12.19878,1,w3,,,
12.46542,1,3-4,,,
12.79872,1,4-1,r3,,
12.79872,2,2-3,l3,,
13.09869,1,,r4,,
13.09869,2,,l4,,
13.39866,1,,r5,,
13.39866,2,,l5,,
13.731959999999999,2,w3,,,
13.731959999999999,1,w1,,,
13.76529,1,hj1,,,
13.76529,2,hj3,,,
14.09859,MOT_control_all,zoom04,,
14.39856,1,,,b0,
14.39856,2,,,b0,
14.865179999999999,1,1-2,rb4,,
14.865179999999999,2,3-4,lb4,,
15.365129999999999,1,2-3,,,
15.365129999999999,2,4-1,,,
15.73176,1,,rb3,,
15.73176,2,,lb3,,
16.16505,1,,rb2,,
16.16505,2,,lb2,,
16.29837,2,w1,,,
16.29837,1,w3,,,
16.56501,1,,rb1,,
16.56501,2,,lb1,,
16.931639999999998,1,j3-4,,,
16.931639999999998,2,j1-2,,,
17.6649,1,j4-1,,,
17.764889999999998,2,j2-3,,,
18.364829999999998,1,1-2,,,
18.63147,2,3-4,,,
18.93144,1,2-3,,,
18.93144,2,4-1,,,
19.43139,1,j3-4,,,
19.43139,2,j1-2,,,
20.03133,1,4-1,r2,,
20.03133,2,2-3,l2,,
20.56461,1,1-2,r3,,
20.56461,2,3-4,l3,,
20.997899999999998,1,,r4,,
20.997899999999998,2,,l4,,
21.36453,1,2-3,,,
21.36453,2,4-1,,,
21.69783,1,,r5,,
21.69783,2,,l5,,
22.29777,2,w1,,,
22.29777,1,w3,,,
22.831049999999998,1,j3-4,,,
22.831049999999998,2,j1-2,,,
23.231009999999998,1,4-1,,,
23.231009999999998,2,2-3,,,
23.630969999999998,1,j1-2,,,
23.630969999999998,2,j3-4,,,
23.96427,1,,rb4,,
23.96427,2,,lb4,,
24.29757,1,,rb3,,
24.29757,2,,lb3,,
24.56421,1,,rb2,,
24.56421,2,,lb2,,
24.69753,2,w4,,,
24.69753,1,w2,,,
24.864179999999998,1,j2-3,,,
24.864179999999998,2,j4-1,,,
25.39746,MOT_control_all,zoom04_2,,
25.49745,1,j3-4,,,
25.49745,2,j1-2,,,
25.96407,1,4-1,,,
25.96407,2,2-3,,,
26.36403,1,j1-2,,,
26.36403,2,j3-4,,,
26.697329999999997,MOT_control_all,zoom05,,
26.897309999999997,1,2-3,,f1,
27.097289999999997,MOT_all,cut01,,
27.36393,1,sp3-4,,,
27.43059,2,w4,,,
27.96387,1,4-1,,,
28.39716,2,4-1,,,
28.897109999999998,1,w1,,,
29.130419999999997,1,j1-2,,,
29.130419999999997,2,j1-2,,,
29.497049999999998,2,2-3,,f1,
29.56371,MOT_control_all,zoom06,,
30.19698,1,w2,,,
30.43029,2,3-4,,,
30.9969,2,j4-1,,,
31.03023,MOT_control_all,zoom07,,
31.26354,1,2-3,,f2,
31.89681,2,1-2,,f2,
32.19678,1,w3,,,
32.56341,1,3-4,,,
32.83005,2,w2,,,
32.93004,1,hj4,,,
33.26334,2,2-3,,,
33.59664,MOT_control_all,zoom08,,
33.59664,2,hj3,,,
34.06326,1,4-1,,b1,
34.06326,2,3-4,,b1,
34.52988,1,j1-2,,,
34.52988,2,j4-1,,,
35.02983,1,2-3,,,
35.02983,2,1-2,,,
35.529779999999995,1,3-4,,b0,
35.529779999999995,2,2-3,,b0,
35.72976,MOT_control_all,zoom09,,
36.46302,2,w3,,,
36.46302,1,w4,,,
36.62967,1,4-1,,f1,
36.82965,MOT_all,cut02,,
37.096289999999996,1,1-2,r3,,
37.562909999999995,1,2-3,rb2,,
38.02953,1,hj3,,,
38.09619,2,3-4,,f1,
38.56281,2,4-1,lb1,,
39.02943,2,1-2,l2,,
39.26274,1,w3,,,
39.42939,2,2-3,,,
39.72936,1,3-4,rb1,,
39.72936,2,3-4,lb1,,
40.16265,1,,rb0,,
40.16265,2,,lb0,,
40.59594,1,sj4,,,
40.59594,2,sj4,,,
40.86258,1,sj4,,,
40.86258,2,hj4,,,
41.162549999999996,1,4-1,,f2,
41.595839999999995,2,4-1,,f2,
41.962469999999996,1,sp1-2,,,
41.962469999999996,2,sp1-2,,,
42.429089999999995,1,sj2,,,
42.429089999999995,2,sj2,,,
42.72906,1,2-3,,b1,
42.92904,2,w2,,,
43.162349999999996,1,j3-4,,,
43.329,2,2-3,,b1,
43.662299999999995,2,j3-4,,,
43.995599999999996,2,4-1,r1,,
44.22891,1,w4,,,
44.36223,2,,r2,,
44.795519999999996,1,4-1,l1,,
44.92884,2,w1,,,
45.16215,1,,l2,,
45.42879,MOT_all,cut03,,
45.49545,2,1-2,,f2,
45.72876,1,w1,,,
45.89541,1,1-2,,f2,
46.29537,1,j2-3,,,
46.29537,2,j2-3,,,
46.861979999999996,1,3-4,,,
46.861979999999996,2,3-4,,,
47.328599999999994,1,4-1,,b1,
47.328599999999994,2,4-1,,b1,
47.76189,1,sp1-2,,,
47.76189,2,sp1-2,,,
47.9952,MOT_control_all,zoom09_2,,
48.56181,1,hj2,,,
48.56181,2,hj2,,,
49.02843,MOT_control_all,zoom10,,
49.02843,MOT_mc_special_03,sabi,,
49.52838,1,2-3,,f2,
49.52838,2,2-3,,f2,
49.92834,1,j3-4,,,
49.92834,2,j3-4,,,
50.494949999999996,2,4-1,rb1,,
50.494949999999996,1,4-1,lb1,,
50.894909999999996,2,,rb0,,
50.894909999999996,1,,lb0,,
51.19488,1,j1-2,,,
51.42819,2,w1,,,
51.49485,2,j1-2,,,
51.89481,2,2-3,l1,,
51.89481,1,2-3,r1,,
52.26144,2,3-4,,,
52.26144,1,3-4,,,
52.76139,2,j4-1,,,
52.76139,1,j4-1,,,
53.394659999999995,2,sp1-2,,,
53.394659999999995,1,sp1-2,,,
54.36123,2,j2-3,,,
54.627869999999994,1,j2-3,,,
55.19448,2,j3-4,,,
55.19448,1,j3-4,,,
55.49445,2,4-1,l2,,
55.49445,1,4-1,r2,,
55.861079999999994,2,sj1,,,
55.861079999999994,1,sj1,,,
56.12772,2,1-2,l3,,
56.12772,1,1-2,r3,,
56.49435,2,sj2,,,
56.49435,1,sj2,,,
56.92764,2,2-3,lb2,,
56.92764,1,2-3,rb2,,
57.29427,2,sj3,,,
57.29427,1,sj3,,,
57.59424,2,3-4,lb1,,
57.59424,1,3-4,rb1,,
57.96087,2,sj4,,,
57.96087,1,sj4,,,
58.46082,2,w4,,,
58.46082,1,w4,,,
58.627469999999995,2,sp4-1,,b1,
58.627469999999995,1,sp4-1,,b1,
59.76069,1,1-2,,f2,
59.994,2,1-2,,f2,
60.39396,2,j2-3,,,
60.39396,1,j2-3,,,
60.627269999999996,MOT_all,cut04,,
60.660599999999995,MOT_control_all,zoom11,,
60.86058,1,3-4,,,
60.86058,2,3-4,,,
61.26054,1,j4-1,,,
61.26054,2,j4-1,,,
61.827149999999996,2,1-2,l2,,
61.827149999999996,1,1-2,r2,,
62.227109999999996,2,,l3,,
62.227109999999996,1,,r3,,
62.52708,1,j2-3,,,
62.760389999999994,2,w2,,,
62.82705,2,j2-3,,,
63.22701,2,3-4,l4,,
63.22701,1,3-4,r4,,
63.59364,2,4-1,,,
63.59364,1,4-1,,,
64.09358999999999,2,j1-2,,,
64.09358999999999,1,j1-2,,,
64.72686,2,sp2-3,,,
64.72686,1,sp2-3,,,
65.69342999999999,2,j3-4,,,
65.96007,1,j3-4,,,
66.52668,2,j4-1,,,
66.52668,1,j4-1,,,
66.82665,2,1-2,lb3,,
66.82665,1,1-2,rb3,,
67.19328,2,sj2,,,
67.19328,1,sj2,,,
67.45992,2,2-3,lb2,,
67.45992,1,2-3,rb2,,
67.82655,2,sj3,,,
67.82655,1,sj3,,,
68.25984,2,3-4,lb1,,
68.25984,1,3-4,rb1,,
68.62647,2,sj4,,,
68.62647,1,sj4,,,
68.92644,2,4-1,lb0,,
68.92644,1,4-1,rb0,,
69.29307,2,sj1,,,
69.29307,1,sj1,,,
69.79302,2,w1,,,
69.79302,1,w1,,,
69.95967,2,sp1-2,,b1,
69.95967,1,sp1-2,,b1,
70.05966,MOT_control_all,zoom12,,
71.09289,1,2-3,,f2,
71.3262,2,2-3,,f2,
71.72616,2,j3-4,,,
71.72616,1,j3-4,,,
71.72616,MOT_all,cut05,,
72.15944999999999,1,4-1,,,
72.15944999999999,2,4-1,,,
72.55941,1,j1-2,,,
72.55941,2,j1-2,,,
73.12602,2,2-3,l1,,
73.12602,1,2-3,r1,,
73.52597999999999,2,,l2,,
73.52597999999999,1,,r2,,
73.82594999999999,1,j3-4,,,
74.05926,2,w3,,,
74.12592,2,j3-4,,,
74.52588,2,4-1,l3,,
74.52588,1,4-1,r3,,
74.89251,2,1-2,,,
74.89251,1,1-2,,,
75.39246,2,j2-3,,,
75.39246,1,j2-3,,,
76.02573,2,sp3-4,,,
76.02573,1,sp3-4,,,
76.9923,2,j4-1,,,
77.25894,1,j4-1,,,
77.82554999999999,2,j1-2,,,
77.82554999999999,1,j1-2,,,
78.12552,2,2-3,l4,,
78.12552,1,2-3,r4,,
78.49215,2,sj3,,,
78.49215,1,sj3,,,
78.75878999999999,2,3-4,l5,,
78.75878999999999,1,3-4,r5,,
79.12541999999999,2,sj4,,,
79.12541999999999,1,sj4,,,
79.55870999999999,2,4-1,lb4,,
79.55870999999999,1,4-1,rb4,,
79.92533999999999,2,sj1,,,
79.92533999999999,1,sj1,,,
80.22531,2,1-2,lb3,,
80.22531,1,1-2,rb3,,
80.59194,2,sj2,,,
80.59194,1,sj2,,,
81.09188999999999,2,w2,,,
81.09188999999999,1,w2,,,
81.25854,2,sp2-3,,b1,
81.25854,1,sp2-3,,b1,
82.39175999999999,1,3-4,,f2,
82.62507,2,3-4,,f2,
83.02503,2,j4-1,,,
83.02503,1,j4-1,,,
83.29167,MOT_control_all,zoom13,,
83.49164999999999,1,1-2,,,
83.49164999999999,2,1-2,,,
83.89161,1,j2-3,,,
83.89161,2,j2-3,,,
84.45822,2,3-4,l4,,
84.45822,1,3-4,r4,,
84.85817999999999,2,,l5,,
84.85817999999999,1,,r5,,
85.15814999999999,1,j4-1,,,
85.39146,2,w4,,,
85.45812,2,j4-1,,,
85.85808,2,1-2,,,
85.85808,1,1-2,,,
86.22471,2,2-3,,,
86.22471,1,2-3,,,
86.72466,2,j3-4,,,
86.72466,1,j3-4,,,
87.35793,2,sp4-1,,,
87.35793,1,sp4-1,,,
88.3245,2,j1-2,,,
88.59114,1,j1-2,,,
89.15775,2,j2-3,,,
89.15775,1,j2-3,,,
89.45772,2,3-4,lb4,,
89.45772,1,3-4,rb4,,
89.82435,2,sj4,,,
89.82435,1,sj4,,,
90.09098999999999,2,4-1,lb3,,
90.09098999999999,1,4-1,rb3,,
90.45761999999999,2,sj1,,,
90.45761999999999,1,sj1,,,
90.89090999999999,2,1-2,lb2,,
90.89090999999999,1,1-2,rb2,,
91.25753999999999,2,sj2,,,
91.25753999999999,1,sj2,,,
91.55751,2,2-3,lb1,,
91.55751,1,2-3,rb1,,
91.92414,2,sj3,,,
91.92414,1,sj3,,,
92.42408999999999,2,w3,,,
92.42408999999999,1,w3,,,
92.59074,2,sp3-4,,b1,
92.59074,1,sp3-4,,b1,
93.72395999999999,1,4-1,,f2,
93.95727,2,4-1,,f2,
94.35723,2,j1-2,,,
94.35723,1,j1-2,,,
94.55721,MOT_all,cut06,,
94.89050999999999,2,2-3,,b1,
94.89050999999999,1,2-3,,b1,
95.29047,MOT_control_all,zoom14,,
95.42379,2,3-4,lb0,,
95.79042,2,,r1,,
95.82374999999999,1,w3,,,
96.22371,2,4-1,,,
96.59034,2,j1-2,,,
97.19028,2,2-3,,,
97.55691,2,j3-4,,,
97.95687,2,hj4,,,
98.42349,1,3-4,rb0,,
98.79012,1,,l1,,
99.12342,1,4-1,,,
99.19008,2,w4,,,
99.49005,1,j1-2,,,
99.95667,1,2-3,,,
100.32329999999999,1,j3-4,,,
100.72326,1,hj4,,,
101.18988,2,4-1,r2,,
101.55650999999999,2,,rb1,,
101.95647,1,w4,,,
101.9898,2,1-2,,,
102.35642999999999,2,j2-3,,,
102.95636999999999,2,3-4,,,
103.323,2,j4-1,,,
103.72296,2,1-2,,,
104.08959,2,,,f2,
104.48955,2,hj2,,,
104.88951,1,,,f2,
105.22281,1,4-1,,,
105.55610999999999,1,1-2,lb0,,
105.55610999999999,2,2-3,rb0,,
105.85607999999999,1,,r1,,
105.85607999999999,2,,l1,,
106.15605,1,,r2,,
106.15605,2,,l2,,
106.48935,2,w3,,,
106.48935,1,w2,,,
106.52268,1,2-3,,b1,
106.52268,2,3-4,,b1,
106.72265999999999,MOT_control_all,zoom15,,
107.15594999999999,1,3-4,rb1,,
107.45591999999999,2,w4,,,
107.52257999999999,1,,rb0,,
107.95586999999999,1,4-1,,,
108.32249999999999,1,j1-2,,,
108.92244,1,2-3,,,
109.28907,1,j3-4,,,
109.68902999999999,1,hj4,,,
109.92233999999999,2,4-1,lb1,,
110.28896999999999,2,,lb0,,
110.68893,2,1-2,,,
110.92223999999999,1,w4,,,
111.05556,2,j2-3,,,
111.52217999999999,2,3-4,,,
111.88880999999999,2,j4-1,,,
112.28877,2,hj1,,,
112.75538999999999,1,4-1,l1,,
112.75538999999999,2,1-2,r1,,
113.12201999999999,1,,l2,,
113.12201999999999,2,,r2,,
113.48864999999999,1,,l3,,
113.48864999999999,2,,r3,,
113.68862999999999,2,w2,,,
113.68862999999999,1,w1,,,
113.85528,1,j1-2,,,
113.85528,2,j2-3,,,
114.3219,1,2-3,lb2,,
114.3219,2,3-4,rb2,,
114.72185999999999,1,3-4,,,
114.72185999999999,2,4-1,,,
115.05516,1,j4-1,,,
115.05516,2,sj1,,,
115.38846,2,,,f2,
115.55511,2,w1,,,
115.78841999999999,2,hj1,,,
116.12172,1,w1,,,
116.18838,1,,,f2,
116.52167999999999,1,1-2,,,
116.85498,1,2-3,lb1,,
116.85498,2,1-2,rb1,,
117.15495,1,,lb0,,
117.15495,2,,rb0,,
117.45492,1,,r1,,
117.45492,2,,l1,,
117.78822,2,w2,,,
117.78822,1,w3,,,
117.82154999999999,1,hj3,,,
117.82154999999999,2,hj2,,,
118.52148,1,sp3-4,,,
118.52148,2,sp2-3,,,
119.82135,1,4-1,,b1,
119.82135,2,3-4,,b1,
120.35463,1,lp1,,,
120.35463,2,lp4,,,
121.22121,1,1-2,rb0,b0,
121.22121,2,4-1,lb0,b0,
121.62116999999999,1,2-3,,f1,
121.62116999999999,2,1-2,,f1,
122.02113,1,3-4,l1,,
122.02113,2,2-3,r1,,
122.52108,1,4-1,,f2,
122.52108,2,3-4,,f2,
122.88771,1,1-2,l2,,
122.88771,2,4-1,r2,,
123.321,1,j2-3,,,
123.321,2,j1-2,,,
123.68763,MOT_all,cut07,,
123.75429,1,hj3,,,
123.75429,2,hj2,,,
124.9875,2,w2,,,
124.9875,1,w3,,,
