0.03333,MOT_mc_bg_black_00,seat100-0,,
2.76639,MOT_mc_stage_color_00,y-flash,,
2.76639,1,1-2,r1,,
2.76639,2,1-2,l1,,
3.06636,1,lp2,,,
3.06636,2,lp2,,,
3.49965,1,2-3,,,
3.49965,2,2-3,,,
3.69963,1,j3-4,,,
3.69963,2,j3-4,,,
4.09959,1,4-1,r2,,
4.09959,2,4-1,l2,,
4.73286,1,j1-2,,,
4.73286,2,j1-2,,,
5.23281,1,lp2,,,
5.23281,2,lp2,,,
5.4994499999999995,1,2-3,rb1,,
5.4994499999999995,2,2-3,lb1,,
5.79942,1,lp3,,,
5.79942,2,lp3,,,
6.366029999999999,1,j3-4,,,
6.366029999999999,2,j3-4,,,
6.83265,1,4-1,rb0,,
6.83265,2,4-1,lb0,,
7.332599999999999,1,,l1,,
7.332599999999999,2,,r1,,
7.6659,1,1-2,,,
7.76589,2,w1,,,
7.96587,2,1-2,,,
8.29917,1,2-3,lb0,,
8.29917,2,2-3,rb0,,
8.665799999999999,1,lp3,,,
8.665799999999999,2,lp3,,,
9.09909,1,3-4,,,
9.09909,2,3-4,,,
9.29907,1,j4-1,,,
9.29907,2,j4-1,,,
9.699029999999999,1,1-2,r1,,
9.699029999999999,2,1-2,l1,,
10.198979999999999,1,,r2,,
10.198979999999999,2,,l2,,
10.53228,1,j2-3,,,
10.53228,2,j2-3,,,
11.098889999999999,1,3-4,rb1,,
11.098889999999999,2,3-4,lb1,,
11.398859999999999,1,lp4,,,
11.398859999999999,2,lp4,,,
11.832149999999999,1,4-1,,,
11.832149999999999,2,4-1,,,
12.032129999999999,1,j1-2,,,
12.032129999999999,2,j1-2,,,
12.29877,1,lp2,,,
12.29877,2,lp2,,,
12.432089999999999,1,2-3,,,
12.432089999999999,2,2-3,,,
12.69873,1,lp3,,,
12.69873,2,lp3,,,
12.932039999999999,1,3-4,,,
12.932039999999999,2,3-4,,,
13.26534,1,j4-1,,,
13.26534,2,j4-1,,,
13.76529,1,lp1,,,
13.76529,2,lp1,,,
14.065259999999999,1,1-2,r2,,
14.065259999999999,2,1-2,lb0,,
14.73186,1,2-3,r3,,
14.73186,2,2-3,r1,,
15.19848,1,,r4,,
15.19848,2,,r2,,
15.59844,1,lp3,,,
15.59844,2,lp3,,,
15.9984,1,sj3,,,
15.9984,2,sj3,,,
16.43169,1,j3-4,,,
16.43169,2,j3-4,,,
16.89831,1,4-1,rb3,,
16.89831,2,4-1,rb1,,
17.364929999999998,1,1-2,rb2,,
17.364929999999998,2,1-2,rb0,,
17.93154,1,,rb1,,
17.93154,2,,l1,,
18.29817,2,w2,,,
18.29817,1,w2,,,
18.3315,1,lp2,,,
18.3315,2,lp2,,,
18.83145,1,sj2,,,
18.83145,2,sj2,,,
19.198079999999997,1,j2-3,,,
19.198079999999997,2,j2-3,,,
19.53138,1,3-4,rb0,,
19.53138,2,3-4,l2,,
19.798019999999998,1,lp4,,,
19.798019999999998,2,lp4,,,
20.09799,1,4-1,,,
20.09799,2,4-1,,,
20.46462,1,lp1,,,
20.46462,2,lp1,,,
20.6646,1,1-2,r1,,
20.6646,2,1-2,lb1,,
21.03123,1,lp2,,,
21.03123,2,lp2,,,
21.29787,1,2-3,,,
21.29787,2,2-3,,,
21.597839999999998,1,3-4,r2,,
21.597839999999998,2,3-4,lb0,,
21.73116,MOT_control_all,zoom01,,
22.09779,1,j4-1,,,
22.09779,2,j4-1,,,
22.431089999999998,MOT_mc_stage_color_00,r-flash,,
22.431089999999998,1,,,,D20
22.431089999999998,2,1-2,,f1,
22.86438,2,2-3,l1,,
23.09769,2,,l2,,
23.16435,1,w1,,,
23.39766,2,j3-4,,,
23.79762,2,4-1,lb1,,
24.3309,2,j1-2,,,
24.79752,2,2-3,l2,,
25.3308,2,,l3,,
25.73076,2,w3,,,
25.864079999999998,2,lp3,,,
26.663999999999998,2,3-4,l4,,
27.097289999999997,2,j4-1,,,
27.663899999999998,2,1-2,,,
28.130519999999997,2,2-3,lb3,,
28.697129999999998,2,lp3,,,
29.46372,2,3-4,lb2,,
30.096989999999998,2,lp4,,,
30.763589999999997,2,j4-1,,,
31.330199999999998,2,lp1,,,
31.63017,2,sp1-2,,,
32.36343,2,sj2,,,
32.79672,2,2-3,lb1,,
33.16335,2,,lb0,,
33.19668,MOT_control_all,zoom02,,
33.69663,MOT_mc_stage_color_00,y-flash,,
33.69663,1,,,,L0
33.69663,2,,,,D20
33.69663,1,1-2,,f1,
33.69663,2,3-4,,b0,
34.12992,1,j2-3,,,
