0.03333,MOT_mc_bg_black_00,b80-45,,
0.06666,MOT_all,cut1,,
0.06666,MOT_control_all,zoom_1,,
0.06666,1,,,,D40
0.06666,2,,,,D40
0.06666,3,,,,D40
0.06666,4,,,,D40
0.06666,5,,,,D40
0.06666,MOT_mc_back_00,lt_1,,
3.4329899999999998,1,,,,L0
3.4329899999999998,4,,,,L0
3.4329899999999998,5,,,,L0
3.4329899999999998,MOT_mc_stage_color_00,b-flash,,
3.4329899999999998,MOT_mc_bg_black_00,b65-20,,
3.4329899999999998,1,1-2,,,
3.4329899999999998,4,,r1,,
3.4329899999999998,5,,l1,,
3.7662899999999997,4,,r2,,
3.7662899999999997,5,,l2,,
4.2329099999999995,MOT_mc_stage_color_00,b-flash,,
4.2329099999999995,1,2-3,,,
4.2329099999999995,4,1-2,,,
4.2329099999999995,5,1-2,,,
4.6662,MOT_mc_stage_color_00,y-flash,,
4.6662,1,hj3,,,
4.6662,4,hj2,,,
4.6662,5,hj2,,,
5.16615,1,,,,D40
5.16615,4,,,,D40
5.16615,5,,,,D40
5.89941,5,w2,,,
5.89941,4,w2,,,
5.89941,1,w3,,,
6.69933,2,,,,L0
6.69933,3,,,,L0
6.69933,2,,r1,,
6.69933,3,,l1,,
7.032629999999999,2,,r2,,
7.032629999999999,3,,l2,,
7.49925,MOT_mc_stage_color_00,r-flash,,
7.49925,2,1-2,,,
7.49925,3,1-2,,,
7.9325399999999995,MOT_mc_stage_color_00,b-flash,,
7.9325399999999995,2,hj2,,,
7.9325399999999995,3,hj2,,,
8.43249,2,,,,D40
8.43249,3,,,,D40
9.16575,3,w2,,,
9.16575,2,w2,,,
10.26564,MOT_control_all,zoom_2,,
10.26564,4,,,,L0
10.26564,MOT_mc_stage_color_00,b-flash,,
10.26564,4,2-3,rb1,,
11.098889999999999,2,,,,L0
11.098889999999999,MOT_mc_stage_color_00,y-flash,,
11.098889999999999,2,2-3,rb1,,
11.198879999999999,4,w3,,,
11.6655,1,,,,L0
11.6655,MOT_mc_stage_color_00,r-flash,,
11.6655,1,3-4,,,
11.96547,3,,,,L0
11.96547,MOT_mc_stage_color_00,b-flash,,
11.96547,3,2-3,lb1,,
12.032129999999999,2,w3,,,
12.232109999999999,5,,,,L0
12.232109999999999,MOT_mc_stage_color_00,y-flash,,
12.232109999999999,5,2-3,lb1,,
12.59874,1,w4,,,
12.89871,3,w3,,,
13.032029999999999,1,,,,D40
13.032029999999999,2,,,,D40
13.032029999999999,3,,,,D40
13.032029999999999,4,,,,D40
13.032029999999999,5,,,,D40
13.16535,5,w3,,,
13.29867,1,,,,L0
13.29867,2,,,,L0
13.29867,3,,,,L0
13.29867,4,,,,L0
13.29867,5,,,,L0
13.29867,MOT_mc_stage_color_00,r-flash,,
13.29867,1,hj4,,,
13.29867,2,hj3,,,
13.29867,3,hj3,,,
13.29867,4,hj3,,,
13.29867,5,hj3,,,
13.831949999999999,1,,,,D40
13.831949999999999,2,,,,D40
13.831949999999999,3,,,,D40
13.831949999999999,4,,,,D40
13.831949999999999,5,,,,D40
13.9986,1,4-1,,,
13.9986,4,3-4,rb0,,
13.9986,5,3-4,lb0,,
14.365229999999999,1,1-2,,,
14.365229999999999,2,3-4,rb0,,
14.365229999999999,3,3-4,lb0,,
14.365229999999999,4,lp4,,,
14.365229999999999,5,lp4,,,
14.69853,2,lp4,,,
14.69853,3,lp4,,,
15.29847,1,w2,,,
15.665099999999999,MOT_mc_stage_color_00,b-flash,,
15.665099999999999,4,4-1,,,
15.665099999999999,5,4-1,,,
15.93174,MOT_mc_stage_color_00,y-flash,,
15.93174,2,4-1,,,
15.93174,3,4-1,,,
16.19838,MOT_mc_stage_color_00,b-flash,,
16.19838,1,2-3,,,
16.19838,2,1-2,,,
16.19838,3,1-2,,,
16.19838,4,1-2,,,
16.19838,5,1-2,,,
16.531679999999998,1,,,,L0
16.531679999999998,2,,,,L0
16.531679999999998,3,,,,L0
16.531679999999998,4,,,,L0
16.531679999999998,5,,,,L0
16.531679999999998,MOT_mc_stage_color_00,y-flash,,
16.531679999999998,1,hj3,,,
16.531679999999998,2,hj2,,,
16.531679999999998,3,hj2,,,
16.531679999999998,4,hj2,,,
16.531679999999998,5,hj2,,,
17.131619999999998,1,,,,D40
17.131619999999998,2,,,,D40
17.131619999999998,3,,,,D40
17.131619999999998,4,,,,D40
17.131619999999998,5,,,,D40
17.19828,1,lp3,,,
17.19828,2,lp2,,,
17.19828,3,lp2,,,
17.19828,4,lp2,,,
17.19828,5,lp2,,,
20.164649999999998,1,hj3,,,
20.164649999999998,2,hj2,,,
20.164649999999998,3,hj2,,,
20.164649999999998,4,hj2,,,
20.164649999999998,5,hj2,,,
20.83125,1,lp3,,,
20.83125,2,lp2,,,
20.83125,3,lp2,,,
20.83125,4,lp2,,,
20.83125,5,lp2,,,
23.864279999999997,MOT_control_all,zoom_3,,
23.96427,2,,,,L0
23.96427,3,,,,L0
23.96427,MOT_mc_stage_color_00,b-flash,,
23.96427,2,2-3,,,
23.96427,3,2-3,,,
24.830849999999998,MOT_mc_stage_color_00,y-flash,,
24.830849999999998,2,3-4,l1,,
24.830849999999998,3,3-4,r1,,
25.697429999999997,2,4-1,lb0,,
25.697429999999997,3,4-1,rb0,,
26.497349999999997,2,1-2,,,
26.497349999999997,3,1-2,,,
26.93064,2,,,,D40
26.93064,3,,,,D40
26.9973,2,hj2,,,
26.9973,3,hj2,,,
26.9973,1,hj3,,,
26.9973,4,hj2,,,
26.9973,5,hj2,,,
27.19728,2,,,,L0
27.19728,3,,,,L0
27.663899999999998,2,2-3,,,
27.663899999999998,3,2-3,,,
27.663899999999998,1,lp3,,,
27.663899999999998,4,lp2,,,
27.663899999999998,5,lp2,,,
28.097189999999998,2,3-4,,,
28.097189999999998,3,3-4,,,
28.6638,2,j4-1,,,
28.6638,3,j4-1,,,
29.130419999999997,2,1-2,,,
29.130419999999997,3,1-2,,,
29.56371,2,2-3,,,
29.56371,3,2-3,,,
29.997,2,j3-4,,,
29.997,3,j3-4,,,
30.363629999999997,2,,,,D40
30.363629999999997,3,,,,D40
30.563609999999997,MOT_control_all,zoom_4,,
30.69693,1,,,,L0
30.69693,4,,,,L0
30.69693,5,,,,L0
30.69693,MOT_mc_stage_color_00,r-flash,,
30.69693,MOT_mc_back_00,lt_2,,
30.69693,1,3-4,,,
30.69693,4,2-3,,,
30.69693,5,2-3,,,
30.69693,2,4-1,,,
30.69693,3,4-1,,,
31.43019,1,j4-1,,,
31.43019,4,j3-4,,,
31.43019,5,j3-4,,,
31.530179999999998,2,lp1,,,
31.530179999999998,3,lp1,,,
32.03013,1,1-2,,,
32.03013,4,4-1,,,
32.03013,5,4-1,,,
32.53008,1,2-3,,,
32.53008,4,1-2,l1,,
32.53008,5,1-2,r1,,
33.063359999999996,1,3-4,,,
33.063359999999996,4,2-3,,,
33.063359999999996,5,2-3,,,
33.463319999999996,1,hj4,,,
33.463319999999996,4,hj3,,,
33.463319999999996,5,hj3,,,
34.12992,1,4-1,,,
34.12992,4,3-4,,,
34.12992,5,3-4,,,
34.59654,1,1-2,,,
34.59654,4,4-1,lb0,,
34.59654,5,4-1,rb0,,
34.9965,1,2-3,,,
34.9965,4,1-2,,,
34.9965,5,1-2,,,
35.42979,1,3-4,,,
35.42979,4,2-3,,,
35.42979,5,2-3,,,
35.76309,1,4-1,,,
35.76309,4,3-4,,,
35.76309,5,3-4,,,
36.296369999999996,1,1-2,,,
36.296369999999996,4,4-1,,,
36.296369999999996,5,4-1,,,
36.663,1,2-3,,,
36.663,4,1-2,,,
36.663,5,1-2,,,
37.129619999999996,MOT_mc_stage_color_00,b-flash,,
37.129619999999996,1,hj3,,,
37.129619999999996,4,hj2,,,
37.129619999999996,5,hj2,,,
37.36293,1,,,,D40
37.36293,4,,,,D40
37.36293,5,,,,D40
37.562909999999995,MOT_control_all,zoom_5,,
37.69623,1,,,,L0
37.69623,1,3-4,,,
37.69623,4,2-3,,,
37.69623,5,2-3,,,
38.02953,1,4-1,,,
38.49615,MOT_mc_stage_color_00,y-flash,,
38.49615,1,1-2,,,
38.52948,2,1-2,,,
38.52948,3,1-2,,,
38.52948,4,3-4,,,
38.52948,5,3-4,,,
38.86278,2,lp2,,,
38.86278,3,lp2,,,
38.86278,4,lp4,,,
38.86278,5,lp4,,,
38.92944,MOT_mc_stage_color_00,r-flash,,
38.92944,1,hj2,,,
39.29607,MOT_control_all,zoom_6,,
39.29607,1,,,,D40
39.36273,3,,,,L0
39.36273,3,2-3,,,
39.69603,3,sj3,,,
40.16265,1,w2,,,
40.19598,3,w3,,,
40.26264,3,hj3,,,
40.362629999999996,MOT_control_all,zoom_7,,
40.42929,3,,,,D40
40.42929,2,,,,L0
40.42929,4,,,,L0
40.42929,MOT_mc_stage_color_00,b-flash,,
40.42929,2,2-3,,,
40.42929,4,4-1,,,
40.6626,2,hj3,,,
40.6626,4,hj1,,,
40.96257,2,,,,D40
40.96257,4,,,,D40
41.09589,5,,,,L0
41.09589,5,4-1,,,
41.42919,5,1-2,,,
41.49585,3,w3,,,
41.89581,4,w1,,,
41.89581,2,w3,,,
41.89581,MOT_mc_stage_color_00,y-flash,,
41.89581,5,2-3,,,
42.3291,MOT_mc_stage_color_00,r-flash,,
42.3291,5,hj3,,,
42.52908,MOT_control_all,zoom_9,,
42.62907,2,,,,L0
42.62907,5,,,,D40
42.62907,2,3-4,,,
42.96237,2,4-1,,,
43.29567,2,hj1,,,
43.36233,3,,,,L0
43.36233,5,,,,L0
43.36233,MOT_mc_stage_color_00,b-flash,,
43.36233,3,3-4,,,
43.49565,2,,,,D40
43.56231,5,w3,,,
43.72896,5,3-4,,,
44.09559,3,hj4,,,
44.09559,5,hj4,,,
44.462219999999995,3,,,,D40
44.462219999999995,5,,,,D40
44.462219999999995,4,,,,L0
44.462219999999995,4,1-2,,,
44.52888,2,w1,,,
44.795519999999996,4,2-3,,,
45.262139999999995,MOT_mc_stage_color_00,r-flash,,
45.262139999999995,4,3-4,,,
45.3288,5,w4,,,
45.3288,3,w4,,,
45.695429999999995,MOT_mc_stage_color_00,b-flash,,
45.695429999999995,4,hj4,,,
46.062059999999995,1,,,,L0
46.062059999999995,4,,,,D40
46.062059999999995,1,2-3,,,
46.428689999999996,1,hj3,,,
46.861979999999996,2,,,,L0
46.861979999999996,3,,,,L0
46.861979999999996,4,,,,L0
46.861979999999996,5,,,,L0
46.861979999999996,1,,,,D40
46.861979999999996,MOT_mc_stage_color_00,y-flash,,
46.861979999999996,2,1-2,,,
46.861979999999996,3,4-1,,,
46.861979999999996,4,4-1,,,
46.861979999999996,5,4-1,,,
47.295269999999995,2,sj2,,,
47.295269999999995,3,sj1,,,
47.52858,4,hj1,,,
47.52858,5,hj1,,,
47.661899999999996,1,w3,,,
47.76189,MOT_control_all,zoom_10,,
47.76189,1,,,,L0
47.76189,MOT_mc_back_00,lt_1,,
47.76189,1,3-4,,,
47.79522,3,w1,,,
47.79522,2,w2,,,
48.128519999999995,2,,,,D40
48.128519999999995,3,,,,D40
48.128519999999995,4,,,,D40
48.128519999999995,5,,,,D40
48.19518,1,4-1,,,
48.19518,2,lp2,,,
48.19518,3,lp1,,,
