0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,1,,,,L0
0.03333,2,,,,L0
0.03333,3,,,,L0
0.03333,4,,,,L0
0.03333,5,,,,L0
0.06666,MOT_all,cut1,,
0.06666,MOT_control_all,zoom_1,,
0.06666,MOT_mc_back_00,lt_1,,
0.06666,1,,,,L0
0.06666,2,,,,L0
0.06666,3,,,,L0
0.06666,4,,,,L0
0.06666,5,,,,L0
3.53298,5,1-2,,,
3.83295,3,1-2,,,
4.16625,1,1-2,,,
4.46622,5,w2,,,
4.49955,2,1-2,,,
4.76619,3,w2,,,
4.799519999999999,4,1-2,,,
5.099489999999999,1,w2,,,
5.16615,1,j2-3,,,
5.16615,2,j2-3,,,
5.16615,3,j2-3,,,
5.16615,4,j2-3,,,
5.16615,5,j2-3,,,
5.2994699999999995,MOT_mc_back_00,lt_3,,
5.2994699999999995,MOT_mc_stage_color_00,b-flash,,
5.2994699999999995,MOT_mc_light_under_00,l1,,
5.83275,MOT_mc_stage_color_00,y-flash,,
5.83275,1,3-4,,,
5.83275,2,3-4,,,
5.83275,3,3-4,,,
5.83275,4,3-4,,,
5.83275,5,3-4,,,
6.7659899999999995,5,w4,,,
6.7659899999999995,4,w4,,,
6.7659899999999995,3,w4,,,
6.7659899999999995,2,w4,,,
6.7659899999999995,1,w4,,,
6.9993,MOT_mc_stage_color_00,r-flash,,
6.9993,1,4-1,,,
6.9993,4,4-1,,,
6.9993,5,4-1,,,
7.6659,MOT_mc_stage_color_00,b-flash,,
7.6659,1,1-2,,,
7.6659,2,4-1,,,
7.6659,3,4-1,,,
7.6659,4,1-2,,,
7.6659,5,1-2,,,
8.59914,5,w2,,,
8.59914,4,w2,,,
8.59914,3,w1,,,
8.59914,2,w1,,,
8.59914,1,w2,,,
8.665799999999999,MOT_mc_stage_color_00,y-flash,,
8.665799999999999,1,j2-3,,,
8.665799999999999,2,j1-2,,,
8.665799999999999,3,j1-2,,,
9.3324,MOT_mc_stage_color_00,r-flash,,
9.3324,1,j3-4,,,
9.3324,2,j2-3,,,
9.3324,3,j2-3,,,
9.3324,4,j2-3,,,
9.3324,5,j2-3,,,
10.398959999999999,5,w3,,,
10.398959999999999,4,w3,,,
10.398959999999999,3,w3,,,
10.398959999999999,2,w3,,,
10.398959999999999,1,w4,,,
10.6656,MOT_mc_stage_color_00,b-flash,,
10.6656,1,4-1,,,
10.6656,2,3-4,,,
10.6656,3,3-4,,,
10.998899999999999,MOT_mc_stage_color_00,y-flash,,
10.998899999999999,4,3-4,,,
10.998899999999999,5,3-4,,,
11.3322,MOT_mc_stage_color_00,r-flash,,
11.3322,1,j1-2,,,
11.3322,2,j4-1,,,
11.3322,3,j4-1,,,
11.3322,4,j4-1,,,
11.3322,5,j4-1,,,
11.832149999999999,1,2-3,,,
11.832149999999999,2,1-2,,,
11.832149999999999,3,1-2,,,
11.832149999999999,4,1-2,,,
11.832149999999999,5,1-2,,,
12.09879,MOT_control_all,zoom_2,,
12.26544,MOT_mc_back_00,lt_2,,
12.29877,2,2-3,,f1,
12.29877,3,2-3,,f1,
12.29877,5,2-3,,f1,
12.76539,4,w2,,,
12.76539,1,w3,,,
13.16535,2,j3-4,,,
13.16535,3,j3-4,,,
13.16535,5,j3-4,,,
13.9986,MOT_mc_stage_color_00,r-flash,,
13.9986,2,4-1,,,
13.9986,3,4-1,,,
13.9986,5,4-1,,,
14.3319,1,3-4,,,
14.3319,2,1-2,,,
14.3319,3,1-2,,,
14.3319,4,2-3,,,
14.3319,5,1-2,,,
14.83185,MOT_mc_stage_color_00,b-flash,,
14.83185,1,4-1,,,
14.83185,4,3-4,,,
14.83185,5,2-3,,,
15.165149999999999,MOT_mc_stage_color_00,y-flash,,
15.165149999999999,2,2-3,,,
15.165149999999999,3,2-3,,,
15.49845,MOT_mc_stage_color_00,r-flash,,
15.49845,1,1-2,,,
15.49845,2,3-4,,,
15.49845,3,3-4,,,
15.49845,4,4-1,,,
15.49845,5,3-4,,,
15.83175,1,2-3,,f1,
15.83175,2,,,b0,
15.83175,3,,,b0,
15.83175,4,1-2,,f1,
15.83175,5,,,b0,
16.43169,5,w4,,,
16.43169,3,w4,,,
16.43169,2,w4,,,
16.665,1,j3-4,,,
16.665,4,j2-3,,,
17.49825,MOT_mc_stage_color_00,b-flash,,
17.49825,1,4-1,,,
17.49825,4,3-4,,,
17.83155,1,1-2,,,
17.83155,2,4-1,,,
17.83155,3,4-1,,,
17.83155,4,4-1,,,
17.83155,5,4-1,,,
18.3315,1,,,b0,
18.3315,4,,,b0,
18.764789999999998,5,w1,,,
18.764789999999998,4,w1,,,
18.764789999999998,3,w1,,,
18.764789999999998,2,w1,,,
18.764789999999998,1,sp2-3,,,
18.764789999999998,2,sp1-2,,,
18.764789999999998,3,sp1-2,,,
18.764789999999998,4,sp1-2,,,
18.764789999999998,5,sp1-2,,,
19.3314,1,j3-4,,,
19.3314,2,j2-3,,,
19.3314,3,j2-3,,,
19.3314,4,j2-3,,,
19.3314,5,j2-3,,,
19.83135,MOT_mc_stage_color_00,y-flash,,
19.83135,2,3-4,,f1,
19.83135,3,3-4,,f1,
19.83135,5,3-4,,f1,
20.3313,MOT_mc_stage_color_00,r-flash,,
20.3313,2,4-1,,,
20.3313,3,4-1,,,
20.3313,5,4-1,,,
20.397959999999998,4,w3,,,
20.397959999999998,1,w4,,,
20.997899999999998,1,4-1,,,
20.997899999999998,2,j1-2,,,
20.997899999999998,3,j1-2,,,
20.997899999999998,4,3-4,,,
20.997899999999998,5,j1-2,,,
21.831149999999997,2,2-3,,,
21.831149999999997,3,2-3,,,
21.831149999999997,5,2-3,,,
21.93114,4,w4,,,
21.93114,1,w1,,,
22.29777,1,1-2,,,
22.29777,2,3-4,,,
22.29777,3,3-4,,,
22.29777,4,4-1,,,
22.29777,5,3-4,,,
22.6644,2,,,b0,
22.6644,3,,,b0,
22.6644,4,1-2,,f1,
22.6644,5,,,b0,
23.06436,1,2-3,,f1,
23.06436,4,,,b0,
23.231009999999998,5,w4,,,
23.231009999999998,3,w4,,,
23.231009999999998,2,w4,,,
23.49765,1,,,b0,
23.49765,2,4-1,,f1,
23.59764,4,w2,,,
23.9976,1,w3,,,
23.9976,2,,,b0,
23.9976,5,4-1,,f1,
24.3309,5,,,b0,
24.430889999999998,2,w1,,,
24.49755,MOT_mc_stage_color_00,r-flash,,
24.49755,1,3-4,,,
24.49755,2,1-2,,,
24.49755,3,4-1,,,
24.830849999999998,MOT_mc_stage_color_00,b-flash,,
24.830849999999998,4,2-3,,,
24.830849999999998,5,1-2,,,
25.16415,MOT_mc_stage_color_00,y-flash,,
25.16415,1,4-1,,,
25.16415,2,2-3,l1,,
25.16415,3,1-2,r1,,
25.16415,4,3-4,l1,,
25.16415,5,2-3,r1,,
25.43079,MOT_control_all,zoom_3,,
25.664099999999998,MOT_mc_stage_color_00,r-flash,,
25.664099999999998,1,hj1,,,
25.664099999999998,2,hj3,,,
25.664099999999998,3,hj2,,,
25.664099999999998,4,hj4,,,
25.664099999999998,5,hj3,,,
26.3307,1,1-2,,,
26.3307,2,3-4,,,
26.3307,3,2-3,,,
26.3307,4,4-1,,,
26.3307,5,3-4,,,
26.83065,MOT_mc_stage_color_00,y-flash,,
26.83065,2,4-1,,f1,
26.83065,3,3-4,,f1,
26.83065,5,4-1,,f1,
27.16395,MOT_mc_stage_color_00,r-flash,,
27.16395,2,1-2,,,
27.16395,3,4-1,,,
27.16395,5,1-2,,,
27.263939999999998,4,w1,,,
27.263939999999998,1,w2,,,
28.097189999999998,5,w2,,,
28.097189999999998,3,w1,,,
28.097189999999998,2,w2,,,
28.16385,2,j2-3,,,
28.16385,3,j1-2,,,
28.16385,5,j2-3,,,
28.9971,2,3-4,,,
28.9971,3,2-3,,,
28.9971,5,3-4,,,
29.497049999999998,1,2-3,,,
29.497049999999998,2,4-1,,,
29.497049999999998,3,3-4,,,
29.497049999999998,4,1-2,,,
29.497049999999998,5,4-1,,,
30.330299999999998,MOT_mc_stage_color_00,b-flash,,
30.330299999999998,1,3-4,,f1,
30.330299999999998,2,,,b0,
30.330299999999998,3,,,b0,
30.330299999999998,4,2-3,,f1,
30.330299999999998,5,,,b0,
30.43029,5,w1,,,
30.43029,3,w4,,,
30.43029,2,w1,,,
30.6636,MOT_mc_stage_color_00,y-flash,,
30.6636,1,4-1,,,
30.6636,4,3-4,,,
31.163549999999997,MOT_mc_stage_color_00,r-flash,,
31.163549999999997,1,1-2,,,
31.163549999999997,2,1-2,,,
31.163549999999997,3,4-1,,,
31.163549999999997,4,4-1,,,
31.163549999999997,5,1-2,,,
31.6635,MOT_mc_stage_color_00,b-flash,,
31.6635,1,2-3,,,
31.6635,2,2-3,,,
31.6635,3,1-2,,,
31.6635,4,1-2,,,
31.6635,5,2-3,,,
