0.03333,MOT_control_all,stay,,
0.03333,MOT_mc_special_04,cut,,
0.03333,MOT_mc_back_00,stay,,
0.03333,MOT_mc_light_up_00,stay,,
0.03333,MOT_all,start,,
0.03333,1,,,,D60
0.03333,2,,,,D60
0.03333,3,,,,D60
0.03333,4,,,,D60
0.03333,5,,,,D60
1.79982,MOT_control_all,start,,
1.79982,MOT_mc_special_04,start,,
1.9998,MOT_mc_bg_black_00,b80-45,,
3.09969,1,1-2,,,
3.2330099999999997,2,1-2,,,
3.2330099999999997,3,1-2,,,
3.2330099999999997,4,1-2,,,
3.2330099999999997,5,1-2,,,
4.0329299999999995,1,w2,,,
4.16625,5,w2,,,
4.16625,4,w2,,,
4.16625,3,w2,,,
4.16625,2,w2,,,
4.39956,4,2-3,,,
4.53288,2,2-3,,,
5.3328,4,w3,,,
5.46612,2,w3,,,
5.76609,3,2-3,,,
5.89941,5,2-3,,,
6.3327,MOT_control_all,cam01,,
6.69933,3,w3,,,
6.83265,5,w3,,,
7.232609999999999,2,j3-4,,,
7.232609999999999,3,j3-4,,,
7.232609999999999,4,j3-4,,,
7.232609999999999,5,j3-4,,,
7.96587,2,w4,,,
7.96587,3,w4,,,
7.96587,4,w4,,,
7.96587,5,w4,,,
8.59914,4,4-1,,,
8.765789999999999,2,4-1,,,
8.93244,1,2-3,,,
9.09909,3,4-1,,,
9.26574,5,4-1,,,
9.53238,4,w1,,,
9.699029999999999,2,w1,,,
9.86568,1,w3,,,
9.96567,1,3-4,,,
9.96567,2,1-2,,,
9.96567,3,1-2,,,
9.96567,4,1-2,,,
9.96567,5,1-2,,,
10.898909999999999,5,w2,,,
10.898909999999999,4,w2,,,
10.898909999999999,3,w2,,,
10.898909999999999,2,w2,,,
10.898909999999999,1,w4,,,
12.09879,4,2-3,,,
12.09879,5,2-3,,,
12.832049999999999,2,2-3,,,
12.832049999999999,3,2-3,,,
13.032029999999999,5,w3,,,
13.032029999999999,4,w3,,,
13.49865,1,4-1,,,
13.76529,3,w3,,,
13.76529,2,w3,,,
14.365229999999999,MOT_mc_back_00,s1,,
14.365229999999999,MOT_mc_light_up_00,s1,,
14.365229999999999,MOT_mc_special_02,hokori,,
14.365229999999999,1,,,f1,L40
14.43189,1,w1,,,
15.465119999999999,4,3-4,,,
15.465119999999999,1,1-2,,,
15.63177,2,3-4,,,
15.79842,3,3-4,,,
15.965069999999999,5,3-4,,,
16.39836,4,w4,,,
16.39836,1,w2,,,
16.56501,2,w4,,,
16.731659999999998,3,w4,,,
16.83165,4,4-1,,,
16.83165,1,2-3,,,
16.89831,5,w4,,,
16.9983,2,4-1,,,
17.164949999999997,3,4-1,,,
17.19828,MOT_mc_special_04,cam01,,
17.331599999999998,5,4-1,,,
17.63157,1,3-4,,,
17.764889999999998,4,w1,,,
17.93154,2,w1,,,
18.09819,3,w1,,,
18.19818,1,4-1,,,
18.26484,5,w1,,,
18.3315,MOT_mc_special_04,end,,
18.964769999999998,1,1-2,,,
19.564709999999998,4,1-2,,,
19.564709999999998,5,1-2,,,
19.564709999999998,1,lp2,,,
20.29797,2,1-2,,,
20.29797,3,1-2,,,
20.49795,5,w2,,,
20.49795,4,w2,,,
21.06456,MOT_control_all,cam02,,
21.13122,1,w2,,b0,D60
21.13122,4,lp2,,f1,L40
21.13122,5,lp2,,f1,L40
21.13122,2,2-3,,,
21.13122,3,2-3,,,
22.06446,3,w3,,,
22.06446,2,w3,,,
