0.03333,MOT_mc_stage_color_00,b,,
0.03333,MOT_mc_bg_black_00,b80-45,,
0.03333,1,,,,D20
0.03333,2,,,,D20
0.03333,3,,,,D20
0.03333,4,,,,D20
0.03333,5,,,,D20
0.29996999999999996,MOT_all,cut1,,
3.4329899999999998,MOT_mc_stage_color_00,y-flash,,
3.4329899999999998,MOT_control_all,zoom01,,
3.4329899999999998,2,1-2,,f1,L0
3.73296,2,lp2,,,
5.23281,2,j2-3,,,
5.56611,2,lp3,,,
7.16595,2,3-4,,,
7.432589999999999,2,lp4,,,
9.03243,2,4-1,,,
9.03243,1,1-2,,,
9.03243,3,1-2,,,
9.03243,4,1-2,,,
9.03243,5,1-2,,,
9.26574,2,lp1,,,
9.96567,5,w2,,,
9.96567,4,w2,,,
9.96567,3,w2,,,
9.96567,1,w2,,,
10.46562,MOT_control_all,zoom02,,
10.63227,3,2-3,,f1,L0
10.63227,2,1-2,,b0,D20
10.86558,3,lp3,,,
11.43219,3,3-4,l1,,
11.56551,2,w2,,,
11.6655,3,lp4,,,
12.332099999999999,3,4-1,l2,,
12.56541,3,lp1,,,
13.39866,3,j1-2,,,
13.731959999999999,3,lp2,,,
14.53188,3,2-3,lb1,,
14.79852,3,lp3,,,
15.265139999999999,3,3-4,lb0,,
15.53178,3,lp4,,,
16.36503,3,4-1,,,
16.36503,2,2-3,,,
16.36503,1,2-3,,,
16.36503,4,2-3,,,
16.36503,5,2-3,,,
16.63167,3,lp1,,,
17.29827,5,w3,,,
17.29827,4,w3,,,
17.29827,2,w3,,,
17.29827,1,w3,,,
17.9982,MOT_control_all,zoom03,,
18.19818,MOT_mc_back_00,st01,,
18.19818,4,3-4,,f1,L0
18.19818,3,1-2,,b0,D20
18.19818,2,3-4,,,
18.19818,3,2-3,,,
18.19818,1,3-4,,,
18.19818,5,3-4,,,
18.43149,4,lp4,,,
18.9981,4,4-1,r1,,
19.13142,5,w4,,,
19.13142,3,w3,,,
19.13142,2,w4,,,
19.13142,1,w4,,,
19.23141,4,lp1,,,
19.89801,4,1-2,r2,,
20.13132,4,lp2,,,
20.96457,4,j2-3,,,
21.29787,4,lp3,,,
21.89781,4,3-4,rb1,,
22.16445,4,lp4,,,
22.6644,4,4-1,rb0,,
22.93104,4,lp1,,,
23.664299999999997,4,1-2,l1,,
23.664299999999997,2,4-1,,,
23.664299999999997,3,3-4,,,
23.664299999999997,1,4-1,,,
23.664299999999997,5,4-1,,,
23.93094,4,lp2,,,
24.59754,5,w1,,,
24.59754,3,w4,,,
24.59754,2,w1,,,
24.59754,1,w1,,,
24.664199999999997,MOT_control_all,zoom04,,
24.864179999999998,4,2-3,,b0,D20
24.864179999999998,5,1-2,,f1,L0
25.13082,5,lp2,,,
25.73076,5,2-3,r1,,
25.79742,4,w3,,,
25.9974,5,lp3,,,
26.39736,5,j3-4,,,
26.663999999999998,5,lp4,,,
27.3306,5,4-1,r2,,
27.59724,5,lp1,,,
28.26384,5,1-2,rb1,,
28.530479999999997,5,lp2,,,
29.097089999999998,5,sp2-3,,,
31.163549999999997,5,sj3,,,
31.163549999999997,2,1-2,,,
31.163549999999997,3,4-1,,,
31.163549999999997,1,1-2,,,
31.163549999999997,4,3-4,,,
31.46352,5,lp3,,,
32.09679,4,w4,,,
32.09679,3,w1,,,
32.09679,2,w2,,,
32.09679,1,w2,,,
32.36343,MOT_mc_stage_color_00,b-flash,,
32.36343,MOT_control_all,zoom05,,
32.630069999999996,MOT_mc_back_00,st02,,
32.630069999999996,1,2-3,,f1,L0
32.630069999999996,5,3-4,,b0,D20
32.96337,1,lp3,,,
33.56331,5,w4,,,
33.79662,1,j3-4,,,
34.19658,1,lp4,,,
35.59644,1,j4-1,,,
35.9964,1,lp1,,,
36.59634,1,1-2,l1,,
36.89631,1,lp2,,,
37.529579999999996,1,2-3,lb0,,
37.82955,1,lp3,,,
38.52948,1,j3-4,,,
38.92944,1,lp4,,,
40.06266,1,4-1,,,
40.395959999999995,1,j1-2,,,
40.829249999999995,1,lp2,,,
42.19578,1,j2-3,,,
42.56241,1,lp3,,,
43.69563,1,3-4,,,
43.995599999999996,1,lp4,,,
44.828849999999996,1,4-1,,,
45.16215,1,lp1,,,
45.96207,1,1-2,,,
45.96207,2,2-3,,,
45.96207,3,1-2,,,
45.96207,5,4-1,,,
45.96207,4,4-1,,,
46.26204,1,lp2,,,
46.26204,2,lp3,,,
46.26204,3,lp2,,,
46.26204,4,lp1,,,
46.26204,5,lp1,,,
47.39526,MOT_mc_special_01,in01,,
47.695229999999995,MOT_control_all,zoom06,,
47.728559999999995,MOT_mc_stage_color_00,r-flash,,
47.728559999999995,MOT_mc_bg_black_00,b45-20,,
47.86188,MOT_mc_back_00,st03,,
47.86188,5,1-2,,f1,L0
47.86188,4,1-2,,f1,L0
47.86188,2,3-4,,,
47.86188,3,2-3,,,
47.86188,1,2-3,,,
48.16185,5,lp2,,,
48.16185,4,lp2,,,
48.16185,1,lp3,,,
48.76179,5,2-3,rb0,,
48.76179,4,2-3,lb0,,
48.79512,3,w3,,,
48.79512,2,w4,,,
49.06176,5,lp3,,,
49.06176,4,lp3,,,
49.728359999999995,5,3-4,l1,,
49.728359999999995,4,3-4,r1,,
50.02833,5,lp4,,,
50.02833,4,lp4,,,
50.561609999999995,5,4-1,l2,,
50.561609999999995,4,4-1,r2,,
50.86158,5,lp1,,,
50.86158,4,lp1,,,
51.49485,5,1-2,lb1,,
51.49485,4,1-2,rb1,,
51.794819999999994,5,lp2,,,
51.794819999999994,4,lp2,,,
52.3281,5,2-3,lb0,,
52.3281,4,2-3,rb0,,
52.62807,5,lp3,,,
52.62807,4,lp3,,,
53.361329999999995,5,3-4,r1,,
53.361329999999995,4,3-4,l1,,
53.62797,5,lp4,,,
53.62797,4,lp4,,,
54.29457,5,4-1,,,
54.29457,4,4-1,,,
54.29457,3,3-4,,,
54.29457,2,4-1,,,
55.06116,5,1-2,rb0,,
55.06116,4,1-2,lb0,,
55.06116,1,3-4,,,
55.22781,3,w4,,,
55.22781,2,w1,,,
55.327799999999996,1,lp4,,,
55.361129999999996,5,lp2,,,
55.361129999999996,4,lp2,,,
55.96107,5,2-3,l1,,
55.96107,4,2-3,r1,,
56.261039999999994,5,lp3,,,
56.261039999999994,4,lp3,,,
56.92764,5,3-4,l2,,
56.92764,4,3-4,r2,,
57.22761,5,lp4,,,
57.22761,4,lp4,,,
57.760889999999996,5,4-1,,,
57.760889999999996,4,4-1,,,
58.06086,5,lp1,,,
58.06086,4,lp1,,,
58.694129999999994,5,1-2,lb1,,
58.694129999999994,4,1-2,rb1,,
58.994099999999996,5,lp2,,,
58.994099999999996,4,lp2,,,
59.52738,5,2-3,lb0,,
59.52738,4,2-3,rb0,,
59.827349999999996,5,lp3,,,
59.827349999999996,4,lp3,,,
60.56061,5,3-4,r1,,
60.56061,4,3-4,l1,,
60.82725,5,lp4,,,
60.82725,4,lp4,,,
61.493849999999995,5,4-1,,,
61.493849999999995,4,4-1,,,
61.493849999999995,3,4-1,,,
61.493849999999995,2,1-2,,,
61.860479999999995,5,1-2,,,
61.860479999999995,4,1-2,,,
62.39376,MOT_control_all,zoom07,,
62.42709,3,w1,,,
62.42709,2,w2,,,
62.59374,MOT_mc_back_00,st04,,
62.59374,3,1-2,,f1,L0
62.59374,2,2-3,,f1,L0
62.59374,4,2-3,,b0,D20
62.59374,5,2-3,,b0,D20
62.59374,1,4-1,,,
62.86038,1,lp1,,,
63.493649999999995,3,2-3,l1,,
63.493649999999995,2,3-4,r1,,
63.526979999999995,5,w3,,,
63.526979999999995,4,w3,,,
63.79362,2,lp4,,,
63.79362,3,lp3,,,
64.46021999999999,3,3-4,l2,,
64.46021999999999,2,4-1,r2,,
64.76019,2,lp1,,,
64.76019,3,lp4,,,
65.29347,3,4-1,l3,,
65.29347,2,1-2,r3,,
65.59344,2,lp2,,,
65.59344,3,lp1,,,
66.22671,3,1-2,lb2,,
66.22671,2,2-3,rb2,,
66.52668,2,lp3,,,
66.52668,3,lp2,,,
67.05996,3,2-3,lb1,,
67.05996,2,3-4,rb1,,
67.35992999999999,2,lp4,,,
67.35992999999999,3,lp3,,,
68.09318999999999,3,3-4,lb0,,
68.09318999999999,2,4-1,rb0,,
68.35983,2,lp1,,,
68.35983,3,lp4,,,
69.02642999999999,5,3-4,,,
69.02642999999999,4,3-4,,,
69.02642999999999,3,4-1,,,
69.02642999999999,2,1-2,,,
69.72636,3,1-2,r1,,
69.72636,2,2-3,l1,,
69.72636,1,1-2,,,
69.95967,5,w4,,,
69.95967,4,w4,,,
70.02633,2,lp3,,,
70.02633,3,lp2,,,
70.02633,1,lp2,,,
70.55960999999999,3,2-3,r2,,
70.55960999999999,2,3-4,l2,,
70.85958,2,lp4,,,
70.85958,3,lp3,,,
71.59284,3,3-4,r3,,
71.59284,2,4-1,l3,,
71.85947999999999,2,lp1,,,
71.85947999999999,3,lp4,,,
72.52608,5,4-1,,,
72.52608,4,4-1,,,
72.52608,3,4-1,,,
72.52608,2,1-2,,,
73.39265999999999,2,2-3,lb2,,
73.39265999999999,3,1-2,rb2,,
73.45931999999999,5,w1,,,
73.45931999999999,4,w1,,,
73.69263,2,lp3,,,
73.69263,3,lp2,,,
74.22591,2,3-4,lb1,,
74.22591,3,2-3,rb1,,
74.52588,2,lp4,,,
74.52588,3,lp3,,,
75.25914,2,4-1,lb0,,
75.25914,3,3-4,rb0,,
75.52578,2,lp1,,,
75.52578,3,lp4,,,
76.19238,5,1-2,,,
76.19238,4,1-2,,,
76.19238,3,4-1,,,
76.19238,2,1-2,,,
76.69233,2,2-3,l1,,
76.69233,3,1-2,r1,,
76.9923,2,lp3,,,
76.9923,3,lp2,,,
77.12562,5,w2,,,
77.12562,4,w2,,,
77.39226,2,3-4,lb0,,
77.39226,3,2-3,rb0,,
77.69223,2,lp4,,,
77.69223,3,lp3,,,
77.92554,MOT_mc_stage_color_00,b-flash,,
77.92554,MOT_mc_bg_black_00,b20-45,,
77.92554,MOT_control_all,zoom07_2,,
78.15885,MOT_mc_back_00,st05,,
78.15885,1,2-3,l1,,
78.15885,2,4-1,,b0,
78.15885,3,3-4,,b0,
78.45882,1,lp3,,,
78.45882,2,lp1,,,
78.45882,3,lp4,,,
79.19207999999999,1,3-4,lb0,,
79.49204999999999,1,lp4,,,
79.92533999999999,1,4-1,r1,,
80.22531,1,lp1,,,
80.95857,1,1-2,rb0,,
81.25854,1,lp2,,,
81.69183,1,2-3,r1,,
81.9918,1,lp3,,,
82.82504999999999,1,3-4,rb0,,
83.12501999999999,1,lp4,,,
83.75829,1,j4-1,,,
84.12492,1,lp1,,,
84.19158,MOT_control_all,zoom08,,
84.42488999999999,MOT_mc_back_00,st06,,
84.42488999999999,1,1-2,,b0,D20
84.42488999999999,5,2-3,,f1,L0
84.42488999999999,2,1-2,,,
84.42488999999999,3,4-1,,,
84.72485999999999,5,lp3,,,
84.72485999999999,2,lp2,,,
84.72485999999999,3,lp1,,,
85.19148,5,3-4,rb0,,
85.35813,1,w2,,,
85.49145,5,lp4,,,
85.85808,5,4-1,r1,,
86.15805,5,lp1,,,
87.25793999999999,5,sp1-2,,,
87.99119999999999,5,sj2,,,
88.45782,5,2-3,rb0,,
88.75779,5,lp3,,,
89.12442,5,3-4,r1,,
89.42439,5,lp4,,,
89.82435,5,j4-1,,,
90.19098,5,lp1,,,
90.69093,MOT_control_all,zoom09,,
90.95756999999999,5,1-2,,b0,D20
90.95756999999999,4,2-3,,f1,L0
90.95756999999999,2,2-3,,,
90.95756999999999,3,1-2,,,
91.25753999999999,4,lp3,,,
91.25753999999999,2,lp3,,,
91.25753999999999,3,lp2,,,
91.89081,5,w2,,,
92.09079,4,3-4,l2,,
92.39076,4,lp4,,,
92.99069999999999,4,4-1,lb1,,
93.29066999999999,4,lp1,,,
94.05726,4,sp1-2,,,
95.72376,4,sj2,,,
96.05705999999999,4,lp2,,,
96.49034999999999,4,2-3,,,
96.79032,4,lp3,,,
97.49024999999999,4,j3-4,,,
97.85687999999999,4,lp4,,,
98.72345999999999,MOT_control_all,zoom10,,
98.89010999999999,4,4-1,,b0,D20
98.89010999999999,2,,,,D20
98.89010999999999,3,,,,D20
99.45671999999999,1,2-3,,,
99.82334999999999,4,w1,,,
99.95667,2,3-4,,,
99.95667,3,2-3,,,
100.38996,1,w3,,,
100.38996,4,1-2,,,
100.38996,5,2-3,,,
100.82325,1,3-4,,,
100.88991,3,w3,,,
100.88991,2,w4,,,
100.92323999999999,MOT_mc_special_01,sabi,,
100.92323999999999,MOT_mc_back_00,st07,,
100.98989999999999,MOT_control_all,zoom11,,
101.15655,MOT_mc_stage_color_00,r-flash,,
101.15655,MOT_mc_bg_black_00,b45-00,,
101.25654,5,3-4,,,L0
101.25654,4,2-3,,,L0
101.25654,2,4-1,,f1,L0
101.25654,3,3-4,,f1,L0
101.25654,1,4-1,,f1,L0
101.52318,4,lp3,,,
101.52318,5,lp4,,,
102.15644999999999,2,1-2,l1,,
102.15644999999999,3,4-1,r1,,
102.15644999999999,1,1-2,,,
102.45642,2,lp2,,,
102.45642,3,lp1,,,
102.45642,1,lp2,,,
103.12302,3,1-2,rb0,,
103.12302,2,2-3,lb0,,
103.12302,1,j2-3,,,
103.42299,2,lp3,,,
103.42299,3,lp2,,,
103.42299,1,lp3,,,
103.95626999999999,3,2-3,,,
103.95626999999999,2,3-4,,,
103.95626999999999,1,3-4,,,
104.25623999999999,2,lp4,,,
104.25623999999999,3,lp3,,,
104.25623999999999,1,lp4,,,
104.88951,5,4-1,,,
104.88951,4,3-4,,,
104.88951,2,4-1,l1,,
104.88951,3,3-4,l1,,
104.88951,1,j4-1,l1,,
105.18947999999999,1,lp1,,,
105.18947999999999,2,lp1,,,
105.18947999999999,3,lp4,,,
105.18947999999999,4,lp4,,,
105.18947999999999,5,lp1,,,
105.72276,2,1-2,lb0,,
105.72276,3,4-1,lb0,,
105.72276,1,1-2,lb0,,
106.02273,2,lp2,,,
106.02273,3,lp1,,,
106.02273,1,lp2,,,
106.62267,2,sp2-3,,,
106.62267,3,sp1-2,,,
106.62267,1,sp2-3,,,
107.75589,1,sj3,,,
107.82254999999999,3,sj2,,,
107.82254999999999,2,sj3,,,
108.08919,2,lp3,,,
108.08919,3,lp2,,,
108.08919,1,lp3,,,
108.45581999999999,5,1-2,,,
108.45581999999999,4,4-1,,,
108.45581999999999,2,3-4,l1,,
108.45581999999999,3,2-3,r1,,
108.45581999999999,1,3-4,,,
108.75578999999999,1,lp4,,,
108.75578999999999,2,lp4,,,
108.75578999999999,3,lp3,,,
108.75578999999999,4,lp1,,,
108.75578999999999,5,lp2,,,
109.35573,2,4-1,lb0,,
109.35573,3,3-4,rb0,,
109.35573,1,4-1,,,
109.6557,2,lp1,,,
109.6557,3,lp4,,,
109.6557,1,lp1,,,
110.3223,3,4-1,r1,,
110.3223,2,1-2,r1,,
110.3223,1,1-2,r1,,
110.62227,2,lp2,,,
110.62227,3,lp1,,,
110.62227,1,lp2,,,
111.15554999999999,3,1-2,rb0,,
111.15554999999999,2,2-3,rb0,,
111.15554999999999,1,2-3,rb0,,
111.45551999999999,2,lp3,,,
111.45551999999999,3,lp2,,,
111.45551999999999,1,lp3,,,
112.08878999999999,3,2-3,r1,,
112.08878999999999,2,3-4,l1,,
112.08878999999999,1,3-4,,,
112.38875999999999,2,lp4,,,
112.38875999999999,3,lp3,,,
112.38875999999999,1,lp4,,,
112.92204,3,3-4,rb0,,
112.92204,2,4-1,lb0,,
112.92204,1,4-1,,,
113.22201,2,lp1,,,
113.22201,3,lp4,,,
113.22201,1,lp1,,,
113.82195,1,sp1-2,,,
113.88861,3,sp4-1,,,
113.88861,2,sp1-2,,,
114.88851,1,sj2,,,
114.9885,3,sj1,,,
114.9885,2,sj2,,,
115.25514,2,lp2,,,
115.25514,3,lp1,,,
115.25514,1,lp2,,,
115.78841999999999,MOT_control_all,zoom12,,
116.02172999999999,5,2-3,,f1,
116.02172999999999,4,1-2,,f1,
116.02172999999999,2,2-3,,b0,
116.02172999999999,3,1-2,,b0,
116.02172999999999,1,2-3,,,
116.38835999999999,1,lp3,,,
116.38835999999999,2,lp3,,,
116.38835999999999,3,lp2,,,
116.38835999999999,4,lp2,,,
116.38835999999999,5,lp3,,,
116.38835999999999,2,lp3,,,
116.38835999999999,3,lp2,,,
116.82164999999999,5,3-4,rb0,,
116.82164999999999,4,2-3,lb0,,
116.82164999999999,1,3-4,,,
117.12162,5,lp4,,,
117.12162,4,lp3,,,
117.12162,1,lp4,,,
117.78822,4,3-4,l1,,
117.78822,5,4-1,r1,,
117.78822,1,j4-1,,,
118.08819,5,lp1,,,
118.08819,4,lp4,,,
118.08819,1,lp1,,,
118.62146999999999,4,4-1,,,
118.62146999999999,5,1-2,,,
118.62146999999999,1,1-2,,,
118.92143999999999,5,lp2,,,
118.92143999999999,4,lp1,,,
118.92143999999999,1,lp2,,,
119.62137,5,2-3,rb0,,
119.62137,4,1-2,l2,,
119.62137,1,j2-3,l1,,
119.62137,2,3-4,,,
119.62137,3,2-3,,,
119.92134,5,lp3,,,
119.92134,4,lp2,,,
119.92134,1,lp3,,,
119.92134,2,lp4,,,
119.92134,3,lp3,,,
120.38795999999999,5,3-4,r1,,
120.38795999999999,4,2-3,lb1,,
120.38795999999999,1,3-4,lb0,,
120.68793,5,lp4,,,
120.68793,4,lp3,,,
120.68793,1,lp4,,,
121.28787,5,sp4-1,,,
121.28787,4,sp3-4,,,
121.28787,1,sp4-1,,,
122.38776,1,sj1,,,
122.45442,5,sj1,,,
122.45442,4,sj4,,,
122.75439,5,lp1,,,
122.75439,4,lp4,,,
122.75439,1,lp1,,,
123.12102,5,1-2,rb0,,
123.12102,4,4-1,lb0,,
123.12102,1,1-2,,,
123.12102,2,4-1,,,
123.12102,3,3-4,,,
123.42098999999999,5,lp2,,,
123.42098999999999,4,lp1,,,
123.42098999999999,1,lp2,,,
123.42098999999999,2,lp1,,,
123.42098999999999,3,lp4,,,
124.02092999999999,5,2-3,r1,,
124.02092999999999,4,1-2,l1,,
124.02092999999999,1,2-3,,,
124.3209,5,lp3,,,
124.3209,4,lp2,,,
124.3209,1,lp3,,,
124.9875,5,3-4,r2,,
124.9875,4,2-3,lb0,,
124.9875,1,3-4,r1,,
125.28747,5,lp4,,,
125.28747,4,lp3,,,
125.28747,1,lp4,,,
125.82074999999999,5,4-1,rb1,,
125.82074999999999,4,3-4,l1,,
125.82074999999999,1,4-1,rb0,,
126.12071999999999,5,lp1,,,
126.12071999999999,4,lp4,,,
126.12071999999999,1,lp1,,,
126.75398999999999,5,1-2,r2,,
126.75398999999999,4,4-1,l2,,
126.75398999999999,1,1-2,,,
126.75398999999999,2,1-2,,,
126.75398999999999,3,4-1,,,
127.05395999999999,5,lp2,,,
127.05395999999999,4,lp1,,,
127.05395999999999,1,lp2,,,
127.05395999999999,2,lp2,,,
127.05395999999999,3,lp1,,,
127.58724,5,2-3,rb1,,
127.58724,4,1-2,lb1,,
127.58724,1,2-3,,,
127.88721,5,lp3,,,
127.88721,4,lp2,,,
127.88721,1,lp3,,,
128.55381,1,sp3-4,,,
128.62046999999998,5,sp3-4,,,
128.62046999999998,4,sp2-3,,,
129.6537,1,sj4,,,
129.75369,5,sj4,,,
129.75369,4,sj3,,,
130.02033,5,lp4,,,
130.02033,4,lp3,,,
130.02033,1,lp4,,,
130.92024,1,j4-1,,,
130.92024,2,j2-3,,,
130.92024,3,j1-2,,,
130.92024,4,j3-4,,,
130.92024,5,j4-1,,,
131.9868,5,w1,,,
131.9868,4,w4,,,
131.9868,3,w2,,,
131.9868,2,w3,,,
131.9868,1,w1,,,
