0.03333,2,sort,-1500,
0.03333,3,sort,-1500,
0.03333,6,sort,-1500,
0.03333,7,sort,-1500,
0.03333,MOT_control_all,zoom_1,,
0.03333,1,,,,D40
0.03333,2,,,,D40
0.03333,3,,,,D40
0.03333,4,,,,D40
0.03333,5,,,,D40
0.03333,6,,,,D40
0.03333,7,,,,D40
0.03333,8,,,,D40
0.03333,9,,,,D40
0.03333,MOT_all,cut1,,
0.06666,MOT_mc_back_00,lt_1,,
2.86638,1,,,,L0
2.86638,2,,,,L0
2.86638,3,,,,L0
2.86638,4,,,,L0
2.86638,5,,,,L0
2.86638,6,,,,L0
2.86638,7,,,,L0
2.86638,8,,,,L0
2.86638,9,,,,L0
2.86638,MOT_mc_stage_color_00,b-flash,,
2.86638,8,j1-2,,,
2.86638,6,j1-2,,,
2.86638,4,j1-2,,,
2.86638,MOT_all,cut2,,
3.1330199999999997,9,j1-2,,,
3.1330199999999997,7,j1-2,,,
3.1330199999999997,5,j1-2,,,
3.39966,1,j1-2,,,
3.39966,2,j1-2,,,
3.39966,3,j1-2,,,
3.8662799999999997,1,2-3,,,
3.8662799999999997,2,2-3,,,
3.8662799999999997,3,2-3,,,
3.8662799999999997,4,2-3,,,
3.8662799999999997,5,2-3,,,
3.8662799999999997,6,2-3,,,
3.8662799999999997,7,2-3,,,
3.8662799999999997,8,2-3,,,
3.8662799999999997,9,2-3,,,
4.29957,1,j3-4,,,
4.29957,2,j3-4,,,
4.29957,3,j3-4,,,
4.49955,MOT_mc_stage_color_00,y-flash,,
4.56621,9,j3-4,,,
4.56621,7,j3-4,,,
4.56621,5,j3-4,,,
4.799519999999999,8,w3,,,
4.799519999999999,6,w3,,,
4.799519999999999,4,w3,,,
4.83285,8,j3-4,,,
4.83285,6,j3-4,,,
4.83285,4,j3-4,,,
5.26614,MOT_mc_stage_color_00,r-flash,,
5.3328,1,4-1,,,
5.3328,2,4-1,,,
5.3328,3,4-1,,,
5.3328,4,4-1,,,
5.3328,5,4-1,,,
5.3328,6,4-1,,,
5.3328,7,4-1,,,
5.3328,8,4-1,,,
5.3328,9,4-1,,,
5.6661,1,1-2,,,
5.6661,2,1-2,,,
5.6661,3,1-2,,,
5.6661,4,1-2,,,
5.6661,5,1-2,,,
5.6661,6,1-2,,,
5.6661,7,1-2,,,
5.6661,8,1-2,,,
5.6661,9,1-2,,,
5.9994,8,2-3,,,
5.9994,6,2-3,,,
5.9994,4,2-3,,,
6.03273,MOT_mc_stage_color_00,b-flash,,
6.19938,9,2-3,,,
6.19938,7,2-3,,,
6.19938,5,2-3,,,
6.29937,1,2-3,,,
6.29937,2,2-3,,,
6.29937,3,2-3,,,
6.63267,1,3-4,,,
6.63267,2,3-4,,,
6.63267,3,3-4,,,
6.63267,4,3-4,,,
6.63267,5,3-4,,,
6.63267,6,3-4,,,
6.63267,7,3-4,,,
6.63267,8,3-4,,,
6.63267,9,3-4,,,
7.09929,8,j4-1,,,
7.09929,6,j4-1,,,
7.09929,4,j4-1,,,
7.36593,9,j4-1,,,
7.36593,7,j4-1,,,
7.36593,5,j4-1,,,
7.56591,3,w4,,,
7.56591,2,w4,,,
7.56591,1,w4,,,
7.59924,MOT_mc_stage_color_00,y-flash,,
7.632569999999999,1,j4-1,,,
7.632569999999999,2,j4-1,,,
7.632569999999999,3,j4-1,,,
7.96587,1,1-2,,,
7.96587,2,1-2,,,
7.96587,3,1-2,,,
7.96587,4,1-2,,,
7.96587,5,1-2,,,
7.96587,6,1-2,,,
7.96587,7,1-2,,,
7.96587,8,1-2,,,
7.96587,9,1-2,,,
8.29917,1,lp2,,,
8.29917,2,lp2,,,
8.29917,3,lp2,,,
8.29917,4,lp2,,,
8.29917,5,lp2,,,
8.29917,6,lp2,,,
8.29917,7,lp2,,,
8.29917,8,lp2,,,
8.29917,9,lp2,,,
9.39906,1,2-3,,,
9.39906,2,2-3,,,
9.39906,3,2-3,,,
9.39906,4,2-3,,,
9.39906,5,2-3,,,
9.39906,6,2-3,,,
9.39906,7,2-3,,,
9.39906,8,2-3,,,
9.39906,9,2-3,,,
9.73236,1,j3-4,,,
9.73236,2,j3-4,,,
9.73236,3,j3-4,,,
9.73236,4,j3-4,,,
9.73236,5,j3-4,,,
9.73236,6,j3-4,,,
9.73236,7,j3-4,,,
9.73236,8,j3-4,,,
9.73236,9,j3-4,,,
10.46562,8,4-1,,,
10.46562,6,4-1,,,
10.46562,7,4-1,,,
10.46562,9,4-1,,,
10.63227,4,4-1,,,
10.63227,2,4-1,,,
10.63227,3,4-1,,,
10.63227,5,4-1,,,
10.798919999999999,1,4-1,,,
11.13222,1,1-2,,,
11.13222,2,1-2,,,
11.13222,3,1-2,,,
11.13222,4,1-2,,,
11.13222,5,1-2,,,
11.13222,6,1-2,,,
11.13222,7,1-2,,,
11.13222,8,1-2,,,
11.13222,9,1-2,,,
11.46552,1,j2-3,,,
11.63217,4,j2-3,,,
11.63217,2,j2-3,,,
11.63217,3,j2-3,,,
11.63217,5,j2-3,,,
11.79882,8,j2-3,,,
11.79882,6,j2-3,,,
11.79882,7,j2-3,,,
11.79882,9,j2-3,,,
12.29877,1,3-4,,,
12.29877,2,3-4,,,
12.29877,3,3-4,,,
12.29877,4,3-4,,,
12.29877,5,3-4,,,
12.29877,6,3-4,,,
12.29877,7,3-4,,,
12.29877,8,3-4,,,
12.29877,9,3-4,,,
12.632069999999999,1,4-1,,,
12.632069999999999,2,4-1,,,
12.632069999999999,3,4-1,,,
12.632069999999999,4,4-1,,,
12.632069999999999,5,4-1,,,
12.632069999999999,6,4-1,,,
12.632069999999999,7,4-1,,,
12.632069999999999,8,4-1,,,
12.632069999999999,9,4-1,,,
12.96537,1,j1-2,,,
12.96537,2,j1-2,,,
12.96537,3,j1-2,,,
12.96537,4,j1-2,,,
12.96537,5,j1-2,,,
12.96537,6,j1-2,,,
12.96537,7,j1-2,,,
12.96537,8,j1-2,,,
12.96537,9,j1-2,,,
13.46532,1,2-3,,,
13.46532,2,2-3,,,
13.46532,3,2-3,,,
13.46532,4,2-3,,,
13.46532,5,2-3,,,
13.46532,6,2-3,,,
13.46532,7,2-3,,,
13.46532,8,2-3,,,
13.46532,9,2-3,,,
13.865279999999998,8,3-4,,,
13.865279999999998,6,3-4,,,
13.865279999999998,7,3-4,,,
13.865279999999998,9,3-4,,,
14.03193,4,3-4,,,
14.03193,2,3-4,,,
14.03193,3,3-4,,,
14.03193,5,3-4,,,
14.19858,1,3-4,,,
14.53188,1,4-1,,,
14.53188,2,4-1,,,
14.53188,3,4-1,,,
14.53188,4,4-1,,,
14.53188,5,4-1,,,
14.53188,6,4-1,,,
14.53188,7,4-1,,,
14.53188,8,4-1,,,
14.53188,9,4-1,,,
14.965169999999999,1,1-2,,,
14.965169999999999,2,1-2,,,
14.965169999999999,3,1-2,,,
14.965169999999999,4,1-2,,,
14.965169999999999,5,1-2,,,
14.965169999999999,6,1-2,,,
14.965169999999999,7,1-2,,,
14.965169999999999,8,1-2,,,
14.965169999999999,9,1-2,,,
15.29847,1,j2-3,,,
15.465119999999999,4,j2-3,,,
15.465119999999999,2,j2-3,,,
15.465119999999999,3,j2-3,,,
15.465119999999999,5,j2-3,,,
15.63177,8,j2-3,,,
15.63177,6,j2-3,,,
15.63177,7,j2-3,,,
15.63177,9,j2-3,,,
16.131719999999998,1,3-4,,,
16.131719999999998,2,3-4,,,
16.131719999999998,3,3-4,,,
16.131719999999998,4,3-4,,,
16.131719999999998,5,3-4,,,
16.131719999999998,6,3-4,,,
16.131719999999998,7,3-4,,,
16.131719999999998,8,3-4,,,
16.131719999999998,9,3-4,,,
16.36503,MOT_all,cut3,,
16.665,1,,,,D40
16.665,2,,,,D40
16.665,3,,,,D40
16.665,4,,,,D40
