0.03333,MOT_mc_stage_color_00,y,,
0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,1,,,f1,
0.03333,4,,,f1,
0.03333,5,,,f1,
0.03333,8,,,f1,
0.03333,9,,,f1,
0.6999299999999999,MOT_all,cut01,,
2.46642,1,j1-2,,,
2.46642,2,j1-2,,,
2.46642,3,j1-2,,,
3.19968,4,1-2,,,
3.19968,6,1-2,,,
3.19968,8,1-2,,,
3.26634,1,2-3,,,
3.26634,2,2-3,,,
3.26634,3,2-3,,,
3.3329999999999997,5,1-2,,,
3.3329999999999997,7,1-2,,,
3.3329999999999997,9,1-2,,,
3.7662899999999997,4,j2-3,,,
3.7662899999999997,6,j2-3,,,
3.7662899999999997,8,j2-3,,,
3.7662899999999997,5,j2-3,,,
3.7662899999999997,7,j2-3,,,
3.7662899999999997,9,j2-3,,,
4.19958,3,w3,,,
4.19958,2,w3,,,
4.19958,1,w3,,,
4.39956,1,3-4,,,
4.39956,2,3-4,,,
4.39956,3,3-4,,,
4.46622,5,3-4,,,
4.46622,7,3-4,,,
4.46622,9,3-4,,,
4.46622,4,3-4,,,
4.46622,6,3-4,,,
4.46622,8,3-4,,,
5.03283,4,j4-1,,,
5.03283,6,j4-1,,,
5.03283,8,j4-1,,,
5.03283,5,j4-1,,,
5.03283,7,j4-1,,,
5.03283,9,j4-1,,,
5.3328,3,w4,,,
5.3328,2,w4,,,
5.3328,1,w4,,,
5.4994499999999995,1,j4-1,,,
5.4994499999999995,2,j4-1,,,
5.4994499999999995,3,j4-1,,,
5.93274,4,j1-2,,,
5.93274,6,j1-2,,,
5.93274,8,j1-2,,,
6.09939,7,w1,,,
6.09939,9,w1,,,
6.09939,5,j1-2,,,
6.09939,7,j1-2,,,
6.09939,9,j1-2,,,
6.5660099999999995,3,w1,,,
6.5660099999999995,2,w1,,,
6.5660099999999995,1,w1,,,
6.8659799999999995,1,1-2,,,
6.8659799999999995,2,1-2,,,
6.8659799999999995,3,1-2,,,
6.8659799999999995,4,2-3,,,
6.8659799999999995,5,2-3,,,
6.8659799999999995,6,2-3,,,
6.8659799999999995,7,2-3,,,
6.8659799999999995,8,2-3,,,
6.8659799999999995,9,2-3,,,
7.532579999999999,1,j2-3,,,
7.532579999999999,2,j2-3,,,
7.532579999999999,3,j2-3,,,
7.79922,7,w3,,,
7.79922,6,w3,,,
7.79922,9,w3,,,
7.79922,8,w3,,,
7.79922,5,w3,,,
7.79922,4,w3,,,
8.13252,4,j3-4,,,
8.13252,6,j3-4,,,
8.13252,8,j3-4,,,
8.59914,3,w3,,,
8.59914,2,w3,,,
8.59914,1,w3,,,
8.765789999999999,5,j3-4,,,
8.765789999999999,7,j3-4,,,
8.765789999999999,9,j3-4,,,
9.19908,6,w4,,,
9.19908,8,w4,,,
9.19908,4,w4,,,
9.26574,1,lp3,,,
9.26574,2,lp3,,,
9.26574,3,lp3,,,
9.26574,4,lp4,,,
9.26574,5,lp4,,,
9.26574,6,lp4,,,
9.26574,7,lp4,,,
9.26574,8,lp4,,,
9.26574,9,lp4,,,
9.699029999999999,1,3-4,,,
9.699029999999999,4,4-1,,,
9.699029999999999,8,4-1,,,
9.699029999999999,5,4-1,,,
9.699029999999999,9,4-1,,,
9.76569,2,3-4,,,
9.76569,3,3-4,,,
9.76569,6,4-1,,,
9.76569,7,4-1,,,
10.16565,1,4-1,l1,,
10.16565,2,4-1,l1,,
10.16565,3,4-1,l1,,
10.16565,4,1-2,l1,,
10.16565,5,1-2,l1,,
10.16565,6,1-2,l1,,
10.16565,7,1-2,l1,,
10.16565,8,1-2,l1,,
10.16565,9,1-2,l1,,
10.46562,1,lp1,,,
10.46562,2,lp1,,,
10.46562,3,lp1,,,
10.46562,4,lp2,,,
10.46562,5,lp2,,,
10.46562,6,lp2,,,
10.46562,7,lp2,,,
10.46562,8,lp2,,,
10.46562,9,lp2,,,
11.198879999999999,1,1-2,lb0,,
11.198879999999999,2,1-2,lb0,,
11.198879999999999,3,1-2,lb0,,
11.198879999999999,4,2-3,lb0,,
11.198879999999999,5,2-3,lb0,,
11.198879999999999,6,2-3,lb0,,
11.198879999999999,7,2-3,lb0,,
11.198879999999999,8,2-3,lb0,,
11.198879999999999,9,2-3,lb0,,
11.49885,1,lp2,,,
11.49885,2,lp2,,,
11.49885,3,lp2,,,
11.49885,4,lp3,,,
11.49885,5,lp3,,,
11.49885,6,lp3,,,
11.49885,7,lp3,,,
11.49885,8,lp3,,,
11.49885,9,lp3,,,
12.532079999999999,1,2-3,r1,,
12.532079999999999,2,2-3,r1,,
12.532079999999999,3,2-3,r1,,
12.532079999999999,4,3-4,r1,,
12.532079999999999,5,3-4,r1,,
12.532079999999999,6,3-4,r1,,
12.532079999999999,7,3-4,r1,,
12.532079999999999,8,3-4,r1,,
12.532079999999999,9,3-4,r1,,
12.832049999999999,1,lp3,,,
12.832049999999999,2,lp3,,,
12.832049999999999,3,lp3,,,
12.832049999999999,4,lp4,,,
12.832049999999999,5,lp4,,,
12.832049999999999,6,lp4,,,
12.832049999999999,7,lp4,,,
12.832049999999999,8,lp4,,,
12.832049999999999,9,lp4,,,
13.731959999999999,1,3-4,rb0,,
13.731959999999999,2,3-4,rb0,,
13.731959999999999,3,3-4,rb0,,
13.731959999999999,4,4-1,rb0,,
13.731959999999999,5,4-1,rb0,,
13.731959999999999,6,4-1,rb0,,
13.731959999999999,7,4-1,rb0,,
13.731959999999999,8,4-1,rb0,,
13.731959999999999,9,4-1,rb0,,
14.03193,1,lp4,,,
14.03193,2,lp4,,,
14.03193,3,lp4,,,
14.03193,4,lp1,,,
