0.03333,MOT_control_all,zoom1,,
0.03333,MOT_all,cut1,,
0.03333,6,sort,-500,
0.03333,2,sort,-500,
0.03333,3,sort,-500,
0.03333,7,sort,-500,
2.93304,1,j1-2,,,
2.93304,2,j1-2,,,
2.93304,3,j1-2,,,
2.93304,4,j1-2,,,
2.93304,5,j1-2,,,
2.93304,6,j1-2,,,
2.93304,7,j1-2,,,
2.93304,8,j1-2,,,
2.93304,9,j1-2,,,
3.36633,1,lp2,,,
3.36633,2,lp2,,,
3.36633,3,lp2,,,
3.36633,4,lp2,,,
3.36633,5,lp2,,,
3.36633,6,lp2,,,
3.36633,7,lp2,,,
3.36633,8,lp2,,,
3.36633,9,lp2,,,
3.7662899999999997,1,2-3,,,
3.7662899999999997,2,2-3,,,
3.7662899999999997,3,2-3,,,
3.7662899999999997,4,2-3,,,
3.7662899999999997,5,2-3,,,
3.7662899999999997,6,2-3,,,
3.7662899999999997,7,2-3,,,
3.7662899999999997,8,2-3,,,
3.7662899999999997,9,2-3,,,
4.36623,1,j3-4,,,
4.36623,2,j3-4,,,
4.36623,3,j3-4,,,
4.36623,4,j3-4,,,
4.36623,5,j3-4,,,
4.36623,6,j3-4,,,
4.36623,7,j3-4,,,
4.36623,8,j3-4,,,
4.36623,9,j3-4,,,
4.799519999999999,1,lp4,,,
4.799519999999999,2,lp4,,,
4.799519999999999,3,lp4,,,
4.799519999999999,4,lp4,,,
4.799519999999999,5,lp4,,,
4.799519999999999,6,lp4,,,
4.799519999999999,7,lp4,,,
4.799519999999999,8,lp4,,,
4.799519999999999,9,lp4,,,
5.23281,1,4-1,,,
5.23281,2,4-1,,,
5.23281,3,4-1,,,
5.23281,4,4-1,,,
5.23281,5,4-1,,,
5.23281,6,4-1,,,
5.23281,7,4-1,,,
5.23281,8,4-1,,,
5.23281,9,4-1,,,
5.86608,1,1-2,,,
5.86608,2,1-2,,,
5.86608,3,1-2,,,
5.86608,4,1-2,,,
5.86608,5,1-2,,,
5.86608,6,1-2,,,
5.86608,7,1-2,,,
5.86608,8,1-2,,,
5.86608,9,1-2,,,
6.5660099999999995,1,2-3,,,
6.5660099999999995,2,2-3,,,
6.5660099999999995,3,2-3,,,
6.5660099999999995,4,2-3,,,
6.5660099999999995,5,2-3,,,
6.5660099999999995,6,2-3,,,
6.5660099999999995,7,2-3,,,
6.5660099999999995,8,2-3,,,
6.5660099999999995,9,2-3,,,
6.932639999999999,1,lp3,,,
6.932639999999999,2,lp3,,,
6.932639999999999,3,lp3,,,
6.932639999999999,4,lp3,,,
6.932639999999999,5,lp3,,,
6.932639999999999,6,lp3,,,
6.932639999999999,7,lp3,,,
6.932639999999999,8,lp3,,,
6.932639999999999,9,lp3,,,
7.76589,1,j3-4,,,
7.76589,2,j3-4,,,
7.76589,3,j3-4,,,
7.76589,4,j3-4,,,
7.76589,5,j3-4,,,
7.76589,6,j3-4,,,
7.76589,7,j3-4,,,
7.76589,8,j3-4,,,
7.76589,9,j3-4,,,
8.13252,1,j4-1,,,
8.13252,2,j4-1,,,
8.13252,3,j4-1,,,
8.39916,4,j4-1,,,
8.39916,6,j4-1,,,
8.39916,8,j4-1,,,
8.665799999999999,5,j4-1,,,
8.665799999999999,7,j4-1,,,
8.665799999999999,9,j4-1,,,
9.13242,1,j1-2,,,
9.13242,2,j1-2,,,
9.13242,3,j1-2,,,
9.13242,4,j1-2,,,
9.13242,5,j1-2,,,
9.13242,6,j1-2,,,
9.13242,7,j1-2,,,
9.13242,8,j1-2,,,
9.13242,9,j1-2,,,
9.49905,1,j2-3,,,
9.49905,2,j2-3,,,
9.49905,3,j2-3,,,
9.76569,4,j2-3,,,
9.76569,6,j2-3,,,
9.76569,8,j2-3,,,
