0.03333,MOT_all,doremi1,,
0.03333,6,sort,-500,
0.03333,2,sort,-500,
0.03333,3,sort,-500,
0.03333,7,sort,-500,
2.5997399999999997,MOT_control_all,zero_zoom1,,
2.5997399999999997,MOT_mc_light_under_00,zero_flare,,
2.5997399999999997,4,1-2,,,
2.5997399999999997,6,1-2,,,
2.5997399999999997,8,1-2,,,
2.76639,1,1-2,,,
2.76639,2,1-2,,,
2.76639,3,1-2,,,
2.93304,5,1-2,,,
2.93304,7,1-2,,,
2.93304,9,1-2,,,
3.53298,6,w2,,,
3.53298,8,w2,,,
3.53298,4,w2,,,
3.6662999999999997,1,j2-3,,,
3.6662999999999997,4,j2-3,,,
3.6662999999999997,5,j2-3,,,
3.6662999999999997,8,j2-3,,,
3.6662999999999997,9,j2-3,,,
3.69963,3,w2,,,
3.69963,2,w2,,,
3.83295,2,j2-3,,,
3.83295,3,j2-3,,,
3.83295,6,j2-3,,,
3.83295,7,j2-3,,,
4.16625,5,3-4,,,
4.16625,7,3-4,,,
4.16625,9,3-4,,,
4.3328999999999995,1,3-4,,,
4.3328999999999995,2,3-4,,,
4.3328999999999995,3,3-4,,,
4.49955,4,3-4,,,
4.49955,6,3-4,,,
4.49955,8,3-4,,,
5.099489999999999,7,w4,,,
5.099489999999999,9,w4,,,
5.099489999999999,5,w4,,,
5.099489999999999,2,j4-1,,,
5.099489999999999,3,j4-1,,,
5.099489999999999,6,j4-1,,,
5.099489999999999,7,j4-1,,,
5.26614,1,j4-1,,,
5.26614,4,j4-1,,,
5.26614,5,j4-1,,,
5.26614,8,j4-1,,,
5.26614,9,j4-1,,,
5.63277,1,1-2,,,
5.63277,2,1-2,,,
5.63277,3,1-2,,,
6.166049999999999,7,w1,,,
6.166049999999999,6,w1,,,
6.23271,4,1-2,,,
6.23271,6,1-2,,,
6.23271,8,1-2,,,
6.23271,5,1-2,,,
6.23271,7,1-2,,,
6.23271,9,1-2,,,
6.5660099999999995,3,w2,,,
6.5660099999999995,2,w2,,,
6.5660099999999995,1,w2,,,
6.6659999999999995,1,2-3,,,
6.6659999999999995,2,2-3,,,
6.6659999999999995,3,2-3,,,
6.6659999999999995,4,2-3,,,
6.6659999999999995,5,2-3,,,
6.6659999999999995,6,2-3,,,
6.6659999999999995,7,2-3,,,
6.6659999999999995,8,2-3,,,
6.6659999999999995,9,2-3,,,
7.432589999999999,1,j3-4,,,
7.56591,2,j3-4,,,
7.56591,3,j3-4,,,
7.59924,7,w3,,,
7.59924,6,w3,,,
7.59924,9,w3,,,
7.59924,8,w3,,,
7.59924,5,w3,,,
7.59924,4,w3,,,
7.69923,4,j3-4,,,
7.69923,5,j3-4,,,
7.8325499999999995,MOT_control_all,zero_zoom2,,
7.8325499999999995,6,j3-4,,,
7.8325499999999995,7,j3-4,,,
7.96587,8,j3-4,,,
7.96587,9,j3-4,,,
8.49915,1,w4,,,
8.63247,3,w4,,,
8.63247,2,w4,,,
8.765789999999999,5,w4,,,
8.765789999999999,4,w4,,,
8.865779999999999,1,lp4,,,
8.865779999999999,2,lp4,,,
8.865779999999999,3,lp4,,,
8.865779999999999,4,lp4,,,
8.865779999999999,5,lp4,,,
8.865779999999999,6,lp4,,,
8.865779999999999,7,lp4,,,
8.865779999999999,8,lp4,,,
8.865779999999999,9,lp4,,,
10.13232,1,4-1,,,
10.13232,2,4-1,,,
10.13232,3,4-1,,,
10.13232,4,4-1,,,
10.13232,5,4-1,,,
10.13232,6,4-1,,,
10.13232,7,4-1,,,
10.13232,8,4-1,,,
10.13232,9,4-1,,,
10.46562,1,lp1,,,
10.46562,2,lp1,,,
10.46562,3,lp1,,,
10.46562,4,lp1,,,
10.46562,5,lp1,,,
10.46562,6,lp1,,,
10.46562,7,lp1,,,
10.46562,8,lp1,,,
10.46562,9,lp1,,,
11.73216,1,j1-2,,,
11.73216,2,j1-2,,,
11.73216,3,j1-2,,,
11.932139999999999,4,j1-2,,,
11.932139999999999,6,j1-2,,,
11.932139999999999,8,j1-2,,,
12.332099999999999,5,j1-2,,,
12.332099999999999,7,j1-2,,,
12.332099999999999,9,j1-2,,,
12.69873,1,2-3,,,
12.69873,2,2-3,,,
12.69873,3,2-3,,,
12.69873,4,2-3,,,
12.69873,5,2-3,,,
12.69873,6,2-3,,,
12.69873,7,2-3,,,
12.69873,8,2-3,,,
12.69873,9,2-3,,,
13.232009999999999,1,j3-4,,,
13.631969999999999,7,w3,,,
13.631969999999999,6,w3,,,
13.631969999999999,3,w3,,,
13.631969999999999,2,w3,,,
13.631969999999999,9,w3,,,
13.631969999999999,8,w3,,,
13.631969999999999,5,w3,,,
13.631969999999999,4,w3,,,
13.831949999999999,2,j3-4,,,
13.831949999999999,3,j3-4,,,
14.29857,1,w4,,,
14.39856,4,j3-4,,,
14.39856,5,j3-4,,,
14.89851,3,w4,,,
14.89851,2,w4,,,
15.03183,6,j3-4,,,
15.03183,7,j3-4,,,
15.465119999999999,5,w4,,,
15.465119999999999,4,w4,,,
15.59844,8,j3-4,,,
15.59844,9,j3-4,,,
16.06506,1,lp4,,,
16.06506,2,lp4,,,
16.06506,3,lp4,,,
16.06506,4,lp4,,,
16.06506,5,lp4,,,
16.06506,6,lp4,,,
16.06506,7,lp4,,,
16.06506,8,lp4,,,
16.06506,9,lp4,,,
17.731559999999998,4,4-1,,,
17.731559999999998,6,4-1,,,
17.731559999999998,8,4-1,,,
17.83155,1,4-1,,,
17.83155,2,4-1,,,
17.83155,3,4-1,,,
17.93154,5,4-1,,,
17.93154,7,4-1,,,
17.93154,9,4-1,,,
18.3315,1,lp1,,,
18.3315,2,lp1,,,
18.3315,3,lp1,,,
18.3315,4,lp1,,,
18.3315,5,lp1,,,
18.3315,6,lp1,,,
18.3315,7,lp1,,,
18.3315,8,lp1,,,
18.3315,9,lp1,,,
18.9981,MOT_control_all,zero_zoom3,,
19.3314,1,1-2,l1,,
19.3314,2,w1,,,
19.3314,3,w1,,,
19.3314,4,w1,,,
19.3314,5,w1,,,
19.3314,6,w1,,,
19.3314,7,w1,,,
19.3314,8,w1,,,
19.3314,9,w1,,,
20.06466,1,2-3,l2,,
20.397959999999998,1,lp3,,,
21.431189999999997,1,3-4,,,
22.06446,1,4-1,lb1,,
22.76439,1,1-2,lb0,,
23.09769,1,lp2,,,
23.79762,1,2-3,,,
24.13092,1,lp3,,,
24.29757,MOT_control_all,zero_zoom4,,
24.630869999999998,3,j1-2,,,
24.630869999999998,1,w3,,,
24.96417,3,2-3,,,
25.39746,3,j3-4,,,
25.897409999999997,3,lp4,,,
26.43069,3,sp4-1,,,
27.76389,3,lp1,,,
28.63047,3,1-2,l1,,
28.9971,3,lp2,,,
29.963669999999997,3,2-3,lb0,,
30.43029,3,j3-4,,,
30.763589999999997,3,lp4,,,
31.03023,MOT_control_all,zero_zoom5,,
31.363529999999997,2,1-2,r1,,
31.363529999999997,3,w4,,,
31.86348,2,lp2,,,
32.96337,2,2-3,rb0,,
33.33,2,lp3,,,
34.22991,2,3-4,l1,,
34.59654,2,lp4,,,
35.496449999999996,2,4-1,lb0,,
36.02973,2,sj1,,,
36.363029999999995,MOT_control_all,zero_zoom6,,
36.52968,2,w1,,,
36.663,5,j1-2,,,
37.06296,5,j2-3,,,
37.496249999999996,5,j3-4,,,
37.9962,5,lp4,,,
38.46282,5,4-1,l1,,
39.26274,5,j1-2,,,
39.76269,5,lp2,,,
41.42919,5,2-3,l2,,
42.16245,5,lp3,,,
43.229009999999995,5,3-4,lb1,,
43.56231,5,lp4,,,
43.89561,MOT_control_all,zero_zoom7,,
45.02883,5,4-1,lb0,,
45.09549,7,j1-2,,,
45.09549,9,j1-2,,,
45.628769999999996,3,j4-1,,,
45.628769999999996,1,j3-4,,,
45.695429999999995,5,lp1,,,
46.028729999999996,2,j1-2,,,
46.028729999999996,4,j1-2,,,
46.16205,7,w2,,,
46.16205,9,w2,,,
46.22871,6,j1-2,,,
46.22871,8,j1-2,,,
46.62867,MOT_control_all,zero_zoom8,,
46.69533,3,w1,,,
46.69533,1,w4,,,
46.96197,4,2-3,,,
46.96197,2,w2,,,
46.96197,5,w1,,,
46.96197,6,w2,,,
46.96197,8,w2,,,
47.295269999999995,4,j3-4,,,
47.79522,4,lp4,,,
48.16185,MOT_control_all,zero_zoom9,,
48.495149999999995,4,w4,,,
48.495149999999995,7,2-3,,,
48.82845,7,j3-4,,,
49.295069999999996,7,lp4,,,
49.62837,MOT_control_all,zero_zoom10,,
49.96167,6,j2-3,,,
49.96167,7,w4,,,
50.36163,6,lp3,,,
51.06156,6,3-4,,,
51.394859999999994,6,4-1,,,
51.728159999999995,6,1-2,,,
52.094789999999996,6,j2-3,,,
52.62807,6,lp3,,,
54.194579999999995,MOT_control_all,zero_zoom10_1,,
54.527879999999996,9,j2-3,,,
54.527879999999996,6,w3,,,
54.994499999999995,9,lp3,,,
55.6611,9,hj3,,,
56.39436,9,j3-4,,,
56.82765,9,lp4,,,
56.994299999999996,MOT_control_all,zero_zoom10_2,,
57.360929999999996,8,j2-3,,,
57.360929999999996,9,w4,,,
57.9942,8,j3-4,,,
58.39416,8,4-1,,,
58.72746,8,lp1,,,
60.260639999999995,1,j4-1,,,
60.260639999999995,8,j1-2,,,
60.260639999999995,6,j3-4,,,
60.46062,7,j4-1,,,
60.46062,9,j4-1,,,
60.660599999999995,4,j4-1,,,
60.660599999999995,2,j2-3,,,
60.86058,MOT_control_all,zero_zoom11,,
60.86058,3,j1-2,,,
60.86058,5,j1-2,,,
61.19388,1,1-2,l1,,
61.19388,2,w3,,,
61.19388,3,w2,,,
61.19388,4,w1,,,
61.19388,5,w2,,,
61.19388,6,w4,,,
61.19388,7,w1,,,
61.19388,8,w2,,,
61.19388,9,w1,,,
61.72716,1,j2-3,,,
62.227109999999996,1,3-4,lb0,,
62.627069999999996,1,lp4,,,
63.26034,1,4-1,,,
63.6603,1,lp1,,,
64.59353999999999,1,,r1,,
65.19348,1,hj1,,,
66.02673,1,1-2,rb0,,
66.39336,1,lp2,,,
66.99329999999999,1,j2-3,,,
67.39326,1,lp3,,,
67.55991,MOT_control_all,zero_zoom12,,
67.89321,8,2-3,,,
67.89321,2,3-4,,,
67.89321,3,2-3,,,
67.89321,9,1-2,,,
67.89321,1,w3,,,
68.22650999999999,8,lp3,,,
68.22650999999999,2,lp4,,,
68.22650999999999,3,lp3,,,
68.22650999999999,9,lp2,,,
68.69313,2,j4-1,,,
68.69313,3,j3-4,,,
68.85978,8,j3-4,,,
68.85978,9,j2-3,,,
69.25974,8,lp4,,,
69.25974,2,lp1,,,
69.25974,3,lp4,,,
69.25974,9,lp3,,,
70.15965,8,sj4,,,
70.15965,2,sj1,,,
70.15965,3,sj4,,,
70.15965,9,sj3,,,
70.6596,3,w4,,,
70.6596,9,w3,,,
70.6596,8,w4,,,
70.6596,2,j1-2,,,
70.6596,3,j4-1,,,
70.95957,8,j4-1,,,
70.95957,9,j3-4,,,
71.55951,8,sp1-2,,,
71.55951,2,sp2-3,,,
71.55951,3,sp1-2,,,
71.55951,9,sp4-1,,,
72.45942,8,lp2,,,
72.45942,2,lp3,,,
72.45942,3,lp2,,,
72.45942,9,lp1,,,
74.49255,4,1-2,,,
74.49255,8,w2,,,
74.49255,2,w3,,,
74.49255,3,w2,,,
74.49255,9,w1,,,
74.75918999999999,5,2-3,,,
75.09249,4,lp2,,,
75.09249,5,lp3,,,
75.42578999999999,6,j4-1,,,
75.42578999999999,2,j3-4,,,
75.42578999999999,3,j2-3,,,
75.42578999999999,7,j1-2,,,
75.9924,8,j2-3,,,
75.9924,1,j3-4,,,
75.9924,9,j1-2,,,
76.35902999999999,1,sj4,,,
76.35902999999999,2,sj4,,,
76.35902999999999,3,sj3,,,
76.39236,4,sj2,,,
76.39236,5,sj3,,,
76.39236,8,sj3,,,
76.39236,6,sj1,,,
76.39236,7,sj2,,,
76.39236,9,sj2,,,
76.52568,MOT_mc_speaker_00,white,,
76.75899,MOT_mc_light_under_00,zero_flare,,
76.75899,MOT_control_all,zero_zoom14,,
76.85898,3,w3,,,
76.85898,2,w4,,,
76.85898,1,w4,,,
76.89231,7,w2,,,
76.89231,6,w1,,,
76.89231,9,w2,,,
76.89231,8,w3,,,
76.89231,5,w3,,,
76.89231,4,w2,,,
76.9923,1,4-1,r1,,
76.9923,2,4-1,r1,,
76.9923,3,3-4,r1,,
76.9923,4,2-3,r1,,
76.9923,5,3-4,r1,,
76.9923,6,1-2,r1,,
76.9923,7,2-3,r1,,
76.9923,8,3-4,r1,,
76.9923,9,2-3,r1,,
77.15894999999999,MOT_mc_stage_color_00,r-flash,,
77.79222,1,1-2,r2,,
77.79222,2,1-2,r2,,
77.79222,3,4-1,r2,,
77.79222,4,3-4,r2,,
77.79222,5,4-1,r2,,
77.79222,6,2-3,r2,,
77.79222,7,3-4,r2,,
77.79222,8,4-1,r2,,
77.79222,9,3-4,r2,,
77.92554,MOT_mc_stage_color_00,b-flash,,
78.29217,9,j4-1,,,
78.32549999999999,7,j4-1,,,
78.35883,5,j1-2,,,
78.39215999999999,3,j1-2,,,
78.42549,1,j2-3,,,
78.45882,2,j2-3,,,
78.49215,4,j4-1,,,
78.52548,6,j3-4,,,
78.55881,8,j1-2,,,
78.69212999999999,MOT_mc_stage_color_00,y-flash,,
78.92544,1,lp3,,,
78.92544,2,lp3,,,
78.92544,3,lp2,,,
78.92544,4,lp1,,,
78.92544,5,lp2,,,
78.92544,6,lp4,,,
78.92544,7,lp1,,,
78.92544,8,lp2,,,
78.92544,9,lp1,,,
79.42539,8,j2-3,,,
79.42539,6,j4-1,,,
79.45872,7,j1-2,,,
79.45872,9,j1-2,,,
79.49204999999999,2,j3-4,,,
79.49204999999999,4,j1-2,,,
79.52538,3,j2-3,,,
79.52538,5,j2-3,,,
79.55870999999999,1,j3-4,,,
80.15865,MOT_mc_stage_color_00,r-flash,,
80.29196999999999,1,4-1,rb1,,
80.29196999999999,2,4-1,rb1,,
80.29196999999999,3,3-4,rb1,,
80.29196999999999,4,2-3,rb1,,
80.29196999999999,5,3-4,rb1,,
80.29196999999999,6,1-2,rb1,,
80.29196999999999,7,2-3,rb1,,
80.29196999999999,8,3-4,rb1,,
