0.03333,MOT_all,doremi1,,
0.03333,MOT_control_all,doremi_zoom1,,
0.03333,6,sort,-500,
0.03333,2,sort,-500,
0.03333,3,sort,-500,
0.03333,7,sort,-500,
3.06636,1,j1-2,,,
3.06636,2,j1-2,,,
3.06636,3,j1-2,,,
3.06636,4,j1-2,,,
3.06636,5,j1-2,,,
3.06636,6,j1-2,,,
3.06636,7,j1-2,,,
3.06636,8,j1-2,,,
3.06636,9,j1-2,,,
3.39966,MOT_mc_stage_color_00,b-flash,,
3.4663199999999996,1,sj2,,,
3.4663199999999996,2,sj2,,,
3.4663199999999996,3,sj2,,,
3.4663199999999996,4,sj2,,,
3.4663199999999996,5,sj2,,,
3.4663199999999996,6,sj2,,,
3.4663199999999996,7,sj2,,,
3.4663199999999996,8,sj2,,,
3.4663199999999996,9,sj2,,,
3.9662699999999997,7,w2,,,
3.9662699999999997,6,w2,,,
3.9662699999999997,3,w2,,,
3.9662699999999997,2,w2,,,
3.9662699999999997,9,w2,,,
3.9662699999999997,8,w2,,,
3.9662699999999997,5,w2,,,
3.9662699999999997,4,w2,,,
3.9662699999999997,1,w2,,,
4.69953,1,j2-3,,,
4.69953,2,j2-3,,,
4.69953,3,j2-3,,,
4.69953,4,j2-3,,,
4.69953,5,j2-3,,,
4.69953,6,j2-3,,,
4.69953,7,j2-3,,,
4.69953,8,j2-3,,,
4.69953,9,j2-3,,,
5.099489999999999,1,sj3,,,
5.099489999999999,2,sj3,,,
5.099489999999999,3,sj3,,,
5.099489999999999,4,sj3,,,
5.099489999999999,5,sj3,,,
5.099489999999999,6,sj3,,,
5.099489999999999,7,sj3,,,
5.099489999999999,8,sj3,,,
5.099489999999999,9,sj3,,,
5.5994399999999995,7,w3,,,
5.5994399999999995,6,w3,,,
5.5994399999999995,3,w3,,,
5.5994399999999995,2,w3,,,
5.5994399999999995,9,w3,,,
5.5994399999999995,8,w3,,,
5.5994399999999995,5,w3,,,
5.5994399999999995,4,w3,,,
5.5994399999999995,1,w3,,,
6.23271,6,3-4,,,
6.23271,2,3-4,,,
6.23271,3,3-4,,,
6.23271,7,3-4,,,
7.132619999999999,8,3-4,,,
7.132619999999999,4,3-4,,,
7.132619999999999,1,3-4,,,
7.132619999999999,5,3-4,,,
7.132619999999999,9,3-4,,,
7.16595,7,w4,,,
7.16595,6,w4,,,
7.16595,3,w4,,,
7.16595,2,w4,,,
7.9325399999999995,8,j4-1,,,
7.9992,6,j4-1,,,
8.065859999999999,9,w4,,,
8.065859999999999,5,w4,,,
8.065859999999999,1,w4,,,
8.065859999999999,4,j4-1,,,
8.13252,2,j4-1,,,
8.19918,1,j4-1,,,
8.265839999999999,3,j4-1,,,
8.3325,5,j4-1,,,
8.39916,7,j4-1,,,
8.465819999999999,9,j4-1,,,
8.79912,1,lp1,,,
8.79912,2,lp1,,,
8.79912,3,lp1,,,
8.79912,4,lp1,,,
8.79912,5,lp1,,,
8.79912,6,lp1,,,
8.79912,7,lp1,,,
8.79912,8,lp1,,,
8.79912,9,lp1,,,
9.56571,8,1-2,,,
9.56571,6,1-2,,,
9.56571,7,1-2,,,
9.56571,9,1-2,,,
10.298969999999999,2,1-2,,,
10.298969999999999,4,1-2,,,
10.298969999999999,3,1-2,,,
10.298969999999999,5,1-2,,,
10.498949999999999,7,w2,,,
10.498949999999999,6,w2,,,
10.498949999999999,9,w2,,,
10.498949999999999,8,w2,,,
11.06556,1,j1-2,,,
11.23221,3,w2,,,
11.23221,2,w2,,,
11.23221,5,w2,,,
11.23221,4,w2,,,
11.298869999999999,9,j2-3,,,
11.36553,7,j2-3,,,
11.43219,5,j2-3,,,
11.49885,3,j2-3,,,
11.56551,1,j2-3,,,
11.63217,2,j2-3,,,
11.69883,4,j2-3,,,
11.76549,6,j2-3,,,
11.832149999999999,8,j2-3,,,
12.16545,1,lp3,,,
12.16545,2,lp3,,,
12.16545,3,lp3,,,
12.16545,4,lp3,,,
12.16545,5,lp3,,,
12.16545,6,lp3,,,
12.16545,7,lp3,,,
12.16545,8,lp3,,,
12.16545,9,lp3,,,
12.232109999999999,MOT_control_all,doremi_zoom2,,
12.76539,1,3-4,,,
12.76539,2,3-4,,,
12.76539,3,3-4,,,
12.76539,4,3-4,,,
12.76539,5,3-4,,,
12.76539,6,3-4,,,
12.76539,7,3-4,,,
12.76539,8,3-4,,,
12.76539,9,3-4,,,
12.89871,MOT_mc_stage_color_00,r-flash,,
13.06536,1,hj4,,,
13.06536,2,hj4,,,
13.06536,3,hj4,,,
13.06536,4,hj4,,,
13.06536,5,hj4,,,
13.06536,6,hj4,,,
13.06536,7,hj4,,,
13.06536,8,hj4,,,
13.06536,9,hj4,,,
13.731959999999999,1,,l1,,
13.731959999999999,2,,l1,,
13.731959999999999,3,,l1,,
13.731959999999999,4,,l1,,
13.731959999999999,5,,l1,,
13.731959999999999,6,,l1,,
13.731959999999999,7,,l1,,
13.731959999999999,8,,l1,,
13.731959999999999,9,,l1,,
13.731959999999999,1,lp4,,,
13.731959999999999,2,lp4,,,
13.731959999999999,3,lp4,,,
13.731959999999999,4,lp4,,,
13.731959999999999,5,lp4,,,
13.731959999999999,6,lp4,,,
13.731959999999999,7,lp4,,,
13.731959999999999,8,lp4,,,
13.731959999999999,9,lp4,,,
14.43189,1,,l2,,
14.43189,2,,l2,,
14.43189,3,,l2,,
14.43189,4,,l2,,
14.43189,5,,l2,,
14.43189,6,,l2,,
14.43189,7,,l2,,
14.43189,8,,l2,,
14.43189,9,,l2,,
15.09849,1,,l3,,
15.09849,2,,l3,,
15.09849,3,,l3,,
15.09849,4,,l3,,
15.09849,5,,l3,,
15.09849,6,,l3,,
15.09849,7,,l3,,
15.09849,8,,l3,,
15.09849,9,,l3,,
15.765089999999999,1,4-1,,,
