2.3331,MOT_control_all,z_01,,
2.36643,1,1-2,,
2.36643,2,1-2,,
2.73306,1,lp2,,
2.73306,2,lp2,,
3.26634,2,2-3,r1,
3.26634,1,2-3,l1,
3.69963,1,lp3,,
3.69963,2,lp3,,
4.09959,1,3-4,,
4.16625,2,3-4,,
4.56621,2,4-1,r2,
4.56621,1,4-1,l2,
5.06616,1,j1-2,,
5.06616,2,j1-2,,
5.4994499999999995,1,lp2,,
5.4994499999999995,2,lp2,,
5.89941,MOT_all,cut01,,
5.89941,MOT_mc_light_under_00,lt,,
6.466019999999999,1,sj2,,
6.59934,2,sj2,,
6.7659899999999995,1,sj2,,
6.89931,2,sj2,,
7.232609999999999,1,hj2,,
7.29927,MOT_mc_light_center_00,l0,,
7.29927,MOT_mc_light_center_00,l0,,
7.29927,MOT_mc_light_under_00,stay,,
7.29927,2,hj2,,
8.13252,1,2-3,lb1,
8.13252,2,2-3,r3,
8.565809999999999,1,lp3,,
8.565809999999999,2,lp3,,
8.9991,1,3-4,lb0,
8.9991,2,3-4,r4,
9.43239,1,lp4,,
9.43239,2,lp4,,
10.06566,1,4-1,,
10.06566,2,4-1,,
10.43229,1,lp1,,
10.43229,2,lp1,,
10.86558,1,1-2,l1,
10.86558,2,1-2,rb3,
11.298869999999999,1,lp2,,
11.298869999999999,2,lp2,,
11.73216,1,2-3,l2,
11.73216,2,2-3,rb2,
12.16545,1,lp3,,
12.16545,2,lp3,,
13.232009999999999,1,3-4,lb1,
13.232009999999999,2,3-4,rb1,
13.6653,1,lp4,,
13.6653,2,lp4,,
14.09859,1,4-1,lb0,
14.09859,2,4-1,rb0,
14.53188,1,lp1,,
14.53188,2,lp1,,
14.9985,1,1-2,l1,
14.9985,2,1-2,r1,
15.265139999999999,1,2-3,l2,
15.265139999999999,2,2-3,r2,
15.59844,1,lp3,,
15.59844,2,lp3,,
16.331699999999998,1,j3-4,,
16.331699999999998,2,j3-4,,
16.9983,1,4-1,,
17.26494,2,4-1,,
17.564909999999998,MOT_control_all,z_02_01,,
17.564909999999998,MOT_mc_stage_color_00,r-flash,,
17.564909999999998,2,1-2,,f1
17.93154,1,w1,,
18.06486,2,lp2,,
18.3315,2,2-3,rb1,
18.73146,2,lp3,,
20.3313,2,3-4,rb0,
20.797919999999998,2,lp4,,
21.46452,2,4-1,r1,
21.89781,2,lp1,,
22.231109999999997,2,1-2,r2,
22.597739999999998,2,lp2,,
22.93104,2,j2-3,,
23.46432,2,lp3,,
24.53088,2,j3-4,,
24.93084,2,lp4,,
25.43079,2,sj4,,
25.79742,2,4-1,,
26.19738,2,lp1,,
27.16395,2,j1-2,,
27.23061,MOT_all,cut02,,
27.897209999999998,2,2-3,r3,
28.16385,MOT_control_all,z_02_02,,
28.16385,MOT_mc_light_center_00,ship,,
28.16385,MOT_mc_light_up_00,stay,,
28.330499999999997,1,1-2,,f1
28.83045,2,w3,,
29.03043,1,2-3,lb1,
29.03043,2,3-4,rb1,
29.6637,1,j3-4,,
29.6637,2,j4-1,,
30.130319999999998,1,4-1,lb0,
30.130319999999998,2,1-3,rb0,
30.59694,1,sp1-2,,
31.06356,2,w3,,
31.26354,1,j2-3,,
31.69683,1,lp3,,
32.03013,1,j3-4,,
32.49675,1,lp4,,
33.096689999999995,1,j4-1,,
33.096689999999995,2,j3-2,,
33.79662,1,1-2,,
33.79662,2,2-3,,
34.39656,1,j2-3,,
34.39656,2,j3-4,,
34.86318,1,j3-4,,
34.86318,2,j4-1,,
35.3298,1,sp4-1,,
35.79642,2,w1,,
35.9964,1,j1-2,,
36.42969,1,lp2,,
37.22961,2,1-4,,
37.22961,1,j2-3,,
37.69623,1,lp3,,
38.16285,2,w4,,
38.46282,1,3-4,,
38.82945,1,4-3,,
38.82945,2,j4-2,,
39.29607,2,lp2,,
39.76269,1,w3,,
39.89601,2,j2-3,,
40.362629999999996,2,lp3,,
40.52928,2,3-4,r1,
40.92924,2,lp4,,
41.46252,2,4-1,rb0,
41.89581,2,lp1,,
42.49575,2,sp1-2,,
43.49565,1,j3-4,,
43.49565,2,sj2,,
43.86228,2,lp2,,
44.19558,1,4-1,,
44.19558,2,2-3,r1,
44.62887,1,lp1,,
44.62887,2,lp3,,
44.92884,1,sp1-2,,
44.92884,2,sp3-4,,
46.062059999999995,1,j2-3,,
46.062059999999995,2,j4-1,,
46.69533,1,lp3,,
46.69533,2,lp1,,
46.895309999999995,1,3-4,l1,
46.895309999999995,2,1-2,r2,
47.295269999999995,1,4-1,l2,
47.82855,2,w2,,
48.22851,1,sp1-2,,
48.22851,2,sp2-3,,
48.3285,MOT_control_all,z_sabi,,
48.3285,MOT_mc_light_center_00,l1,,
48.3285,MOT_mc_light_up_00,l1,,
48.528479999999995,1,hj2,,
48.528479999999995,2,hj3,,
49.22841,MOT_mc_stage_color_00,r-flash,,
49.361729999999994,1,j2-3,,
49.361729999999994,2,j3-4,,
49.79502,1,lp3,,
49.79502,2,lp4,,
50.19498,1,3-4,l3,
50.19498,2,4-1,r3,
50.528279999999995,1,j4-1,,
50.528279999999995,2,j1-2,,
51.06156,1,lp1,,
51.06156,2,lp2,,
51.728159999999995,1,1-2,,
51.92814,2,2-3,,
52.3281,1,j2-3,,
52.3281,2,j3-4,,
52.76139,1,lp3,,
52.76139,2,lp4,,
53.26134,2,4-1,,
53.427989999999994,1,3-4,,
53.86128,MOT_control_all,z_sabi_mizuki,,
53.92794,1,4-1,,f2
54.194579999999995,2,w1,,
54.527879999999996,1,1-2,lb2,
54.927839999999996,1,lp2,,
55.59444,1,2-3,lb1,
55.9944,1,lp3,,
56.42769,1,j3-4,,
56.960969999999996,1,4-1,l2,
57.360929999999996,1,lp1,,
58.02753,1,1-2,l3,
58.42749,1,lp2,,b1
59.16075,1,sp2-3,,
59.16075,2,sp1-2,,
59.22741,MOT_control_all,z_sabi_02,,
59.860679999999995,1,sj3,,
59.860679999999995,2,sj2,,
60.227309999999996,1,3-4,lb2,
60.227309999999996,2,2-3,rb2,
60.660599999999995,1,lp4,,
60.660599999999995,2,lp3,,
60.86058,1,4-1,lb1,
60.86058,2,3-4,rb1,
61.36053,1,lp1,,
61.36053,2,lp4,,
62.06046,1,1-2,lb0,
62.06046,2,4-1,rb0,
62.49375,1,lp2,,
62.49375,2,lp1,,
62.727059999999994,1,2-3,,
62.727059999999994,2,1-2,,
63.160349999999994,1,lp3,,
63.160349999999994,2,lp2,,
63.327,1,sj3,,
63.39366,2,sj2,,
63.76029,1,lp3,,
63.76029,2,lp2,,
64.19358,MOT_control_all,z_sabi_03,,
64.29357,2,2-3,,f2
64.69353,2,lp3,,
64.9935,2,3-4,l1,
65.42679,2,lp4,,
66.02673,2,4-1,l2,
66.46002,2,lp1,,
66.82665,2,1-2,,
67.22661,2,j2-3,,
67.62657,2,3-4,lb1,
68.05986,2,lp4,,
68.65979999999999,2,4-1,lb0,
69.02642999999999,2,sp1-2,,
69.75968999999999,2,sj2,,
70.19297999999999,2,lp2,,
71.25954,MOT_control_all,z_sabi_04,,
71.62617,2,,,b1
72.29276999999999,1,3-4,l1,
72.29276999999999,2,2-3,r1,
72.69273,1,4-1,,
72.69273,2,3-4,,
73.19268,1,lp1,,
73.19268,2,lp4,,
73.79262,1,1-2,lb0,
73.79262,2,4-1,rb0,
74.19257999999999,1,lp2,,
74.19257999999999,2,lp1,,
