0.03333,MOT_all,cut1,,
1.3332,MOT_all,cut2,,
1.3332,MOT_mc_bg_black_00,seat100-0,,
3.49965,MOT_control_all,cut1,,
3.49965,MOT_mc_stage_color_00,b-flash,,
3.49965,MOT_mc_light_center_00,l1,,
3.49965,MOT_mc_light_under_00,l1,,
3.49965,1,1-2,,,
3.49965,2,1-2,,,
3.49965,3,1-2,,,
4.26624,MOT_mc_stage_color_00,b-out,,
4.26624,MOT_mc_light_center_00,l1,,
4.26624,1,2-3,,,
4.26624,2,2-3,,,
4.26624,3,2-3,,,
5.06616,MOT_mc_light_center_00,l1,,
5.06616,1,3-4,,,
5.06616,2,3-4,,,
5.06616,3,3-4,,,
5.89941,MOT_mc_light_center_00,l1,,
5.89941,1,4-1,,,
5.89941,2,4-1,,,
5.89941,3,4-1,,,
6.83265,MOT_all,cut3,,
6.83265,3,w1,,,
6.83265,2,w1,,,
6.83265,1,w1,,,
6.83265,MOT_mc_stage_color_00,b-flash,,
6.83265,1,1-2,,,
6.83265,2,1-2,,,
6.83265,3,1-2,,,
6.83265,2,,,f1,
7.69923,MOT_all,cut4,,
7.69923,MOT_mc_stage_color_00,y-flash,,
7.69923,1,2-3,,,
7.69923,2,2-3,,,
7.69923,3,2-3,,,
7.69923,3,,,f1,
8.565809999999999,MOT_all,cut5,,
8.565809999999999,MOT_mc_stage_color_00,r-flash,,
8.565809999999999,1,3-4,,,
8.565809999999999,2,3-4,,,
8.565809999999999,3,3-4,,,
8.565809999999999,1,,,f1,
9.03243,MOT_mc_stage_color_00,r-out,,
9.43239,1,sp4-1,,,
9.43239,2,sp4-1,,,
9.43239,3,sp4-1,,,
10.26564,1,j1-2,,,
10.26564,2,j1-2,,,
10.26564,3,j1-2,,,
11.198879999999999,1,2-3,,,
11.198879999999999,2,2-3,,,
11.198879999999999,3,2-3,,,
12.06546,1,3-4,,,
12.06546,2,3-4,,,
12.06546,3,3-4,,,
12.932039999999999,1,4-1,,,
12.932039999999999,2,4-1,,,
12.932039999999999,3,4-1,,,
13.76529,1,1-2,,,
13.76529,2,1-2,,,
