0.03333,MOT_all,cut1,,
0.03333,MOT_control_all,stay,,
0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,2,sort,-500,
0.03333,3,sort,-500,
0.16665,MOT_mc_special_01,open,,
0.53328,MOT_mc_bg_black_00,seat100-0,,
1.46652,MOT_control_all,sing01,,
1.8331499999999998,1,1-2,,,
1.89981,2,1-2,,,
1.89981,3,1-2,,,
1.9331399999999999,MOT_mc_bg_black_00,b80-45,,
1.9331399999999999,MOT_mc_stage_color_00,r-flash,,
1.9331399999999999,MOT_mc_light_under_00,l1,,
1.96647,4,1-2,,,
1.96647,5,1-2,,,
2.5997399999999997,1,2-3,,,
2.5997399999999997,2,2-3,,,
2.5997399999999997,3,2-3,,,
2.5997399999999997,4,2-3,,,
2.5997399999999997,5,2-3,,,
3.0330299999999997,1,lp3,,,
3.0330299999999997,2,lp3,,,
3.0330299999999997,3,lp3,,,
3.0330299999999997,4,lp3,,,
3.0330299999999997,5,lp3,,,
3.89961,1,3-4,,,
3.9662699999999997,2,3-4,,,
3.9662699999999997,3,3-4,,,
4.0329299999999995,4,3-4,,,
4.0329299999999995,5,3-4,,,
4.39956,1,lp4,,,
4.39956,2,lp4,,,
4.39956,3,lp4,,,
4.39956,4,lp4,,,
4.39956,5,lp4,,,
5.2994699999999995,1,j4-1,,,
5.36613,2,j4-1,,,
5.36613,3,j4-1,,,
5.43279,4,j4-1,,,
5.43279,5,j4-1,,,
5.83275,1,lp1,,,
5.83275,2,lp1,,,
5.83275,3,lp1,,,
5.83275,4,lp1,,,
5.83275,5,lp1,,,
6.83265,1,j1-2,,,
7.06596,2,j1-2,,,
7.06596,3,j1-2,,,
7.29927,4,j1-2,,,
7.29927,5,j1-2,,,
7.79922,1,2-3,,,
7.79922,2,2-3,,,
7.79922,3,2-3,,,
7.79922,4,2-3,,,
7.79922,5,2-3,,,
8.265839999999999,1,3-4,l1,,
8.265839999999999,2,3-4,l1,,
8.265839999999999,3,3-4,l1,,
8.265839999999999,4,3-4,l1,,
8.265839999999999,5,3-4,l1,,
8.665799999999999,1,lp4,,,
8.665799999999999,2,lp4,,,
8.665799999999999,3,lp4,,,
8.665799999999999,4,lp4,,,
8.665799999999999,5,lp4,,,
9.26574,1,4-1,l2,,
9.3324,2,4-1,l2,,
9.3324,3,4-1,l2,,
9.39906,4,4-1,l2,,
9.39906,5,4-1,l2,,
9.76569,1,lp1,,,
9.76569,2,lp1,,,
9.76569,3,lp1,,,
9.76569,4,lp1,,,
9.76569,5,lp1,,,
10.73226,1,1-2,lb1,,
10.73226,2,1-2,lb1,,
10.73226,3,1-2,lb1,,
10.73226,4,1-2,lb1,,
10.73226,5,1-2,lb1,,
11.13222,1,lp2,,,
11.13222,2,lp2,,,
11.13222,3,lp2,,,
11.13222,4,lp2,,,
11.13222,5,lp2,,,
11.73216,1,2-3,lb0,,
11.79882,2,2-3,lb0,,
11.79882,3,2-3,lb0,,
11.86548,4,2-3,lb0,,
11.86548,5,2-3,lb0,,
12.232109999999999,1,lp3,,,
12.232109999999999,2,lp3,,,
12.232109999999999,3,lp3,,,
12.232109999999999,4,lp3,,,
12.232109999999999,5,lp3,,,
12.86538,1,j3-4,,,
12.932039999999999,2,j3-4,,,
12.932039999999999,3,j3-4,,,
12.9987,4,j3-4,,,
12.9987,5,j3-4,,,
13.36533,1,lp4,,,
13.36533,2,lp4,,,
13.36533,3,lp4,,,
13.36533,4,lp4,,,
13.36533,5,lp4,,,
13.9986,MOT_mc_bg_black_00,b45-65,,
14.065259999999999,MOT_mc_stage_color_00,r-flash,,
14.065259999999999,MOT_mc_light_up_00,l3,,
14.065259999999999,1,hj4,,,
14.065259999999999,2,hj4,,,
14.065259999999999,3,hj4,,,
14.065259999999999,4,hj4,,,
14.065259999999999,5,hj4,,,
14.9985,1,lp4,,,
14.9985,2,lp4,,,
14.9985,3,lp4,,,
14.9985,4,lp4,,,
14.9985,5,lp4,,,
15.29847,1,4-1,,,
15.29847,2,4-1,,,
15.29847,3,4-1,,,
15.29847,4,4-1,,,
15.29847,5,4-1,,,
15.665099999999999,1,lp1,,,
15.665099999999999,2,lp1,,,
15.665099999999999,3,lp1,,,
15.665099999999999,4,lp1,,,
15.665099999999999,5,lp1,,,
16.79832,1,1-2,r1,,
16.79832,2,1-2,r1,,
16.79832,3,1-2,r1,,
16.79832,4,1-2,r1,,
16.79832,5,1-2,r1,,
17.19828,1,lp2,,,
17.19828,2,lp2,,,
17.19828,3,lp2,,,
17.19828,4,lp2,,,
17.19828,5,lp2,,,
17.79822,1,2-3,r2,,
17.86488,2,2-3,r2,,
17.86488,3,2-3,r2,,
17.93154,4,2-3,r2,,
17.93154,5,2-3,r2,,
18.26484,1,lp3,,,
18.26484,2,lp3,,,
18.26484,3,lp3,,,
18.26484,4,lp3,,,
18.26484,5,lp3,,,
18.83145,1,j3-4,,,
18.964769999999998,2,j3-4,,,
18.964769999999998,3,j3-4,,,
19.09809,4,j3-4,,,
19.09809,5,j3-4,,,
19.53138,1,lp4,,,
19.53138,2,lp4,,,
19.53138,3,lp4,,,
19.53138,4,lp4,,,
19.53138,5,lp4,,,
19.83135,1,4-1,rb1,,
19.83135,2,4-1,rb1,,
19.83135,3,4-1,rb1,,
19.83135,4,4-1,rb1,,
19.83135,5,4-1,rb1,,
20.197979999999998,1,lp1,,,
20.197979999999998,2,lp1,,,
20.197979999999998,3,lp1,,,
20.197979999999998,4,lp1,,,
20.197979999999998,5,lp1,,,
20.797919999999998,1,j1-2,,,
21.197879999999998,2,j1-2,,,
21.197879999999998,3,j1-2,,,
21.49785,4,j1-2,,,
21.49785,5,j1-2,,,
21.86448,1,lp2,,,
21.86448,2,lp2,,,
21.86448,3,lp2,,,
21.86448,4,lp2,,,
21.86448,5,lp2,,,
22.197779999999998,1,2-3,rb0,,
22.26444,2,2-3,rb0,,
22.26444,3,2-3,rb0,,
22.3311,4,2-3,rb0,,
22.3311,5,2-3,rb0,,
22.6644,1,lp3,,,
22.6644,2,lp3,,,
22.6644,3,lp3,,,
22.6644,4,lp3,,,
22.6644,5,lp3,,,
22.89771,1,3-4,,,
22.96437,2,3-4,,,
22.96437,3,3-4,,,
23.031029999999998,4,3-4,,,
23.031029999999998,5,3-4,,,
23.36433,1,lp4,,,
