0.00000,2,sort,-1400,
0.00000,3,sort,-5000,
0.03333,MOT_mc_bg_black_00,seat100-0,,
1.3332,1,sj1,,,
1.6664999999999999,2,sj1,,,
1.8331499999999998,1,w1,,,
2.03313,3,sj1,,,
2.1664499999999998,2,w1,,,
2.29977,1,sj1,,,
2.4997499999999997,2,sj1,,,
2.53308,3,w1,,,
2.6997299999999997,3,sj1,,,
2.7997199999999998,1,w1,,,
2.93304,1,sj1,,,
2.93304,2,sj1,,,
2.93304,3,sj1,,,
3.39966,1,1-2,,,
3.39966,2,1-2,,,
3.39966,3,1-2,,,
3.79962,1,2-3,,,
3.79962,2,2-3,,,
3.79962,3,2-3,,,
4.19958,1,3-4,,,
4.19958,2,3-4,,,
4.19958,3,3-4,,,
4.53288,1,4-1,,,
4.53288,2,4-1,,,
4.53288,3,4-1,,,
4.76619,3,1-2,,f1,
4.76619,3,sort,-5000,
4.899509999999999,MOT_control_all,z01,,
4.899509999999999,MOT_all,cut1,,
5.46612,2,w1,,,
5.46612,1,w1,,,
5.5994399999999995,3,sj2,,,
5.966069999999999,3,2-3,,,
6.29937,3,j3-4,,,
6.79932,3,lp4,,,
7.56591,3,4-1,,,
8.065859999999999,3,j1-2,,,
8.13252,MOT_control_all,z02,,
8.53248,3,2-3,,b0,
8.53248,2,1-2,,f1,
8.53248,3,sort,-5000,
8.53248,2,sort,-1400,
8.96577,2,lp2,,,
9.3324,2,j2-3,,,
9.46572,3,w3,,,
9.799019999999999,2,lp3,,,
10.23231,2,3-4,r1,,
10.998899999999999,2,4-1,rb0,,
11.59884,2,1-2,,,
11.96547,2,j2-3,,,
12.06546,MOT_control_all,z03,,
12.39876,2,3-4,,b0,
12.39876,2,sort,-1400,
12.39876,1,1-2,,f1,
13.09869,1,j2-3,,,
13.331999999999999,2,w4,,,
13.531979999999999,1,3-4,l1,,
13.931939999999999,1,sp4-1,,,
14.49855,1,1-2,lb0,,
14.83185,MOT_control_all,z04,,
15.03183,1,2-3,,,
15.03183,2,4-1,,f1,
15.03183,3,3-4,,f1,
15.03183,2,sort,-1400,
15.03183,3,sort,-5000,
15.69843,1,3-4,,,
15.69843,2,1-2,,,
15.69843,3,4-1,r1,,
16.131719999999998,1,4-1,,,
16.131719999999998,2,2-3,,,
16.131719999999998,3,1-2,r2,,
