3.16635,MOT_mc_special_04,in,,
3.16635,MOT_all,cut1,,
3.36633,1,1-2,,,
3.36633,2,1-2,,,
3.36633,3,1-2,,,
3.36633,4,1-2,,,
3.36633,5,1-2,,,
3.73296,1,lp2,,,
3.73296,2,lp2,,,
3.73296,3,lp2,,,
3.73296,4,lp2,,,
3.73296,5,lp2,,,
5.06616,1,2-3,,,
5.06616,2,2-3,,,
5.06616,3,2-3,,,
5.06616,4,2-3,,,
5.06616,5,2-3,,,
5.43279,1,lp3,,,
5.43279,2,lp3,,,
5.43279,3,lp3,,,
5.43279,4,lp3,,,
5.43279,5,lp3,,,
6.59934,1,j3-4,,,
6.6659999999999995,2,j3-4,,,
6.6659999999999995,3,j3-4,,,
6.73266,4,j3-4,,,
6.73266,5,j3-4,,,
7.19928,1,lp4,,,
7.19928,2,lp4,,,
7.19928,3,lp4,,,
7.19928,4,lp4,,,
7.19928,5,lp4,,,
7.69923,4,4-1,r1,,
7.69923,5,4-1,l1,,
7.9992,2,4-1,r1,,
7.9992,3,4-1,l1,,
8.265839999999999,1,4-1,,,
8.63247,5,w1,,,
8.63247,4,w1,,,
8.63247,1,lp1,,,
8.63247,2,lp1,,,
8.63247,3,lp1,,,
8.63247,4,lp1,,,
8.63247,5,lp1,,,
10.23231,1,1-2,,,
10.298969999999999,2,1-2,,,
10.298969999999999,3,1-2,,,
10.36563,4,1-2,,,
10.36563,5,1-2,,,
10.73226,1,lp2,,,
10.73226,2,lp2,,,
10.73226,3,lp2,,,
10.73226,4,lp2,,,
10.73226,5,lp2,,,
11.932139999999999,1,2-3,,,
11.932139999999999,2,2-3,,,
11.932139999999999,3,2-3,,,
11.932139999999999,4,2-3,,,
11.932139999999999,5,2-3,,,
12.26544,1,lp3,,,
12.26544,2,lp3,,,
12.26544,3,lp3,,,
12.26544,4,lp3,,,
12.26544,5,lp3,,,
13.331999999999999,1,j3-4,,,
13.39866,2,j3-4,,,
13.39866,3,j3-4,,,
13.46532,4,j3-4,,,
13.46532,5,j3-4,,,
13.89861,1,lp4,,,
13.89861,2,lp4,,,
13.89861,3,lp4,,,
13.89861,4,lp4,,,
13.89861,5,lp4,,,
14.49855,MOT_all,cut2,,
14.665199999999999,4,4-1,,,
14.665199999999999,5,4-1,,,
