0.03333,MOT_control_all,zoom1,,
0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,MOT_mc_light_center_00,stay_off,,
0.03333,MOT_all,cut1,,
0.03333,1,,,,Dred
0.03333,2,,,,Dred
0.03333,3,,,,Dred
0.03333,4,,,,Dred
0.03333,5,,,,Dred
0.06666,MOT_mc_special_01,open,,
1.89981,1,1-2,,,
1.89981,2,1-2,,,
1.89981,3,1-2,,,
1.89981,4,1-2,,,
1.89981,5,1-2,,,
1.9331399999999999,MOT_mc_stage_color_00,r-flash,,
1.9331399999999999,MOT_mc_bg_black_00,b80-45,,
1.9331399999999999,MOT_mc_light_under_00,l1,,
2.29977,1,lp2,,,
2.29977,2,lp2,,,
2.29977,3,lp2,,,
2.29977,4,lp2,,,
2.29977,5,lp2,,,
3.2330099999999997,1,2-3,,,
3.2330099999999997,2,2-3,,,
3.2330099999999997,3,2-3,,,
3.2330099999999997,4,2-3,,,
3.2330099999999997,5,2-3,,,
4.06626,1,3-4,,,
4.16625,5,w3,,,
4.16625,4,w3,,,
4.16625,3,w3,,,
4.16625,2,3-4,,,
4.16625,3,3-4,,,
4.26624,4,3-4,,,
4.26624,5,3-4,,,
4.59954,1,lp4,,,
4.59954,2,lp4,,,
4.59954,3,lp4,,,
4.59954,4,lp4,,,
4.59954,5,lp4,,,
5.2994699999999995,1,j4-1,,,
5.36613,2,j4-1,,,
5.36613,3,j4-1,,,
5.43279,4,j4-1,,,
5.43279,5,j4-1,,,
5.83275,1,lp1,,,
5.83275,2,lp1,,,
5.83275,3,lp1,,,
5.83275,4,lp1,,,
5.83275,5,lp1,,,
6.49935,1,j1-2,,,
6.59934,2,j1-2,,,
6.59934,3,j1-2,,,
6.69933,4,j1-2,,,
6.69933,5,j1-2,,,
6.9993,1,lp2,,,
6.9993,2,lp2,,,
6.9993,3,lp2,,,
6.9993,4,lp2,,,
6.9993,5,lp2,,,
8.065859999999999,4,2-3,,,
8.065859999999999,5,2-3,,,
8.9991,5,w3,,,
8.9991,4,w3,,,
9.23241,2,2-3,,,
9.23241,3,2-3,,,
10.16565,3,w3,,,
10.16565,2,w3,,,
10.46562,1,2-3,,,
11.398859999999999,1,w3,,,
11.63217,1,3-4,,,
11.63217,2,3-4,,,
11.63217,3,3-4,,,
11.63217,4,3-4,,,
11.63217,5,3-4,,,
12.56541,5,w4,,,
12.56541,4,w4,,,
12.56541,3,w4,,,
12.56541,2,w4,,,
12.56541,1,w4,,,
13.79862,1,4-1,l1,,
13.79862,2,4-1,l1,,
13.79862,3,4-1,l1,,
13.79862,4,4-1,l1,,
13.79862,5,4-1,l1,,
13.9986,MOT_mc_bg_black_00,b45-65,,
14.03193,MOT_mc_stage_color_00,y-flash,,
14.065259999999999,MOT_mc_light_center_00,stay_flash,,
14.065259999999999,MOT_mc_light_up_00,l3,,
14.065259999999999,1,,,,Lred
14.065259999999999,2,,,,Lred
14.065259999999999,3,,,,Lred
14.065259999999999,4,,,,Lred
14.065259999999999,5,,,,Lred
14.19858,1,lp1,,,
14.19858,2,lp1,,,
14.19858,3,lp1,,,
14.19858,4,lp1,,,
14.19858,5,lp1,,,
14.79852,1,1-2,l2,,
14.865179999999999,2,1-2,l2,,
14.865179999999999,3,1-2,l2,,
14.93184,4,1-2,l2,,
14.93184,5,1-2,l2,,
15.29847,1,lp2,,,
15.29847,2,lp2,,,
15.29847,3,lp2,,,
15.29847,4,lp2,,,
15.29847,5,lp2,,,
16.23171,1,2-3,lb1,,
16.23171,2,2-3,lb1,,
16.23171,3,2-3,lb1,,
16.23171,4,2-3,lb1,,
16.23171,5,2-3,lb1,,
16.59834,1,lp3,,,
16.59834,2,lp3,,,
16.59834,3,lp3,,,
16.59834,4,lp3,,,
16.59834,5,lp3,,,
17.26494,1,3-4,lb0,,
17.331599999999998,2,3-4,lb0,,
17.331599999999998,3,3-4,lb0,,
17.39826,4,3-4,lb0,,
17.39826,5,3-4,lb0,,
17.764889999999998,1,lp4,,,
17.764889999999998,2,lp4,,,
17.764889999999998,3,lp4,,,
17.764889999999998,4,lp4,,,
17.764889999999998,5,lp4,,,
18.39816,1,j4-1,,,
18.46482,2,j4-1,,,
18.46482,3,j4-1,,,
18.53148,4,j4-1,,,
18.53148,5,j4-1,,,
18.89811,1,lp1,,,
18.89811,2,lp1,,,
18.89811,3,lp1,,,
18.89811,4,lp1,,,
18.89811,5,lp1,,,
19.63137,1,hj1,,,
19.63137,2,hj1,,,
19.63137,3,hj1,,,
19.63137,4,hj1,,,
19.63137,5,hj1,,,
20.56461,1,1-2,,,
