0.00000,2,sort,-10000,
0.00000,3,sort,-10000,
0.00000,6,sort,-10000,
0.00000,7,sort,-10000,
0.03333,MOT_mc_bg_black_00,seat100-0,,
1.49985,1,1-2,,,
1.5665099999999998,2,1-2,,,
1.5665099999999998,3,1-2,,,
1.63317,4,1-2,,,
1.63317,5,1-2,,,
1.69983,6,1-2,,,
1.69983,7,1-2,,,
2.09979,1,lp2,,,
2.09979,2,lp2,,,
2.09979,3,lp2,,,
2.09979,4,lp2,,,
2.09979,5,lp2,,,
2.09979,6,lp2,,,
2.09979,7,lp2,,,
4.59954,1,2-3,,,
4.59954,2,2-3,,,
4.59954,3,2-3,,,
4.59954,4,2-3,,,
4.59954,5,2-3,,,
4.59954,6,2-3,,,
4.59954,7,2-3,,,
5.03283,1,lp3,,,
5.03283,2,lp3,,,
5.03283,3,lp3,,,
5.03283,4,lp3,,,
5.03283,5,lp3,,,
5.03283,6,lp3,,,
5.03283,7,lp3,,,
7.132619999999999,MOT_mc_light_center_00,l1,,
7.132619999999999,MOT_mc_light_up_00,l1,,
7.132619999999999,MOT_mc_light_under_00,l1,,
7.132619999999999,MOT_mc_stage_color_00,y-flash,,
7.132619999999999,MOT_control_all,z0,,
7.132619999999999,MOT_all,cut1,,
7.46592,2,j3-4,,,
7.46592,3,j3-4,,,
7.46592,6,j3-4,,,
7.46592,7,j3-4,,,
7.8325499999999995,2,4-1,,,
7.8325499999999995,3,4-1,,,
7.8325499999999995,6,4-1,,,
7.8325499999999995,7,4-1,,,
8.165849999999999,2,j1-2,,,
8.165849999999999,3,j1-2,,,
8.165849999999999,6,j1-2,,,
8.165849999999999,7,j1-2,,,
8.43249,1,j3-4,,,
8.43249,4,j3-4,,,
8.43249,5,j3-4,,,
8.79912,1,j4-1,,,
8.79912,4,j4-1,,,
8.79912,5,j4-1,,,
9.23241,7,w2,,,
9.23241,6,w2,,,
9.23241,3,w2,,,
9.23241,2,w2,,,
9.26574,1,1-2,,,
9.26574,4,1-2,l1,,
9.26574,5,1-2,r1,,
9.63237,1,sj2,,,
9.63237,4,sj2,,,
9.63237,5,sj2,,,
10.03233,1,j2-3,,,
10.03233,4,j2-3,,,
10.03233,5,j2-3,,,
10.298969999999999,2,2-3,,,
10.298969999999999,3,2-3,,,
10.298969999999999,6,2-3,,,
10.298969999999999,7,2-3,,,
10.6656,2,sj3,,,
10.6656,3,sj3,,,
10.6656,6,sj3,,,
10.6656,7,sj3,,,
10.998899999999999,2,j3-4,,,
10.998899999999999,3,j3-4,,,
10.998899999999999,6,j3-4,,,
10.998899999999999,7,j3-4,,,
11.098889999999999,5,w3,,,
11.098889999999999,4,w3,,,
11.098889999999999,1,w3,,,
11.3322,1,j3-4,,,
11.3322,4,j3-4,,,
11.3322,5,j3-4,,,
11.69883,1,j4-1,,,
11.69883,4,j4-1,,,
11.69883,5,j4-1,,,
12.06546,7,w4,,,
12.06546,6,w4,,,
12.06546,3,w4,,,
12.06546,2,w4,,,
12.16545,1,1-2,,,
12.16545,4,1-2,l2,,
12.16545,5,1-2,r2,,
12.532079999999999,1,sj2,,,
12.532079999999999,4,sj2,,,
12.532079999999999,5,sj2,,,
12.86538,1,j2-3,,,
12.86538,4,j2-3,,,
12.86538,5,j2-3,,,
12.9987,2,sj4,,,
12.9987,3,sj4,,,
12.9987,6,sj4,,,
12.9987,7,sj4,,,
13.331999999999999,2,4-1,,,
13.331999999999999,3,4-1,,,
13.331999999999999,6,4-1,,,
13.331999999999999,7,4-1,,,
13.69863,2,j1-2,,,
13.69863,3,j1-2,,,
13.69863,6,j1-2,,,
13.69863,7,j1-2,,,
13.931939999999999,5,w3,,,
13.931939999999999,4,w3,,,
13.931939999999999,1,w3,,,
13.9986,1,3-4,,,
13.9986,4,3-4,,,
13.9986,5,3-4,,,
14.365229999999999,1,j4-1,,,
14.365229999999999,4,j4-1,,,
14.365229999999999,5,j4-1,,,
14.765189999999999,7,w2,,,
14.765189999999999,6,w2,,,
14.765189999999999,3,w2,,,
14.765189999999999,2,w2,,,
14.865179999999999,1,1-2,,,
14.865179999999999,4,1-2,lb1,,
14.865179999999999,5,1-2,rb1,,
15.23181,1,2-3,,,
15.23181,4,2-3,,,
15.23181,5,2-3,,,
15.59844,1,j3-4,,,
15.59844,4,j3-4,,,
15.59844,5,j3-4,,,
15.83175,2,sj2,,,
15.83175,3,sj2,,,
15.83175,6,sj2,,,
15.83175,7,sj2,,,
16.16505,2,j2-3,,,
16.16505,3,j2-3,,,
16.16505,6,j2-3,,,
16.16505,7,j2-3,,,
16.531679999999998,2,hj3,,,
16.531679999999998,3,hj3,,,
16.531679999999998,6,hj3,,,
16.531679999999998,7,hj3,,,
16.665,5,w4,,,
16.665,4,w4,,,
16.665,1,w4,,,
16.83165,1,4-1,,,
16.83165,4,4-1,,,
16.83165,5,4-1,,,
17.29827,1,1-2,,,
17.29827,4,1-2,lb0,,
17.29827,5,1-2,rb0,,
17.69823,1,j2-3,,,
17.69823,4,j2-3,,,
17.69823,5,j2-3,,,
17.764889999999998,7,w3,,,
17.764889999999998,6,w3,,,
17.764889999999998,3,w3,,,
17.764889999999998,2,w3,,,
18.03153,1,3-4,,,
18.03153,2,3-4,,,
18.03153,3,3-4,,,
18.03153,4,3-4,,,
18.03153,5,3-4,,,
18.03153,6,3-4,,,
18.03153,7,3-4,,,
18.39816,1,hj4,,,
18.43149,2,hj4,,,
18.43149,3,hj4,,,
18.46482,MOT_control_all,z0_2,,
18.46482,4,hj4,,,
18.46482,5,hj4,,,
18.49815,6,hj4,,,
18.49815,7,hj4,,,
19.164749999999998,1,lp4,,,
19.164749999999998,2,lp4,,,
19.164749999999998,3,lp4,,,
19.164749999999998,4,lp4,,,
19.164749999999998,5,lp4,,,
19.164749999999998,6,lp4,,,
19.164749999999998,7,lp4,,,
19.564709999999998,6,4-1,,,
19.564709999999998,4,4-1,,,
19.63137,2,4-1,,,
19.63137,1,4-1,,,
19.69803,3,4-1,,,
19.69803,5,4-1,,,
19.73136,7,4-1,,,
20.09799,MOT_mc_light_center_00,l2,,
20.13132,1,1-2,l1,,
20.13132,2,1-2,l1,,
20.13132,3,1-2,l1,,
20.13132,4,1-2,l1,,
20.13132,5,1-2,l1,,
20.13132,6,1-2,l1,,
20.13132,7,1-2,l1,,
20.49795,1,,l2,,
20.49795,2,,l2,,
20.49795,3,,l2,,
20.49795,4,,l2,,
20.49795,5,,l2,,
20.49795,6,,l2,,
20.49795,7,,l2,,
20.89791,1,lp2,,,
20.89791,2,lp2,,,
20.89791,3,lp2,,,
20.89791,4,lp2,,,
20.89791,5,lp2,,,
20.89791,6,lp2,,,
20.89791,7,lp2,,,
21.197879999999998,1,j2-3,,,
21.23121,2,j2-3,,,
21.23121,3,j2-3,,,
21.26454,4,j2-3,,,
21.26454,5,j2-3,,,
21.29787,6,j2-3,,,
21.29787,7,j2-3,,,
21.631169999999997,1,3-4,lb1,,
21.631169999999997,2,3-4,lb1,,
21.631169999999997,3,3-4,lb1,,
21.631169999999997,4,3-4,lb1,,
21.631169999999997,5,3-4,lb1,,
21.631169999999997,6,3-4,lb1,,
21.631169999999997,7,3-4,lb1,,
21.997799999999998,1,,lb0,,
21.997799999999998,2,,lb0,,
21.997799999999998,3,,lb0,,
21.997799999999998,4,,lb0,,
21.997799999999998,5,,lb0,,
21.997799999999998,6,,lb0,,
21.997799999999998,7,,lb0,,
22.397759999999998,1,lp4,,,
22.397759999999998,2,lp4,,,
22.397759999999998,3,lp4,,,
22.397759999999998,4,lp4,,,
22.397759999999998,5,lp4,,,
22.397759999999998,6,lp4,,,
22.397759999999998,7,lp4,,,
22.9977,1,4-1,r1,,
22.9977,2,4-1,r1,,
22.9977,3,4-1,r1,,
22.9977,4,4-1,r1,,
22.9977,5,4-1,r1,,
22.9977,6,4-1,r1,,
22.9977,7,4-1,r1,,
23.36433,1,,r2,,
23.36433,2,,r2,,
23.36433,3,,r2,,
23.36433,4,,r2,,
23.36433,5,,r2,,
23.36433,6,,r2,,
23.36433,7,,r2,,
23.76429,1,lp1,,,
23.76429,2,lp1,,,
23.76429,3,lp1,,,
23.76429,4,lp1,,,
23.76429,5,lp1,,,
23.76429,6,lp1,,,
23.76429,7,lp1,,,
24.064259999999997,1,j1-2,,,
24.064259999999997,2,j1-2,,,
24.064259999999997,3,j1-2,,,
24.064259999999997,4,j1-2,,,
24.064259999999997,5,j1-2,,,
24.064259999999997,6,j1-2,,,
24.064259999999997,7,j1-2,,,
24.49755,1,2-3,rb1,,
24.49755,2,2-3,rb1,,
24.49755,3,2-3,rb1,,
24.49755,4,2-3,rb1,,
24.49755,5,2-3,rb1,,
24.49755,6,2-3,rb1,,
24.49755,7,2-3,rb1,,
24.864179999999998,1,,rb0,,
24.864179999999998,2,,rb0,,
24.864179999999998,3,,rb0,,
24.864179999999998,4,,rb0,,
24.864179999999998,5,,rb0,,
24.864179999999998,6,,rb0,,
24.864179999999998,7,,rb0,,
25.19748,1,lp3,,,
25.19748,2,lp3,,,
25.19748,3,lp3,,,
25.19748,4,lp3,,,
25.19748,5,lp3,,,
25.19748,6,lp3,,,
25.19748,7,lp3,,,
25.697429999999997,1,3-4,l1,,
