0.03333,MOT_control_all,stay,,
0.03333,1,,,,D80
0.03333,2,,,,D80
0.03333,3,,,,D80
0.03333,4,,,,D80
0.03333,5,,,,D80
0.06666,MOT_all,cut1,,
2.93304,1,1-2,,,
2.93304,2,1-2,l1,,
2.93304,3,1-2,r1,,
2.93304,4,1-2,l1,,
2.93304,5,1-2,r1,,
3.5663099999999996,1,2-3,,,
3.5663099999999996,2,2-3,l2,,
3.5663099999999996,3,2-3,r2,,
3.5663099999999996,4,2-3,l2,,
3.5663099999999996,5,2-3,r2,,
4.09959,1,3-4,,,
4.09959,2,,l3,,
4.09959,3,,r3,,
4.09959,4,,l3,,
4.09959,5,,r3,,
4.49955,5,w3,,,
4.49955,4,w3,,,
4.49955,3,w3,,,
4.49955,2,w3,,,
4.56621,1,4-1,,,
4.56621,2,3-4,,,
4.56621,3,3-4,,,
4.56621,4,3-4,,,
4.56621,5,3-4,,,
4.999499999999999,1,1-2,,,
4.999499999999999,2,4-1,,,
4.999499999999999,3,4-1,,,
4.999499999999999,4,4-1,,,
4.999499999999999,5,4-1,,,
5.36613,1,j2-3,,,
5.5994399999999995,2,j1-2,,,
5.5994399999999995,3,j1-2,,,
5.76609,4,j1-2,,,
5.76609,5,j1-2,,,
6.03273,1,j3-4,,,
6.53268,1,4-1,,,
6.53268,2,2-3,lb2,,
6.53268,3,2-3,rb2,,
6.53268,4,2-3,lb2,,
6.53268,5,2-3,rb2,,
7.06596,1,1-2,,,
7.06596,2,,lb1,,
7.06596,3,,rb1,,
7.06596,4,,lb1,,
7.06596,5,,rb1,,
7.46592,5,w3,,,
7.46592,4,w3,,,
7.46592,3,w3,,,
7.46592,2,w3,,,
7.59924,1,2-3,,,
7.59924,2,3-4,,,
7.59924,3,3-4,,,
7.59924,4,3-4,,,
7.59924,5,3-4,,,
8.03253,1,3-4,,,
8.03253,2,4-1,lb0,,
8.03253,3,4-1,rb0,,
8.03253,4,4-1,lb0,,
8.03253,5,4-1,rb0,,
8.3325,1,j4-1,,,
8.59914,2,j1-2,,,
8.59914,3,j1-2,,,
8.865779999999999,4,j1-2,,,
8.865779999999999,5,j1-2,,,
9.19908,4,j2-3,,,
9.19908,5,j2-3,,,
9.39906,1,w1,,,
9.6657,3,w2,,,
9.6657,2,w2,,,
9.73236,4,hj3,,,
9.73236,5,hj3,,,
9.73236,1,hj1,,,
10.43229,2,hj2,,,
10.43229,3,hj2,,,
10.96557,5,w3,,,
10.96557,4,w3,,,
10.96557,1,w1,,,
11.06556,4,hj3,,,
11.06556,5,hj3,,,
11.06556,1,hj1,,,
11.6655,3,w2,,,
11.6655,2,j2-3,,,
11.6655,3,j2-3,,,
11.86548,4,j3-4,,,
11.86548,5,j3-4,,,
12.032129999999999,1,j1-2,,,
12.46542,2,3-4,,,
12.46542,3,3-4,,,
12.932039999999999,5,w4,,,
12.932039999999999,4,w4,,,
12.96537,1,2-3,,,
12.96537,4,4-1,,,
12.96537,5,4-1,,,
13.39866,3,w4,,,
13.39866,2,w4,,,
13.6653,MOT_mc_bg_black_00,b80-65,,
13.731959999999999,1,3-4,,f1,
13.731959999999999,2,4-1,,f1,
13.731959999999999,3,4-1,,f1,
13.731959999999999,4,1-2,,f1,
13.731959999999999,5,1-2,,f1,
13.79862,1,,,,L40
13.79862,2,,,,L40
13.79862,3,,,,L40
13.79862,4,,,,L40
13.79862,5,,,,L40
13.965269999999999,1,,,,L20
13.965269999999999,2,,,,L20
13.965269999999999,3,,,,L20
13.965269999999999,4,,,,L20
13.965269999999999,5,,,,L20
14.19858,1,sj4,,,
14.19858,2,sj1,,,
14.19858,3,sj1,,,
14.19858,4,sj2,,,
