0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,MOT_all,cut1,,
0.03333,MOT_mc_special_01,open,,
2.83305,MOT_control_all,ito_zoom1,,
3.06636,MOT_mc_stage_color_00,b-flash,,
3.06636,MOT_mc_bg_black_00,b65-80,,
3.06636,MOT_mc_light_under_00,l1,,
3.06636,2,lp1,,,D20
3.06636,3,lp1,,,D20
3.06636,4,lp1,,,D20
3.06636,5,lp1,,,D20
3.06636,1,lp1,,,D20
6.23271,1,j1-2,,,
6.73266,2,1-2,,,
6.73266,3,1-2,,,
7.29927,1,w2,,,
7.6659,3,w2,,,
7.6659,2,w2,,,
7.6659,4,1-2,,,
7.6659,5,1-2,,,
8.53248,1,2-3,,,
8.59914,5,w2,,,
8.59914,4,w2,,,
8.73246,2,2-3,,,
8.73246,3,2-3,,,
8.73246,4,2-3,,,
8.73246,5,2-3,,,
9.36573,4,3-4,,,
9.46572,1,w3,,,
9.6657,5,w3,,,
9.6657,3,w3,,,
9.6657,2,3-4,,,
9.899009999999999,1,3-4,,,
10.16565,3,3-4,,,
10.298969999999999,4,w4,,,
10.46562,5,3-4,,,
10.598939999999999,2,w4,,,
10.83225,1,w4,,,
10.96557,1,j4-1,,,
11.098889999999999,3,w4,,,
11.3322,2,4-1,,,
11.3322,3,4-1,,,
11.3322,4,4-1,,,
11.3322,5,4-1,,,
12.032129999999999,1,w1,,,
12.26544,5,w1,,,
12.26544,4,w1,,,
12.26544,3,w1,,,
12.26544,2,w1,,,
12.432089999999999,2,1-2,,,
12.432089999999999,3,1-2,,,
12.432089999999999,4,1-2,,,
12.432089999999999,5,1-2,,,
13.132019999999999,1,j1-2,,,
13.36533,5,w2,,,
13.36533,4,w2,,,
13.36533,3,w2,,,
13.36533,2,w2,,,
13.965269999999999,2,hj2,,,
13.965269999999999,3,hj2,,,
13.965269999999999,4,hj2,,,
13.965269999999999,5,hj2,,,
13.965269999999999,1,j2-3,,,
15.03183,1,w3,,,
15.19848,5,w2,,,
15.19848,4,w2,,,
15.19848,3,w2,,,
15.19848,2,w2,,,
15.59844,MOT_mc_stage_color_00,b-flash,,
15.59844,MOT_mc_bg_black_00,b65-45,,
15.59844,MOT_mc_light_under_00,l2,,
15.59844,2,lp2,,,
