0.03333,MOT_control_all,zoom1,,
0.03333,MOT_all,cut1,,
0.03333,MOT_control_all,zoom1,,
0.03333,MOT_all,cut1,,
0.03333,MOT_mc_bg_black_00,b65,,
0.03333,1,,,,D60
0.03333,2,,,,D60
0.03333,3,,,,D60
0.03333,4,,,,D60
1.9998,1,1-2,,,
1.9998,1,,,f1,
1.9998,2,1-2,,,
1.9998,3,1-2,,,
1.9998,4,1-2,,,
2.1664499999999998,1,,,,L0
2.3997599999999997,1,lp2,,,
2.93304,4,w2,,,
2.93304,3,w2,,,
2.93304,2,w2,,,
3.19968,1,2-3,,,
3.59964,1,lp3,,,
4.36623,1,j3-4,,,
5.43279,1,w4,,,
5.53278,1,4-1,,,
6.09939,1,1-2,,,
6.6659999999999995,1,j2-3,,,
7.09929,1,lp3,,,
7.89921,1,j3-4,,,
8.3325,1,lp4,,,
9.19908,1,4-1,,,
9.599039999999999,1,lp1,,,
10.26564,1,sp1-2,,,
13.89861,2,j2-3,,,
13.89861,3,j2-3,,,
13.89861,4,j2-3,,,
13.89861,1,2-3,,,
13.89861,1,,,b0,
14.09859,2,,,,L0
14.09859,3,,,,L0
14.09859,4,,,,L0
14.29857,MOT_mc_stage_color_00,b-flash,,
14.29857,MOT_mc_bg_black_00,b65-0,,
14.29857,1,,,,Lred
14.29857,2,,,,Lred
14.29857,3,,,,Lred
14.29857,4,,,,Lred
14.43189,3,sj3,,,
14.43189,4,sj3,,,
14.83185,1,w3,,,
14.865179999999999,3,3-4,,,
14.865179999999999,4,3-4,,,
14.865179999999999,1,sj3,,,
14.865179999999999,2,sj3,,,
15.365129999999999,2,w3,,,
15.365129999999999,1,w3,,,
15.365129999999999,3,sj4,,,
15.365129999999999,4,sj4,,,
15.365129999999999,1,3-4,,,
15.365129999999999,2,3-4,,,
15.865079999999999,4,w4,,,
15.865079999999999,3,w4,,,
15.89841,1,j4-1,,,
15.89841,2,j4-1,,,
15.89841,3,j4-1,,,
15.89841,4,j4-1,,,
16.09839,MOT_mc_bg_black_00,b0-45,,
16.131719999999998,MOT_mc_stage_color_00,r-flash,,
16.331699999999998,1,lp1,,,
16.331699999999998,2,lp1,,,
16.331699999999998,3,lp1,,,
16.331699999999998,4,lp1,,,
16.931639999999998,1,1-2,l1,,
16.931639999999998,2,1-2,l1,,
16.931639999999998,3,1-2,l1,,
16.931639999999998,4,1-2,l1,,
17.39826,1,2-3,,,
17.39826,2,2-3,,,
17.39826,3,2-3,,,
17.39826,4,2-3,,,
17.86488,1,3-4,lb0,,
17.86488,2,3-4,lb0,,
17.86488,3,3-4,lb0,,
17.86488,4,3-4,lb0,,
18.19818,1,lp4,,,
18.19818,2,lp4,,,
18.19818,3,lp4,,,
18.19818,4,lp4,,,
18.59814,4,j4-1,,,
18.6648,2,j4-1,,,
18.73146,1,j4-1,,,
18.79812,3,j4-1,,,
19.03143,4,j1-2,,,
19.09809,2,j1-2,,,
19.164749999999998,1,j1-2,,,
19.23141,3,j1-2,,,
19.63137,1,j2-3,,,
19.63137,2,j2-3,,,
19.63137,3,j2-3,,,
19.63137,4,j2-3,,,
20.03133,1,lp3,,,
20.03133,2,lp3,,,
20.03133,3,lp3,,,
20.03133,4,lp3,,,
20.597939999999998,1,3-4,r1,,
20.597939999999998,2,3-4,r1,,
20.597939999999998,3,3-4,r1,,
20.597939999999998,4,3-4,r1,,
21.06456,1,4-1,rb0,,
21.06456,2,4-1,rb0,,
