0.03333,MOT_mc_bg_black_00,b80,,
0.03333,MOT_mc_stage_color_00,b-flash,,
0.03333,MOT_all,cut1,,
0.03333,MOT_control_all,zoom1,,
0.03333,MOT_mc_light_under_00,l1,,
0.03333,1,,,,D40
0.03333,2,,,,D40
0.03333,3,,,,D40
0.03333,4,,,,D40
0.03333,5,,,,D40
1.89981,1,j1-2,,,
1.89981,2,j1-2,,,
1.89981,3,j1-2,,,
1.89981,4,j1-2,,,
1.89981,5,j1-2,,,
2.26644,1,lp2,,,
2.26644,2,lp2,,,
2.26644,3,lp2,,,
2.26644,4,lp2,,,
2.26644,5,lp2,,,
2.9997,1,2-3,,,
2.9997,2,2-3,,,
2.9997,3,2-3,,,
2.9997,4,2-3,,,
2.9997,5,2-3,,,
3.93294,5,w3,,,
3.93294,4,w3,,,
3.93294,3,w3,,,
3.93294,2,w3,,,
3.93294,1,w3,,,
4.09959,1,j3-4,,,
4.09959,2,j3-4,,,
4.09959,3,j3-4,,,
4.09959,4,j3-4,,,
4.09959,5,j3-4,,,
4.46622,1,lp4,,,
4.46622,2,lp4,,,
4.46622,3,lp4,,,
4.46622,4,lp4,,,
4.46622,5,lp4,,,
5.26614,1,4-1,,,
5.26614,2,4-1,,,
5.26614,3,4-1,,,
5.26614,4,4-1,,,
5.26614,5,4-1,,,
6.19938,5,w1,,,
6.19938,4,w1,,,
6.19938,3,w1,,,
6.19938,2,w1,,,
6.19938,1,w1,,,
6.3327,1,j1-2,,,
6.63267,1,lp2,,,
6.69933,2,j1-2,,,
6.9993,2,lp2,,,
7.09929,3,j1-2,,,
7.39926,3,lp2,,,
7.49925,4,j1-2,,,
7.79922,4,lp2,,,
7.86588,5,j1-2,,,
8.165849999999999,5,lp2,,,
8.63247,1,2-3,,,
8.63247,2,2-3,,,
8.63247,3,2-3,,,
8.63247,4,2-3,,,
8.63247,5,2-3,,,
9.19908,1,3-4,,,
9.19908,2,3-4,,,
9.19908,3,3-4,,,
9.19908,4,3-4,,,
9.19908,5,3-4,,,
9.699029999999999,4,j4-1,,,
9.799019999999999,2,j4-1,,,
9.899009999999999,1,j4-1,,,
9.998999999999999,3,j4-1,,,
10.098989999999999,5,j4-1,,,
10.298969999999999,4,j1-2,,,
10.398959999999999,2,j1-2,,,
10.498949999999999,1,j1-2,,,
10.598939999999999,3,j1-2,,,
10.698929999999999,5,j1-2,,,
11.36553,4,w2,,,
11.36553,1,,,f1,
11.36553,2,2-3,,,
11.36553,3,2-3,,,
11.36553,4,2-3,,,
11.36553,5,2-3,,,
11.36553,2,sort,-500,
11.36553,3,sort,-500,
11.36553,4,sort,-500,
11.36553,5,sort,-500,
11.46552,MOT_mc_bg_black_00,b80-45,,
11.49885,MOT_mc_stage_color_00,b-flash,,
11.53218,1,,,,D20
11.53218,2,,,,D80
11.53218,3,,,,D80
11.53218,4,,,,D80
11.53218,5,,,,D80
11.56551,1,w2,,,
11.73216,2,lp3,,,
11.73216,3,lp3,,,
11.73216,4,lp3,,,
11.73216,5,lp3,,,
11.73216,1,2-3,,,
12.032129999999999,1,3-4,,,
12.332099999999999,1,sj4,,,
12.69873,1,lp4,,,
13.19868,1,4-1,,,
13.731959999999999,1,1-2,,,
14.265239999999999,1,2-3,,,
14.89851,2,3-4,,,
14.89851,3,3-4,,,
14.89851,4,3-4,,,
14.89851,5,3-4,,,
14.89851,1,3-4,,,
15.39846,1,j4-1,,,
15.43179,2,4-1,,,
15.43179,3,4-1,,,
15.43179,4,4-1,,,
15.43179,5,4-1,,,
15.765089999999999,2,lp1,,,
15.765089999999999,3,lp1,,,
15.765089999999999,4,lp1,,,
15.765089999999999,5,lp1,,,
15.965069999999999,1,1-2,l1,,
16.49835,2,1-2,,,
16.49835,3,1-2,,,
16.49835,4,1-2,,,
16.49835,5,1-2,,,
16.49835,1,2-3,lb0,,
16.86498,2,lp2,,,
16.86498,3,lp2,,,
16.86498,4,lp2,,,
16.86498,5,lp2,,,
16.86498,1,sj3,,,
17.364929999999998,1,w3,,,
17.6649,1,3-4,,,
18.03153,1,lp4,,,
18.73146,1,4-1,,,
19.03143,2,2-3,,,
19.03143,3,2-3,,,
19.364729999999998,4,2-3,,,
19.364729999999998,5,2-3,,,
19.6647,1,w1,,,
19.86468,2,j3-4,,,
19.86468,3,j3-4,,,
19.86468,4,j3-4,,,
19.86468,5,j3-4,,,
19.86468,1,1-2,,b0,
20.23131,1,lp2,,,
20.23131,3,lp4,,,
20.23131,4,lp4,,,
20.23131,5,lp4,,,
20.397959999999998,2,4-1,,f1,
20.397959999999998,1,2-3,,,
20.397959999999998,3,4-1,,,
20.397959999999998,4,4-1,,,
20.397959999999998,5,4-1,,,
20.397959999999998,1,sort,-500,
20.397959999999998,3,sort,-500,
20.397959999999998,4,sort,-500,
20.397959999999998,5,sort,-500,
20.53128,2,,,,L20
20.53128,1,,,,D80
20.56461,MOT_mc_stage_color_00,r-flash,,
20.76459,1,lp3,,,
20.76459,3,lp1,,,
20.76459,4,lp1,,,
20.76459,5,lp1,,,
20.76459,2,1-2,,,
21.06456,2,2-3,,,
21.36453,2,sj3,,,
21.73116,2,lp3,,,
22.231109999999997,2,3-4,,,
22.76439,2,4-1,,,
23.29767,2,1-2,,,
23.830949999999998,1,3-4,,,
23.830949999999998,3,1-2,,,
23.830949999999998,4,1-2,,,
23.830949999999998,5,1-2,,,
23.830949999999998,2,2-3,,,
24.19758,1,lp4,,,
24.19758,3,lp2,,,
24.19758,4,lp2,,,
24.19758,5,lp2,,,
24.19758,2,lp3,,,
24.630869999999998,2,3-4,r1,,
25.030829999999998,2,4-1,rb0,,
25.43079,2,sj1,,,
25.79742,2,lp1,,,
26.464019999999998,2,1-2,,,
26.83065,2,lp2,,,
28.36383,1,j4-1,,,
28.36383,4,j2-3,,,
28.36383,5,j2-3,,,
28.36383,2,2-3,,b0,
28.36383,3,2-3,,f1,
28.36383,1,sort,-500,
28.36383,2,sort,-500,
28.36383,4,sort,-500,
28.36383,5,sort,-500,
28.497149999999998,3,,,,L20
28.497149999999998,2,,,,D80
28.697129999999998,MOT_mc_stage_color_00,b-flash,,
28.697129999999998,3,3-4,,,
28.9971,3,4-1,,,
29.297069999999998,2,w3,,,
29.297069999999998,3,lp1,,,
29.43039,5,w3,,,
29.43039,4,w3,,,
29.43039,1,w1,,,
30.130319999999998,3,1-2,,,
30.43029,3,lp2,,,
31.23021,3,j2-3,,,
31.763489999999997,3,sj3,,,
32.263439999999996,3,w3,,,
32.3301,2,3-4,,,
32.3301,1,1-2,,,
32.3301,4,3-4,,,
32.3301,5,3-4,,,
32.3301,3,sj3,,,
32.696729999999995,3,lp3,,,
33.26334,5,w4,,,
33.26334,4,w4,,,
33.26334,2,w4,,,
33.26334,1,w2,,,
33.42999,3,3-4,,b0,
33.42999,4,4-1,,f1,
33.42999,1,sort,-500,
33.42999,2,sort,-500,
33.42999,3,sort,-500,
33.42999,5,sort,-500,
33.463319999999996,2,4-1,,,
33.463319999999996,1,2-3,,,
33.463319999999996,5,4-1,,,
33.62997,4,,,,L20
33.62997,3,,,,D80
33.72996,MOT_mc_stage_color_00,y-flash,,
33.96327,4,1-2,,,
34.263239999999996,4,lp2,,,
34.36323,3,w4,,,
34.39656,5,w1,,,
34.39656,2,w1,,,
34.39656,1,w3,,,
34.663199999999996,4,2-3,,,
34.96317,4,lp3,,,
35.56311,4,3-4,,,
35.82975,4,4-1,,,
36.296369999999996,4,1-2,,,
36.59634,4,sj2,,,
37.096289999999996,4,w2,,,
37.36293,1,j3-4,,,
37.36293,2,j1-2,,,
37.36293,3,j4-1,,,
37.36293,4,,,b0,
37.36293,5,1-2,,f1,
37.36293,1,sort,-500,
37.36293,2,sort,-500,
37.36293,3,sort,-500,
