0.03333,MOT_mc_bg_black_00,seat100-0,,
3.4329899999999998,MOT_mc_stage_color_00,b-flash,,
3.4329899999999998,MOT_mc_back_00,l1,,
3.4329899999999998,MOT_control_all,zoom01,,
3.4329899999999998,1,,,,L0
3.4329899999999998,1,1-2,,,
3.4329899999999998,2,1-2,,,
3.4329899999999998,3,1-2,,,
3.4329899999999998,1,,,f1,
3.4329899999999998,MOT_all,cut1,,
4.09959,1,2-3,,,
4.36623,3,w2,,,
4.36623,2,w2,,,
4.96617,1,3-4,l1,,
5.6661,1,,l2,,
5.89941,1,w4,,,
6.066059999999999,1,lp4,,,
6.59934,1,j4-1,,,
7.132619999999999,1,1-2,lb1,,
7.732559999999999,1,,lb0,,
8.065859999999999,1,w2,,,
8.465819999999999,1,,r1,,
8.96577,1,2-3,,,
9.73236,1,lp3,,,
10.56561,1,3-4,rb0,,
10.93224,2,j2-3,,,
10.93224,3,j2-3,,,
11.198879999999999,1,,l1,,
11.49885,1,w4,,,
11.56551,1,sj4,,,
11.63217,2,j3-4,,,
11.63217,3,j3-4,,,
12.032129999999999,1,sp4-1,,,
12.46542,2,j4-1,,,
12.46542,3,j4-1,,,
12.76539,1,j1-2,,,
13.39866,2,j1-2,,,
13.39866,3,j1-2,,,
13.431989999999999,1,,l2,,
13.831949999999999,1,w2,,,
14.03193,1,2-3,,,
14.29857,2,j2-3,,,
14.29857,3,j2-3,,,
14.59854,1,3-4,lb1,,
15.065159999999999,1,,lb0,,
15.09849,2,j3-4,,,
15.09849,3,j3-4,,,
15.53178,1,w4,,,
15.59844,1,lp4,,,
15.9984,MOT_control_all,zoom02,,
15.9984,1,4-1,,,
16.03173,2,j4-1,,,
16.03173,3,j4-1,,,
16.531679999999998,2,,,,L0
16.531679999999998,1,,,,D20
16.531679999999998,1,1-2,,b0,
16.531679999999998,2,1-2,,f1,
16.531679999999998,MOT_all,cut2,,
16.79832,3,j1-2,,,
16.79832,1,j2-3,,,
17.131619999999998,2,2-3,,,
17.49825,2,j3-4,,,
17.731559999999998,1,j3-4,,,
17.731559999999998,3,j2-3,,,
18.13152,2,4-1,l1,,
18.6648,1,j4-1,,,
18.6648,3,j3-4,,,
18.86478,2,,l2,,
19.06476,2,w1,,,
19.398059999999997,2,j1-2,,,
19.63137,1,j1-2,,,
19.63137,3,j4-1,,,
19.964669999999998,2,2-3,lb1,,
20.36463,1,j2-3,,,
20.36463,3,j1-2,,,
20.49795,2,,lb0,,
20.89791,2,w3,,,
21.03123,2,j3-4,,,
21.26454,1,j3-4,,,
21.26454,3,j2-3,,,
21.69783,2,4-1,l1,,
22.13112,1,j4-1,,,
22.13112,3,j3-4,,,
22.231109999999997,2,,lb0,,
22.631069999999998,2,w1,,,
22.69773,2,lp1,,,
22.9977,MOT_control_all,zoom03,,
22.9977,1,j1-2,,,
22.9977,3,j4-1,,,
23.53098,3,,,,L0
23.53098,2,,,,D20
23.53098,2,1-2,,b0,
23.53098,3,1-2,,f1,
23.53098,MOT_all,cut3,,
23.830949999999998,1,j2-3,,,
23.830949999999998,2,j2-3,,,
24.19758,3,2-3,,,
24.630869999999998,3,j3-4,,,
24.76419,1,j3-4,,,
24.76419,2,j3-4,,,
25.19748,3,4-1,,,
25.73076,1,j4-1,,,
25.73076,2,j4-1,,,
25.83075,3,1-2,r1,,
26.3307,3,,r2,,
26.59734,1,j1-2,,,
26.59734,2,j1-2,,,
26.76399,3,w2,,,
27.13062,3,2-3,,,
27.39726,1,j2-3,,,
27.39726,2,j2-3,,,
27.63057,3,j3-4,,,
28.06386,3,4-1,rb1,,
28.23051,1,j3-4,,,
28.23051,2,j3-4,,,
28.46382,3,,rb0,,
28.9971,3,w1,,,
29.097089999999998,3,1-2,,,
29.297069999999998,2,w4,,,
29.297069999999998,1,w4,,,
29.56371,3,2-3,,b0,
30.06366,MOT_control_all,zoom04,,
30.06366,3,,,,D20
30.49695,3,w3,,,
30.563609999999997,1,,,,L0
30.563609999999997,1,4-1,,f1,
31.130219999999998,1,j1-2,,,
31.69683,1,hj2,,,
31.9968,MOT_mc_stage_color_00,b-flash,,
31.9968,MOT_mc_special_01,dark,,
31.9968,MOT_control_all,zoom05,,
31.9968,2,,,,L0
31.9968,3,,,,L0
31.9968,3,j3-4,,,
31.9968,2,j4-1,,,
32.93004,1,w2,,,
32.96337,1,2-3,,b0,
33.063359999999996,2,w1,,,
33.063359999999996,3,j4-1,,,
33.063359999999996,2,j1-2,,,
33.62997,1,j3-4,,,
34.06326,2,j2-3,,,
34.06326,3,j1-2,,,
34.663199999999996,1,j4-1,,,
34.89651,2,j3-4,,,
35.129819999999995,3,w2,,,
35.16315,3,j2-3,,,
35.59644,1,j1-2,,,
35.96307,2,w4,,,
36.22971,3,w3,,,
36.39636,2,j4-1,,,
36.663,1,w2,,,
36.663,3,j3-4,,,
36.89631,1,j2-3,,,
37.26294,MOT_mc_stage_color_00,b-flash,,
37.26294,MOT_mc_special_01,dark_out,,
37.46292,2,w1,,,
37.6629,1,,,,L0
37.6629,1,3-4,,f1,
37.6629,2,1-2,,f1,
37.6629,3,4-1,,f1,
38.19618,1,j4-1,,,
38.19618,2,j2-3,,,
38.19618,3,j1-2,,,
39.02943,1,1-2,,,
39.02943,2,3-4,l1,,
39.02943,3,2-3,r1,,
39.79602,1,2-3,,b0,
39.79602,2,4-1,,b0,
39.79602,3,3-4,,b0,
40.56261,1,3-4,,,
40.56261,2,1-2,l2,,
40.56261,3,4-1,r2,,
41.29587,1,hj4,,,
41.29587,2,hj2,,,
41.29587,3,hj1,,,
42.395759999999996,1,4-1,,,
42.395759999999996,2,2-3,lb1,,
42.395759999999996,3,1-2,rb1,,
43.29567,2,j3-4,,,
43.329,3,w2,,,
43.329,1,w1,,,
43.595639999999996,3,j2-3,,,
43.89561,1,j1-2,,,
44.36223,2,w4,,,
44.59554,1,2-3,,,
44.59554,2,4-1,,,
44.59554,3,3-4,,,
44.59554,2,,lb0,,
44.59554,3,,rb0,,
45.02883,1,sj3,,,
45.02883,2,sj1,,,
45.02883,3,sj4,,,
45.295469999999995,MOT_control_all,zoom06,,
45.42879,1,j3-4,,,
45.42879,2,j1-2,,,
45.42879,3,j4-1,,,
46.028729999999996,MOT_mc_stage_color_00,r-flash,,
46.028729999999996,MOT_mc_light_center_00,l1_st,,
46.028729999999996,MOT_mc_light_under_00,l1_st,,
46.028729999999996,1,,,,D20
46.028729999999996,2,,,,D20
46.028729999999996,3,1-2,,f1,
46.495349999999995,2,w2,,,
46.495349999999995,1,w4,,,
46.69533,3,2-3,,,
47.228609999999996,3,j3-4,,,
47.661899999999996,3,,r1,,
48.061859999999996,3,,r2,,
48.29517,3,w4,,,
48.42849,3,4-1,r3,,
49.06176,3,j1-2,,,
49.761689999999994,3,2-3,rb2,,
50.22831,3,,rb1,,
50.69493,3,w3,,,
50.72826,3,,rb0,,
51.294869999999996,3,3-4,,,
51.761489999999995,3,sj4,,,
52.22811,3,j4-1,,,
52.79472,3,lp1,,,
53.09469,3,1-2,l1,,
53.49465,3,,l2,,
53.86128,3,,l3,,
54.02793,3,w2,,,
54.3279,3,j2-3,,,
54.961169999999996,3,j3-4,,,
55.361129999999996,3,4-1,lb2,,
55.761089999999996,3,,lb1,,
56.12772,3,,lb0,,
56.29437,3,w1,,,
56.69433,3,1-2,,,
57.26094,3,sj2,,,
57.72756,3,sp2-3,,,
58.39416,3,hj3,,,
58.52748,MOT_control_all,zoom07,,
58.96077,2,,,,L0
58.96077,2,2-3,,f1,
59.427389999999995,3,,,,D20
59.427389999999995,2,3-4,l1,,
59.427389999999995,3,3-4,,b0,
59.827349999999996,2,,l2,,
60.16065,2,j4-1,,,
60.36063,3,w4,,,
60.56061,2,1-2,,,
60.89391,2,2-3,lb1,,
61.29387,2,,lb0,,
61.827149999999996,2,w3,,,
61.860479999999995,2,,r1,,
62.19378,2,lp3,,,
62.52708,2,j3-4,,,
62.89371,2,lp4,,,
63.093689999999995,2,4-1,r2,,
63.493649999999995,2,1-2,,,
63.79362,2,lp2,,,
64.12692,2,2-3,,,
64.56021,2,sp3-4,,,
65.46012,2,j4-1,,,
65.86008,2,lp1,,,
66.19337999999999,2,1-2,rb1,,
66.62666999999999,2,,rb0,,
67.09329,2,,l1,,
67.12662,2,w2,,,
67.49325,2,2-3,,,
67.9932,2,lp3,,,
68.45982,2,3-4,lb0,,
68.9931,2,w4,r1,,
69.25974,2,lp4,,,
69.82634999999999,2,4-1,r2,,
70.35963,2,,r3,,
70.75959,2,lp1,,,
71.29287,2,1-2,rb2,,
71.82615,2,,rb1,,
72.22610999999999,2,2-3,rb0,,
72.59273999999999,2,lp3,,,
72.92604,MOT_control_all,zoom08,,
72.9927,MOT_mc_special_01,none,,
73.326,1,,,,L0
73.326,2,,,,D20
73.326,1,4-1,,f1,
73.326,2,3-4,,b0,
73.6593,1,lp1,,,
73.9926,1,1-2,r1,,
74.25923999999999,2,w4,,,
74.35923,1,lp2,,,
75.35913,1,2-3,,,
75.75909,1,lp3,,,
76.19238,1,j3-4,,,
76.75899,1,lp4,,,
77.12562,1,4-1,rb0,,
77.52557999999999,1,lp1,,,
77.82554999999999,1,j1-2,,,
78.52548,1,lp2,,,
78.75878999999999,1,2-3,,,
79.29207,1,lp3,,,
79.59204,1,3-4,,,
79.92533999999999,MOT_control_all,zoom09,,
80.25864,3,,,,L0
80.25864,3,4-1,,f1,
80.52528,1,w4,,,
80.89191,3,1-2,,,
81.25854,3,lp2,,,
81.72516,3,j2-3,,,
81.95846999999999,MOT_control_all,zoom10,,
82.15845,2,,,,L0
82.15845,2,4-1,,f1,
82.42509,2,lp1,,,
82.79172,3,w3,,,
82.82504999999999,2,1-2,,,
83.15835,2,2-3,,,
83.45832,2,lp3,,,
83.75829,MOT_control_all,zoom11,,
83.82495,2,j3-4,,,
84.19158,MOT_mc_stage_color_00,r-flash,,
84.19158,1,,,,Lred
84.19158,2,,,,Lred
84.19158,3,,,,Lred
84.19158,2,lp4,,,
84.45822,1,4-1,,,
84.45822,2,4-1,l1,,
84.45822,3,3-4,r1,,
85.12482,1,j1-2,,,
85.12482,2,j1-2,,,
85.12482,3,j4-1,,,
85.79142,1,sj2,,,
85.79142,2,sj2,,,
85.79142,3,sj1,,,
86.29137,3,w1,,,
86.29137,2,w2,,,
86.29137,1,w2,,,
86.35803,1,j2-3,,,
86.35803,2,j2-3,,,
86.35803,3,j1-2,,,
86.69133,MOT_control_all,zoom12,,
87.02463,MOT_mc_stage_color_00,r-flash,,
87.02463,MOT_mc_light_center_00,l2,,
87.02463,MOT_mc_light_under_00,l2,,
87.02463,MOT_mc_back_00,l2,,
87.02463,MOT_mc_special_01,color_in,,
87.02463,1,3-4,l1,,
87.02463,2,3-4,l2,,
87.02463,3,2-3,rb0,,
87.55790999999999,1,,l2,,
87.55790999999999,2,,l3,,
87.55790999999999,3,,l1,,
87.95787,3,w3,,,
87.95787,2,w4,,,
87.95787,1,w4,,,
88.12451999999999,1,4-1,,,
88.12451999999999,2,4-1,,,
88.12451999999999,3,3-4,,,
88.6578,1,1-2,,,
88.6578,2,1-2,,,
88.6578,3,4-1,,,
89.09109,1,j2-3,,,
89.09109,2,j2-3,,,
89.09109,3,j1-2,,,
89.75769,1,3-4,lb1,,
89.75769,2,3-4,lb2,,
89.75769,3,2-3,lb0,,
90.15764999999999,1,,lb0,,
90.15764999999999,2,,lb1,,
90.15764999999999,3,,r1,,
90.55761,1,,r1,,
90.55761,2,,lb0,,
90.55761,3,,r2,,
90.69093,3,w3,,,
90.69093,2,w4,,,
90.69093,1,w4,,,
90.9909,1,4-1,,,
90.9909,2,4-1,,,
90.9909,3,3-4,,,
91.52418,1,lp1,,,
91.52418,2,lp1,,,
91.52418,3,lp4,,,
91.9908,1,1-2,rb0,,
91.9908,2,1-2,l1,,
91.9908,3,4-1,rb1,,
92.35743,1,j2-3,,,
92.35743,2,j2-3,,,
92.35743,3,j1-2,,,
92.6574,1,lp3,,,
92.6574,2,lp3,,,
92.6574,3,lp2,,,
93.19068,1,w3,l1,,
93.19068,2,w3,l2,,
93.19068,3,w2,rb0,,
93.55731,1,3-4,,,
93.55731,2,3-4,,,
93.55731,3,2-3,,,
94.05726,1,sp4-1,,,
94.05726,2,sp4-1,,,
94.05726,3,sp3-4,,,
94.72386,1,j1-2,,,
94.82385,2,j1-2,,,
94.82385,3,j4-1,,,
95.45711999999999,1,2-3,lb0,,
95.45711999999999,2,2-3,lb1,,
95.45711999999999,3,1-2,r1,,
96.02373,1,3-4,r1,,
96.02373,2,3-4,lb0,,
96.02373,3,2-3,r2,,
96.45702,1,lp4,,,
96.45702,2,lp4,,,
96.45702,3,lp3,,,
96.75699,1,j4-1,,,
96.75699,2,j4-1,,,
96.75699,3,j3-4,,,
97.25694,1,w1,rb0,,
97.25694,2,w1,l1,,
97.25694,3,w4,rb1,,
97.69023,1,lp1,,,
97.69023,2,lp1,,,
97.69023,3,lp4,,,
98.05686,1,j1-2,,,
98.05686,2,j1-2,,,
98.05686,3,j4-1,,,
98.42349,1,lp2,,,
98.42349,2,lp2,,,
98.42349,3,lp1,,,
99.05676,1,j2-3,,,
99.52337999999999,2,j2-3,,,
99.92334,3,j1-2,,,
100.12331999999999,1,w3,,,
100.35663,1,3-4,,,
100.35663,2,3-4,,,
100.35663,3,2-3,,,
100.42329,MOT_control_all,zoom13,,
100.98989999999999,1,w4,,b0,
100.98989999999999,2,w4,,b0,
100.98989999999999,3,3-4,,,
101.38986,3,j4-1,,,
102.18978,3,j1-2,,,
102.78971999999999,3,lp2,,,
103.08968999999999,3,2-3,r2,,
103.72296,3,lp3,,,
104.52288,3,3-4,rb1,,
105.02283,3,j4-1,,,
105.05615999999999,MOT_control_all,zoom14,,
105.38946,2,4-1,,f1,
105.82275,2,lp1,,,
106.08939,3,w1,,,
106.22270999999999,2,j1-2,,,
106.92264,2,2-3,,,
107.35593,MOT_control_all,zoom15,,
107.55591,2,j3-4,,,
108.15585,1,4-1,,f1,
108.15585,2,4-1,,,
