0.03333,MOT_control_all,stay,,
0.03333,MOT_all,start,,
0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,1,w1,,,D60
0.03333,2,w1,,,D60
0.03333,3,w1,,,D60
0.03333,4,w1,,,D60
0.03333,5,w1,,,D60
1.86648,MOT_mc_bg_black_00,b80-65,,
3.3329999999999997,MOT_mc_light_up_00,ltl,,
6.19938,MOT_control_all,cam01,,
6.49935,MOT_mc_speaker_00,ltc,,
6.49935,MOT_mc_light_up_00,stay,,
6.49935,MOT_mc_special_01,beam,,
6.49935,1,sp1-2,,,
6.49935,2,sp1-2,,,
6.49935,3,sp1-2,,,
6.49935,4,sp1-2,,,
6.49935,5,sp1-2,,,
7.19928,1,2-3,,,
7.19928,2,2-3,,,
7.19928,3,2-3,,,
7.19928,4,2-3,,,
7.19928,5,2-3,,,
7.69923,1,3-4,,,
7.69923,2,3-4,,,
7.69923,3,3-4,,,
7.69923,4,3-4,,,
7.69923,5,3-4,,,
8.09919,1,sj4,,,
8.09919,2,sj4,,,
8.09919,3,sj4,,,
8.09919,4,sj4,,,
8.09919,5,sj4,,,
8.59914,5,w4,,,
8.59914,4,w4,,,
8.59914,3,w4,,,
8.59914,2,w4,,,
8.59914,1,w4,,,
8.83245,2,4-1,,,
9.16575,3,4-1,,,
9.36573,1,j4-1,,,
9.76569,2,w1,,,
9.86568,1,sp1-2,,,
9.86568,2,sp1-2,,,
9.86568,3,sp1-2,,,
9.86568,4,sp4-1,,,
9.86568,5,sp4-1,,,
10.46562,2,2-3,,,
10.898909999999999,3,2-3,,,
11.3322,1,2-3,,,
11.398859999999999,2,w3,,,
11.73216,1,3-4,,,
11.73216,2,3-4,,,
11.73216,3,3-4,,,
11.73216,4,1-2,,,
11.73216,5,1-2,,,
12.19878,1,sp4-1,,,
12.19878,2,sp4-1,,,
12.19878,3,sp4-1,,,
12.19878,4,sp2-3,,,
12.19878,5,sp2-3,,,
12.79872,1,w1,,b-1,
12.79872,2,w1,,b-1,
12.79872,3,w1,,b-1,
12.79872,4,w3,,b-1,
12.79872,5,w3,,b-1,
12.932039999999999,MOT_control_all,cam02,,
12.932039999999999,MOT_mc_speaker_00,stay,,
12.932039999999999,MOT_mc_special_01,stay,,
13.46532,MOT_mc_speaker_00,ltc,,
13.46532,MOT_mc_special_01,beam,,
13.49865,1,,,f0,
13.49865,2,,l1,,
13.49865,3,,r1,,
13.865279999999998,1,sp1-2,,,
14.23191,1,sj2,,,
14.63187,1,2-3,,,
14.9985,2,,lb0,,
14.9985,3,,rb0,,
15.265139999999999,1,3-4,,,
15.49845,2,,,f0,
15.49845,3,,,f0,
16.19838,1,w4,,,
16.26504,1,4-1,,,
16.26504,2,1-2,,,
16.26504,3,1-2,,,
16.26504,4,3-4,,,
16.26504,5,3-4,,,
16.665,2,2-3,,,
16.89831,3,2-3,,,
17.131619999999998,1,1-2,,,
17.19828,5,w4,,,
17.19828,4,w4,,,
17.564909999999998,1,j2-3,,,
17.564909999999998,2,j3-4,,,
