0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,MOT_mc_back_00,lt_1,,
3.16635,MOT_mc_stage_color_00,y-flash,,
3.16635,MOT_mc_back_00,lt_4,,
3.16635,MOT_mc_light_center_00,lt_4,,
3.19968,1,j1-2,,,
3.19968,1,,,,D40
3.19968,2,,,,D40
3.19968,3,,,,D40
3.19968,4,,,,D40
3.19968,MOT_all,cut01,,
3.5663099999999996,4,j1-2,,,
3.89961,3,j1-2,,,
4.19958,2,j1-2,,,
4.26624,1,w2,,,
4.56621,1,2-3,,,
4.56621,2,2-3,,,
4.56621,3,2-3,,,
4.56621,4,2-3,,,
4.86618,MOT_mc_back_00,lt_1,,
4.86618,MOT_mc_light_center_00,lt_1,,
4.899509999999999,1,j3-4,,,
4.899509999999999,2,j3-4,,,
4.899509999999999,3,j3-4,,,
4.899509999999999,4,j3-4,,,
5.23281,MOT_control_all,zoom01,,
5.3994599999999995,1,4-1,,f1,L0
5.3994599999999995,2,lp4,,,
5.3994599999999995,3,lp4,,,
5.3994599999999995,4,lp4,,,
5.966069999999999,1,j1-2,,,
6.49935,1,2-3,,,
6.932639999999999,1,j3-4,,,
7.39926,1,lp4,,,
7.6659,1,4-1,,b0,D40
7.6659,MOT_all,cut02,,
7.69923,MOT_control_all,zoom02,,
8.165849999999999,MOT_control_all,zoom02_FIX,,
8.165849999999999,MOT_mc_back_00,lt_2,,
8.165849999999999,MOT_mc_light_center_00,none,,
8.165849999999999,MOT_mc_special_03,red,,
8.165849999999999,MOT_mc_special_01,in,,
8.165849999999999,1,j1-2,,,
8.165849999999999,2,j4-1,,,
8.165849999999999,3,j4-1,,,
8.165849999999999,4,j4-1,,,
8.69913,1,lp2,,,
8.69913,2,lp1,,,
8.69913,3,lp1,,,
8.69913,4,lp1,,,
10.998899999999999,1,2-3,r1,,
10.998899999999999,3,1-2,r1,,
10.998899999999999,2,1-2,l1,,
10.998899999999999,4,1-2,l1,,
11.46552,1,,r2,,
11.46552,3,,r2,,
11.46552,2,,l2,,
11.46552,4,,l2,,
11.89881,1,lp3,,,
11.89881,2,lp2,,,
11.89881,3,lp2,,,
11.89881,4,lp2,,,
14.665199999999999,1,3-4,rb1,,
14.665199999999999,3,2-3,rb1,,
14.665199999999999,2,2-3,lb1,,
14.665199999999999,4,2-3,lb1,,
15.09849,1,lp4,,,
15.09849,2,lp3,,,
15.09849,3,lp3,,,
15.09849,4,lp3,,,
17.564909999999998,1,4-1,rb0,,
17.564909999999998,3,3-4,rb0,,
17.564909999999998,2,3-4,lb0,,
17.564909999999998,4,3-4,lb0,,
17.9982,1,lp1,,,
17.9982,2,lp4,,,
17.9982,3,lp4,,,
17.9982,4,lp4,,,
18.59814,1,j1-2,,,
18.59814,2,j4-1,,,
