0.03333,MOT_all,cut1,,
0.03333,MOT_mc_back_00,lt_1,,
0.03333,1,,,,D40
0.03333,2,,,,D40
0.03333,3,,,,D40
0.03333,4,,,,D40
0.03333,5,,,,D40
0.03333,MOT_mc_bg_black_00,seat100-0,,
0.06666,MOT_control_all,zoom01,,
4.6662,MOT_control_all,zoom02,,
4.96617,5,,,,L0
4.96617,5,,r1,,
5.63277,5,,r2,,
6.3327,5,1-2,,,
7.06596,5,2-3,,,
7.79922,5,3-4,,,
8.3325,5,hj4,,,
8.9991,5,lp4,,,
9.73236,5,,,,D40
10.398959999999999,5,,,,L0
10.398959999999999,5,4-1,,,
10.96557,5,1-2,,,
11.46552,5,,rb1,,
11.89881,5,w2,,,
11.9988,5,j2-3,,,
12.56541,5,j3-4,,,
12.9987,5,4-1,,,
13.331999999999999,5,1-2,,,
14.03193,5,hj2,,,
15.265139999999999,5,w2,,,
15.765089999999999,5,,,,D40
15.865079999999999,MOT_control_all,zoom03,,
16.26504,4,,,,L0
16.26504,4,,l1,,
16.63167,4,1-2,,,
17.564909999999998,4,w2,,,
17.6649,4,,l2,,
18.19818,4,,l3,,
18.59814,4,2-3,,,
18.9981,4,j3-4,,,
19.53138,4,sj4,,,
20.03133,4,w4,,,
20.06466,4,lp4,,,
21.3312,4,,,,D40
21.597839999999998,4,,,,L0
21.597839999999998,4,4-1,,,
21.997799999999998,4,1-2,,,
22.46442,4,2-3,,,
23.09769,4,j3-4,,,
23.59764,4,,lb2,,
23.96427,4,,lb1,,
24.16425,4,w4,,,
24.3309,4,4-1,,,
24.79752,4,j1-2,,,
25.230809999999998,4,sj2,,,
25.73076,4,w2,,,
26.76399,4,,,,D40
27.097289999999997,MOT_control_all,zoom04,,
27.43059,2,,,,L0
27.43059,2,1-2,,,
27.730559999999997,2,2-3,,,
28.06386,2,3-4,,,
28.83045,2,j4-1,,,
29.39706,2,1-2,,,
30.130319999999998,2,sj2,,,
30.530279999999998,2,j2-3,,,
30.963569999999997,2,j3-4,,,
31.46352,MOT_control_all,zoom05,,
32.03013,2,w4,,,
32.09679,MOT_mc_stage_color_00,b-flash,,
32.09679,4,,,,L0
32.09679,5,,,,L0
32.09679,4,2-3,,,
32.09679,5,2-3,,,
32.39676,4,lp3,,,
32.39676,5,lp3,,,
32.630069999999996,2,,,,D40
32.86338,MOT_control_all,zoom06,,
32.86338,4,,,,D40
32.86338,5,,,,D40
32.86338,4,3-4,,,
32.86338,5,3-4,,,
33.063359999999996,3,,,,L0
33.063359999999996,3,1-2,,,
33.59664,3,j2-3,,,
33.79662,5,w4,,,
33.79662,4,w4,,,
34.39656,3,3-4,,,
35.19648,3,4-1,,,
35.496449999999996,3,1-2,,,
35.82975,3,2-3,,,
36.46302,3,hj3,,,
37.06296,3,3-4,,,
37.62957,MOT_mc_stage_color_00,y-flash,,
37.62957,4,,,,L0
37.62957,5,,,,L0
37.62957,4,4-1,,,
37.62957,5,4-1,,,
37.929539999999996,4,lp1,,,
37.929539999999996,5,lp1,,,
37.9962,3,w4,,,
38.396159999999995,3,,,,D40
38.396159999999995,4,,,,D40
38.396159999999995,5,,,,D40
38.396159999999995,4,1-2,,,
38.396159999999995,5,1-2,,,
38.6628,MOT_control_all,zoom07,,
38.762789999999995,1,,,,L0
38.762789999999995,1,1-2,,,
39.06276,1,2-3,,,
39.3294,5,w2,,,
39.3294,4,w2,,,
39.42939,1,hj3,,,
40.12932,1,3-4,,,
40.42929,1,4-1,,,
40.762589999999996,1,sj1,,,
41.26254,1,w1,,,
41.52918,1,1-2,,,
42.06246,1,j2-3,,,
42.429089999999995,1,lp3,,,
42.96237,2,lp4,,,
42.96237,3,lp4,,,
42.96237,4,lp2,,,
42.96237,5,lp2,,,
43.86228,1,,,,D40
44.26224,MOT_mc_stage_color_00,r-flash,,
44.26224,1,,,,L0
44.26224,2,4-1,,,
44.26224,3,4-1,,,
44.26224,4,2-3,,,
44.26224,5,2-3,,,
44.26224,1,3-4,r1,,
44.6622,1,4-1,r2,,
45.12882,1,1-2,,,
45.195479999999996,5,w3,,,
45.195479999999996,4,w3,,,
45.195479999999996,3,w1,,,
45.195479999999996,2,w1,,,
45.695429999999995,1,2-3,,,
46.19538,1,sj3,,,
46.662,1,3-4,rb1,,
47.19528,1,4-1,rb0,,
47.76189,1,hj1,,,
48.461819999999996,1,lp1,,,
49.46172,1,,,,D40
49.661699999999996,1,j1-2,,,
50.72826,1,w2,,,
50.72826,MOT_mc_stage_color_00,b-flash,,
50.928239999999995,MOT_control_all,zoom08,,
51.12822,2,,,,L0
51.12822,2,1-2,,,
51.56151,2,2-3,,,
52.094789999999996,2,j3-4,,,
52.62807,2,4-1,,,
53.12802,2,1-2,,,
53.62797,2,sj2,,,
54.127919999999996,2,w2,,,
54.161249999999995,2,2-3,,,
54.76119,2,j3-4,,,
55.461119999999994,2,4-1,,,
55.861079999999994,2,1-2,,,
56.194379999999995,2,,,,D40
56.69433,2,,,,L0
56.69433,2,hj2,,,
57.360929999999996,2,2-3,,,
57.9942,2,3-4,,,
58.52748,2,,,,D40
58.82745,2,,,,L0
58.82745,2,j4-1,,,
59.19408,2,hj1,,,
60.02733,2,1-2,,,
60.52728,2,lp2,,,
61.127219999999994,2,2-3,,,
61.6605,2,hj3,,,
62.293769999999995,2,lp3,,,
62.327099999999994,MOT_control_all,zoom09,,
62.59374,MOT_mc_stage_color_00,y-flash,,
62.59374,1,,,,L0
62.59374,4,,,,L0
62.59374,5,,,,L0
62.59374,1,lp2,,,
62.59374,4,lp3,,,
62.59374,5,lp3,,,
64.19358,2,,,,D40
64.86018,1,,,,D40
64.86018,4,,,,D40
64.86018,5,,,,D40
64.86018,2,3-4,,,
64.86018,1,2-3,,,
64.86018,4,3-4,,,
64.86018,5,3-4,,,
65.36013,1,,,,L0
65.36013,4,,,,L0
65.36013,5,,,,L0
65.36013,1,lp3,,,
65.36013,4,lp4,,,
65.36013,5,lp4,,,
65.79342,2,w4,,,
66.95997,MOT_control_all,zoom10,,
67.19328,1,,,,D40
67.19328,3,,,,L0
67.19328,4,,,,D40
67.19328,5,,,,D40
67.19328,3,j1-2,,,
67.19328,1,j3-4,,,
67.19328,4,j4-1,,,
67.19328,5,j4-1,,,
67.62657,3,hj2,,,
68.25984,5,w1,,,
68.25984,4,w1,,,
68.25984,1,w4,,,
68.59313999999999,3,2-3,,,
68.89311,3,3-4,,,
69.49305,3,j4-1,,,
70.02633,3,lp1,,,
71.39286,3,,,,L0
71.39286,3,sj1,,,
71.79281999999999,3,hj1,,,
72.39276,3,1-2,,,
73.05936,3,2-3,,,
73.45931999999999,3,3-4,,,
73.92594,3,hj4,,,
74.59254,1,4-1,,,
74.59254,2,4-1,,,
74.59254,3,4-1,,,
74.59254,4,1-2,,,
74.59254,5,1-2,,,
74.92584,1,lp1,,,
74.92584,2,lp1,,,
74.92584,3,lp1,,,
74.92584,4,lp2,,,
74.92584,5,lp2,,,
76.49235,3,,,,D40
78.19218,MOT_control_all,zoom11,,
78.42549,MOT_all,cut2,,
78.42549,MOT_mc_back_00,lt_2,,
78.42549,MOT_mc_stage_color_00,r-flash,,
78.45882,1,,,,L0
78.45882,2,,,,L0
78.45882,3,,,,L0
78.45882,4,,,,L0
78.45882,5,,,,L0
78.45882,1,1-2,,,
78.45882,2,1-2,,,
78.45882,3,1-2,,,
78.45882,4,2-3,,,
78.45882,5,2-3,,,
78.89211,1,sj2,,,
78.89211,2,sj2,,,
78.89211,3,sj2,,,
78.89211,4,sj3,,,
78.89211,5,sj3,,,
79.35873,1,2-3,,,
79.35873,2,2-3,,,
79.35873,3,2-3,,,
79.35873,4,3-4,,,
79.35873,5,3-4,,,
80.05866,1,3-4,,,
80.05866,2,3-4,,,
