0.03333,MOT_mc_bg_black_00,seat100-0,,
0.06666,MOT_all,cut1,,
0.06666,MOT_control_all,zoom_1,,
0.06666,MOT_mc_back_00,lt_1,,
0.06666,1,,,,D40
0.06666,2,,,,D40
9.29907,MOT_mc_stage_color_00,b-flash,,
9.43239,1,hj1,,,
9.43239,2,hj1,,,
10.098989999999999,1,lp1,,,
10.098989999999999,2,lp1,,,
10.698929999999999,1,hj1,,,
11.3322,2,hj1,,,
11.932139999999999,1,w1,,,
11.9988,1,1-2,r1,,
11.9988,2,1-2,l1,,
12.6654,1,j2-3,,,
12.6654,2,j2-3,,,
13.19868,1,hj3,,,
13.19868,2,hj3,,,
13.865279999999998,1,3-4,rb0,,
13.865279999999998,2,3-4,lb0,,
14.19858,1,lp4,,,
14.19858,2,lp4,,,
15.9984,2,hj4,,,
16.665,1,hj4,,,
17.23161,2,w4,,,
17.331599999999998,1,4-1,r1,,
17.331599999999998,2,4-1,l1,,
17.83155,1,lp1,,,
17.83155,2,lp1,,,
19.09809,MOT_control_all,zoom_2,,
19.13142,1,,,,L0
19.13142,1,j1-2,,,
19.798019999999998,MOT_mc_stage_color_00,y-flash,,
19.89801,1,2-3,,,
20.49795,1,3-4,,,
21.09789,1,4-1,,,
21.6645,1,j1-2,,,
22.3311,1,2-3,,,
22.797719999999998,1,3-4,,,
23.231009999999998,1,4-1,,,
23.79762,1,hj1,,,
24.464219999999997,1,lp1,,,
24.664199999999997,2,,,,L0
24.664199999999997,1,,,,D40
24.664199999999997,2,hj1,,,
25.13082,MOT_mc_stage_color_00,r-flash,,
25.230809999999998,2,1-2,,,
25.93074,2,j2-3,,,
26.59734,2,3-4,,,
27.19728,2,4-1,,,
27.897209999999998,2,j1-2,,,
28.497149999999998,2,2-3,,,
29.097089999999998,2,3-4,,,
29.86368,2,hj4,,,
30.46362,MOT_mc_stage_color_00,b-flash,,
30.46362,1,,,,L0
30.46362,2,,,,D40
30.46362,1,j1-2,,,
30.963569999999997,1,2-3,r2,,
31.09689,2,w4,,,
31.63017,1,3-4,,,
32.39676,1,4-1,,,
33.13002,1,1-2,rb1,,
33.72996,1,2-3,,,
34.59654,1,hj3,,,
35.063159999999996,2,hj4,,,
35.096489999999996,2,,,,L0
35.096489999999996,1,,,,D40
35.82975,1,w3,,,
35.82975,2,4-1,lb0,,
35.929739999999995,MOT_mc_stage_color_00,y-flash,,
36.52968,2,1-2,,,
37.29627,2,2-3,l1,,
37.9962,2,3-4,l2,,
38.59614,2,4-1,,,
39.196079999999995,2,1-2,,,
39.76269,2,2-3,,,
40.49595,2,3-4,lb1,,
41.26254,2,hj4,,,
41.92914,1,3-4,,,
41.92914,2,4-1,,,
42.029129999999995,MOT_control_all,zoom_3,,
42.26244,1,lp4,,,
42.26244,2,lp1,,,
43.02903,2,,,,D40
43.96227,MOT_mc_back_00,lt_2,,
46.428689999999996,MOT_control_all,zoom_4,,
46.59534,1,,,,L0
46.59534,1,4-1,,,
47.12862,1,1-2,,,
47.52858,1,2-3,,,
47.92854,1,j3-4,,,
48.42849,1,hj4,,,
49.19508,1,,,,D40
49.261739999999996,2,,,,L0
49.261739999999996,2,1-2,lb0,,
49.661699999999996,1,w4,,,
49.82835,2,2-3,,,
50.3283,2,sj3,,,
50.82825,2,hj3,,,
51.794819999999994,2,,,,D40
51.92814,MOT_mc_stage_color_00,r-flash,,
51.92814,1,4-1,,,
51.92814,2,3-4,,,
52.26144,2,lp4,,,
52.3281,MOT_control_all,zoom_5,,
52.46142,1,,,,L0
52.46142,1,1-2,,,
53.02803,1,2-3,,,
53.56131,1,3-4,,,
53.89461,1,4-1,,,
54.26124,1,sj1,,,
54.72786,1,hj1,,,
55.22781,1,lp1,,,
56.261039999999994,1,,,,D40
56.42769,2,,,,L0
56.42769,2,4-1,,,
56.89431,2,1-2,,,
57.22761,2,hj2,,,
57.860879999999995,2,2-3,,,
58.49415,2,3-4,,,
58.92744,2,4-1,,,
59.29407,2,j1-2,,,
59.69403,MOT_mc_back_00,lt_3,,
59.894009999999994,2,2-3,,,
60.260639999999995,MOT_control_all,zoom_5_1,,
60.293969999999995,2,3-4,,,
60.52728,MOT_all,cut2,,
60.627269999999996,2,hj4,,,
61.027229999999996,2,,,,D40
61.127219999999994,MOT_control_all,zoom_6,,
61.16055,1,,,,L0
61.16055,2,,,,L0
61.16055,1,1-2,,,
61.16055,2,4-1,,,
61.26054,MOT_mc_back_00,lt_4,,
61.76049,1,sj2,,,
61.76049,2,sj1,,,
62.260439999999996,2,w1,,,
62.260439999999996,1,w2,,,
62.46042,1,hj2,,,
62.46042,2,hj1,,,
62.56041,MOT_mc_stage_color_00,b-flash,,
63.22701,1,2-3,r2,,
63.22701,2,1-2,l1,,
63.926939999999995,1,3-4,,,
63.926939999999995,2,2-3,,,
64.39356,1,hj4,,,
64.39356,2,hj3,,,
65.16015,1,4-1,rb1,,
65.16015,2,3-4,lb0,,
65.76008999999999,1,1-2,,,
65.96007,2,4-1,,,
66.49334999999999,1,2-3,,,
66.49334999999999,2,1-2,,,
66.99329999999999,1,3-4,,,
66.99329999999999,2,2-3,,,
67.35992999999999,2,hj3,,,
67.85988,1,hj4,,,
68.52647999999999,1,,,,D40
68.52647999999999,2,3-4,,,
69.09309,1,w4,,,
69.29307,2,4-1,,,
69.62637,2,1-2,,,
69.95967,2,hj2,,,
70.75959,2,,,,D40
71.19288,2,w2,,,
71.22621,2,,,,L0
71.22621,2,2-3,,,
71.75949,2,j3-4,,,
72.29276999999999,2,4-1,,,
72.69273,2,hj1,,,
73.15935,MOT_mc_stage_color_00,y-flash,,
73.29267,2,,,,D40
73.82594999999999,1,,,,L0
73.82594999999999,2,,,,L0
73.82594999999999,2,hj1,,,
74.45922,1,hj4,,,
75.05915999999999,2,w1,,,
75.12581999999999,2,1-2,l1,,
75.25914,1,4-1,r2,,
75.85907999999999,1,j1-2,,,
75.85907999999999,2,j2-3,,,
76.35902999999999,2,j3-4,,,
76.62567,1,j2-3,,,
77.12562,1,j3-4,,,
77.12562,2,j4-1,,,
77.72556,2,j1-2,,,
78.05886,1,j4-1,,,
78.35883,2,hj2,,,
78.52548,1,hj1,,,
79.29207,2,,,,D40
79.29207,1,hj1,,,
79.59204,2,w2,,,
79.92533999999999,1,1-2,,,
80.25864,1,2-3,,,
80.59194,1,hj3,,,
81.39186,1,,,,D40
81.62517,MOT_control_all,zoom_7,,
81.75849,1,,,,L0
81.75849,2,,,,L0
81.75849,1,j3-4,,,
81.75849,2,j2-3,,,
82.52508,1,sj4,,,
82.52508,2,sj3,,,
83.02503,2,w3,,,
83.02503,1,w4,,,
83.15835,1,hj4,,,
83.15835,2,hj3,,,
83.75829,MOT_mc_stage_color_00,r-flash,,
83.85828,1,hj4,,,
83.85828,2,hj3,,,
83.99159999999999,MOT_mc_back_00,lt_3,,
84.72485999999999,MOT_mc_back_00,lt_2,,
84.79151999999999,1,4-1,rb1,,
84.79151999999999,2,3-4,lb0,,
85.12482,1,lp1,,,
85.12482,2,lp4,,,
85.75809,1,hj1,,,
85.82475,MOT_mc_stage_color_00,b-flash,,
86.09138999999999,MOT_mc_stage_color_00,y-flash,,
86.12472,2,hj4,,,
86.42469,1,hj1,,,
86.49135,MOT_mc_stage_color_00,r-flash,,
87.09129,1,1-2,,,
87.09129,2,4-1,,,
87.42459,1,lp2,,,
87.42459,2,lp1,,,
87.62456999999999,1,,,,D40
87.62456999999999,2,,,,D40
89.05776,MOT_mc_stage_color_00,b-flash,,
89.09109,1,hj2,,,
89.09109,2,hj1,,,
89.52438,1,2-3,,,
89.52438,2,1-2,,,
89.85768,1,lp3,,,
89.85768,2,lp2,,,
91.15755,2,hj2,,,
91.19087999999999,MOT_mc_stage_color_00,y-flash,,
91.52418,MOT_mc_stage_color_00,r-flash,,
91.52418,1,hj3,,,
91.75748999999999,MOT_mc_stage_color_00,b-flash,,
91.79082,2,hj2,,,
92.35743,1,3-4,,,
92.35743,2,2-3,,,
92.69073,1,lp4,,,
92.69073,2,lp3,,,
93.15735,MOT_mc_back_00,lt_3,,
94.05726,MOT_all,cut3,,
94.52387999999999,MOT_control_all,zoom_8,,
94.59053999999999,MOT_mc_back_00,lt_4,,
94.59053999999999,MOT_mc_stage_color_00,r-flash,,
94.59053999999999,2,,,,L0
94.59053999999999,2,j3-4,,,
95.09049,2,hj4,,,
95.85708,2,4-1,l1,,
96.3237,2,hj1,,,
96.52368,MOT_mc_stage_color_00,b-flash,,
96.75699,MOT_mc_stage_color_00,y-flash,,
97.12362,MOT_mc_stage_color_00,r-flash,,
97.55691,2,w1,,,
97.59024,2,1-2,,,
98.15684999999999,2,2-3,,,
98.69013,2,3-4,l2,,
99.19008,2,hj4,,,
99.69003,MOT_mc_stage_color_00,b-flash,,
99.89000999999999,2,4-1,,,
100.48995,2,hj1,,,
101.22321,2,1-2,lb1,,
101.78981999999999,MOT_mc_stage_color_00,y-flash,,
101.95647,2,j2-3,,,
102.15644999999999,MOT_mc_stage_color_00,r-flash,,
102.52308,MOT_mc_stage_color_00,b-flash,,
102.55641,1,,,,L0
102.55641,2,,,,L0
102.55641,1,4-1,,,
102.55641,2,3-4,,,
102.92304,1,1-2,,,
102.92304,2,4-1,,,
103.323,1,lp2,,,
103.323,2,lp1,,,
103.85628,1,2-3,,,
103.85628,2,1-2,,,
104.22291,1,3-4,,,
104.22291,2,2-3,,,
104.62286999999999,1,lp4,,,
104.62286999999999,2,lp3,,,
105.05615999999999,MOT_mc_stage_color_00,y-flash,,
105.42278999999999,1,,,,D40
105.42278999999999,2,,,,D40
105.85607999999999,1,,,,L0
105.85607999999999,1,hj4,,,
106.48935,1,4-1,r2,,
106.82265,1,1-2,r3,,
107.08928999999999,MOT_mc_stage_color_00,b-flash,,
107.15594999999999,1,hj2,,,
107.48925,MOT_mc_stage_color_00,y-flash,,
107.85588,1,2-3,,,
107.92254,MOT_mc_stage_color_00,r-flash,,
108.25583999999999,1,j3-4,,,
108.72246,1,hj4,,,
109.22241,1,4-1,,,
109.75569,1,hj1,,,
110.48894999999999,MOT_mc_stage_color_00,b-flash,,
110.48894999999999,1,1-2,,,
111.05556,1,j2-3,,,
111.78882,1,3-4,rb2,,
112.22211,1,4-1,rb1,,
112.45541999999999,MOT_mc_stage_color_00,y-flash,,
112.52207999999999,1,j1-2,,,
112.75538999999999,MOT_mc_stage_color_00,r-flash,,
112.85538,1,,,,D40
113.02203,1,,,,L0
113.02203,2,,,,L0
113.02203,1,2-3,,,
113.02203,2,3-4,,,
113.22201,MOT_mc_stage_color_00,b-flash,,
113.38866,1,3-4,,,
113.38866,2,4-1,,,
113.78862,1,lp4,,,
113.78862,2,lp1,,,
114.3219,1,4-1,,,
114.3219,2,1-2,,,
114.68853,1,1-2,,,
114.68853,2,2-3,,,
115.08849,1,lp2,,,
115.08849,2,lp3,,,
115.62177,MOT_mc_stage_color_00,y-flash,,
116.08838999999999,MOT_control_all,zoom_9,,
116.22171,1,,,,D40
116.22171,2,,,,D40
118.3215,MOT_mc_back_00,lt_3,,
119.88801,MOT_mc_back_00,lt_2,,
119.88801,MOT_mc_stage_color_00,r-flash,,
120.45461999999999,2,3-4,l2,,
