id,sec,type,startPos,finishPos,status,sync,groupId
1,0,100,0,0,115,0,0
2,0,91,,,,0,0
3,2.823529,1,1,1,0,0,0
4,4.235294,1,4,4,0,0,0
5,5.647059,1,2,2,0,0,0
6,7.058824,1,5,5,0,0,0
7,8.470588,2,3,2,0,0,0
8,9.882353,2,3,2,0,0,0
9,11.294118,2,3,4,0,0,0
10,12.705882,2,3,4,0,0,0
11,14.117647,1,1,1,0,0,0
12,15.529412,1,2,2,0,0,0
13,16.941176,2,3,4,0,0,0
14,18.352941,2,3,4,0,0,0
15,19.764706,1,2,2,0,0,0
16,21.176471,1,3,3,0,0,0
17,22.588235,2,4,5,0,0,0
18,24,2,4,5,0,0,0
19,25.411765,1,1,1,0,0,0
20,26.823529,1,2,2,0,0,0
21,28.235294,1,5,5,0,0,0
22,29.647059,1,4,4,0,0,0
23,31.058824,1,2,2,0,0,0
24,32.470588,1,2,2,0,0,0
25,33.882353,1,4,4,0,0,0
26,35.294118,1,1,1,0,1,0
27,35.294118,1,5,5,0,1,0
28,36.705882,2,3,2,0,0,0
29,38.117647,2,3,2,0,0,0
30,39.529412,2,4,5,0,0,0
31,40.941176,2,4,5,0,0,0
32,42.352941,2,2,1,0,0,0
33,43.764706,2,2,1,0,0,0
34,45.176471,2,3,4,0,0,0
35,46.588235,2,3,4,0,0,0
36,49.411765,1,4,4,0,0,0
37,50.117647,1,2,2,0,0,0
38,50.823529,1,4,5,0,0,0
39,52.235294,1,4,5,0,0,0
40,53.647059,2,3,2,0,0,0
41,54.352941,2,3,2,0,0,0
42,55.058824,1,2,1,0,1,0
43,55.058824,1,4,5,0,1,0
44,56.470588,1,3,3,0,0,0
45,57.882353,1,2,1,0,1,0
46,57.882353,1,4,5,0,1,0
47,59.294118,1,3,3,0,0,0
48,60.705882,1,4,4,0,0,0
49,61.411765,1,1,1,0,0,0
50,62.117647,1,4,5,0,0,0
51,63.529412,1,4,4,0,0,0
52,64.235294,1,1,1,0,0,0
53,64.941176,1,4,5,0,0,0
54,66.352941,1,2,1,0,1,0
55,66.352941,1,4,5,0,1,0
56,67.764706,1,3,3,0,0,0
57,69.176471,1,2,1,0,1,0
58,69.176471,1,4,5,0,1,0
59,70.588235,1,3,3,0,0,0
60,72,2,2,1,0,0,0
61,73.411765,2,2,1,0,0,0
62,74.823529,1,4,4,0,0,0
63,76.235294,1,2,2,0,0,0
64,76.941176,1,5,5,0,0,0
65,77.647059,1,4,4,0,0,0
66,79.058824,1,4,4,0,0,0
67,80.470588,1,4,4,0,0,0
68,81.882353,1,5,5,0,0,0
69,83.294118,2,3,2,0,0,0
70,84.705882,2,3,2,0,0,0
71,86.117647,2,3,4,0,0,0
72,87.529412,2,3,4,0,0,0
73,88.941176,2,3,2,0,0,0
74,90.352941,2,3,2,0,0,0
75,91.764706,2,4,5,0,0,0
76,93.176471,2,4,5,0,0,0
77,94.588235,1,4,4,0,0,0
78,95.294118,1,1,1,0,0,0
79,96,1,4,3,0,0,0
80,97.411765,1,4,4,0,0,0
81,98.117647,1,2,2,0,0,0
82,98.823529,1,4,5,0,0,0
83,100.235294,2,1,2,0,0,0
84,100.941176,2,1,2,0,0,0
85,101.647059,2,2,3,0,0,0
86,102.352941,2,2,3,0,0,0
87,103.058824,2,4,5,0,0,0
88,104.470588,2,4,5,0,0,0
89,105.882353,1,3,3,0,0,0
90,107.294118,1,4,4,0,0,0
91,108,1,2,2,0,0,0
92,108.705882,1,4,5,0,0,0
93,110.117647,1,4,5,0,0,0
94,111.529412,2,3,2,0,0,0
95,112.235294,2,3,2,0,0,0
96,112.941176,1,2,1,0,1,0
97,112.941176,1,4,5,0,1,0
98,114.352941,1,3,3,0,0,0
99,115.764706,1,2,1,0,1,0
100,115.764706,1,4,5,0,1,0
101,117.176471,1,3,3,0,0,0
102,118.588235,1,4,4,0,0,0
103,119.294118,1,1,1,0,0,0
104,120,1,4,5,0,0,0
105,121.411765,1,4,4,0,0,0
106,122.117647,1,1,1,0,0,0
107,122.823529,1,4,5,0,0,0
108,124.235294,1,2,1,0,1,0
109,124.235294,1,4,5,0,1,0
110,125.647059,1,3,3,0,0,0
111,127.058824,1,2,1,0,1,0
112,127.058824,1,4,5,0,1,0
113,128.470588,1,3,3,0,0,0
114,129.882353,2,2,1,0,0,0
115,131.294118,2,2,1,0,0,0
116,132.705882,2,2,1,0,0,0
117,134.117647,2,2,1,0,0,0
118,138.352941,92,,,,0,0
