0.06666,MOT_all,cut1,,
0.06666,MOT_control_all,zoom_1,,
0.06666,MOT_mc_back_00,lt_1,,
0.06666,1,,,,D60
0.06666,2,,,,D60
0.06666,3,,,,D60
4.19958,MOT_mc_stage_color_00,b-flash,,
4.19958,MOT_mc_bg_black_00,seat100-0,,
4.36623,MOT_control_all,zoom_2,,
4.59954,2,,,,L0
4.59954,2,1-2,,,
4.93284,2,j2-3,,,
5.56611,2,,,,D40
5.73276,3,,,,L0
5.73276,3,1-2,,,
5.9994,2,w3,,,
6.066059999999999,3,2-3,,,
6.366029999999999,3,,,,D40
6.366029999999999,1,,,,L0
6.366029999999999,1,j1-2,,,
6.7659899999999995,MOT_all,cut2,,
6.9993,3,w3,,,
7.36593,1,,,,D40
7.432589999999999,1,w2,,,
7.56591,2,,,,L0
7.56591,2,3-4,l1,,
7.86588,2,4-1,l2,,
8.19918,2,j1-2,,,
9.09909,2,2-3,,,
9.43239,2,3-4,,,
9.76569,2,4-1,lb1,,
10.198979999999999,2,1-2,lb0,,
10.53228,2,2-3,,,
10.86558,2,3-4,,,
11.198879999999999,2,j4-1,,,
11.76549,1,2-3,r1,,
11.76549,3,3-4,,,
11.932139999999999,2,,,,D40
12.032129999999999,3,4-1,r1,,
12.26544,2,w1,,,
12.532079999999999,2,,,,L0
12.532079999999999,2,j1-2,,,
12.69873,1,w3,,,
12.96537,3,w1,,,
13.032029999999999,2,2-3,,,
13.39866,2,3-4,r1,,
13.79862,2,hj4,,,
13.865279999999998,1,3-4,r2,,
13.931939999999999,3,1-2,r2,,
14.59854,2,j4-1,,,
14.59854,MOT_mc_stage_color_00,r-flash,,
14.79852,1,w4,,,
14.865179999999999,3,w2,,,
15.365129999999999,2,1-2,,,
15.665099999999999,2,2-3,,,
16.03173,2,hj3,,,
16.03173,MOT_mc_stage_color_00,y-flash,,
16.79832,2,sp3-4,,,
16.89831,1,4-1,,,
16.89831,3,2-3,,,
17.83155,3,w3,,,
17.83155,1,w1,,,
17.93154,2,hj4,,,
18.53148,2,,,,D40
18.53148,1,,,,L0
18.53148,1,1-2,rb1,,
18.93144,1,hj2,,,
19.164749999999998,2,w4,,,
19.564709999999998,1,,,,D40
19.6647,3,,,,L0
19.6647,3,sp3-4,,,
20.164649999999998,1,w2,,,
20.73126,MOT_all,cut3,,
20.83125,3,,,,D40
20.83125,MOT_mc_stage_color_00,b-flash,,
20.86458,MOT_control_all,zoom_3,,
20.86458,2,4-1,,,
20.86458,1,2-3,,,
20.86458,3,4-1,rb1,,
21.197879999999998,1,lp3,,,
21.197879999999998,3,lp1,,,
21.3312,MOT_mc_back_00,lt_2,,
21.3312,2,,,,L0
21.3312,2,j1-2,,,
21.3312,MOT_mc_bg_black_00,b45-20,,
21.89781,2,j2-3,,,
22.397759999999998,2,j3-4,,,
22.93104,2,4-1,,,
23.73096,2,j1-2,,,
24.264239999999997,2,j2-3,,,
24.89751,2,3-4,rb0,,
24.9975,MOT_mc_stage_color_00,y-flash,,
25.230809999999998,2,j4-1,,,
25.76409,2,1-2,r1,,
26.097389999999997,2,j2-3,,,
26.56401,2,3-4,,,
26.897309999999997,2,j4-1,,,
27.36393,2,1-2,,,
27.83055,2,hj2,,,
29.06376,2,w2,,,
29.097089999999998,2,,,,D40
29.097089999999998,MOT_mc_stage_color_00,r-flash,,
29.19708,1,3-4,,,
29.19708,2,2-3,,,
29.19708,3,1-2,,,
29.36373,MOT_control_all,zoom_4,,
29.530379999999997,2,lp3,,,
29.530379999999997,1,lp4,,,
29.6637,3,,,,L0
29.6637,3,j2-3,,,
29.6637,MOT_mc_stage_color_00,b-flash,,
30.23031,3,j3-4,,,
30.730259999999998,3,j4-1,,,
31.26354,3,1-2,,,
32.06346,3,j2-3,,,
32.59674,3,j3-4,,,
33.23001,3,4-1,r2,,
33.56331,3,j1-2,,,
34.09659,3,2-3,rb1,,
34.42989,3,j3-4,,,
34.89651,3,4-1,,,
35.29647,3,j1-2,,,
35.29647,MOT_mc_stage_color_00,y-flash,,
36.16305,3,j2-3,,,
36.16305,MOT_mc_stage_color_00,r-flash,,
36.663,1,4-1,,,
36.663,2,3-4,,,
36.663,3,3-4,,,
36.729659999999996,MOT_control_all,zoom_5,,
36.79632,3,,,,D40
36.9963,MOT_mc_back_00,lt_3,,
36.9963,1,,,,L0
36.9963,2,4-1,rb0,,
36.9963,3,4-1,r2,,
36.9963,MOT_mc_stage_color_00,b-flash,,
37.19628,1,j1-2,,,
37.3296,2,lp1,,,
37.3296,3,lp1,,,
37.72956,1,2-3,,,
38.362829999999995,1,3-4,,,
39.02943,1,4-1,,,
39.36273,1,j1-2,,,
39.89601,1,j2-3,,,
40.62927,1,3-4,,,
40.96257,1,hj4,,,
