0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,MOT_mc_back_00,lp_01,,
0.03333,MOT_mc_light_center_00,lp_01,,
0.03333,MOT_mc_light_under_00,l1,,
0.03333,4,,,,D40
0.03333,2,,,,D40
0.03333,1,,,,D40
0.03333,3,,,,D40
0.03333,5,,,,D40
0.03333,MOT_mc_stage_color_00,r-flash,,
0.8665799999999999,MOT_control_all,zoom01,,
0.8665799999999999,MOT_all,cut01,,
1.9998,4,1-2,,,
2.09979,2,1-2,,,
2.19978,1,1-2,,,
2.29977,3,1-2,,,
2.3997599999999997,5,1-2,,,
2.6997299999999997,MOT_mc_stage_color_00,b-flash,,
2.6997299999999997,1,j2-3,,,
2.76639,2,j2-3,,,
2.76639,3,j2-3,,,
2.83305,4,j2-3,,,
2.83305,5,j2-3,,,
3.7662899999999997,1,w3,,,
3.83295,3,w3,,,
3.83295,2,w3,,,
3.89961,5,w3,,,
3.89961,4,w3,,,
4.16625,1,j3-4,,,
4.2329099999999995,2,j3-4,,,
4.2329099999999995,3,j3-4,,,
4.29957,4,j3-4,,,
4.29957,5,j3-4,,,
4.56621,1,j4-1,,,
4.899509999999999,2,j4-1,,,
4.899509999999999,3,j4-1,,,
5.3328,4,j4-1,,,
5.3328,5,j4-1,,,
5.63277,1,w1,,,
5.89941,1,1-2,l1,,
5.89941,2,1-2,l1,,
5.89941,3,1-2,l1,,
5.89941,4,1-2,l1,,
5.89941,5,1-2,l1,,
6.19938,4,j2-3,,,
6.19938,5,j2-3,,,
6.266039999999999,2,j2-3,,,
6.266039999999999,3,j2-3,,,
6.3327,1,j2-3,,,
6.63267,1,3-4,l2,,
6.63267,2,3-4,l2,,
6.63267,3,3-4,l2,,
6.63267,4,3-4,l2,,
6.63267,5,3-4,l2,,
7.06596,4,4-1,,,
7.132619999999999,2,4-1,,,
7.19928,1,4-1,,,
7.26594,3,4-1,,,
7.332599999999999,5,4-1,,,
7.56591,5,1-2,,,
7.632569999999999,3,1-2,,,
7.69923,1,1-2,,,
7.76589,2,1-2,,,
7.8325499999999995,4,1-2,,,
8.265839999999999,1,hj2,,,
8.3325,2,hj2,,,
8.3325,3,hj2,,,
8.39916,4,hj2,,,
8.39916,5,hj2,,,
8.865779999999999,1,2-3,,,
8.865779999999999,2,2-3,,,
8.865779999999999,3,2-3,,,
8.865779999999999,4,2-3,,,
8.865779999999999,5,2-3,,,
9.599039999999999,1,3-4,lb1,,
9.599039999999999,2,3-4,lb1,,
9.599039999999999,3,3-4,lb1,,
9.599039999999999,4,3-4,lb1,,
9.599039999999999,5,3-4,lb1,,
10.53228,5,w4,,,
10.53228,4,w4,,,
10.53228,3,w4,,,
10.53228,2,w4,,,
10.53228,1,w4,,,
10.63227,1,j4-1,,,
10.698929999999999,2,j4-1,,,
10.698929999999999,3,j4-1,,,
10.76559,4,j4-1,,,
10.76559,5,j4-1,,,
10.96557,1,1-2,lb0,,
10.96557,2,1-2,lb0,,
10.96557,3,1-2,lb0,,
10.96557,4,1-2,lb0,,
10.96557,5,1-2,lb0,,
11.36553,1,j2-3,,,
11.43219,2,j2-3,,,
11.43219,3,j2-3,,,
11.49885,4,j2-3,,,
11.49885,5,j2-3,,,
11.76549,5,3-4,,,
11.832149999999999,3,3-4,,,
11.89881,1,3-4,,,
11.96547,2,3-4,,,
12.032129999999999,4,3-4,,,
12.39876,1,j4-1,,,
12.39876,2,j4-1,,,
12.39876,3,j4-1,,,
12.39876,4,j4-1,,,
12.39876,5,j4-1,,,
13.16535,MOT_mc_stage_color_00,y-flash,,
13.16535,MOT_mc_bg_black_00,b80-65,,
13.16535,4,,,,L0
13.16535,2,,,,L0
13.16535,1,,,,L0
13.16535,3,,,,L0
13.16535,5,,,,L0
13.16535,1,hj1,,,
13.232009999999999,2,hj1,,,
13.232009999999999,3,hj1,,,
13.29867,4,hj1,,,
13.29867,5,hj1,,,
14.13192,1,j1-2,,,
14.13192,2,j1-2,,,
14.13192,3,j1-2,,,
14.13192,4,j1-2,,,
14.13192,5,j1-2,,,
14.73186,1,j2-3,,,
14.73186,2,j2-3,,,
14.73186,3,j2-3,,,
14.73186,4,j2-3,,,
14.73186,5,j2-3,,,
15.39846,1,j3-4,,,
15.39846,2,j3-4,,,
15.39846,3,j3-4,,,
15.39846,4,j3-4,,,
15.39846,5,j3-4,,,
16.06506,1,j4-1,,,
16.06506,2,j4-1,,,
16.06506,3,j4-1,,,
16.06506,4,j4-1,,,
16.06506,5,j4-1,,,
16.69833,1,j1-2,,,
16.69833,2,j1-2,,,
16.69833,3,j1-2,,,
16.69833,4,j1-2,,,
