0.03333,MOT_all,cut1,,
0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,1,,,,D40
0.03333,2,,,,D40
0.03333,MOT_mc_back_00,lt_1,,
0.06666,1,,,,D40
0.06666,2,,,,D40
0.06666,MOT_mc_back_00,lt_1,,
2.63307,MOT_mc_stage_color_00,b-flash,,
7.532579999999999,1,hj1,,,
7.532579999999999,2,hj1,,,
7.9992,MOT_mc_stage_color_00,y-flash,,
8.53248,1,1-2,,,
8.53248,2,1-2,,,
8.865779999999999,1,j2-3,,,
8.865779999999999,2,j2-3,,,
9.16575,MOT_mc_stage_color_00,r-flash,,
9.63237,2,3-4,,,
9.83235,1,3-4,,,
10.16565,1,hj4,,,
10.16565,2,hj4,,,
10.63227,MOT_mc_stage_color_00,b-flash,,
11.23221,1,4-1,,,
11.23221,2,4-1,,,
11.56551,1,j1-2,,,
11.56551,2,j1-2,,,
11.832149999999999,MOT_mc_stage_color_00,y-flash,,
12.632069999999999,2,w2,,,
12.632069999999999,1,w2,,,
12.76539,1,2-3,,,
12.76539,2,2-3,,,
13.09869,2,j3-4,,,
13.331999999999999,MOT_mc_stage_color_00,r-flash,,
13.49865,1,j3-4,,,
13.6653,MOT_mc_stage_color_00,b-flash,,
13.9986,1,j4-1,,,
13.9986,2,j4-1,,,
14.29857,MOT_mc_stage_color_00,y-flash,,
15.065159999999999,2,w1,,,
15.065159999999999,1,w1,,,
15.09849,1,1-2,,,
15.09849,2,1-2,,,
15.79842,1,j2-3,,,
15.9984,MOT_mc_stage_color_00,r-flash,,
16.03173,2,w2,,,
16.19838,2,j2-3,,,
16.331699999999998,MOT_mc_stage_color_00,b-flash,,
16.69833,1,j3-4,,,
16.69833,2,j3-4,,,
16.89831,MOT_mc_stage_color_00,y-flash,,
17.364929999999998,1,sp4-1,,,
17.364929999999998,2,sp4-1,,,
18.46482,MOT_control_all,zoom_1,,
18.564809999999998,1,j1-2,,,
18.564809999999998,2,j1-2,,,
18.73146,1,,,,L0
19.198079999999997,1,2-3,r1,,
19.63137,2,w2,,,
19.93134,1,3-4,rb0,,
20.3313,1,j4-1,,,
20.997899999999998,1,,,,D40
20.997899999999998,2,,,,L0
20.997899999999998,1,1-2,,,
20.997899999999998,2,j2-3,,,
21.69783,2,3-4,l1,,
21.93114,1,w2,,,
22.29777,2,4-1,lb0,,
22.831049999999998,2,1-2,,,
23.16435,2,hj2,,,
23.96427,1,,,,L0
23.96427,2,,,,D40
23.96427,1,j2-3,,,
23.96427,2,2-3,,,
24.56421,1,3-4,l1,,
24.89751,2,w3,,,
25.29747,1,hj4,,,
25.83075,1,4-1,lb0,,
26.3307,1,,,,D40
26.3307,2,,,,L0
26.3307,2,3-4,,,
26.663999999999998,2,hj4,,,
26.76399,1,w1,,,
27.497249999999998,2,j4-1,,,
27.59724,MOT_control_all,zoom_2,,
27.63057,1,,,,L0
27.63057,1,j1-2,,,
27.79722,MOT_mc_stage_color_00,r-flash,,
28.130519999999997,1,j2-3,,,
28.130519999999997,2,j1-2,,,
28.297169999999998,MOT_mc_stage_color_00,b-flash,,
28.63047,1,3-4,,,
28.63047,2,2-3,,,
28.79712,MOT_mc_stage_color_00,y-flash,,
29.297069999999998,MOT_mc_stage_color_00,r-flash,,
29.297069999999998,1,,,,D40
29.297069999999998,1,4-1,,,
29.297069999999998,2,3-4,,,
29.83035,2,4-1,r1,,
30.23031,1,w1,,,
30.563609999999997,2,1-2,rb0,,
30.963569999999997,2,j2-3,,,
31.46352,2,,,,D40
31.63017,1,,,,L0
31.63017,1,j1-2,,,
31.63017,2,3-4,,,
32.3301,1,2-3,l1,,
32.56341,2,w4,,,
32.93004,1,3-4,lb0,,
33.463319999999996,1,4-1,,,
33.79662,1,hj1,,,
34.56321,1,,,,D40
34.56321,2,,,,L0
34.56321,1,1-2,,,
34.56321,2,j4-1,,,
35.16315,2,1-2,l1,,
35.496449999999996,1,w2,,,
35.896409999999996,2,hj2,,,
36.42969,2,2-3,lb0,,
36.79632,2,3-4,,,
37.162949999999995,1,sp2-3,,,
37.162949999999995,2,sp4-1,,,
37.19628,1,,,,L0
38.29617,MOT_mc_stage_color_00,b-flash,,
38.29617,1,hj3,,,
38.29617,2,hj1,,,
38.96277,1,j3-4,,,
38.96277,2,j1-2,,,
39.46272,1,4-1,,,
39.46272,2,2-3,,,
39.76269,MOT_control_all,zoom_3,,
39.962669999999996,MOT_mc_stage_color_00,y-flash,,
39.962669999999996,1,j1-2,,,
40.395959999999995,2,w3,,,
40.49595,MOT_mc_stage_color_00,r-flash,,
40.49595,2,j3-4,,,
40.9959,MOT_mc_stage_color_00,b-flash,,
40.9959,1,2-3,,,
40.9959,2,4-1,,,
41.26254,2,,,,D40
41.46252,1,3-4,,,
41.76249,1,j4-1,,,
41.92914,2,w1,,,
42.19578,1,1-2,,,
42.49575,1,hj2,,,
43.12902,1,2-3,,,
43.42899,1,3-4,,,
43.96227,1,hj4,,,
44.49555,1,j4-1,,,
45.16215,MOT_mc_stage_color_00,y-flash,,
45.16215,2,,,,L0
45.16215,1,j1-2,,,
45.695429999999995,MOT_mc_stage_color_00,r-flash,,
45.695429999999995,2,j1-2,,,
46.19538,MOT_mc_stage_color_00,b-flash,,
46.19538,1,2-3,,,
46.19538,2,2-3,,,
46.79532,1,,,,D40
46.79532,2,3-4,l1,,
47.12862,1,w3,,,
47.12862,2,j4-1,,,
47.628569999999996,2,1-2,lb0,,
47.96187,2,2-3,,,
48.29517,2,hj3,,,
49.261739999999996,2,j3-4,,,
49.79502,2,hj4,,,
50.494949999999996,MOT_mc_stage_color_00,y-flash,,
50.494949999999996,1,,,,L0
50.494949999999996,2,j4-1,,,
50.894909999999996,1,j3-4,,,
51.09489,MOT_mc_stage_color_00,b-flash,,
51.42819,2,j1-2,,,
51.62817,MOT_mc_stage_color_00,r-flash,,
51.96147,1,w4,,,
52.06146,2,,,,D40
52.06146,1,4-1,r1,,
52.39476,1,1-2,r2,,
52.494749999999996,2,w2,,,
53.22801,1,2-3,rb1,,
53.761289999999995,1,3-4,rb0,,
54.26124,1,hj4,,,
54.927839999999996,1,4-1,,,
55.26114,2,,,,L0
55.26114,1,j1-2,,,
55.26114,2,j2-3,,,
55.761089999999996,1,hj2,,,
55.761089999999996,2,hj3,,,
56.92764,1,j2-3,,,
56.994299999999996,2,w3,,,
57.19428,2,j3-4,,,
57.6609,1,3-4,,,
57.6609,2,4-1,,,
58.12752,1,j4-1,,,
58.12752,2,j1-2,,,
58.594139999999996,MOT_mc_stage_color_00,r-flash,,
58.627469999999995,1,sp1-2,,,
58.627469999999995,2,sp2-3,,,
60.327299999999994,2,hj3,,,
60.42729,1,hj2,,,
60.46062,MOT_mc_stage_color_00,b-flash,,
61.16055,MOT_control_all,zoom_4,,
61.22721,MOT_mc_stage_color_00,y-flash,,
61.22721,1,hj2,,,
61.22721,2,hj3,,,
61.22721,MOT_mc_back_00,lt_2,,
61.76049,2,j3-4,,,
61.927139999999994,1,j2-3,,,
62.42709,1,3-4,,,
62.56041,2,4-1,,,
62.92704,1,j4-1,,,
62.92704,2,j1-2,,,
63.426989999999996,1,1-2,,,
63.426989999999996,2,2-3,,,
63.76029,1,hj2,,,
63.76029,2,hj3,,,
64.9935,2,w3,,,
64.9935,1,w2,,,
65.19348,MOT_control_all,zoom_5,,
65.39345999999999,1,,,,D40
65.39345999999999,2,3-4,,,
65.69342999999999,2,4-1,,,
65.9934,2,hj1,,,
66.56000999999999,MOT_control_all,zoom_6,,
66.72666,1,,,,L0
66.72666,2,,,,D40
66.72666,1,j2-3,,,
67.22661,2,w1,,,
67.22661,1,j3-4,,,
67.89321,1,4-1,,,
67.9932,MOT_control_all,zoom_7,,
68.02653,1,,,,D40
