0.03333,MOT_mc_bg_black_00,b20,,
0.03333,MOT_control_all,zoom1,,
0.03333,MOT_all,cut1,,
0.03333,1,,,,D80
0.03333,2,,,,D80
0.03333,3,,,,D80
1.96647,MOT_mc_bg_black_00,b20-0,,
1.96647,1,j1-2,,,
1.96647,2,j1-2,,,
1.96647,3,j1-2,,,
2.1664499999999998,2,,,,L20
2.1664499999999998,3,,,,L20
2.3997599999999997,2,sp2-3,,,
2.3997599999999997,3,sp2-3,,,
2.43309,MOT_mc_light_center_00,tenmetu,,
2.43309,1,,,,D80
2.5997399999999997,1,,,,D80
2.76639,1,,,,D80
2.93304,1,,,,D80
3.0330299999999997,1,w2,,,
3.09969,1,,,,D80
3.26634,1,,,,D80
3.4329899999999998,1,,,,D80
3.59964,1,,,,D80
3.7662899999999997,1,,,,D80
3.93294,1,,,,D80
4.09959,1,,,,D80
4.26624,1,,,,D80
4.4328899999999996,1,,,,D80
4.59954,1,,,,D80
4.76619,1,,,,D80
4.93284,1,,,,D80
5.099489999999999,1,,,,D80
5.26614,1,,,,D80
5.43279,1,,,,D80
5.5994399999999995,1,,,,D80
5.76609,1,,,,D80
5.93274,1,,,,D80
6.09939,1,,,,D80
6.266039999999999,1,,,,D80
6.43269,1,,,,D80
6.59934,1,,,,D80
6.7659899999999995,1,,,,D80
6.932639999999999,1,,,,D80
7.09929,1,,,,D80
7.26594,1,,,,D80
7.332599999999999,2,j3-4,,,
7.332599999999999,3,j3-4,,,
7.432589999999999,1,,,,D80
7.59924,1,,,,D80
7.76589,MOT_mc_light_center_00,nomal,,
7.79922,1,,,,D80
7.96587,2,j4-1,,,
7.96587,3,j4-1,,,
8.365829999999999,MOT_mc_light_center_00,cross,,
8.59914,2,j1-2,,,
8.59914,3,j1-2,,,
8.96577,MOT_mc_light_center_00,nomal,,
9.13242,2,j2-3,,,
9.13242,3,j2-3,,,
9.599039999999999,MOT_mc_light_center_00,cross,,
9.599039999999999,1,sp2-3,,,
9.599039999999999,2,j3-4,,,
9.599039999999999,3,j3-4,,,
9.73236,1,,,,L0
9.998999999999999,MOT_mc_light_center_00,tenmetu,,
9.998999999999999,2,,,,D80
9.998999999999999,3,,,,D80
10.03233,1,,l1,,
10.16565,2,,,,D80
10.16565,3,,,,D80
10.3323,2,,,,D80
10.3323,3,,,,D80
10.36563,1,,lb0,,
10.498949999999999,2,,,,D80
10.498949999999999,3,,,,D80
10.6656,3,w4,,,
10.6656,2,w4,,,
10.6656,1,,l1,,
10.6656,2,,,,D80
10.6656,3,,,,D80
10.83225,2,,,,D80
10.83225,3,,,,D80
10.998899999999999,1,,lb0,,
10.998899999999999,2,,,,D80
10.998899999999999,3,,,,D80
11.16555,2,,,,D80
11.16555,3,,,,D80
11.3322,1,,l1,,
11.3322,2,,,,D80
11.3322,3,,,,D80
11.49885,2,,,,D80
11.49885,3,,,,D80
11.6655,1,,lb0,,
11.6655,2,,,,D80
11.6655,3,,,,D80
11.832149999999999,2,,,,D80
11.832149999999999,3,,,,D80
11.96547,1,,l1,,
11.9988,2,,,,D80
11.9988,3,,,,D80
12.16545,2,,,,D80
12.16545,3,,,,D80
12.26544,1,,lb0,,
12.332099999999999,2,,,,D80
12.332099999999999,3,,,,D80
12.49875,2,,,,D80
12.49875,3,,,,D80
12.532079999999999,1,,l1,,
12.6654,2,,,,D80
12.6654,3,,,,D80
12.832049999999999,1,,lb0,,
12.832049999999999,2,,,,D80
12.832049999999999,3,,,,D80
12.9987,2,,,,D80
12.9987,3,,,,D80
13.132019999999999,1,,l1,,
13.16535,2,,,,D80
13.16535,3,,,,D80
13.331999999999999,2,,,,D80
