0.03333,MOT_all,cut1,,
0.03333,MOT_control_all,zoom_1,,
0.03333,1,,,,D40
0.03333,2,,,,D40
0.03333,3,,,,D40
0.03333,4,,,,D40
0.03333,5,,,,D40
0.03333,MOT_mc_back_00,lt_1,,
0.06666,MOT_control_all,zoom_1,,
0.06666,1,,,,D40
0.06666,2,,,,D40
0.06666,3,,,,D40
0.06666,4,,,,D40
0.06666,5,,,,D40
0.06666,MOT_mc_back_00,lt_1,,
2.6997299999999997,MOT_mc_stage_color_00,b-flash,,
2.6997299999999997,1,1-2,,,
3.63297,1,w2,,,
4.16625,2,1-2,l1,,
4.16625,3,1-2,r1,,
4.56621,4,1-2,l1,,
4.56621,5,1-2,r1,,
5.099489999999999,3,w2,,,
5.099489999999999,2,w2,,,
5.3328,1,2-3,,,
5.3328,2,2-3,,,
5.3328,3,2-3,,,
5.3328,4,2-3,,,
5.3328,5,2-3,,,
5.966069999999999,1,3-4,,,
5.966069999999999,2,3-4,,,
5.966069999999999,3,3-4,,,
5.966069999999999,4,3-4,,,
5.966069999999999,5,3-4,,,
6.69933,5,j4-1,,,
6.69933,4,j4-1,,,
6.89931,3,w4,,,
6.89931,2,w4,,,
6.89931,1,w4,,,
7.29927,3,j4-1,,,
7.29927,2,j4-1,,,
7.76589,5,w1,,,
7.76589,4,w1,,,
8.03253,1,j4-1,,,
8.365829999999999,3,w1,,,
8.365829999999999,2,w1,,,
9.09909,1,w1,,,
9.36573,1,1-2,,,
9.36573,2,1-2,,,
9.36573,3,1-2,,,
9.36573,4,1-2,,,
9.36573,5,1-2,,,
10.03233,1,2-3,,,
10.298969999999999,5,w2,,,
10.298969999999999,4,w2,,,
10.298969999999999,3,w2,,,
10.298969999999999,2,w2,,,
10.76559,2,2-3,lb0,,
10.76559,3,2-3,rb0,,
10.96557,1,w3,,,
11.26554,4,2-3,lb0,,
11.26554,5,2-3,rb0,,
11.69883,3,w3,,,
11.69883,2,w3,,,
11.932139999999999,MOT_mc_stage_color_00,y-flash,,
11.932139999999999,1,j3-4,,,
11.932139999999999,2,j3-4,,,
11.932139999999999,3,j3-4,,,
11.932139999999999,4,j3-4,,,
11.932139999999999,5,j3-4,,,
12.9987,5,w4,,,
12.9987,4,w4,,,
12.9987,3,w4,,,
12.9987,2,w4,,,
12.9987,1,w4,,,
13.56531,1,4-1,,,
13.56531,2,4-1,,,
13.56531,3,4-1,,,
13.56531,4,4-1,,,
13.56531,5,4-1,,,
14.49855,5,w1,,,
14.49855,4,w1,,,
14.49855,3,w1,,,
14.49855,2,w1,,,
14.49855,1,w1,,,
14.665199999999999,1,j1-2,,,
14.665199999999999,2,j1-2,,,
14.665199999999999,3,j1-2,,,
14.665199999999999,4,j1-2,,,
14.665199999999999,5,j1-2,,,
15.265139999999999,3,2-3,r1,,
15.265139999999999,2,2-3,l1,,
15.265139999999999,4,2-3,,,
15.265139999999999,5,2-3,,,
15.265139999999999,1,2-3,,,
15.93174,1,3-4,,,
15.93174,3,3-4,,,
15.93174,2,3-4,,,
15.93174,4,3-4,l1,,
15.93174,5,3-4,r1,,
16.76499,1,j4-1,,,
16.76499,2,j4-1,,,
16.76499,3,j4-1,,,
16.76499,4,j4-1,,,
16.76499,5,j4-1,,,
17.39826,1,1-2,,,
17.39826,2,1-2,,,
17.39826,3,1-2,,,
17.39826,4,1-2,,,
17.39826,5,1-2,,,
18.03153,1,j2-3,,,
18.03153,2,j2-3,,,
18.03153,3,j2-3,,,
18.03153,4,j2-3,,,
18.03153,5,j2-3,,,
18.6648,1,j3-4,,,
18.6648,2,j3-4,,,
18.6648,3,j3-4,,,
18.6648,4,j3-4,,,
18.6648,5,j3-4,,,
19.73136,5,w4,,,
19.73136,4,w4,,,
19.73136,3,w4,,,
19.73136,2,w4,,,
19.73136,1,w4,,,
19.997999999999998,1,4-1,,,
19.997999999999998,2,4-1,,,
19.997999999999998,3,4-1,,,
19.997999999999998,4,4-1,,,
19.997999999999998,5,4-1,,,
20.597939999999998,1,1-2,,,
20.597939999999998,2,1-2,,,
20.597939999999998,3,1-2,,,
20.597939999999998,4,1-2,,,
20.597939999999998,5,1-2,,,
21.3312,MOT_mc_stage_color_00,y-flash,,
21.3312,1,2-3,,,
21.3312,2,2-3,,,
21.3312,3,2-3,,,
21.3312,4,2-3,,,
21.3312,5,2-3,,,
22.26444,5,w3,,,
22.26444,4,w3,,,
22.26444,3,w3,,,
22.26444,2,w3,,,
22.26444,1,w3,,,
23.53098,1,hj3,,,
23.53098,2,hj3,,,
23.53098,3,hj3,,,
23.53098,4,hj3,,,
23.53098,5,hj3,,,
23.9976,MOT_mc_stage_color_00,r-flash,,
24.19758,1,3-4,,,
24.19758,2,3-4,,,
24.19758,3,3-4,,,
24.19758,4,3-4,,,
24.19758,5,3-4,,,
24.53088,1,lp4,,,
24.53088,2,lp4,,,
24.53088,3,lp4,,,
24.53088,4,lp4,,,
24.53088,5,lp4,,,
25.49745,MOT_control_all,zoom_2,,
25.63077,1,,,,L0
25.63077,1,4-1,,f1,
25.63077,MOT_mc_back_00,lt_2,,
25.9974,1,1-2,,,
26.53068,1,j2-3,,,
26.663999999999998,MOT_mc_stage_color_00,y-flash,,
26.9973,MOT_mc_stage_color_00,r-flash,,
27.36393,1,3-4,r1,,
27.697229999999998,1,4-1,r2,,
28.297169999999998,1,1-2,,,
28.63047,1,2-3,,,
28.96377,1,3-4,rb1,,
29.23041,MOT_mc_stage_color_00,y-flash,,
29.330399999999997,1,j4-1,,,
29.56371,MOT_mc_stage_color_00,r-flash,,
30.39696,1,w1,,,
30.9969,MOT_mc_stage_color_00,b-flash,,
30.9969,1,1-2,rb0,,
31.330199999999998,MOT_mc_stage_color_00,y-flash,,
31.330199999999998,1,j2-3,,,
31.6635,MOT_mc_stage_color_00,r-flash,,
31.6635,1,hj3,,,
32.3301,1,3-4,l1,,
32.663399999999996,1,4-1,lb0,,
32.9967,1,j1-2,,,
33.496649999999995,1,2-3,,,
33.82995,1,3-4,,,
34.16325,1,j4-1,,,
34.82985,1,1-2,,,
35.76309,1,w2,,,
35.896409999999996,1,,,,D40
35.896409999999996,1,2-3,,b0,
36.12972,MOT_control_all,zoom_3,,
36.22971,1,3-4,,b-1,
36.329699999999995,4,,,,L0
36.329699999999995,MOT_mc_stage_color_00,b-flash,,
36.329699999999995,4,4-1,,f1,
36.329699999999995,1,4-1,,,
36.329699999999995,2,4-1,,,
36.329699999999995,3,4-1,,,
36.329699999999995,5,4-1,,,
36.663,4,1-2,,,
36.663,1,lp1,,,
36.663,2,lp1,,,
36.663,3,lp1,,,
36.663,5,lp1,,,
37.162949999999995,MOT_mc_stage_color_00,y-flash,,
37.162949999999995,4,j2-3,,,
37.496249999999996,MOT_mc_stage_color_00,r-flash,,
37.6629,4,3-4,,,
38.59614,4,w4,,,
38.96277,4,4-1,lb0,,
39.29607,4,1-2,r1,,
39.62937,4,2-3,,,
39.962669999999996,MOT_mc_stage_color_00,b-flash,,
39.962669999999996,4,j3-4,,,
40.29597,MOT_mc_stage_color_00,y-flash,,
40.46262,4,4-1,,,
41.39586,4,w1,,,
41.595839999999995,MOT_mc_stage_color_00,y-flash,,
41.595839999999995,4,j1-2,,,
42.29577,4,hj2,,,
42.96237,4,2-3,rb0,,
43.29567,4,3-4,l1,,
43.628969999999995,4,4-1,,,
43.96227,4,1-2,,,
44.3289,4,2-3,,,
44.96217,4,j3-4,,,
46.028729999999996,4,w4,,,
46.16205,4,,,,D40
46.59534,4,4-1,,b0,
46.72866,MOT_control_all,zoom_4,,
46.92864,4,1-2,,b-1,
46.9953,5,,,,L0
46.9953,5,1-2,,f1,
46.9953,1,1-2,,,
46.9953,2,1-2,,,
46.9953,3,1-2,,,
46.9953,4,2-3,,,
