0.03333,MOT_control_all,zoom1,,
0.03333,MOT_all,cut1,,
1.8331499999999998,1,1-2,,,
1.8331499999999998,2,1-2,,,
2.19978,1,lp2,,,
2.19978,2,lp2,,,
3.69963,1,2-3,,,
3.69963,2,2-3,,,
4.06626,1,lp3,,,
4.06626,2,lp3,,,
5.83275,1,j3-4,,,
5.83275,2,j3-4,,,
6.89931,2,w4,,,
6.89931,1,j4-1,,,
6.89931,2,j4-1,,,
7.89921,1,j1-2,,,
7.89921,2,j1-2,,,
8.365829999999999,1,sp2-3,,,
8.365829999999999,2,sp2-3,,,
10.06566,1,j3-4,,,
10.06566,2,j3-4,,,
11.13222,2,w4,,,
11.13222,1,w4,,,
12.36543,1,4-1,,,
12.36543,2,4-1,,,
12.732059999999999,1,lp1,,,
12.732059999999999,2,lp1,,,
14.265239999999999,1,1-2,,,
14.265239999999999,2,1-2,,,
14.63187,1,2-3,,,
14.63187,2,2-3,,,
14.9985,1,lp3,,,
14.9985,2,lp3,,,
15.565109999999999,1,3-4,,,
15.565109999999999,2,3-4,,,
16.49835,2,w4,,,
16.49835,1,w4,,,
16.59834,1,4-1,,,
16.59834,2,4-1,,,
17.531579999999998,2,w1,,,
17.531579999999998,1,w1,,,
17.6649,1,1-2,,,
17.6649,2,1-2,,,
18.59814,2,w2,,,
18.59814,1,w2,,,
18.764789999999998,1,2-3,,,
18.764789999999998,2,2-3,,,
19.13142,1,lp3,,,
19.13142,2,lp3,,,
20.93124,2,3-4,,f1,
21.29787,2,lp4,,,
21.86448,2,4-1,,,
22.397759999999998,2,1-2,,,
22.9977,1,3-4,,f1,
23.331,2,w2,,,
23.36433,1,lp4,,,
23.93094,1,4-1,,,
24.464219999999997,1,1-2,,,
25.064159999999998,1,j2-3,,,
25.064159999999998,2,j2-3,,,
25.49745,1,lp3,,,
25.49745,2,lp3,,,
26.23071,2,3-4,,,
26.63067,1,3-4,,,
27.03063,2,4-1,,,
27.39726,2,lp1,,,
27.43059,1,4-1,,,
27.79722,1,lp1,,,
28.297169999999998,1,j1-2,,,
28.297169999999998,2,j1-2,,,
28.730459999999997,1,lp2,,,
28.730459999999997,2,lp2,,,
29.43039,1,j2-3,,,
29.43039,2,j2-3,,,
29.86368,1,sp3-4,,,
29.86368,2,sp3-4,,,
31.59684,1,j4-1,,,
31.59684,2,j4-1,,,
32.03013,1,sp1-2,,,
32.03013,2,sp1-2,,,
33.76329,1,2-3,,b0,
