time,lyrics,size
0.000,,
2.817,手と手を　繋いで　君と一緒に　虹の先へ,
13.233,,
16.667,宝物を見つけに　ドアの向こうへ出掛けよう,
22.317,ガラスの靴も　馬車もないけど　じっとしてられない,
27.967,ときめきの音　高鳴る　鼓動の針　チックタック,
33.433,魔法の呪文は　心が知ってる,
37.817,ワクワク　響くメロディ　聞こえる？　耳を澄まして,
43.683,始まる !　みんなで「スタート ! 」 走り出そう Let's go!!,
48.967,朝だよ　おはよう !　遊ぼう !,
52.100,空に描く夢は　太陽よりも　まぶしく　輝いてる,
60.267,元気に　歌おう !　踊ろう !,
63.383,世界中に届け　未来を照らす　光になるよ　私たち,
72.433,手と手を　繋いで　君と一緒に　虹の先へ,
78.083,叶えるの　奇跡さえ　キラキラに Shine In The Sky☆,
88.500,朝だよ　おはよう !　遊ぼう !,
91.683,空に描く夢は　太陽よりも　まぶしく　輝いてる,
99.800,元気に　歌おう !　踊ろう !,
102.917,世界中に届け　未来を照らす　光になるよ　私たち,
111.917,手と手を　繋いで　君と一緒に　虹の先へ,
117.617,叶えるの　奇跡さえ　キラキラに Shine In The Sky☆,
131.161,,
