0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,MOT_mc_back_00,lt_1,,
0.03333,MOT_control_all,zoom_1,,
0.03333,1,,,,D40
0.03333,2,,,,D40
0.03333,3,,,,D40
0.03333,4,,,,D40
0.03333,5,,,,D40
0.06666,MOT_all,cut1,,
2.26644,1,j1-2,,,
2.26644,2,j1-2,,,
2.26644,3,j1-2,,,
2.26644,4,j1-2,,,
2.26644,5,j1-2,,,
2.56641,MOT_mc_stage_color_00,b-flash,,
3.3329999999999997,5,w2,,,
3.3329999999999997,4,w2,,,
3.3329999999999997,3,w2,,,
3.3329999999999997,2,w2,,,
3.3329999999999997,1,w2,,,
3.59964,1,2-3,,,
3.59964,2,2-3,,,
3.59964,3,2-3,,,
3.59964,4,2-3,,,
3.59964,5,2-3,,,
4.49955,MOT_mc_stage_color_00,y-flash,,
4.49955,4,3-4,l1,,
4.49955,5,3-4,r1,,
4.49955,1,3-4,,,
4.53288,3,w3,,,
4.53288,2,w3,,,
5.13282,MOT_mc_stage_color_00,r-flash,,
5.13282,2,3-4,l1,,
5.13282,3,3-4,r1,,
5.13282,1,4-1,,,
5.43279,5,w4,,,
5.43279,4,w4,,,
6.066059999999999,3,w4,,,
6.066059999999999,2,w4,,,
6.066059999999999,1,1-2,,,
6.066059999999999,2,4-1,,,
6.066059999999999,3,4-1,,,
6.066059999999999,4,4-1,,,
6.066059999999999,5,4-1,,,
6.9993,5,w1,,,
6.9993,4,w1,,,
6.9993,3,w1,,,
6.9993,2,w1,,,
6.9993,1,w2,,,
7.06596,MOT_mc_stage_color_00,b-flash,,
7.06596,4,1-2,lb0,,
7.06596,5,1-2,rb0,,
7.06596,1,2-3,,,
7.69923,MOT_mc_stage_color_00,y-flash,,
7.69923,2,1-2,lb0,,
7.69923,3,1-2,rb0,,
7.69923,1,3-4,,,
7.9992,5,w2,,,
7.9992,4,w2,,,
8.63247,3,w2,,,
8.63247,2,w2,,,
8.63247,1,w4,,,
8.96577,MOT_mc_stage_color_00,r-flash,,
8.96577,2,2-3,,,
8.96577,3,2-3,,,
8.96577,1,4-1,,,
9.3324,5,2-3,,,
9.3324,4,2-3,,,
9.3324,1,1-2,,,
9.899009999999999,3,w3,,,
9.899009999999999,2,w3,,,
10.03233,1,j2-3,,,
10.03233,2,j3-4,,,
10.03233,3,j3-4,,,
10.03233,4,j3-4,,,
10.03233,5,j3-4,,,
10.23231,MOT_mc_stage_color_00,b-flash,,
10.56561,1,3-4,,,
10.56561,2,4-1,,,
10.56561,3,4-1,,,
10.56561,4,4-1,,,
10.56561,5,4-1,,,
11.198879999999999,1,4-1,,,
11.198879999999999,2,1-2,,,
11.198879999999999,3,1-2,,,
11.198879999999999,4,1-2,,,
11.198879999999999,5,1-2,,,
12.032129999999999,MOT_control_all,zoom_2,,
12.132119999999999,5,w2,,,
12.132119999999999,4,w2,,,
12.132119999999999,3,w2,,,
12.132119999999999,2,w2,,,
12.132119999999999,1,w1,,,
12.132119999999999,MOT_mc_stage_color_00,y-flash,,
12.132119999999999,2,,,,L0
12.132119999999999,2,2-3,,f1,
12.132119999999999,1,1-2,,,
12.132119999999999,3,2-3,,,
12.132119999999999,4,2-3,,,
12.132119999999999,5,2-3,,,
12.49875,2,j3-4,,,
12.49875,1,lp2,,,
12.49875,3,lp3,,,
12.49875,4,lp3,,,
12.49875,5,lp3,,,
13.26534,2,4-1,,,
13.76529,2,j1-2,,,
14.49855,2,2-3,,,
15.03183,2,j3-4,,,
15.3318,MOT_mc_stage_color_00,r-flash,,
16.09839,2,w4,,,
16.131719999999998,1,j2-3,,,
16.131719999999998,2,j4-1,,,
16.131719999999998,3,j3-4,,,
16.131719999999998,4,j3-4,,,
16.131719999999998,5,j3-4,,,
16.63167,1,3-4,,,
16.63167,2,1-2,,,
16.63167,3,4-1,,,
16.63167,4,4-1,,,
16.63167,5,4-1,,,
16.96497,1,lp4,,,
16.96497,3,lp1,,,
16.96497,4,lp1,,,
16.96497,5,lp1,,,
17.26494,MOT_mc_stage_color_00,b-flash,,
17.26494,2,2-3,,,
17.59824,2,j3-4,,,
18.19818,2,4-1,,,
18.53148,2,1-2,,,
18.83145,2,2-3,,,
19.26474,2,j3-4,,,
19.83135,2,hj4,,,
20.43129,MOT_mc_stage_color_00,y-flash,,
21.06456,2,w4,,,
21.197879999999998,2,,,,D40
21.597839999999998,2,j4-1,,b0,
21.997799999999998,MOT_control_all,zoom_3,,
22.16445,3,,,,L0
22.16445,3,1-2,,f1,
22.29777,MOT_mc_stage_color_00,r-flash,,
22.597739999999998,3,j2-3,,,
22.6644,2,w1,,,
23.53098,3,3-4,l1,,
24.16425,3,4-1,l2,,
24.73086,3,1-2,,,
25.230809999999998,3,j2-3,,,
25.53078,MOT_mc_stage_color_00,b-flash,,
26.264039999999998,3,3-4,,,
26.59734,3,4-1,,,
27.36393,MOT_mc_stage_color_00,y-flash,,
27.36393,3,1-2,lb1,,
27.96387,3,j2-3,,,
28.03053,MOT_mc_stage_color_00,r-flash,,
28.59714,3,3-4,lb0,,
29.06376,3,j4-1,,,
29.330399999999997,MOT_mc_stage_color_00,b-flash,,
29.76369,3,j1-2,,,
30.530279999999998,3,2-3,,,
30.63027,MOT_mc_stage_color_00,y-flash,,
31.46352,3,w3,,,
31.63017,3,,,,D40
31.63017,1,j4-1,,,
31.63017,2,j1-2,,,
31.63017,3,j3-4,,,
31.63017,4,j1-2,,,
31.63017,5,j1-2,,,
31.89681,MOT_mc_stage_color_00,r-flash,,
32.296769999999995,MOT_control_all,zoom_4,,
32.53008,4,,,,L0
32.53008,5,,,,L0
32.53008,4,2-3,,f1,
32.53008,5,2-3,,f1,
32.53008,3,4-1,,b0,
32.53008,1,1-2,,,
32.53008,2,2-3,,,
32.96337,4,j3-4,,,
32.96337,5,j3-4,,,
33.42999,2,j3-4,,,
33.42999,3,j1-2,,,
33.42999,1,j2-3,,,
33.62997,MOT_mc_stage_color_00,b-flash,,
33.92994,4,j4-1,,,
33.92994,5,j4-1,,,
33.9966,MOT_mc_stage_color_00,y-flash,,
34.49655,3,w2,,,
34.49655,2,w4,,,
34.49655,1,w3,,,
34.729859999999995,4,1-2,r1,,
34.82985,5,1-2,l1,,
35.56311,5,j2-3,,,
35.56311,4,j2-3,,,
35.72976,MOT_mc_stage_color_00,r-flash,,
36.06306,1,j3-4,,,
36.06306,2,j4-1,,,
36.06306,3,j2-3,,,
36.19638,MOT_mc_stage_color_00,b-flash,,
36.52968,5,j3-4,,,
36.52968,4,j3-4,,,
36.663,MOT_mc_stage_color_00,y-flash,,
37.129619999999996,3,w3,,,
37.129619999999996,2,w1,,,
37.129619999999996,1,w4,,,
37.19628,5,4-1,lb0,,
37.36293,4,4-1,rb0,,
37.896209999999996,5,j1-2,,,
37.896209999999996,4,j1-2,,,
38.329499999999996,MOT_mc_stage_color_00,r-flash,,
38.396159999999995,1,j4-1,,,
38.396159999999995,2,j1-2,,,
38.396159999999995,3,j3-4,,,
38.729459999999996,MOT_mc_stage_color_00,b-flash,,
38.86278,4,,,,D40
38.86278,5,,,,D40
38.86278,5,j2-3,,,
38.86278,4,j2-3,,,
39.22941,MOT_mc_stage_color_00,y-flash,,
39.39606,MOT_control_all,zoom_5,,
39.46272,3,w4,,,
39.46272,2,w2,,,
39.46272,1,w1,,,
39.79602,1,,,,L0
39.79602,1,1-2,,f1,
39.79602,4,3-4,,b0,
39.79602,5,3-4,,b0,
39.79602,2,2-3,,,
39.79602,3,4-1,,,
40.12932,1,j2-3,,,
40.12932,2,lp3,,,
40.12932,3,lp1,,,
40.12932,4,lp4,,,
40.12932,5,lp4,,,
40.762589999999996,1,3-4,r1,,
40.829249999999995,MOT_mc_stage_color_00,r-flash,,
