0.03333,8,sort,-500,
0.03333,6,sort,-500,
0.03333,5,sort,-500,
0.03333,7,sort,-500,
0.03333,1,,,,D80
0.03333,2,,,,D80
0.03333,3,,,,D80
0.03333,4,,,,D80
0.03333,5,,,,D80
0.03333,6,,,,D80
0.03333,7,,,,D80
0.03333,8,,,,D80
0.03333,MOT_mc_bg_black_00,b80,,
0.03333,MOT_mc_light_center_00,l2,,
0.03333,MOT_mc_light_up_00,l2,,
0.03333,MOT_mc_light_under_00,l1,,
0.03333,MOT_control_all,zoom1,,
0.03333,MOT_all,cut1,,
3.69963,1,j1-2,,,
3.69963,2,j1-2,,,
3.69963,3,j1-2,,,
3.69963,4,j1-2,,,
3.69963,5,j1-2,,,
3.69963,6,j1-2,,,
3.69963,7,j1-2,,,
3.69963,8,j1-2,,,
3.9996,MOT_mc_stage_color_00,b-flash,,
4.29957,1,2-3,,,
4.29957,2,2-3,,,
4.29957,3,2-3,,,
4.29957,4,2-3,,,
4.76619,8,w2,,,
4.76619,7,w2,,,
4.76619,6,w2,,,
4.76619,5,w2,,,
4.999499999999999,6,2-3,,,
4.999499999999999,7,2-3,,,
4.999499999999999,8,2-3,,,
4.999499999999999,5,2-3,,,
5.23281,4,w3,,,
5.23281,3,w3,,,
5.23281,2,w3,,,
5.23281,1,w3,,,
5.89941,1,j3-4,,,
5.89941,2,j3-4,,,
5.89941,3,j3-4,,,
5.89941,4,j3-4,,,
5.93274,8,w3,,,
5.93274,7,w3,,,
5.93274,6,w3,,,
5.93274,5,w3,,,
5.9994,6,j3-4,,,
5.9994,7,j3-4,,,
5.9994,8,j3-4,,,
5.9994,5,j3-4,,,
6.366029999999999,1,j4-1,,,
6.366029999999999,2,j4-1,,,
6.366029999999999,3,j4-1,,,
6.366029999999999,4,j4-1,,,
6.366029999999999,5,j4-1,,,
6.366029999999999,6,j4-1,,,
6.366029999999999,7,j4-1,,,
6.366029999999999,8,j4-1,,,
6.59934,MOT_mc_stage_color_00,b-flash,,
6.63267,1,,,,L40
6.63267,2,,,,L40
6.63267,3,,,,L40
6.63267,4,,,,L40
6.63267,5,,,,L40
6.63267,6,,,,L40
6.63267,7,,,,L40
6.63267,8,,,,L40
6.69933,1,lp1,,,
6.69933,2,lp1,,,
6.69933,3,lp1,,,
6.69933,4,lp1,,,
6.69933,5,lp1,,,
6.69933,6,lp1,,,
6.69933,7,lp1,,,
6.69933,8,lp1,,,
7.46592,1,1-2,,,
7.46592,2,1-2,,,
7.46592,3,1-2,,,
7.46592,4,1-2,,,
7.46592,5,1-2,,,
7.46592,6,1-2,,,
7.46592,7,1-2,,,
7.46592,8,1-2,,,
7.76589,8,j2-3,,,
7.8325499999999995,4,j2-3,,,
7.89921,6,j2-3,,,
7.96587,2,j2-3,,,
8.03253,1,j2-3,,,
8.09919,5,j2-3,,,
8.165849999999999,3,j2-3,,,
8.23251,7,j2-3,,,
8.3325,8,j3-4,,,
8.39916,4,j3-4,,,
8.465819999999999,6,j3-4,,,
8.53248,2,j3-4,,,
8.59914,1,j3-4,,,
8.665799999999999,5,j3-4,,,
8.73246,3,j3-4,,,
8.79912,7,j3-4,,,
9.19908,1,4-1,,,
9.19908,2,4-1,,,
9.19908,3,4-1,,,
9.19908,4,4-1,,,
9.19908,5,4-1,,,
9.19908,6,4-1,,,
9.19908,7,4-1,,,
9.19908,8,4-1,,,
9.49905,1,lp1,,,
9.49905,2,lp1,,,
9.49905,3,lp1,,,
9.49905,4,lp1,,,
9.49905,5,lp1,,,
9.49905,6,lp1,,,
9.49905,7,lp1,,,
9.49905,8,lp1,,,
10.36563,1,1-2,,,
10.36563,2,1-2,,,
