0.03333,MOT_mc_light_up_00,stay,,
0.03333,MOT_mc_bg_black_00,b65,,
0.03333,MOT_control_all,zoom1,,
0.03333,MOT_all,cut1,,
2.56641,2,1-2,,f1,
2.56641,1,1-2,,,
2.73306,MOT_mc_bg_black_00,b65-0,,
2.76639,MOT_mc_stage_color_00,b-flash,,
2.7997199999999998,MOT_mc_light_up_00,l2,,
2.93304,2,2-3,,,
3.26634,2,3-4,,,
3.49965,1,w2,,,
3.63297,2,4-1,,,
3.9662699999999997,2,j1-2,,,
4.6662,2,j2-3,,,
5.06616,2,3-4,,,
5.43279,2,,,b0,
5.43279,1,2-3,,f1,
5.6661,MOT_mc_stage_color_00,b-flash,,
5.79942,1,3-4,,,
5.9994,2,w4,,,
6.13272,1,4-1,,,
6.49935,1,1-2,,,
6.83265,1,j2-3,,,
7.532579999999999,1,j3-4,,,
7.9325399999999995,1,4-1,,,
8.29917,2,4-1,,f1,
8.29917,1,j1-2,,,
8.565809999999999,MOT_mc_stage_color_00,b-flash,,
8.69913,2,1-2,,,
8.69913,1,2-3,,,
9.03243,2,2-3,,,
9.03243,1,3-4,,,
9.39906,2,3-4,,,
9.39906,1,4-1,,,
9.73236,2,j4-1,,,
9.73236,1,j1-2,,,
10.43229,2,j1-2,,,
10.43229,1,j2-3,,,
10.83225,2,2-3,,,
10.83225,1,3-4,,,
11.26554,1,j4-1,,,
11.63217,2,j3-4,,,
11.9988,1,j1-2,,,
12.36543,2,j4-1,,,
12.96537,1,2-3,,,
12.96537,2,1-2,,,
13.36533,1,j3-4,,,
13.36533,2,j2-3,,,
13.89861,1,hj4,,,
13.89861,2,hj3,,,
14.365229999999999,MOT_mc_stage_color_00,y-flash,,
14.365229999999999,MOT_mc_bg_black_00,b0-45,,
14.43189,MOT_mc_special_03,y,,
14.465219999999999,MOT_mc_special_01,l1,,
14.565209999999999,1,j4-1,,,
14.565209999999999,2,j3-4,,,
14.9985,1,1-2,l1,,
14.9985,2,4-1,l1,,
15.39846,1,2-3,lb0,,
15.39846,2,1-2,lb0,,
15.89841,1,3-4,,,
15.89841,2,2-3,,,
16.29837,1,4-1,,,
16.29837,2,3-4,,,
16.665,1,j1-2,,,
16.665,2,j4-1,,,
17.06496,1,2-3,,,
17.06496,2,1-2,,,
17.29827,MOT_mc_stage_color_00,b-flash,,
17.43159,1,j3-4,,,
17.43159,2,j2-3,,,
17.86488,1,4-1,r1,,
17.86488,2,3-4,r1,,
18.26484,1,1-2,rb0,,
18.26484,2,4-1,rb0,,
18.73146,1,sp2-3,,,
18.73146,2,sp1-2,,,
19.83135,1,hj3,,,
19.83135,2,hj2,,,
20.3313,MOT_mc_stage_color_00,b-flash,,
20.3313,MOT_mc_light_up_00,l1,,
20.3313,MOT_mc_bg_black_00,b45-20,,
20.397959999999998,MOT_mc_special_01,stay,,
20.397959999999998,MOT_mc_special_03,stay,,
20.397959999999998,2,,,b0,
20.397959999999998,1,j3-4,,,
20.797919999999998,1,4-1,,,
21.06456,2,w2,,,
21.13122,1,lp1,,,
22.231109999999997,1,j1-2,,,
22.597739999999998,1,2-3,,,
22.93104,1,j3-4,,,
23.29767,1,lp4,,,
24.39756,1,j4-1,,,
24.76419,1,1-2,,,
25.09749,1,lp2,,,
25.83075,2,2-3,,f1,
25.83075,1,w2,,b0,
26.23071,2,j3-4,,,
26.59734,2,lp4,,,
27.03063,2,4-1,,,
27.36393,2,j1-2,,,
27.730559999999997,2,lp2,,,
28.130519999999997,2,2-3,,,
28.497149999999998,2,3-4,,,
28.86378,1,2-3,,,
28.86378,1,,,f1,
28.86378,2,j4-1,,,
28.9971,MOT_mc_stage_color_00,b-flash,,
29.23041,1,j3-4,,,
29.23041,2,j1-2,,,
29.59704,1,j4-1,,,
29.59704,2,j2-3,,,
29.930339999999998,1,lp1,,,
