0.03333,MOT_all,cut1,,
0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,MOT_mc_back_00,lt_4,,
0.03333,MOT_mc_special_01,cut2_01,,
0.03333,MOT_control_all,zoom_01,,
2.56641,1,sp1-2,,,
2.56641,2,sp1-2,,,
2.56641,3,sp1-2,,,
2.73306,MOT_mc_back_00,lt_1,,
2.73306,MOT_mc_special_01,cut2_03,,
2.9997,1,j2-3,,,
2.9997,2,j2-3,,,
2.9997,3,j2-3,,,
3.5663099999999996,MOT_mc_stage_color_00,b-flash,,
3.5663099999999996,1,3-4,,,
3.5663099999999996,2,3-4,,,
3.5663099999999996,3,3-4,,,
4.39956,1,4-1,,,
4.39956,2,4-1,,,
4.39956,3,4-1,,,
5.3328,3,w1,,,
5.3328,2,w1,,,
5.3328,1,w1,,,
5.3328,2,,l1,,
5.3328,3,,r1,,
6.23271,1,1-2,,,
6.23271,2,1-2,,,
6.23271,3,1-2,,,
7.16595,3,w2,,,
7.16595,2,w2,,,
7.16595,1,2-3,,,
7.16595,2,2-3,,,
7.16595,3,2-3,,,
7.26594,MOT_mc_stage_color_00,y-flash,,
7.9325399999999995,1,j3-4,,,
8.09919,3,w3,,,
8.09919,2,w3,,,
8.39916,2,j3-4,,,
8.39916,3,j3-4,,,
8.89911,2,,lb0,,
8.89911,3,,rb0,,
8.9991,1,w4,,,
9.46572,3,w4,,,
9.46572,2,w4,,,
9.73236,1,4-1,,,
9.73236,2,4-1,,,
9.73236,3,4-1,,,
10.098989999999999,1,sj1,,,
10.26564,2,sj1,,,
10.26564,3,sj1,,,
10.598939999999999,1,w1,,,
10.76559,3,w1,,,
10.76559,2,w1,,,
10.798919999999999,1,1-2,,,
11.098889999999999,2,1-2,,,
11.098889999999999,3,1-2,,,
11.6655,1,sp2-3,,,
11.6655,2,sp2-3,,,
11.6655,3,sp2-3,,,
12.46542,1,hj3,,,
12.832049999999999,2,hj3,,,
12.832049999999999,3,hj3,,,
13.431989999999999,1,3-4,,,
13.431989999999999,2,3-4,,,
13.431989999999999,3,3-4,,,
13.931939999999999,1,4-1,,,
13.931939999999999,2,4-1,,,
13.931939999999999,3,4-1,,,
14.09859,MOT_mc_stage_color_00,r-flash,,
14.49855,3,1-2,,,
14.83185,1,1-2,,,
14.865179999999999,2,w1,,,
15.19848,2,1-2,,,
15.43179,3,w2,,,
15.59844,1,2-3,,,
15.59844,2,2-3,,,
