0.03333,MOT_control_all,mix2_1,,
0.03333,MOT_mc_speaker_00,l1,,
0.03333,MOT_all,mix_cut1,,
0.03333,1,w1,,,
0.03333,2,w1,,,
0.03333,3,w1,,,
0.03333,4,w1,,,
0.03333,5,w1,,,
0.03333,MOT_mc_special_03,w1,,
2.4997499999999997,1,1-2,,,
2.4997499999999997,2,1-2,,,
2.4997499999999997,3,1-2,,,
2.4997499999999997,4,1-2,,,
2.4997499999999997,5,1-2,,,
2.4997499999999997,MOT_mc_special_03,j1-2,,
2.83305,MOT_mc_stage_color_00,b-flash,,
2.86638,MOT_mc_light_up_00,l1,,
2.86638,MOT_mc_light_center_00,l1,,
2.86638,MOT_mc_light_under_00,l1,,
2.86638,MOT_mc_back_00,l1,,
2.86638,MOT_mc_special_01,l1,,
2.86638,MOT_mc_bg_black_00,b80-45,,
3.2330099999999997,1,2-3,,,
3.2330099999999997,2,2-3,,,
3.2330099999999997,3,2-3,,,
3.2330099999999997,4,2-3,,,
3.2330099999999997,5,2-3,,,
3.2330099999999997,2,,l1,,
3.2330099999999997,4,,l1,,
3.2330099999999997,3,,r1,,
3.2330099999999997,5,,r1,,
3.2330099999999997,MOT_mc_special_03,j2-3,,
3.9662699999999997,1,3-4,,,
3.9662699999999997,2,3-4,,,
3.9662699999999997,3,3-4,,,
3.9662699999999997,4,3-4,,,
3.9662699999999997,5,3-4,,,
3.9662699999999997,MOT_mc_special_03,j3-4,,
4.63287,1,4-1,,,
4.63287,2,4-1,,,
4.63287,3,4-1,,,
4.63287,4,4-1,,,
4.63287,5,4-1,,,
5.03283,MOT_mc_stage_color_00,r-flash,,
5.03283,1,hj1,,,
5.03283,2,hj1,,,
5.03283,3,hj1,,,
5.03283,4,hj1,,,
5.03283,5,hj1,,,
5.03283,MOT_mc_special_03,j4-3,,
5.43279,MOT_mc_stage_color_00,y-flash,,
5.46612,MOT_mc_special_03,j3-4,,
5.83275,MOT_mc_stage_color_00,b-flash,,
5.86608,1,lp1,,,
5.86608,2,lp1,,,
5.86608,3,lp1,,,
5.86608,4,lp1,,,
5.86608,5,lp1,,,
