0.03333,MOT_mc_bg_black_00,seat100-0,,
2.6664,MOT_mc_stage_color_00,b-flash,,
2.6997299999999997,MOT_mc_speaker_00,temp1,,
2.6997299999999997,1,j1-2,,,
2.6997299999999997,2,j1-2,,,
2.6997299999999997,3,j1-2,,,
2.6997299999999997,4,j1-2,,,
2.6997299999999997,5,j1-2,,,
3.39966,2,,l1,,
3.39966,3,,r1,,
3.59964,4,,l1,,
3.59964,5,,r1,,
3.7662899999999997,5,w2,,,
3.7662899999999997,4,w2,,,
3.7662899999999997,3,w2,,,
3.7662899999999997,2,w2,,,
3.7662899999999997,1,w2,,,
3.8662799999999997,1,2-3,,,
3.8662799999999997,2,2-3,,,
3.8662799999999997,3,2-3,,,
3.8662799999999997,4,2-3,,,
3.8662799999999997,5,2-3,,,
4.26624,1,3-4,,,
4.59954,2,3-4,,,
4.59954,3,3-4,,,
4.799519999999999,5,w3,,,
4.799519999999999,4,w3,,,
4.93284,1,4-1,,,
4.93284,2,4-1,,,
4.93284,3,4-1,,,
4.93284,4,3-4,,,
4.93284,5,3-4,,,
5.43279,1,j1-2,,,
5.43279,2,j1-2,,,
5.43279,3,j1-2,,,
5.43279,4,j4-1,,,
5.43279,5,j4-1,,,
5.966069999999999,1,2-3,,,
5.966069999999999,2,2-3,lb0,,
5.966069999999999,3,2-3,rb0,,
6.366029999999999,4,1-2,lb0,,
6.366029999999999,5,1-2,rb0,,
6.7659899999999995,1,hj3,,,
6.7659899999999995,2,hj3,,,
6.7659899999999995,3,hj3,,,
6.7659899999999995,4,hj2,,,
6.7659899999999995,5,hj2,,,
7.332599999999999,1,lp3,,,
7.332599999999999,2,lp3,,,
7.332599999999999,3,lp3,,,
7.332599999999999,4,lp2,,,
7.332599999999999,5,lp2,,,
8.165849999999999,1,3-4,,,
8.165849999999999,2,3-4,,,
8.165849999999999,3,3-4,,,
8.165849999999999,4,2-3,,,
8.165849999999999,5,2-3,,,
9.09909,5,w3,,,
9.09909,4,w3,,,
9.09909,3,w4,,,
9.09909,2,w4,,,
9.09909,1,w4,,,
9.13242,1,4-1,,,
9.13242,2,4-1,,,
9.13242,3,4-1,,,
9.13242,4,3-4,,,
9.13242,5,3-4,,,
9.73236,1,j1-2,,,
9.73236,4,j4-1,,,
9.73236,5,j4-1,,,
10.06566,3,w1,,,
10.06566,2,w1,,,
10.16565,2,j1-2,,,
10.16565,3,j1-2,,,
10.798919999999999,5,w1,,,
10.798919999999999,4,w1,,,
10.798919999999999,1,w2,,,
10.83225,1,2-3,,,
10.83225,2,2-3,,,
10.83225,3,2-3,,,
10.83225,4,1-2,,,
10.83225,5,1-2,,,
11.56551,4,j2-3,,,
11.56551,5,j2-3,,,
11.76549,3,w3,,,
11.76549,2,w3,,,
11.76549,1,w3,,,
11.89881,1,j3-4,,,
11.89881,2,j3-4,,,
11.89881,3,j3-4,,,
12.46542,1,sp4-1,,,
12.46542,2,sp4-1,,,
12.46542,3,sp4-1,,,
12.46542,4,sp3-4,,,
12.46542,5,sp3-4,,,
13.931939999999999,1,j1-2,,,
14.065259999999999,2,j1-2,,,
14.065259999999999,3,j1-2,,,
14.09859,MOT_mc_stage_color_00,b-flash,,
14.19858,4,j4-1,,,
14.19858,5,j4-1,,,
14.29857,MOT_mc_stage_color_00,r-flash,,
14.49855,MOT_mc_stage_color_00,b-flash,,
14.665199999999999,1,2-3,,,
14.665199999999999,2,2-3,,,
14.665199999999999,3,2-3,,,
14.665199999999999,4,1-2,,,
14.665199999999999,5,1-2,,,
15.03183,1,3-4,,,
15.03183,2,3-4,,,
15.03183,3,3-4,,,
15.03183,4,2-3,,,
15.03183,5,2-3,,,
15.23181,MOT_mc_bg_black_00,b80-45_2,,
15.39846,MOT_mc_stage_color_00,b-flash,,
15.39846,MOT_mc_light_up_00,l1,,
15.39846,MOT_mc_light_center_00,l1,,
15.39846,MOT_mc_light_under_00,l3,,
15.39846,MOT_mc_speaker_00,temp3,,
15.39846,1,hj4,,,
15.39846,2,hj4,,,
15.39846,3,hj4,,,
15.39846,4,hj3,,,
15.39846,5,hj3,,,
16.09839,1,lp4,,,
16.09839,2,lp4,,,
16.09839,3,lp4,,,
16.09839,4,lp3,,,
16.09839,5,lp3,,,
16.63167,1,j4-1,,,
16.63167,2,j4-1,,,
16.63167,3,j4-1,,,
16.63167,4,j3-4,,,
16.63167,5,j3-4,,,
17.131619999999998,1,1-2,,,
17.131619999999998,2,1-2,,,
17.131619999999998,3,1-2,,,
17.131619999999998,4,4-1,,,
17.131619999999998,5,4-1,,,
17.164949999999997,MOT_mc_stage_color_00,b-flash,,
17.6649,2,,l1,,
17.6649,3,,r1,,
17.6649,4,,l1,,
17.6649,5,,r1,,
18.06486,5,w1,,,
18.06486,4,w1,,,
18.06486,3,w2,,,
18.06486,2,w2,,,
18.06486,1,w2,,,
18.164849999999998,1,2-3,,,
18.164849999999998,2,2-3,,,
18.164849999999998,3,2-3,,,
18.164849999999998,4,1-2,,,
18.164849999999998,5,1-2,,,
18.63147,1,3-4,,,
19.03143,2,3-4,lb0,,
19.03143,3,3-4,rb0,,
19.09809,5,w2,,,
19.09809,4,w2,,,
19.46472,4,2-3,lb0,,
19.46472,5,2-3,rb0,,
19.564709999999998,1,w4,,,
19.93134,1,4-1,,,
19.93134,2,4-1,,,
19.93134,3,4-1,,,
19.93134,4,3-4,,,
19.93134,5,3-4,,,
20.3313,1,j1-2,,,
20.3313,2,j1-2,,,
20.3313,3,j1-2,,,
20.397959999999998,MOT_mc_stage_color_00,r-flash,,
20.6646,4,j4-1,,,
20.6646,5,j4-1,,,
20.76459,MOT_mc_stage_color_00,b-flash,,
21.16455,1,2-3,,,
21.16455,2,2-3,,,
21.16455,3,2-3,,,
21.16455,4,1-2,,,
21.16455,5,1-2,,,
21.69783,1,j3-4,,,
21.69783,4,j2-3,,,
21.69783,5,j2-3,,,
22.09779,3,w3,,,
22.09779,2,j3-4,,,
22.09779,3,j3-4,,,
22.73106,1,4-1,,,
22.73106,2,4-1,,,
22.73106,3,4-1,,,
22.73106,4,3-4,,,
22.73106,5,3-4,,,
23.06436,1,1-2,,,
23.06436,2,1-2,,,
23.06436,3,1-2,,,
23.06436,4,4-1,,,
23.06436,5,4-1,,,
23.56431,1,sp2-3,,,
23.56431,2,sp2-3,,,
23.56431,3,sp2-3,,,
23.56431,4,sp1-2,,,
23.56431,5,sp1-2,,,
24.73086,5,hj2,,,
24.93084,1,hj3,,,
24.93084,2,hj3,,,
24.93084,3,hj3,,,
25.13082,4,hj2,,,
25.96407,5,w2,,,
26.03073,1,j3-4,,,
26.03073,2,j3-4,,,
26.03073,3,j3-4,,,
26.03073,4,j2-3,,,
26.03073,5,j2-3,,,
26.13072,MOT_mc_stage_color_00,b-flash,,
26.83065,2,4-1,,,
26.83065,3,4-1,,,
27.097289999999997,5,w3,,,
27.097289999999997,4,w3,,,
27.097289999999997,1,w4,,,
27.16395,1,4-1,,,
27.16395,4,3-4,,,
27.16395,5,3-4,,,
27.497249999999998,1,1-2,,,
27.497249999999998,2,1-2,,,
27.497249999999998,3,1-2,,,
27.497249999999998,4,4-1,,,
27.497249999999998,5,4-1,,,
27.83055,1,j2-3,,,
28.23051,2,j2-3,,,
28.23051,3,j2-3,,,
28.43049,5,w1,,,
28.43049,4,w1,,,
28.46382,MOT_mc_stage_color_00,b-flash,,
28.6638,4,j1-2,,,
28.6638,5,j1-2,,,
28.897109999999998,1,w3,,,
29.16375,1,lp3,,,
29.16375,2,lp3,,,
29.16375,3,lp3,,,
29.16375,4,lp2,,,
29.16375,5,lp2,,,
29.897009999999998,1,3-4,,,
29.897009999999998,2,3-4,,,
29.897009999999998,3,3-4,,,
30.26364,1,4-1,,,
30.26364,2,4-1,,,
30.26364,3,4-1,,,
30.26364,4,2-3,,,
30.26364,5,2-3,,,
30.6636,1,hj1,,,
30.6636,2,hj1,,,
30.6636,3,hj1,,,
30.6636,4,hj3,,,
30.6636,5,hj3,,,
31.163549999999997,1,1-2,,,
31.163549999999997,2,1-2,l1,,
31.163549999999997,3,1-2,r1,,
31.163549999999997,4,3-4,l1,,
31.163549999999997,5,3-4,r1,,
31.59684,1,2-3,,,
31.59684,2,2-3,,,
31.59684,3,2-3,,,
31.59684,4,4-1,,,
31.59684,5,4-1,,,
31.6635,MOT_mc_stage_color_00,r-flash,,
31.963469999999997,1,3-4,,,
31.963469999999997,2,,lb0,,
31.963469999999997,3,,rb0,,
31.963469999999997,4,,lb0,,
31.963469999999997,5,,rb0,,
32.03013,MOT_mc_stage_color_00,b-flash,,
32.36343,1,j4-1,,,
32.36343,4,j1-2,,,
32.36343,5,j1-2,,,
32.53008,3,w3,,,
32.53008,2,w3,,,
32.663399999999996,2,j3-4,,,
32.663399999999996,3,j3-4,,,
33.16335,1,1-2,,,
33.39666,2,4-1,,,
33.39666,3,4-1,,,
33.42999,5,w2,,,
33.42999,4,w2,,,
33.6633,4,2-3,,,
33.6633,5,2-3,,,
33.9966,1,2-3,,,
33.9966,4,3-4,,,
33.9966,5,3-4,,,
34.329899999999995,3,w1,,,
34.329899999999995,2,w1,,,
34.329899999999995,1,j3-4,,,
34.329899999999995,2,j1-2,,,
34.329899999999995,3,j1-2,,,
34.329899999999995,4,j4-1,,,
34.329899999999995,5,j4-1,,,
34.82985,1,4-1,,,
34.82985,2,2-3,,,
34.82985,3,2-3,,,
34.82985,4,1-2,,,
34.82985,5,1-2,,,
35.3298,1,sp1-2,,,
35.3298,2,sp3-4,,,
35.3298,3,sp3-4,,,
35.3298,4,sp2-3,,,
35.3298,5,sp2-3,,,
36.52968,1,j2-3,,,
36.52968,2,j4-1,,,
36.52968,3,j4-1,,,
36.52968,4,j3-4,,,
36.52968,5,j3-4,,,
36.62967,MOT_mc_stage_color_00,b-flash,,
37.3296,1,j3-4,,,
37.3296,2,j1-2,,,
37.3296,3,j1-2,,,
37.3296,4,j4-1,,,
37.3296,5,j4-1,,,
37.962869999999995,MOT_mc_stage_color_00,r-flash,,
37.962869999999995,MOT_mc_bg_black_00,b45-65,,
37.962869999999995,1,4-1,,,
37.962869999999995,2,2-3,,,
37.962869999999995,3,2-3,,,
37.962869999999995,4,1-2,,,
37.962869999999995,5,1-2,,,
37.9962,MOT_mc_speaker_00,temp1,,
38.46282,1,1-2,,,
38.46282,2,3-4,,,
38.46282,3,3-4,,,
38.89611,5,w2,,,
38.89611,4,w2,,,
38.96277,4,2-3,,,
38.96277,5,2-3,,,
39.39606,3,w4,,,
39.39606,2,w4,,,
39.39606,1,w2,,,
39.72936,1,,r1,,
39.72936,2,,r1,,
39.72936,3,,r1,,
39.72936,4,,r1,,
39.72936,5,,r1,,
39.89601,5,w3,,,
39.89601,4,w3,,,
40.19598,1,2-3,,,
40.19598,2,4-1,,,
40.19598,3,4-1,,,
40.59594,4,3-4,,,
40.59594,5,3-4,,,
41.12922,3,w1,,,
41.12922,2,w1,,,
41.12922,1,w3,,,
41.36253,1,3-4,,,
41.52918,5,w4,,,
41.52918,4,w4,,,
41.82915,1,4-1,,,
41.82915,4,4-1,,,
41.82915,5,4-1,,,
42.395759999999996,5,j1-2,,,
42.762389999999996,4,w1,,,
42.762389999999996,1,j1-2,,,
42.762389999999996,2,j1-2,,,
42.762389999999996,3,j1-2,,,
43.162349999999996,4,j1-2,,,
43.46232,5,w2,,,
43.82895,3,w2,,,
43.82895,2,w2,,,
43.82895,1,w2,,,
44.12892,2,2-3,,,
44.12892,3,2-3,,,
44.22891,4,w2,,,
44.62887,2,3-4,,,
44.62887,3,3-4,,,
45.262139999999995,1,j2-3,,,
45.262139999999995,4,j2-3,,,
45.262139999999995,5,j2-3,,,
45.56211,3,w4,,,
45.56211,2,w4,,,
45.89541,1,3-4,,,
45.89541,2,4-1,,,
45.89541,3,4-1,,,
45.89541,4,3-4,,,
45.89541,5,3-4,,,
46.462019999999995,1,,rb0,,
46.462019999999995,2,,rb0,,
