0.03333,MOT_all,cut1,,
0.3333,MOT_mc_back_00,blue,,
4.06626,1,,l1,,
4.06626,2,,r1,,
4.49955,1,,l2,,
4.49955,2,,r2,,
4.899509999999999,1,hj1,,,
4.899509999999999,2,hj1,,,
5.83275,1,,lb1,,
5.83275,2,,rb1,,
6.13272,2,w1,,,
6.13272,1,w1,,,
6.19938,1,,l2,,
6.19938,2,,r2,,
6.6659999999999995,1,sp1-2,,,
6.6659999999999995,2,sp1-2,,,
7.79922,1,hj2,,,
7.79922,2,hj2,,,
8.39916,1,2-3,,,
8.39916,2,,rb1,,
8.73246,2,,rb0,,
9.03243,2,w2,,,
9.13242,1,3-4,,,
9.13242,2,lp2,,,
9.93234,1,lp4,,,
11.06556,1,hj4,,,
11.06556,2,hj2,,,
11.73216,1,lp4,lb1,,
11.932139999999999,2,2-3,r1,,
12.46542,2,sp3-4,r2,,
12.632069999999999,1,sp4-1,l2,,
13.36533,1,,lb1,,
13.36533,2,,rb1,,
13.631969999999999,1,1-2,lb0,,
13.631969999999999,2,4-1,rb0,,
13.965269999999999,1,lp2,,,
13.965269999999999,2,lp1,,,
14.3319,1,hj2,,,
14.3319,2,hj1,,,
14.9985,1,2-3,r1,,
14.9985,2,1-2,l1,,
15.3318,1,lp3,,,
15.3318,2,lp2,,,
15.665099999999999,1,3-4,,,
15.9984,2,2-3,,,
16.531679999999998,1,lp4,,,
16.531679999999998,2,lp3,,,
16.79832,1,4-1,rb0,,
17.09829,2,3-4,lb0,,
17.531579999999998,1,hj1,,,
17.531579999999998,2,hj4,,,
18.29817,1,,l1,,
18.29817,2,,r1,,
18.53148,1,,l2,,
18.53148,2,,r2,,
18.764789999999998,2,w4,,,
18.764789999999998,1,w1,,,
19.03143,1,,lb1,,
19.03143,2,,rb1,,
19.46472,1,,l2,,
19.46472,2,,r2,,
19.73136,1,,l3,,
19.73136,2,,r3,,
20.06466,1,sp1-2,,,
20.06466,2,sp4-1,,,
20.96457,1,hj2,,,
20.96457,2,hj1,,,
21.6645,1,2-3,,,
21.6645,2,1-2,rb2,,
22.397759999999998,1,3-4,,,
22.597739999999998,2,w2,,,
22.6644,2,2-3,,,
23.19768,1,lp4,,,
23.53098,1,4-1,lb2,,
23.59764,2,w3,,,
23.76429,1,1-2,lb1,,
23.76429,2,3-4,rb1,,
24.36423,1,hj2,,,
24.36423,2,hj4,,,
24.9975,1,2-3,lb0,,
25.230809999999998,2,4-1,rb0,,
25.49745,2,1-2,,,
25.697429999999997,1,3-4,,,
26.13072,1,lp4,,,
26.13072,2,lp2,,,
27.663899999999998,1,hj4,,,
27.663899999999998,2,hj2,,,
28.46382,1,4-1,r1,,
28.6638,2,2-3,l1,,
28.897109999999998,1,1-2,,,
29.097089999999998,2,3-4,lb0,,
29.46372,1,2-3,rb0,,
29.530379999999997,2,4-1,,,
29.83035,1,sp3-4,,,
29.83035,2,sp1-2,,,
29.83035,MOT_mc_back_00,blue-out,,
30.89691,1,hj4,,,
30.89691,2,hj2,,,
31.49685,1,4-1,r1,,
31.69683,2,2-3,l1,,
31.9968,2,,l2,,
32.263439999999996,1,1-2,r2,,
32.53008,2,3-4,lb1,,
33.096689999999995,1,2-3,rb1,,
33.26334,2,lp4,,,
33.52998,1,lp3,,,
33.896609999999995,2,lp4,l2,,
33.9966,1,3-4,,,
34.296569999999996,1,4-1,,,
34.46322,2,lp4,l3,,
34.663199999999996,1,lp1,,,
35.129819999999995,2,4-1,lb2,,
35.16315,1,,r2,,
35.496449999999996,1,,r3,,
35.86308,2,sp1-2,,,
36.26304,1,1-2,rb2,,
36.696329999999996,2,j2-3,,,
36.79632,1,2-3,,,
37.129619999999996,1,sp3-4,,,
37.129619999999996,2,lp3,,,
37.72956,1,4-1,,,
37.86288,2,3-4,lb1,,
38.12952,2,4-1,lb0,,
38.42949,1,1-2,,,
38.796119999999995,1,2-3,rb1,,
38.796119999999995,2,lp1,,,
39.596039999999995,2,1-2,r1,,
39.62937,1,3-4,rb0,,
39.86268,2,2-3,,,
40.16265,2,3-4,rb0,,
40.395959999999995,1,4-1,r1,,
40.49595,2,4-1,l1,,
40.86258,1,1-2,r2,,
41.26254,1,2-3,r3,,
41.42919,2,w1,,,
41.6625,2,sp1-2,l2,,
42.16245,1,3-4,rb2,,
42.46242,2,,lb1,,
42.89571,1,lp4,,,
43.36233,1,4-1,rb1,,
43.42899,2,2-3,lb0,,
43.72896,1,1-2,rb0,,
44.028929999999995,1,hj2,,,
44.028929999999995,2,hj3,,,
44.828849999999996,1,lp2,,,
45.262139999999995,2,w3,,,
45.46212,1,2-3,,,
45.76209,2,lp3,,,
46.16205,1,lp3,l1,,
46.861979999999996,2,3-4,l1,,
47.728559999999995,2,4-1,l2,,
48.19518,1,3-4,lb0,,
48.6618,2,w1,,,
48.6618,1,,r1,,
48.6618,2,lp1,l3,,
49.12842,1,w4,,,
49.39506,2,1-2,,,
49.52838,1,lp4,r2,,
49.82835,2,2-3,,,
50.39496,2,3-4,lb2,,
51.328199999999995,2,4-1,lb1,,
51.62817,1,4-1,,,
52.094789999999996,2,1-2,,,
52.46142,1,1-2,r3,,
52.86138,1,lp2,,,
52.894709999999996,2,2-3,l2,,
53.794619999999995,2,3-4,,,
54.39456,2,lp4,,,
