0.03333,MOT_all,cut1,,
0.03333,MOT_mc_bg_black_00,b80-45,,
0.03333,1,,,,D60
0.03333,2,,,,D60
0.03333,3,,,,D60
2.73306,MOT_mc_special_01,all_on,,
2.73306,MOT_control_all,zoom_01,,
2.83305,1,1-2,,,
2.83305,2,1-2,,,
2.83305,3,1-2,,,
2.86638,MOT_mc_light_under_00,l1,,
3.2330099999999997,2,j2-3,,,
3.26634,MOT_mc_stage_color_00,b-flash,,
3.26634,MOT_mc_bg_black_00,b45-80,,
3.29967,MOT_mc_light_up_00,l1,,
3.29967,MOT_mc_special_02,l1,,
3.29967,1,,,,L0
3.29967,2,,,,L0
3.29967,3,,,,L0
3.49965,1,j2-3,,,
3.7662899999999997,3,j2-3,,,
4.29957,2,w3,,,
4.56621,1,3-4,,,
4.56621,2,3-4,,,
4.56621,3,3-4,,,
5.06616,2,4-1,,,
5.099489999999999,MOT_mc_stage_color_00,b-flash,,
5.3328,1,4-1,,,
5.4994499999999995,3,w4,,,
5.56611,3,4-1,,,
5.9994,2,w1,,,
6.266039999999999,1,w1,,,
6.29937,1,sp1-2,,,
6.29937,2,sp1-2,,,
6.29937,3,sp1-2,,,
6.79932,MOT_mc_stage_color_00,b-flash,,
6.83265,1,sj2,,,
6.83265,2,sj2,,,
6.83265,3,sj2,,,
7.332599999999999,3,w2,,,
7.332599999999999,2,w2,,,
7.332599999999999,1,w2,,,
7.49925,1,lp2,,,
7.49925,2,lp2,,,
7.49925,3,lp2,,,
8.23251,1,2-3,,,
8.23251,2,2-3,,,
8.23251,3,2-3,,,
8.79912,1,3-4,r1,,
8.79912,2,3-4,r1,,
8.79912,3,3-4,r1,,
9.29907,1,4-1,,,
9.29907,2,4-1,,,
9.29907,3,4-1,,,
9.73236,1,1-2,rb0,,
9.73236,2,1-2,rb0,,
9.73236,3,1-2,rb0,,
10.23231,1,j2-3,,,
10.23231,2,j2-3,,,
10.23231,3,j2-3,,,
10.298969999999999,MOT_mc_stage_color_00,b-flash,,
10.73226,1,lp3,,,
10.73226,2,lp3,,,
10.73226,3,lp3,,,
11.46552,1,j3-4,,,
11.96547,2,j3-4,,,
11.96547,3,j3-4,,,
11.9988,MOT_mc_stage_color_00,b-flash,,
12.532079999999999,1,w4,,,
13.032029999999999,3,w4,,,
13.032029999999999,2,w4,,,
13.132019999999999,1,4-1,,,
13.132019999999999,2,4-1,,,
13.132019999999999,3,4-1,,,
13.56531,MOT_control_all,zoom_02,,
13.59864,1,hj1,,,
13.59864,2,hj1,,,
13.59864,3,hj1,,,
13.631969999999999,MOT_mc_stage_color_00,b-flash,,
14.49855,2,1-2,l1,,
14.49855,3,1-2,r1,,
14.83185,1,w1,,,
15.43179,3,w2,,,
15.43179,2,w2,,,
15.465119999999999,1,1-2,,,
16.29837,1,2-3,,,
16.29837,2,2-3,,,
16.29837,3,2-3,,,
17.131619999999998,3,3-4,,,
17.23161,2,w3,,,
17.23161,1,w3,,,
17.6649,1,3-4,,,
18.06486,3,w4,,,
18.13152,2,3-4,,,
18.59814,1,4-1,,,
18.59814,2,4-1,lb0,,
18.59814,3,4-1,rb0,,
19.06476,1,1-2,,,
19.06476,2,1-2,,,
19.06476,3,1-2,,,
19.997999999999998,3,w2,,,
19.997999999999998,2,w2,,,
19.997999999999998,1,w2,,,
20.397959999999998,MOT_mc_bg_black_00,b80-20,,
20.43129,MOT_control_all,zoom_03,,
