0.03333,MOT_mc_bg_black_00,seat100-0,,
2.3331,MOT_mc_bg_black_00,b80-65,,
2.3997599999999997,MOT_mc_speaker_00,temp2,,
2.53308,MOT_mc_light_under_00,l3,,
2.53308,2,sort,-500,
2.53308,3,sort,-500,
2.53308,1,1-2,,f1,
2.53308,2,1-2,,,
2.53308,3,1-2,,,
2.53308,2,,,,D20
2.53308,3,,,,D20
2.56641,MOT_mc_stage_color_00,y-flash,,
3.1330199999999997,1,,l1,,
3.4663199999999996,3,w2,,,
3.4663199999999996,2,w2,,,
3.4663199999999996,1,2-3,,,
3.83295,1,j3-4,,,
4.46622,1,4-1,lb0,,
4.46622,2,2-3,,,
4.46622,3,2-3,,,
4.96617,1,hj1,,,
5.3994599999999995,3,w3,,,
5.3994599999999995,2,w3,,,
5.966069999999999,1,1-2,,,
6.466019999999999,1,j2-3,,,
6.63267,2,j3-4,,,
6.63267,3,j3-4,,,
7.132619999999999,1,3-4,r1,,
7.532579999999999,1,4-1,,,
7.69923,3,w4,,,
7.69923,2,w4,,,
7.86588,1,1-2,rb0,,
7.86588,2,4-1,,,
7.86588,3,4-1,,,
8.19918,1,lp2,,,
8.19918,2,lp1,,,
8.19918,3,lp1,,,
8.79912,1,2-3,,,
9.16575,1,,l1,,
9.49905,1,3-4,,,
9.799019999999999,1,4-1,lb0,,
10.23231,1,hj1,,,
10.23231,2,hj1,,,
10.23231,3,hj1,,,
10.298969999999999,MOT_mc_stage_color_00,b-flash,,
10.76559,1,,,b0,
10.76559,1,,,,D20
11.16555,1,1-2,,,
11.198879999999999,MOT_mc_stage_color_00,y-flash,,
11.398859999999999,1,2-3,,,
11.398859999999999,2,1-2,,,
11.398859999999999,3,1-2,,,
11.76549,MOT_mc_bg_black_00,b65-20,,
11.76549,MOT_mc_light_up_00,l2,,
11.76549,MOT_mc_light_center_00,l3,,
11.76549,MOT_mc_light_under_00,l2,,
11.76549,1,,,,L0
11.76549,2,,,,L0
11.76549,3,,,,L0
11.79882,1,3-4,,,
11.832149999999999,MOT_mc_stage_color_00,b-flash,,
12.032129999999999,2,2-3,,,
12.032129999999999,3,2-3,,,
12.09879,MOT_mc_stage_color_00,y-flash,,
12.36543,1,4-1,,,
12.39876,MOT_mc_stage_color_00,b-flash,,
12.59874,2,j3-4,,,
12.59874,3,j3-4,,,
12.6654,MOT_mc_stage_color_00,y-flash,,
12.96537,1,j1-2,,,
12.9987,MOT_mc_stage_color_00,b-flash,,
13.19868,2,4-1,l1,,
13.19868,3,4-1,r1,,
13.26534,MOT_mc_stage_color_00,y-flash,,
13.56531,1,2-3,,,
13.59864,MOT_mc_stage_color_00,b-flash,,
13.79862,2,j1-2,,,
13.79862,3,j1-2,,,
13.865279999999998,MOT_mc_stage_color_00,y-flash,,
14.23191,1,3-4,,,
14.265239999999999,MOT_mc_stage_color_00,b-flash,,
14.49855,2,2-3,,,
14.49855,3,2-3,,,
14.79852,1,j4-1,,,
14.83185,MOT_mc_stage_color_00,y-flash,,
15.03183,2,3-4,,,
15.03183,3,3-4,,,
15.09849,MOT_mc_stage_color_00,b-flash,,
15.365129999999999,1,1-2,,,
15.365129999999999,2,,lb0,,
15.365129999999999,3,,rb0,,
15.665099999999999,1,2-3,,,
15.665099999999999,2,4-1,,,
15.665099999999999,3,4-1,,,
16.03173,1,hj3,,,
16.03173,2,hj1,,,
16.03173,3,hj1,,,
16.06506,MOT_mc_stage_color_00,b-flash,,
16.83165,2,j1-2,,,
16.83165,3,j1-2,,,
16.83165,1,,,,D20
16.89831,MOT_mc_stage_color_00,r-flash,,
17.26494,1,w3,,,
17.43159,2,2-3,,,
17.43159,3,2-3,,,
17.49825,MOT_mc_stage_color_00,b-flash,,
17.964869999999998,2,3-4,,,
17.964869999999998,3,3-4,,,
18.03153,MOT_mc_stage_color_00,y-flash,,
18.53148,2,j4-1,,,
18.53148,3,j4-1,,,
18.6648,MOT_mc_stage_color_00,r-flash,,
19.164749999999998,2,1-2,,,
19.164749999999998,3,1-2,,,
19.26474,MOT_mc_stage_color_00,b-flash,,
19.6647,2,j2-3,,,
19.6647,3,j2-3,,,
19.86468,MOT_mc_stage_color_00,y-flash,,
20.197979999999998,2,sp3-4,,,
20.197979999999998,3,sp3-4,,,
20.26464,MOT_mc_stage_color_00,b-flash,,
20.63127,2,hj4,,,
20.6646,MOT_mc_stage_color_00,r-flash,,
20.83125,3,hj4,,,
20.93124,MOT_mc_stage_color_00,y-flash,,
21.46452,1,3-4,,,
21.46452,2,4-1,,,
21.46452,3,4-1,,,
21.46452,1,,,,L0
21.49785,MOT_mc_stage_color_00,b-flash,,
21.89781,1,4-1,l1,,
21.89781,2,,l1,,
21.89781,3,,l1,,
22.16445,1,,l2,,
22.16445,2,,l2,,
22.16445,3,,l2,,
22.397759999999998,3,w1,,,
22.397759999999998,2,w1,,,
22.46442,1,j1-2,,,
22.53108,MOT_mc_stage_color_00,y-flash,,
23.13102,1,2-3,lb1,,
23.13102,2,,lb1,,
23.13102,3,,lb1,,
23.430989999999998,1,,lb0,,
23.430989999999998,2,,lb0,,
23.430989999999998,3,,lb0,,
23.79762,1,j3-4,,,
23.79762,2,j1-2,,,
23.79762,3,j1-2,,,
23.830949999999998,MOT_mc_stage_color_00,b-flash,,
24.29757,1,4-1,,,
24.29757,2,2-3,,,
24.29757,3,2-3,,,
25.030829999999998,1,j1-2,,,
25.09749,MOT_mc_stage_color_00,y-flash,,
25.230809999999998,3,w3,,,
25.230809999999998,2,3-4,,,
25.230809999999998,3,3-4,,,
25.464119999999998,1,j2-3,,,
25.59744,MOT_mc_stage_color_00,b-flash,,
25.664099999999998,2,j4-1,,,
25.664099999999998,3,j4-1,,,
26.13072,1,3-4,,,
26.16405,MOT_mc_stage_color_00,b-flash,,
26.464019999999998,1,4-1,,,
26.73066,3,w1,,,
26.73066,2,w1,,,
26.73066,1,1-2,r1,,
26.73066,2,1-2,r1,,
26.73066,3,1-2,r1,,
26.9973,1,,r2,,
26.9973,2,,r2,,
26.9973,3,,r2,,
27.39726,1,2-3,,,
27.463919999999998,MOT_mc_stage_color_00,y-flash,,
27.663899999999998,3,w2,,,
27.663899999999998,2,w2,,,
27.9972,1,3-4,rb1,,
27.9972,2,2-3,rb1,,
27.9972,3,2-3,rb1,,
