0.03333,MOT_mc_bg_black_00,seat100-0,,
2.7997199999999998,MOT_mc_light_up_00,l1,,
2.96637,1,1-2,,,
2.96637,2,1-2,,,
2.96637,3,1-2,,,
2.96637,4,1-2,,,
2.96637,5,1-2,,,
2.9997,MOT_mc_speaker_00,temp1,,
2.9997,MOT_mc_stage_color_00,r,,
3.36633,1,2-3,,,
3.36633,2,2-3,,,
3.36633,3,2-3,,,
3.36633,4,2-3,,,
3.36633,5,2-3,,,
3.83295,2,3-4,,,
3.83295,3,3-4,,,
4.16625,1,j3-4,,,
4.16625,4,j3-4,,,
4.16625,5,j3-4,,,
4.56621,1,4-1,,,
4.56621,2,4-1,,,
4.56621,3,4-1,,,
4.56621,4,4-1,,,
4.56621,5,4-1,,,
5.13282,1,1-2,,,
5.13282,2,1-2,,,
5.13282,3,1-2,,,
5.13282,4,1-2,,,
5.13282,5,1-2,,,
5.46612,1,j2-3,,,
5.53278,2,j2-3,,,
5.53278,3,j2-3,,,
5.56611,MOT_mc_stage_color_00,r-flash,,
5.5994399999999995,4,j2-3,,,
5.5994399999999995,5,j2-3,,,
6.09939,MOT_mc_stage_color_00,b-flash,,
6.09939,MOT_mc_light_center_00,l1,,
6.09939,MOT_mc_light_under_00,l3,,
6.09939,1,3-4,,,
6.09939,2,3-4,,,
6.09939,3,3-4,,,
6.09939,4,3-4,,,
6.09939,5,3-4,,,
6.166049999999999,1,,,,D40
6.166049999999999,2,,,,D40
6.166049999999999,3,,,,D40
6.166049999999999,4,,,,D40
6.166049999999999,5,,,,D40
6.43269,1,lp4,,,
6.43269,2,lp4,,,
6.43269,3,lp4,,,
6.43269,4,lp4,,,
6.43269,5,lp4,,,
7.56591,1,j4-1,,,
7.56591,2,j4-1,,,
7.56591,3,j4-1,,,
7.56591,4,j4-1,,,
7.56591,5,j4-1,,,
8.065859999999999,1,lp1,,,
8.065859999999999,2,lp1,,,
8.065859999999999,3,lp1,,,
8.065859999999999,4,lp1,,,
8.065859999999999,5,lp1,,,
8.565809999999999,1,j1-2,,,L0
8.565809999999999,2,j1-2,,,L0
8.565809999999999,3,j1-2,,,L0
8.565809999999999,4,,,,L0
8.565809999999999,5,,,,L0
8.59914,MOT_mc_stage_color_00,b-flash,,
8.69913,4,j1-2,,,
8.69913,5,j1-2,,,
9.29907,MOT_mc_stage_color_00,r-flash,,
9.29907,1,2-3,,,
9.29907,2,2-3,l1,,
9.29907,3,2-3,r1,,
9.599039999999999,4,2-3,l1,,
9.599039999999999,5,2-3,r1,,
9.998999999999999,MOT_mc_stage_color_00,b-flash,,
9.998999999999999,1,3-4,,,
9.998999999999999,2,3-4,,,
9.998999999999999,3,3-4,,,
9.998999999999999,4,3-4,,,
9.998999999999999,5,3-4,,,
10.53228,1,j4-1,,,
10.53228,2,j4-1,,,
10.53228,3,j4-1,,,
10.53228,4,j4-1,,,
10.53228,5,j4-1,,,
10.56561,MOT_mc_stage_color_00,r-flash,,
10.598939999999999,1,,,,D40
10.598939999999999,2,,,,D40
10.598939999999999,3,,,,D40
10.598939999999999,4,,,,D40
10.598939999999999,5,,,,D40
11.03223,1,lp1,,,
11.03223,2,lp1,,,
11.03223,3,lp1,,,
11.03223,4,lp1,,,
11.03223,5,lp1,,,
12.9987,1,j1-2,,,
12.9987,4,j1-2,,,
12.9987,5,j1-2,,,
13.06536,MOT_mc_stage_color_00,r-flash,,
13.06536,1,,,,L0
13.06536,2,,,,L0
13.06536,3,,,,L0
13.06536,4,,,,L0
13.06536,5,,,,L0
13.39866,2,j1-2,,,
13.39866,3,j1-2,,,
13.46532,MOT_mc_stage_color_00,b-flash,,
13.6653,MOT_mc_bg_black_00,b80-45_2,,
13.831949999999999,MOT_mc_stage_color_00,b-flash,,
13.831949999999999,MOT_mc_light_up_00,l3,,
13.831949999999999,MOT_mc_light_under_00,l1,,
13.831949999999999,4,2-3,lb0,,
13.831949999999999,5,2-3,rb0,,
14.065259999999999,1,w2,,,
14.23191,2,2-3,lb0,,
14.23191,3,2-3,rb0,,
14.765189999999999,5,w3,,,
14.765189999999999,4,w3,,,
14.765189999999999,1,2-3,,,
15.13182,1,3-4,,,
15.165149999999999,3,w3,,,
15.165149999999999,2,w3,,,
15.53178,1,j4-1,,,
15.665099999999999,2,j3-4,,,
15.665099999999999,3,j3-4,,,
15.79842,4,j3-4,,,
15.79842,5,j3-4,,,
16.16505,2,4-1,,,
16.16505,3,4-1,,,
16.59834,1,1-2,,,
16.59834,4,4-1,,,
16.59834,5,4-1,,,
17.09829,3,w1,,,
17.09829,2,w1,,,
17.331599999999998,MOT_mc_stage_color_00,b-flash,,
17.331599999999998,3,j1-2,,,
17.331599999999998,5,j1-2,,,
17.531579999999998,4,w1,,,
17.531579999999998,1,w2,,,
17.6649,2,j1-2,,,
17.6649,4,j1-2,,,
18.29817,1,j2-3,,,
18.39816,5,w2,,,
18.39816,3,w2,,,
18.63147,4,j2-3,,,
18.63147,5,j2-3,,,
18.73146,2,w2,,,
18.83145,2,j2-3,,,
18.83145,3,j2-3,,,
19.3314,2,3-4,,,
19.3314,3,3-4,,,
19.364729999999998,1,w3,,,
19.69803,5,w3,,,
19.69803,4,w3,,,
19.73136,1,j3-4,,,
19.73136,4,j3-4,,,
19.73136,5,j3-4,,,
20.26464,3,w4,,,
20.26464,2,w4,,,
20.29797,2,j4-1,,,
20.29797,4,j4-1,,,
20.3313,MOT_mc_stage_color_00,b-flash,,
20.797919999999998,5,w4,,,
20.797919999999998,1,w4,,,
20.797919999999998,3,j4-1,,,
20.797919999999998,5,j4-1,,,
21.36453,4,w1,,,
21.36453,2,w1,,,
21.431189999999997,1,4-1,,,
21.86448,5,w1,,,
21.86448,3,w1,,,
22.16445,1,1-2,,,
22.16445,4,1-2,,,
22.16445,5,1-2,,,
23.09769,5,w2,,,
23.09769,4,w2,,,
23.09769,1,j2-3,,,
23.231009999999998,MOT_mc_stage_color_00,b-flash,,
23.630969999999998,1,lp3,,,
23.630969999999998,2,j1-2,,,
23.630969999999998,3,j1-2,,,
23.864279999999997,MOT_mc_stage_color_00,r-flash,,
24.264239999999997,2,lp2,,,
24.264239999999997,3,lp2,,,
24.264239999999997,4,j2-3,,,
24.264239999999997,5,j2-3,,,
24.464219999999997,MOT_mc_stage_color_00,b-flash,,
24.76419,4,lp3,,,
24.76419,5,lp3,,,
25.83075,1,j3-4,,,
25.83075,2,j2-3,,,
25.83075,3,j2-3,,,
25.83075,4,j3-4,,,
25.83075,5,j3-4,,,
26.297369999999997,MOT_mc_stage_color_00,b-flash,,
26.297369999999997,4,,l1,,
26.297369999999997,5,,r1,,
26.63067,1,4-1,,,
26.63067,4,4-1,,,
26.63067,5,4-1,,,
26.897309999999997,3,w3,,,
26.897309999999997,2,w3,,,
27.16395,2,3-4,l1,,
27.16395,3,3-4,r1,,
27.56391,5,w1,,,
27.56391,4,w1,,,
27.56391,1,j1-2,,,
28.03053,1,sp2-3,,,
28.097189999999998,3,w4,,,
28.097189999999998,2,w4,,,
28.16385,2,sp4-1,,,
28.16385,3,sp4-1,,,
28.297169999999998,4,sp1-2,,,
28.297169999999998,5,sp1-2,,,
28.59714,1,j3-4,,,
28.59714,2,j1-2,,,
28.59714,3,j1-2,,,
29.03043,4,j2-3,,,
29.03043,5,j2-3,,,
29.6637,3,w2,,,
29.6637,2,w2,,,
29.6637,1,w4,,,
29.79702,MOT_mc_stage_color_00,b-flash,,
29.79702,4,3-4,lb0,,
29.79702,5,3-4,rb0,,
30.130319999999998,2,2-3,lb0,,
30.130319999999998,3,2-3,rb0,,
30.69693,1,4-1,,,
30.730259999999998,5,w4,,,
30.730259999999998,4,w4,,,
31.03023,1,1-2,,,
31.06356,3,w3,,,
31.06356,2,w3,,,
31.29687,2,3-4,,,
31.29687,3,3-4,,,
31.29687,4,4-1,,,
31.29687,5,4-1,,,
31.730159999999998,1,j2-3,,,
31.730159999999998,2,j4-1,,,
31.730159999999998,3,j4-1,,,
32.16345,4,j1-2,,,
32.16345,5,j1-2,,,
32.79672,3,w1,,,
32.79672,2,w1,,,
32.79672,1,w3,,,
32.89671,MOT_mc_stage_color_00,b-flash,,
32.89671,2,1-2,,,
32.89671,3,1-2,,,
33.23001,5,w2,,,
33.23001,4,w2,,,
33.29667,2,2-3,,,
33.29667,3,2-3,,,
33.92994,1,hj3,,,
33.92994,4,hj2,,,
33.92994,5,hj2,,,
34.22991,3,w3,,,
34.22991,2,w3,,,
34.729859999999995,2,hj3,,,
34.729859999999995,3,hj3,,,
35.16315,5,w2,,,
35.16315,4,w2,,,
35.16315,1,w3,,,
35.463119999999996,3,j3-4,,,
35.463119999999996,5,j2-3,,,
35.529779999999995,MOT_mc_stage_color_00,b-flash,,
35.96307,2,w3,,,
35.9964,2,j3-4,,,
35.9964,4,j2-3,,,
36.06306,MOT_mc_stage_color_00,r-flash,,
36.52968,5,w3,,,
36.52968,3,w4,,,
36.62967,1,j3-4,,,
36.62967,2,4-1,,,
36.62967,3,4-1,,,
36.62967,4,3-4,,,
36.62967,5,3-4,,,
36.729659999999996,MOT_mc_stage_color_00,b-flash,,
37.129619999999996,1,lp4,,,
37.129619999999996,2,lp1,,,
37.129619999999996,3,lp1,,,
37.129619999999996,4,lp4,,,
37.129619999999996,5,lp4,,,
37.79622,1,j4-1,,,
38.29617,1,1-2,,,
38.29617,2,1-2,,,
38.29617,3,1-2,,,
38.29617,4,4-1,,,
38.29617,5,4-1,,,
38.362829999999995,MOT_mc_stage_color_00,b-flash,,
38.762789999999995,MOT_mc_stage_color_00,r-flash,,
38.762789999999995,MOT_mc_light_up_00,l2,,
38.762789999999995,MOT_mc_light_center_00,l2,,
38.762789999999995,MOT_mc_light_under_00,l2,,
38.796119999999995,3,j2-3,,,
38.796119999999995,5,j1-2,,,
39.09609,1,j2-3,,,
39.22941,4,w1,,,
39.22941,2,w2,,,
39.42939,2,j2-3,,,
39.42939,4,j1-2,,,
39.79602,1,3-4,,,
39.86268,5,w2,,,
39.86268,3,w3,,,
40.22931,1,4-1,,,
40.395959999999995,MOT_mc_stage_color_00,b-flash,,
40.49595,4,w2,,,
40.49595,2,w3,,,
40.59594,1,1-2,,,
40.59594,2,3-4,,,
40.59594,3,3-4,,,
40.9959,1,2-3,,,
40.9959,2,4-1,,,
40.9959,3,4-1,,,
40.9959,4,2-3,,,
40.9959,5,2-3,,,
41.39586,2,1-2,,,
41.39586,3,1-2,,,
41.82915,1,3-4,r1,,
41.92914,5,w3,,,
41.92914,4,w3,,,
41.962469999999996,MOT_mc_stage_color_00,r-flash,,
42.16245,2,2-3,r1,,
42.16245,3,2-3,r1,,
42.52908,4,3-4,r1,,
42.52908,5,3-4,r1,,
42.762389999999996,1,w4,,,
42.89571,2,3-4,,,
42.89571,3,3-4,,,
43.329,4,j4-1,,,
43.46232,5,w4,,,
43.52898,MOT_mc_stage_color_00,b-flash,,
43.76229,1,j4-1,,,
43.76229,2,j4-1,,,
43.76229,3,j4-1,,,
44.16225,5,j4-1,,,
44.395559999999996,4,w1,,,
44.49555,1,1-2,,,
44.828849999999996,3,w1,,,
44.828849999999996,2,w1,,,
45.02883,1,2-3,rb0,,
45.06216,MOT_mc_stage_color_00,r-flash,,
45.228809999999996,5,w1,,,
45.36213,2,1-2,rb0,,
45.36213,3,1-2,rb0,,
45.695429999999995,4,1-2,rb0,,
45.695429999999995,5,1-2,rb0,,
45.96207,1,w3,,,
46.062059999999995,2,2-3,,,
46.062059999999995,3,2-3,,,
46.495349999999995,3,j3-4,,,
46.495349999999995,5,j2-3,,,
46.62867,4,w2,,,
46.62867,MOT_mc_stage_color_00,b-flash,,
46.861979999999996,1,j3-4,,,
46.9953,2,w3,,,
47.19528,2,j3-4,,,
47.19528,4,j2-3,,,
47.56191,5,w3,,,
47.56191,3,w4,,,
47.56191,1,4-1,,,
48.061859999999996,3,4-1,,,
48.061859999999996,5,3-4,,,
48.128519999999995,MOT_mc_stage_color_00,b-flash,,
48.26184,4,w3,,,
48.26184,2,w4,,,
48.461819999999996,3,j1-2,,,
48.461819999999996,5,j4-1,,,
48.495149999999995,1,w1,,,
48.9951,2,4-1,,,
48.9951,4,3-4,,,
49.09509,MOT_mc_stage_color_00,b-flash,,
49.328399999999995,2,j1-2,,,
49.328399999999995,4,j4-1,,,
49.52838,5,w1,,,
49.52838,3,w2,,,
49.761689999999994,1,sp1-2,,,
49.92834,2,sp2-3,,,
49.92834,3,sp2-3,,,
50.094989999999996,4,sp1-2,,,
50.094989999999996,5,sp1-2,,,
50.461619999999996,1,j2-3,,,
50.79492,2,j3-4,,,
50.79492,3,j3-4,,,
50.79492,4,j2-3,,,
50.79492,5,j2-3,,,
50.894909999999996,MOT_mc_stage_color_00,b-flash,,
51.22821,1,3-4,,,
51.62817,2,4-1,l1,,
51.62817,3,4-1,r1,,
51.62817,4,3-4,l1,,
51.62817,5,3-4,r1,,
51.694829999999996,MOT_mc_stage_color_00,r-flash,,
51.9948,2,1-2,,,
52.161449999999995,1,w4,,,
52.26144,3,1-2,,,
52.561409999999995,5,w4,,,
52.561409999999995,4,w4,,,
52.69473,1,4-1,,,
52.86138,MOT_mc_stage_color_00,b-flash,,
52.928039999999996,2,w2,,,
53.09469,1,j1-2,,,
53.19468,3,w2,,,
53.46132,4,4-1,,,
53.46132,5,4-1,,,
53.827949999999994,2,j2-3,,,
53.827949999999994,3,j2-3,,,
54.161249999999995,1,w2,,,
54.227909999999994,1,j2-3,,,
54.227909999999994,2,,lb0,,
54.227909999999994,3,,rb0,,
54.227909999999994,4,,lb0,,
54.227909999999994,5,,rb0,,
54.39456,5,w1,,,
54.39456,4,w1,,,
54.42789,MOT_mc_stage_color_00,r-flash,,
54.6612,2,3-4,,,
54.6612,3,3-4,,,
54.6612,4,1-2,,,
54.6612,5,1-2,,,
55.06116,1,3-4,,,
55.06116,2,4-1,,,
55.06116,3,4-1,,,
55.49445,4,2-3,,,
55.49445,5,2-3,,,
55.92774,1,4-1,l1,,
55.9944,3,w1,,,
55.9944,2,w1,,,
56.09439,MOT_mc_stage_color_00,b-flash,,
56.3277,2,1-2,l1,,
56.3277,3,1-2,l1,,
56.42769,5,w3,,,
56.42769,4,w3,,,
56.69433,4,3-4,l1,,
56.69433,5,3-4,l1,,
56.86098,1,w1,,,
57.027629999999995,1,1-2,,,
57.027629999999995,2,2-3,,,
57.027629999999995,3,2-3,,,
57.027629999999995,4,4-1,,,
57.027629999999995,5,4-1,,,
57.427589999999995,5,1-2,,,
57.56091,MOT_mc_stage_color_00,r-flash,,
57.794219999999996,3,3-4,,,
57.96087,4,w1,,,
57.96087,2,w3,,,
57.96087,1,w2,,,
58.194179999999996,3,4-1,lb0,,
58.194179999999996,5,2-3,lb0,,
58.56081,1,2-3,,,
58.92744,4,1-2,,,
59.060759999999995,MOT_mc_stage_color_00,b-flash,,
59.12742,5,w3,,,
59.12742,3,w1,,,
59.3274,2,3-4,,,
59.494049999999994,1,w3,,,
59.76069,2,4-1,lb0,,
59.76069,4,2-3,lb0,,
60.09399,1,3-4,lb0,,
60.49395,2,hj1,,,
60.49395,3,hj1,,,
60.56061,MOT_mc_stage_color_00,b-flash,,
60.693929999999995,4,w3,,,
60.86058,1,4-1,,,
60.86058,4,3-4,,,
60.86058,5,3-4,,,
61.3272,1,j1-2,,,
61.427189999999996,MOT_mc_stage_color_00,b-flash,,
61.72716,3,w1,,,
61.72716,2,j1-2,,,
61.72716,3,j1-2,,,
61.79382,5,w4,,,
61.79382,4,w4,,,
62.260439999999996,5,4-1,,,
62.39376,1,w2,,,
62.39376,4,4-1,,,
62.56041,1,2-3,,,
62.79372,3,w2,,,
62.79372,2,sp2-3,,,
62.79372,3,sp2-3,,,
63.19368,5,w1,,,
63.19368,1,3-4,,,
63.19368,2,j3-4,,,
63.19368,3,j3-4,,,
63.19368,4,1-2,,,
63.19368,5,1-2,,,
63.26034,MOT_mc_stage_color_00,b-flash,,
63.6603,MOT_mc_stage_color_00,y-flash,,
64.06026,MOT_mc_bg_black_00,b45-80,,
64.09358999999999,1,4-1,,,
64.09358999999999,2,4-1,,,
64.09358999999999,3,4-1,,,
64.09358999999999,4,2-3,,,
64.09358999999999,5,2-3,,,
64.16024999999999,MOT_mc_stage_color_00,r-flash,,
64.16024999999999,MOT_mc_light_up_00,l1,,
64.16024999999999,MOT_mc_light_center_00,l1,,
64.16024999999999,MOT_mc_light_under_00,l3,,
64.3269,1,,,,D20
64.3269,2,,,,D20
64.3269,3,,,,D20
64.3269,4,,,,D20
64.3269,5,,,,D20
64.46021999999999,1,lp1,,,
64.46021999999999,2,lp1,,,
64.46021999999999,3,lp1,,,
64.46021999999999,4,lp3,,,
64.46021999999999,5,lp3,,,
64.49355,1,,,,D40
64.49355,2,,,,D40
64.49355,3,,,,D40
64.49355,4,,,,D40
64.49355,5,,,,D40
64.62687,1,,,,D60
64.62687,2,,,,D60
64.62687,3,,,,D60
64.62687,4,,,,D60
64.62687,5,,,,D60
69.09309,1,1-2,,,
69.45971999999999,1,2-3,,,
69.62637,MOT_mc_bg_black_00,b80-65,,
69.82634999999999,1,j3-4,,,
69.82634999999999,2,1-2,,,
69.82634999999999,3,1-2,,,
69.82634999999999,4,j3-4,,,
69.82634999999999,5,j3-4,,,
69.92634,MOT_mc_stage_color_00,r-flash,,
69.92634,MOT_mc_light_up_00,l3,,
69.92634,1,,,,D40
69.92634,2,,,,D40
69.92634,3,,,,D40
69.92634,4,,,,D40
69.92634,5,,,,D40
70.59294,1,4-1,,,
70.59294,4,4-1,,,
70.75959,3,w2,,,
70.75959,2,w2,,,
70.89291,5,w4,,,
71.25954,1,1-2,,,
71.25954,5,4-1,,,
71.52618,4,w1,,,
72.09279,3,j2-3,,,
72.09279,5,j1-2,,,
72.19278,1,w2,,,
72.25944,1,j2-3,,,
72.45942,2,j2-3,,,
72.45942,4,j1-2,,,
72.95936999999999,2,3-4,,,
73.15935,5,w2,,,
73.15935,3,w3,,,
73.326,1,w3,,,
73.49265,3,3-4,,,
73.52597999999999,4,w2,,,
73.89260999999999,2,w4,,,
73.9926,1,j3-4,,,
73.9926,4,j2-3,,,
73.9926,5,j2-3,,,
74.42589,3,w4,,,
74.59254,1,4-1,,,
74.59254,2,4-1,,,
74.59254,3,4-1,,,
74.69252999999999,MOT_mc_stage_color_00,b-flash,,
75.05915999999999,5,w3,,,
75.05915999999999,4,w3,,,
75.3258,1,1-2,,,
75.3258,4,3-4,,,
75.3258,5,3-4,,,
75.35913,MOT_mc_stage_color_00,r-flash,,
75.52578,3,w1,,,
75.52578,2,w1,,,
76.05906,2,1-2,,,
76.19238,MOT_mc_stage_color_00,r-flash,,
76.25904,5,w4,,,
76.25904,4,w4,,,
76.25904,1,w2,,,
76.35902999999999,5,4-1,,,
76.72565999999999,1,2-3,,,
76.72565999999999,2,j2-3,,,
76.72565999999999,5,j1-2,,,
77.42559,3,1-2,,,
77.6589,1,w3,,,
77.79222,5,w2,,,
77.79222,2,w3,,,
77.85888,4,4-1,,,
78.29217,1,3-4,,,
78.29217,3,j2-3,,,
78.29217,4,j1-2,,,
79.05875999999999,1,j4-1,,,
79.25874,MOT_mc_stage_color_00,r-flash,,
79.35873,4,w2,,,
79.35873,3,w3,,,
79.69203,1,1-2,,,
80.12532,1,2-3,,,
80.12532,2,3-4,,,
80.12532,3,3-4,,,
80.55861,1,3-4,,,
80.55861,2,4-1,,,
80.55861,3,4-1,,,
80.55861,4,2-3,,,
80.55861,5,2-3,,,
80.92524,2,1-2,,,
80.92524,3,1-2,,,
81.15854999999999,1,4-1,,,
81.15854999999999,4,3-4,,,
81.15854999999999,5,3-4,,,
81.22520999999999,MOT_mc_stage_color_00,b-flash,,
81.42519,1,sp1-2,,,
81.42519,2,sp2-3,,,
81.42519,3,sp2-3,,,
81.42519,4,sp4-1,,,
81.42519,5,sp4-1,,,
81.85848,1,j2-3,,,
81.85848,2,j3-4,,,
81.85848,3,j3-4,,,
81.85848,4,j1-2,,,
81.85848,5,j1-2,,,
81.92514,MOT_mc_stage_color_00,r-flash,,
82.32509999999999,1,3-4,,,
82.35843,MOT_mc_bg_black_00,b65-20,,
82.35843,MOT_mc_stage_color_00,b-flash,,
82.35843,MOT_mc_light_up_00,l4,,
82.35843,MOT_mc_light_center_00,l3,,
82.35843,MOT_mc_light_under_00,l2,,
82.39175999999999,1,,,,L0
82.39175999999999,2,,,,L0
82.39175999999999,3,,,,L0
82.39175999999999,4,,,,L0
82.39175999999999,5,,,,L0
82.59174,1,4-1,,,
82.59174,2,4-1,,,
82.59174,3,4-1,,,
82.79172,MOT_mc_stage_color_00,r-flash,,
82.92504,5,w2,,,
82.92504,4,w2,,,
83.22501,5,j2-3,,,
83.35833,MOT_mc_stage_color_00,b-flash,,
83.52498,3,w1,,,
83.52498,2,w1,,,
83.52498,1,w1,,,
83.52498,4,j2-3,,,
83.62496999999999,MOT_mc_stage_color_00,r-flash,,
83.95827,1,1-2,,,
84.09159,2,1-2,,,
84.09159,3,1-2,,,
84.22491,4,3-4,,,
84.22491,5,3-4,,,
84.55821,2,,l1,,
84.55821,3,,r1,,
84.55821,4,,l1,,
84.55821,5,,r1,,
84.89151,1,w2,,,
84.92484,1,j2-3,,,
84.92484,2,j2-3,,,
84.92484,3,j2-3,,,
84.92484,4,j4-1,,,
84.92484,5,j4-1,,,
85.02483,MOT_mc_stage_color_00,b-flash,,
85.72475999999999,2,3-4,lb0,,
85.72475999999999,3,3-4,rb0,,
85.79142,MOT_mc_stage_color_00,b-flash,,
85.9914,5,w1,,,
85.9914,4,w1,,,
85.9914,1,w3,,,
86.02472999999999,1,3-4,,,
86.02472999999999,4,1-2,lb0,,
86.02472999999999,5,1-2,rb0,,
86.12472,MOT_mc_stage_color_00,r-flash,,
86.658,3,w4,,,
86.658,2,w4,,,
86.79132,5,j2-3,,,
86.89130999999999,MOT_mc_stage_color_00,b-flash,,
86.95797,4,w2,,,
86.95797,1,w4,,,
87.12462,3,j4-1,,,
87.29127,2,j4-1,,,
87.35793,MOT_mc_stage_color_00,r-flash,,
87.49125,4,j2-3,,,
87.82455,1,4-1,,,
87.85788,5,w3,,,
88.12451999999999,2,hj1,,,
88.12451999999999,3,hj1,,,
88.12451999999999,4,hj3,,,
88.12451999999999,5,hj3,,,
88.25784,MOT_mc_stage_color_00,b-flash,,
88.69113,MOT_mc_stage_color_00,r-flash,,
