0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,MOT_control_all,cut1,,
0.09999,1,,,,D60
0.09999,2,,,,D60
1.46652,1,,,,L40
1.46652,2,,,,L40
1.46652,1,1-2,,,
1.46652,2,1-2,,,
1.46652,MOT_mc_bg_black_00,b80-65,,
1.46652,MOT_all,cutremx1,,
2.3997599999999997,2,w2,,,
2.3997599999999997,1,w2,,,
2.73306,MOT_mc_stage_color_00,r-flash,,
2.73306,1,lp2,,,
2.73306,2,lp2,,,
7.39926,1,2-3,r1,,
8.09919,2,2-3,l1,,
8.3325,1,w3,,,
9.03243,2,w3,,,
9.3324,1,3-4,,,
9.3324,2,3-4,,,
9.76569,1,4-1,,,
10.26564,2,4-1,,,
10.698929999999999,1,w1,,,
10.76559,1,1-2,rb0,,
10.76559,2,1-2,lb0,,
11.69883,2,w2,,,
11.69883,1,w2,,,
12.26544,1,2-3,,,
12.26544,2,2-3,,,
12.832049999999999,1,3-4,,,
12.832049999999999,2,3-4,,,
13.46532,MOT_mc_stage_color_00,b-flash,,
13.46532,1,4-1,,,
13.46532,2,4-1,,,
14.03193,1,lp1,,,
14.03193,2,lp1,,,
17.09829,2,1-2,,,
17.331599999999998,1,1-2,,,
17.731559999999998,1,2-3,,,
17.731559999999998,2,2-3,,,
18.19818,1,3-4,,,
18.19818,2,3-4,,,
18.79812,1,4-1,r1,,
18.79812,2,4-1,l1,,
19.164749999999998,1,1-2,,,
19.164749999999998,2,1-2,,,
19.964669999999998,1,lp2,,,
19.964669999999998,2,lp2,,,
21.56451,1,2-3,rb0,,
21.56451,2,2-3,lb0,,
22.49775,2,w3,,,
22.49775,1,w3,,,
23.031029999999998,1,3-4,,,
23.031029999999998,2,3-4,,,
23.49765,1,,,,L20
23.49765,2,,,,L20
23.49765,1,sp4-1,,,
23.49765,2,sp4-1,,,
23.49765,MOT_mc_bg_black_00,b65-45,,
23.49765,MOT_mc_light_center_00,l1,,
23.49765,MOT_mc_back_00,bg2,,
24.13092,MOT_mc_stage_color_00,r-flash,,
24.13092,1,1-2,r1,,
24.13092,2,1-2,l1,,
24.79752,1,2-3,,,
24.79752,2,2-3,,,
25.43079,1,lp3,,,
25.73076,2,w3,,,
25.76409,2,lp3,,,
26.03073,1,3-4,,,
26.03073,2,3-4,,,
26.697329999999997,1,lp4,,,
26.697329999999997,2,lp4,,,
28.19718,2,4-1,,,
28.6638,1,4-1,,,
29.130419999999997,2,w1,,,
29.26374,1,lp1,,,
29.26374,2,lp1,,,
32.230109999999996,2,1-2,,,
32.46342,1,1-2,,,
33.16335,2,w2,,,
33.39666,1,w2,,,
33.52998,1,2-3,,,
33.52998,2,2-3,,,
34.46322,2,w3,,,
34.46322,1,w3,,,
34.89651,MOT_mc_stage_color_00,b-flash,,
34.89651,2,3-4,lb0,,
34.89651,MOT_mc_light_center_00,l1,,
35.36313,1,3-4,rb0,,
35.82975,2,w4,,,
36.12972,2,4-1,,,
36.296369999999996,1,w4,,,
36.49635,1,4-1,,,
36.86298,1,1-2,,,
36.86298,2,1-2,,,
37.76289,1,lp2,,,
37.76289,2,lp2,,,
38.9961,1,2-3,,,
38.9961,2,2-3,,,
39.46272,1,3-4,,,
39.46272,2,3-4,,,
39.89601,1,4-1,,,
39.89601,2,4-1,,,
40.56261,1,lp1,,,
40.56261,2,lp1,,,
42.96237,1,1-2,,,
42.96237,2,1-2,,,
43.69563,MOT_mc_stage_color_00,y-flash,,
43.69563,1,lp2,,,
43.69563,2,lp2,,,
43.69563,MOT_mc_light_center_00,l1,,
44.36223,1,,r1,,
45.09549,2,,l1,,
45.86208,1,sp2-3,,,
45.86208,2,sp2-3,,,
46.9953,MOT_mc_stage_color_00,b-flash,,
46.9953,MOT_mc_light_center_00,l2,,
47.82855,MOT_mc_stage_color_00,r-flash,,
48.495149999999995,MOT_mc_stage_color_00,b-flash,,
49.16175,MOT_mc_stage_color_00,r-flash,,
49.86168,MOT_mc_stage_color_00,b-flash,,
50.528279999999995,MOT_mc_stage_color_00,r-flash,,
51.19488,MOT_mc_stage_color_00,b-flash,,
51.89481,MOT_mc_stage_color_00,r-flash,,
52.528079999999996,MOT_mc_stage_color_00,b-flash,,
53.19468,MOT_mc_stage_color_00,r-flash,,
53.92794,MOT_mc_stage_color_00,b-flash,,
54.627869999999994,MOT_mc_stage_color_00,r-flash,,
55.26114,MOT_mc_stage_color_00,b-flash,,
55.92774,MOT_mc_stage_color_00,r-flash,,
56.594339999999995,MOT_mc_stage_color_00,b-flash,,
57.19428,2,3-4,,,
57.460919999999994,1,3-4,,,
58.02753,MOT_mc_stage_color_00,b-flash,,
58.02753,1,j4-1,,,
58.02753,2,j4-1,,,
58.02753,MOT_mc_light_center_00,l1,,
59.094089999999994,2,w1,,,
59.094089999999994,1,w1,,,
59.094089999999994,MOT_mc_stage_color_00,r-flash,,
59.094089999999994,2,sj1,,,
59.36073,MOT_mc_stage_color_00,b-flash,,
59.36073,1,sj1,,,
59.59404,2,w1,,,
59.860679999999995,1,w1,,,
60.56061,MOT_mc_stage_color_00,b-flash,,
60.56061,1,1-2,,,
60.56061,2,1-2,,,
61.493849999999995,2,w2,,,
61.493849999999995,1,w2,,,
61.76049,MOT_mc_stage_color_00,r-flash,,
61.76049,2,2-3,,,
61.960469999999994,MOT_mc_stage_color_00,b-flash,,
61.960469999999994,1,2-3,,,
62.693729999999995,2,w3,,,
62.89371,1,w3,,,
63.19368,MOT_mc_stage_color_00,b-flash,,
63.19368,1,3-4,rb0,,
63.19368,2,3-4,l2,,
63.26034,MOT_mc_light_center_00,l2,,
63.493649999999995,MOT_mc_stage_color_00,r-flash,,
63.493649999999995,1,,l1,,
63.493649999999995,2,,l3,,
63.79362,MOT_mc_stage_color_00,b-flash,,
63.79362,1,4-1,,,
63.79362,2,4-1,,,
64.09358999999999,MOT_mc_stage_color_00,r-flash,,
64.09358999999999,1,1-2,lb0,,
64.09358999999999,2,1-2,lb2,,
64.39356,MOT_mc_stage_color_00,b-flash,,
64.39356,1,,r1,,
64.39356,2,,lb1,,
64.69353,MOT_mc_stage_color_00,r-flash,,
64.69353,1,2-3,,,
64.69353,2,2-3,,,
64.9935,MOT_mc_stage_color_00,b-flash,,
64.9935,1,,r2,,
64.9935,2,,lb0,,
65.29347,MOT_mc_stage_color_00,r-flash,,
65.29347,1,3-4,rb1,,
65.29347,2,3-4,l1,,
65.59344,MOT_mc_stage_color_00,b-flash,,
65.59344,1,4-1,,,
65.59344,2,4-1,,,
65.96007,MOT_mc_stage_color_00,b-flash,,
65.96007,1,1-2,,,
65.96007,2,1-2,,,
66.12671999999999,MOT_mc_stage_color_00,b-flash,,
66.12671999999999,1,sj2,,,
66.29337,MOT_mc_stage_color_00,b-flash,,
66.29337,2,2-3,,,
66.46002,MOT_mc_stage_color_00,b-flash,,
66.46002,1,2-3,,,
66.62666999999999,MOT_mc_stage_color_00,b-flash,,
66.62666999999999,2,sj3,,,
66.75999,MOT_mc_stage_color_00,b-flash,,
66.79332,1,3-4,,,
66.95997,MOT_mc_stage_color_00,b-flash,,
66.95997,2,3-4,,,
67.29326999999999,MOT_mc_bg_black_00,b65,,
67.29326999999999,MOT_mc_light_center_00,l4,,
67.39326,1,sp4-1,,,
67.39326,2,sp4-1,,,
67.95987,MOT_mc_stage_color_00,r-flash,,
67.95987,1,,,,L0
67.95987,2,,,,L0
67.95987,1,1-2,,,
67.95987,2,1-2,,,
67.95987,MOT_mc_bg_black_00,b65-20,,
67.95987,MOT_mc_light_center_00,l3,,
68.49315,1,2-3,,,
68.49315,2,2-3,,,
68.49315,MOT_mc_light_center_00,l2,,
68.69313,MOT_mc_stage_color_00,y-flash,,
69.25974,MOT_mc_stage_color_00,y-flash,,
69.29307,1,3-4,r2,,
69.29307,2,3-4,l2,,
69.95967,MOT_mc_stage_color_00,y-flash,,
69.95967,1,sp4-1,,,
69.95967,2,sp4-1,,,
70.62626999999999,2,1-2,,,
70.62626999999999,1,1-2,,,
70.69292999999999,MOT_mc_stage_color_00,y-flash,,
71.35952999999999,MOT_mc_stage_color_00,y-flash,,
71.39286,1,2-3,rb1,,
71.39286,2,2-3,l3,,
72.05946,MOT_mc_stage_color_00,y-flash,,
72.05946,1,j3-4,,,
72.05946,2,j3-4,,,
72.69273,MOT_mc_stage_color_00,y-flash,,
72.72605999999999,1,4-1,,,
72.72605999999999,2,4-1,,,
73.35933,1,lp1,,,
73.35933,2,lp1,,,
74.05926,1,1-2,r2,,
74.12592,MOT_mc_stage_color_00,b-flash,,
74.45922,2,1-2,lb2,,
74.49255,MOT_mc_stage_color_00,b-flash,,
74.99249999999999,1,w2,,,
75.39246,2,w2,,,
75.42578999999999,MOT_mc_stage_color_00,b-flash,,
75.42578999999999,1,2-3,rb1,,
75.42578999999999,2,2-3,lb1,,
75.95907,1,hj3,,,
75.95907,2,hj3,,,
75.9924,MOT_mc_stage_color_00,b-flash,,
76.82565,MOT_mc_stage_color_00,b-flash,,
76.82565,1,3-4,,,
76.82565,2,3-4,,,
77.39226,1,lp4,,,
77.39226,2,lp4,,,
77.42559,MOT_mc_stage_color_00,b-flash,,
78.05886,1,,rb0,,
78.05886,2,,lb0,,
78.62546999999999,1,4-1,,,
79.02543,2,4-1,,,
79.35873,1,lp1,,,
79.35873,2,lp1,,,
79.42539,MOT_mc_stage_color_00,b-flash,,
79.82535,1,1-2,,,
79.82535,2,1-2,,,
79.95867,MOT_mc_stage_color_00,y-flash,,
80.75859,2,w2,,,
80.75859,1,w2,,,
80.79191999999999,MOT_mc_stage_color_00,y-flash,,
80.79191999999999,1,2-3,,,
80.79191999999999,2,2-3,,,
81.49185,1,lp3,r1,,
81.49185,2,lp3,l1,,
82.15845,MOT_mc_stage_color_00,y-flash,,
82.15845,1,j3-4,,,
82.15845,2,j3-4,,,
82.85838,MOT_mc_stage_color_00,y-flash,,
82.85838,1,lp4,,,
82.85838,2,lp4,,,
83.69162999999999,MOT_mc_stage_color_00,y-flash,,
83.72496,2,4-1,,,
84.12492,MOT_mc_stage_color_00,r-flash,,
84.12492,1,4-1,,,
84.6582,2,w1,,,
84.89151,MOT_mc_stage_color_00,r-flash,,
84.92484,1,sp1-2,,,
84.92484,2,sp1-2,,,
85.55811,MOT_mc_stage_color_00,r-flash,,
85.59143999999999,1,2-3,,,
85.59143999999999,2,2-3,,,
86.35803,MOT_mc_stage_color_00,r-flash,,
86.35803,1,3-4,rb0,,
86.35803,2,3-4,lb0,,
86.82464999999999,1,4-1,,,
86.82464999999999,2,4-1,,,
86.85798,MOT_mc_stage_color_00,r-flash,,
87.62456999999999,1,,,,D40
87.62456999999999,2,,,,D40
87.62456999999999,1,lp1,,,
87.62456999999999,2,lp1,,,
87.62456999999999,MOT_mc_bg_black_00,b65,,
87.62456999999999,MOT_mc_light_center_00,l4,,
89.52438,1,1-2,,,
89.52438,2,1-2,,,
90.12432,MOT_mc_stage_color_00,b-flash,,
90.12432,1,,,,L0
90.12432,2,,,,L0
90.12432,1,lp2,r1,,
90.12432,2,lp2,,,
90.12432,MOT_mc_bg_black_00,b20,,
90.12432,MOT_mc_light_center_00,l3,,
90.12432,MOT_all,cut1,,
90.12432,MOT_all,cutremx2,,
90.72426,1,2-3,r2,,
91.39085999999999,1,sp3-4,,,
92.02413,1,4-1,,,
92.72406,MOT_mc_stage_color_00,r-flash,,
92.75739,2,2-3,l1,,
92.95737,1,w1,,,
93.45732,2,3-4,,,
94.02393,2,4-1,l2,,
94.3239,2,,l3,,
94.65719999999999,2,1-2,,,
95.42379,MOT_mc_stage_color_00,b-flash,,
