0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,1,w1,,
0.03333,2,w1,,
0.03333,3,w1,,
0.03333,4,w1,,
0.03333,5,w1,,
2.3331,1,1-3,,
2.3331,2,1-3,,
2.3331,3,1-3,,
2.3331,4,1-3,,
2.3331,5,1-3,,
2.46642,MOT_mc_light_up_00,stay,,
2.46642,MOT_speaker_00,temp3,,
2.5997399999999997,MOT_mc_stage_color_00,y,,
2.6664,1,sj3,,
2.6664,2,sj3,,
2.6664,3,sj3,,
2.6664,4,sj3,,
2.6664,5,sj3,,
2.93304,MOT_mc_light_under_00,stay,,
3.16635,1,hj3,,
3.16635,2,hj3,,
3.16635,3,hj3,,
3.16635,4,hj3,,
3.16635,5,hj3,,
3.83295,1,lp3,,
3.83295,2,w3,,
3.83295,3,w3,,
3.83295,4,w3,,
3.83295,5,w3,,
5.36613,1,3-4,l1,
5.76609,1,sj4,,
6.19938,1,lp4,,
7.49925,1,4-2,lb0,
7.49925,2,3-2,,
7.49925,3,3-2,,
7.49925,4,3-2,,
7.49925,5,3-2,,
7.89921,1,lp2,,
7.89921,2,w2,,
7.89921,3,w2,,
7.89921,4,w2,,
7.89921,5,w2,,
8.96577,1,2-1,,
9.26574,1,lp1,,
9.799019999999999,1,j1-4,,
10.26564,1,j4-2,,
10.798919999999999,1,lp2,,
11.36553,1,,r1,
11.36553,2,,l1,
11.36553,3,,l1,
11.36553,4,,l1,
11.36553,5,,l1,
12.76539,1,2-3,rb0,
12.76539,2,2-1,lb0,
12.76539,3,2-1,lb0,
12.76539,4,2-1,lb0,
12.76539,5,2-1,lb0,
13.132019999999999,1,3-1,,
13.132019999999999,2,w1,,
13.132019999999999,3,w1,,
13.132019999999999,4,w1,,
13.132019999999999,5,w1,,
13.49865,1,lp1,,
14.59854,1,sj1,,
15.03183,1,j1-2,,
15.59844,1,lp2,,
16.59834,1,sj2,,
16.59834,2,,,
16.59834,3,,,
16.59834,4,,,
16.59834,5,,,
17.09829,1,hj2,,
17.49825,2,1-3,,
17.49825,3,1-3,,
17.49825,4,1-3,,
17.49825,5,1-3,,
17.93154,2,w3,,
