0.03333,MOT_all,o2revive,,
0.03333,MOT_mc_stage_color_00,r,,
0.03333,MOT_mc_bg_black_00,seat100-0,,
0.03333,MOT_mc_back_00,o2,,
2.03313,MOT_mc_bg_black_00,b65-20,,
2.26644,MOT_mc_special_01,sp1_02,,
2.43309,MOT_mc_light_center_00,l1,,
2.43309,MOT_mc_light_up_00,l4,,
2.43309,MOT_mc_light_under_00,l1,,
2.56641,MOT_control_all,o201,,
2.5997399999999997,MOT_mc_stage_color_00,r-flash,,
2.76639,1,1-2,,f1
2.76639,2,1-2,,f1
2.76639,3,1-2,,f1
2.76639,4,1-2,,f1
2.76639,5,1-2,,f1
3.19968,1,lp2,,
3.19968,2,lp2,,
3.19968,3,lp2,,
3.19968,4,lp2,,
3.19968,5,lp2,,
3.93294,MOT_mc_stage_color_00,r-flash,,
3.93294,1,j2-3,,
3.93294,2,j2-3,,
3.93294,3,j2-3,,
3.93294,4,j2-3,,
3.93294,5,j2-3,,
4.56621,1,lp3,,
4.56621,2,lp3,,
4.56621,3,lp3,,
4.56621,4,lp3,,
4.56621,5,lp3,,
5.06616,1,sj3,,
5.06616,2,sj3,,
5.06616,3,sj3,,
5.06616,4,sj3,,
5.06616,5,sj3,,
5.3994599999999995,1,sp3-4,,
5.3994599999999995,2,sp3-4,,
5.3994599999999995,3,sp3-4,,
5.3994599999999995,4,sp3-4,,
5.3994599999999995,5,sp3-4,,
5.4994499999999995,MOT_mc_stage_color_00,r-flash,,
6.466019999999999,3,sj4,,
6.5660099999999995,2,sj4,,
6.6659999999999995,1,sj4,,
6.79932,3,w4,,
6.9993,1,j4-1,,
6.9993,2,j4-1,,
6.9993,3,j4-1,,
6.9993,4,j4-1,,
6.9993,5,j4-1,,
7.49925,1,lp1,,
7.49925,2,lp1,,
7.49925,3,lp1,,
7.49925,4,lp1,,
7.49925,5,lp1,,
8.09919,2,w1,,b0
8.09919,1,w1,,b0
8.09919,3,1-2,,
8.565809999999999,3,lp2,,
9.09909,3,sj2,,
9.53238,3,w2,,b0
9.53238,1,1-2,,f1
9.998999999999999,1,2-3,,
10.398959999999999,1,sj3,,
10.76559,1,lp3,,
11.06556,1,w3,,b0
11.06556,2,sp1-2,,f1
11.76549,2,sj2,,
12.132119999999999,2,2-3,l1,
12.532079999999999,2,lp3,,
13.132019999999999,2,3-4,lb0,
13.531979999999999,2,sj4,,
13.79862,MOT_mc_stage_color_00,r-flash,,
13.89861,1,3-4,,f1
13.89861,3,2-3,,f1
13.89861,2,4-1,,
14.59854,3,lp3,,
14.59854,1,lp4,,
