time,lyrics,size,,時間,秒変換,byte
0.00 ,,,,00:00.0,0.00 ,0
42.20 ,あいつもこいつもあの席を,,,00:42.2,42.20 ,24
44.56 ,ただ一つねらっているんだよ,,,00:44.6,44.56 ,26
47.65 ,このクラスで一番の,,,00:47.6,47.65 ,18
50.05 ,美人の隣りを,,,00:50.0,50.05 ,12
52.62 ,あー　みんなライバルさ,,,00:52.6,52.62 ,22
58.10 ,あー　いのちがけだよ,,,00:58.1,58.10 ,20
64.38 ,運命の女神さまよ,,,01:04.4,64.38 ,16
69.82 ,このぼくにほほえんで,,,01:09.8,69.82 ,20
72.16 ,一度だけでも,,,01:12.2,72.16 ,12
76.29 ,勉強する気もしない気も,,,01:16.3,76.29 ,22
78.67 ,この時にかかってるんだよ,,,01:18.7,78.67 ,24
81.76 ,もし駄目ならこのぼくは,,,01:21.8,81.76 ,22
84.10 ,もうグレちまうよ,,,01:24.1,84.10 ,16
91.26 ,,,,01:31.3,91.26 ,0
