0.03333,MOT_mc_bg_black_00,seat100-0,,
2.73306,MOT_mc_stage_color_00,b-flash,,
2.73306,MOT_mc_bg_black_00,b80-65,,
2.73306,MOT_mc_light_up_00,l1,,
2.73306,MOT_mc_light_under_00,l1,,
2.73306,MOT_mc_speaker_00,temp2,,
2.86638,1,1-2,,,
2.86638,2,1-2,,,
2.86638,3,1-2,,,
2.86638,2,,l1,,
2.86638,3,,r1,,
3.16635,1,lp2,,,
3.16635,2,lp2,,,
3.16635,3,lp2,,,
4.26624,1,2-3,,,
4.26624,2,2-3,,,
4.26624,3,2-3,,,
4.26624,2,,l2,,
4.26624,3,,r2,,
4.56621,1,lp3,,,
4.56621,2,lp3,,,
4.56621,3,lp3,,,
5.3328,MOT_mc_stage_color_00,b-flash,,
5.3328,MOT_mc_light_center_00,l1,,
5.53278,1,j3-4,,,
5.53278,2,j3-4,,,
5.53278,3,j3-4,,,
5.83275,1,lp4,,,
5.83275,2,lp4,,,
5.83275,3,lp4,,,
6.166049999999999,1,lp4,,,
6.166049999999999,2,lp4,,,
6.166049999999999,3,lp4,,,
6.19938,1,j4-1,,,
6.466019999999999,2,j4-1,,,
6.7659899999999995,3,j4-1,,,
7.26594,1,lp1,,,
7.26594,2,lp1,,,
7.26594,3,lp1,,,
7.89921,1,1-2,,,
8.13252,2,1-2,,,
8.365829999999999,3,1-2,,,
8.79912,1,2-3,,,
9.03243,2,2-3,,,
9.03243,3,2-3,,,
9.19908,MOT_mc_stage_color_00,b-flash,,
9.19908,MOT_mc_light_center_00,flash5,,
9.36573,2,3-4,,,
9.43239,1,3-4,,,
9.49905,3,3-4,,,
9.86568,MOT_all,cut1,,
10.03233,MOT_mc_stage_color_00,y-flash,,
10.03233,MOT_mc_bg_black_00,b65-45,,
10.06566,1,4-1,,f1,
10.298969999999999,2,w4,,,
10.36563,MOT_mc_stage_color_00,y-flash,,
10.398959999999999,1,lp1,,,
10.43229,3,w4,,,
10.698929999999999,1,1-2,r1,,
10.998899999999999,1,lp2,,,
11.43219,1,2-3,,,
11.832149999999999,MOT_mc_light_center_00,l2,,
11.96547,1,lp3,,,
12.29877,1,,rb0,,
12.76539,1,,l1,,
13.89861,1,3-4,l2,,
14.265239999999999,1,lp4,,,
14.73186,1,4-1,,,
15.09849,1,lp1,,,
15.63177,1,1-2,lb1,,
16.03173,1,lp2,,,
17.06496,1,2-3,lb0,,
17.731559999999998,1,j3-4,,,
18.164849999999998,1,lp4,,,
18.46482,1,4-1,,,
18.764789999999998,1,sp1-2,,,
19.69803,1,sj2,,,
20.09799,1,lp2,,,
20.3313,1,2-3,,,
20.69793,1,j3-4,,,
21.16455,1,lp4,,,
21.6645,MOT_all,cut2,,
21.86448,1,4-1,,b0,
21.86448,3,4-1,,f1,
21.997799999999998,MOT_mc_stage_color_00,r-flash,,
22.431089999999998,3,1-2,rb1,,
22.797719999999998,1,w1,,,
22.89771,3,lp2,rb0,,
23.69763,3,2-3,l1,,
24.09759,3,j3-4,,,
24.69753,3,lp4,,,
24.89751,3,,lb0,,
25.664099999999998,3,sp4-1,r1,,
27.13062,3,1-2,r2,,
27.39726,MOT_all,cut3,,
27.59724,MOT_mc_stage_color_00,b-flash,,
27.59724,3,2-3,,b0,
27.59724,2,4-1,,f1,
28.097189999999998,2,lp1,,,
28.530479999999997,3,w3,,,
28.63047,2,1-2,lb1,,
29.06376,2,2-3,lb0,,
29.43039,2,lp3,,,
29.83035,2,j3-4,,,
30.163649999999997,2,4-1,,,
30.563609999999997,2,lp1,,,
30.9969,2,1-2,,,
31.363529999999997,2,2-3,l1,,
31.83015,2,lp3,,,
32.16345,2,,l2,,
32.96337,2,3-4,,,
33.39666,2,lp4,,,
35.19648,MOT_mc_stage_color_00,r-flash,,
35.19648,MOT_mc_light_center_00,l2,,
35.26314,MOT_all,cut4,,
35.496449999999996,2,4-1,,b0,
35.496449999999996,3,3-4,,f1,
35.96307,3,lp4,,,
36.22971,3,j4-1,,,
36.42969,2,w1,,,
36.696329999999996,3,lp1,,,
38.329499999999996,MOT_mc_stage_color_00,b-flash,,
38.56281,MOT_all,cut5,,
38.796119999999995,3,1-2,,b0,
38.796119999999995,1,1-2,,f1,
38.82945,MOT_mc_stage_color_00,y-flash,,
39.36273,1,2-3,r1,,
39.72936,3,w2,,,
39.82935,1,3-4,,,
40.09599,1,j4-1,,,
40.49595,1,lp1,,,
40.829249999999995,1,1-2,rb0,,
41.26254,1,j2-3,,,
41.49585,MOT_all,cut6,,
41.72916,1,3-4,,b0,
41.72916,2,1-2,,f1,
41.76249,MOT_mc_stage_color_00,b-flash,,
42.3291,2,2-3,lb1,,
42.6624,1,w4,,,
42.762389999999996,2,lp3,,,
43.02903,2,j3-4,,,
43.49565,2,4-1,l2,,
43.96227,2,lp1,,,
44.09559,MOT_all,cut7,,
44.3289,3,2-3,,f1,
44.3289,2,1-2,,b0,
44.49555,MOT_mc_stage_color_00,r-flash,,
44.92884,3,3-4,rb1,,
45.262139999999995,2,w2,,,
45.36213,3,lp4,,,
45.82875,3,4-1,,,
46.19538,3,lp1,,,
46.662,3,,r2,,
46.895309999999995,MOT_all,cut8,,
47.12862,MOT_mc_stage_color_00,y-flash,,
47.12862,3,1-2,,b0,
47.12862,1,4-1,,f1,
47.96187,1,j1-2,,,
48.061859999999996,3,w2,,,
48.461819999999996,MOT_mc_special_03,flying,,
48.6618,1,2-3,l1,,
49.328399999999995,1,3-4,lb0,,
49.56171,MOT_mc_stage_color_00,b-flash,,
49.59504,MOT_all,cut9,,
49.79502,1,4-1,,,
49.79502,2,2-3,,f1,
49.79502,3,2-3,,f1,
49.82835,MOT_mc_stage_color_00,b-flash,,
50.22831,MOT_mc_special_01,fly,,
50.26164,1,sp1-2,,,
50.26164,2,sp3-4,,,
50.26164,3,sp3-4,,,
51.16155,1,sj2,,,
51.16155,2,sj4,,,
51.16155,3,sj4,,,
51.59484,1,j2-3,,,
51.59484,2,j4-1,,,
51.59484,3,j4-1,,,
52.02813,MOT_mc_special_02,quick,,
52.494749999999996,MOT_mc_stage_color_00,r-flash,,
52.494749999999996,MOT_mc_bg_black_00,b45-20,,
52.494749999999996,MOT_mc_light_center_00,flash5,,
52.494749999999996,MOT_mc_light_up_00,l4,,
52.494749999999996,1,3-4,,,
52.494749999999996,2,1-2,,,
52.494749999999996,3,1-2,,,
52.928039999999996,1,4-1,,,
52.928039999999996,2,2-3,l3,,
52.928039999999996,3,2-3,r3,,
53.294669999999996,1,1-2,,,
53.294669999999996,2,3-4,l4,,
53.294669999999996,3,3-4,r4,,
53.827949999999994,1,2-3,,,
53.827949999999994,2,4-1,,,
53.827949999999994,3,4-1,,,
53.96127,MOT_mc_light_center_00,l3,,
54.227909999999994,1,lp3,,,
54.227909999999994,2,lp1,,,
54.227909999999994,3,lp1,,,
54.79452,1,3-4,,,
54.79452,2,1-2,lb3,,
54.79452,3,1-2,rb3,,
55.22781,1,lp4,,,
55.22781,2,lp2,,,
55.22781,3,lp2,,,
55.59444,1,4-1,,,
55.59444,2,2-3,lb2,,
55.59444,3,2-3,rb2,,
56.02773,1,lp1,,,
56.02773,2,lp3,,,
56.02773,3,lp3,,,
56.3277,1,1-2,l1,,
56.3277,2,3-4,l3,,
56.3277,3,3-4,rb1,,
57.060959999999994,1,2-3,lb0,,
57.060959999999994,2,4-1,lb2,,
57.060959999999994,3,4-1,r2,,
57.52758,1,,,b0,
57.52758,2,1-2,,,
57.52758,3,,,b0,
57.9942,3,w1,,,
57.9942,1,w3,,,
