0.03333,MOT_control_all,tori_zoom1,,
0.03333,MOT_all,tori_cut1,,
0.03333,MOT_mc_bg_black_00,b80,,
0.03333,MOT_mc_light_center_00,off,,
0.03333,2,,,,D60
0.03333,3,,,,D60
0.03333,4,,,,D60
0.03333,5,,,,D60
0.03333,1,,,,D60
2.23311,1,1-2,,,
2.23311,2,1-2,,,
2.23311,3,1-2,,,
2.23311,4,1-2,,,
2.23311,5,1-2,,,
2.53308,MOT_mc_stage_color_00,b-flash,,
2.56641,MOT_mc_light_up_00,l1,,
2.5997399999999997,1,,,,D20
2.5997399999999997,1,lp2,,,
3.16635,5,w2,,,
3.16635,4,w2,,,
3.16635,3,w2,,,
3.16635,2,w2,,,
3.2330099999999997,1,2-3,,,
3.59964,1,j3-4,,,
3.9662699999999997,1,lp4,,,
4.53288,1,4-1,,,
4.899509999999999,1,lp1,,,
5.9994,1,1-2,,,
5.9994,2,2-3,,,
5.9994,3,2-3,,,
5.9994,4,2-3,,,
5.9994,5,2-3,,,
6.49935,1,2-3,,,
6.932639999999999,5,w3,,,
6.932639999999999,4,w3,,,
6.932639999999999,3,w3,,,
6.932639999999999,2,w3,,,
7.432589999999999,1,w3,,,
7.46592,1,j3-4,,,
7.46592,2,j3-4,,,
7.46592,3,j3-4,,,
7.46592,4,j3-4,,,
7.46592,5,j3-4,,,
7.8325499999999995,1,lp4,,,
7.8325499999999995,2,lp4,,,
7.8325499999999995,3,lp4,,,
7.8325499999999995,4,lp4,,,
7.8325499999999995,5,lp4,,,
10.098989999999999,1,4-1,,,
10.098989999999999,2,4-1,,,
10.098989999999999,3,4-1,,,
10.098989999999999,4,4-1,,,
10.098989999999999,5,4-1,,,
10.498949999999999,1,1-2,,,
10.86558,1,lp2,,,
11.03223,5,w1,,,
11.03223,4,w1,,,
11.03223,3,w1,,,
11.03223,2,w1,,,
11.36553,1,j2-3,,,
11.76549,1,lp3,,,
12.36543,1,3-4,,,
12.732059999999999,1,lp4,,,
13.89861,1,4-1,,,
13.89861,2,1-2,,,
13.89861,3,1-2,,,
13.89861,4,1-2,,,
13.89861,5,1-2,,,
14.3319,1,sj1,,,
14.3319,2,sj2,,,
14.3319,3,sj2,,,
14.3319,4,sj2,,,
14.3319,5,sj2,,,
14.69853,1,lp1,,,
14.69853,2,lp2,,,
14.69853,3,lp2,,,
14.69853,4,lp2,,,
14.69853,5,lp2,,,
15.265139999999999,1,sp1-2,,,
15.265139999999999,2,sp2-3,,,
15.265139999999999,3,sp2-3,,,
15.265139999999999,4,sp2-3,,,
15.265139999999999,5,sp2-3,,,
16.23171,1,j2-3,,,
16.23171,2,j3-4,,,
16.23171,3,j3-4,,,
16.23171,4,j3-4,,,
16.23171,5,j3-4,,,
17.23161,4,j4-1,,,
17.23161,5,j4-1,,,
17.29827,3,w4,,,
